관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JD고산1,2007-03-01,S11,,,,,,,,2007-03
JD고산1,2007-04-01,S11,,,,,,,,2007-04
JD고산1,2007-05-01,S11,,,,,,,,2007-05
JD고산1,2007-06-01,S11,,,,,,,,2007-06
JD고산1,2007-07-01,S11,,,,,,,,2007-07
JD고산1,2007-08-01,S11,,,,,,,,2007-08
JD고산1,2007-09-01,S11,,,,,,,,2007-09
JD고산1,2007-10-01,S11,,,,,,,,2007-10
JD고산1,2007-11-01,S11,0.68,8.46,35.03,18.66,234.0,1014.63,13.0,2007-11
JD고산1,2007-12-01,S11,0.54,8.6,34.93,18.67,234.0,1014.87,12.91,2007-12
JD고산1,2008-01-01,S11,0.43,8.71,34.81,18.67,239.0,1016.26,12.82,2008-01
JD고산1,2008-02-01,S11,0.29,8.85,34.67,18.67,247.0,1016.54,13.02,2008-02
JD고산1,2008-03-01,S11,0.31,8.83,34.69,18.66,256.0,1014.31,13.02,2008-03
JD고산1,2008-04-01,S11,0.37,8.77,34.75,18.67,270.0,1012.69,13.0,2008-04
JD고산1,2008-05-01,S11,0.35,8.79,34.73,18.65,307.0,1011.98,13.0,2008-05
JD고산1,2008-06-01,S11,0.78,8.36,35.17,18.66,308.0,1011.1,12.99,2008-06
JD고산1,2008-07-01,S11,0.76,8.38,35.16,18.68,273.0,1009.16,12.91,2008-07
JD고산1,2008-08-01,S11,0.41,8.73,34.81,18.68,274.0,1009.52,12.9,2008-08
JD고산1,2008-09-01,S11,0.11,9.03,34.51,18.67,283.0,1010.89,12.89,2008-09
JD고산1,2008-10-01,S11,0.09,9.05,34.49,18.67,338.0,1012.67,12.91,2008-10
JD고산1,2008-11-01,S11,0.0,9.14,34.4,18.68,335.0,1015.25,12.93,2008-11
JD고산1,2008-12-01,S11,-0.46,9.6,33.94,18.68,325.0,1016.93,12.87,2008-12
JD고산1,2009-01-01,S11,-0.63,9.77,33.78,18.67,396.0,1018.21,12.87,2009-01
JD고산1,2009-02-01,S11,-0.51,9.65,33.89,18.67,456.0,1016.73,12.93,2009-02
JD고산1,2009-03-01,S11,-0.42,9.56,33.98,18.68,372.0,1016.31,12.98,2009-03
JD고산1,2009-04-01,S11,-0.36,9.5,34.04,18.68,386.0,1014.7,13.02,2009-04
JD고산1,2009-05-01,S11,-0.16,9.3,34.25,18.67,396.0,1012.97,12.97,2009-05
JD고산1,2009-06-01,S11,0.2,8.94,34.61,18.68,416.0,1011.82,12.95,2009-06
JD고산1,2009-07-01,S11,0.32,8.82,34.73,18.69,336.0,1010.64,12.92,2009-07
JD고산1,2009-08-01,S11,0.33,8.81,34.87,18.64,316.0,1206.41,12.86,2009-08
JD고산1,2009-09-01,S11,-0.2,9.34,34.49,18.57,360.0,1473.59,12.89,2009-09
JD고산1,2009-10-01,S11,0.23,8.91,34.9,18.57,395.0,1479.52,12.91,2009-10
JD고산1,2009-11-01,S11,0.21,8.94,34.88,18.58,374.0,1487.43,12.89,2009-11
JD고산1,2009-12-01,S11,0.13,9.01,34.8,18.59,351.0,1487.4,12.85,2009-12
JD고산1,2010-01-01,S11,0.02,9.12,34.69,18.59,378.0,1490.01,12.85,2010-01
JD고산1,2010-02-01,S11,-0.24,9.38,34.43,18.59,396.0,1484.63,12.88,2010-02
JD고산1,2010-03-01,S11,-0.23,9.37,34.42,18.6,385.0,1483.76,12.92,2010-03
JD고산1,2010-04-01,S11,0.08,9.06,34.71,18.61,347.0,1481.27,12.98,2010-04
JD고산1,2010-05-01,S11,0.13,9.01,34.75,18.63,321.0,1471.78,12.96,2010-05
JD고산1,2010-06-01,S11,0.0,9.14,34.62,18.63,332.0,1468.51,12.91,2010-06
JD고산1,2010-07-01,S11,0.31,8.83,34.93,18.64,313.0,1466.98,12.9,2010-07
JD고산1,2010-08-01,S11,0.38,8.76,35.0,18.65,313.0,1469.72,12.85,2010-08
JD고산1,2010-09-01,S11,0.68,8.46,35.3,18.66,307.0,1473.35,12.87,2010-09
JD고산1,2010-10-01,S11,0.39,8.75,35.01,18.65,310.0,1480.95,12.93,2010-10
JD고산1,2010-11-01,S11,0.09,9.05,34.73,18.66,312.0,1286.69,12.81,2010-11
JD고산1,2010-12-01,S11,-0.16,9.3,34.51,18.66,312.0,1020.5,12.53,2010-12
JD고산1,2011-01-01,S11,-0.33,9.47,34.31,18.67,315.0,1029.07,12.49,2011-01
JD고산1,2011-02-01,S11,-0.65,9.79,33.99,18.66,335.0,1023.44,12.58,2011-02
JD고산1,2011-03-01,S11,-0.75,9.89,33.89,18.65,372.0,1025.31,12.65,2011-03
JD고산1,2011-04-01,S11,-0.71,9.85,33.93,18.65,418.0,1018.12,12.61,2011-04
JD고산1,2011-05-01,S11,-0.63,9.77,34.0,18.65,442.0,1013.55,12.59,2011-05
JD고산1,2011-06-01,S11,-0.42,9.56,34.21,18.65,456.0,1009.95,12.6,2011-06
JD고산1,2011-07-01,S11,0.02,9.12,34.65,18.67,363.0,1008.65,12.53,2011-07
JD고산1,2011-08-01,S11,0.17,8.97,34.8,18.67,375.0,1009.96,12.51,2011-08
JD고산1,2011-09-01,S11,-0.06,9.21,34.57,18.64,520.0,1013.4,12.53,2011-09
JD고산1,2011-10-01,S11,-0.12,9.26,34.51,18.62,729.0,1021.38,12.54,2011-10
JD고산1,2011-11-01,S11,0.34,8.81,34.98,18.66,546.0,1023.92,12.53,2011-11
JD고산1,2011-12-01,S11,0.27,8.87,34.92,18.67,471.0,1028.93,12.43,2011-12
JD고산1,2012-01-01,S11,0.12,9.02,34.77,18.66,502.0,1027.17,12.51,2012-01
JD고산1,2012-02-01,S11,-0.01,9.15,34.7,18.66,579.0,1025.06,12.55,2012-02
JD고산1,2012-03-01,S11,0.28,8.86,35.01,18.66,674.0,1021.91,12.56,2012-03
JD고산1,2012-04-01,S11,0.54,8.6,35.24,18.66,616.0,1016.4,12.55,2012-04
JD고산1,2012-05-01,S11,0.66,8.48,35.34,18.67,523.0,1013.52,12.59,2012-05
JD고산1,2012-06-01,S11,0.56,8.58,35.24,18.67,558.0,1010.15,12.57,2012-06
JD고산1,2012-07-01,S11,0.81,8.33,35.49,18.67,528.0,1008.76,12.49,2012-07
JD고산1,2012-08-01,S11,0.91,8.23,35.59,18.66,566.0,1009.22,12.46,2012-08
JD고산1,2012-09-01,S11,1.26,7.88,35.94,18.69,451.0,1015.78,12.51,2012-09
JD고산1,2012-10-01,S11,0.88,8.26,35.6,18.66,498.0,1020.12,12.53,2012-10
JD고산1,2012-11-01,S11,0.84,8.3,35.69,18.69,425.0,1021.41,12.53,2012-11
JD고산1,2012-12-01,S11,0.62,8.52,35.53,18.7,414.0,1025.1,12.3,2012-12
JD고산1,2013-01-01,S11,0.48,8.66,35.39,18.7,422.0,1022.85,12.42,2013-01
