관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JD무릉2,2007-01-01,S11,9.38,36.49,40.51,15.32,322.0,1025.92,13.11,2007-01
JD무릉2,2007-02-01,S11,8.97,36.9,40.1,15.32,331.0,1020.62,13.17,2007-02
JD무릉2,2007-03-01,S11,8.78,37.09,39.91,15.32,379.0,1018.77,13.19,2007-03
JD무릉2,2007-04-01,S11,7.92,37.95,39.05,15.32,348.0,1017.13,13.26,2007-04
JD무릉2,2007-05-01,S11,8.35,37.52,39.48,15.34,395.0,1010.05,13.29,2007-05
JD무릉2,2007-06-01,S11,7.59,38.28,38.72,15.34,372.0,1008.4,13.3,2007-06
JD무릉2,2007-07-01,S11,11.04,34.83,42.17,15.43,421.0,1004.75,13.28,2007-07
JD무릉2,2007-08-01,S11,10.39,35.48,41.52,15.4,394.0,1008.7,13.32,2007-08
JD무릉2,2007-09-01,S11,9.44,36.43,40.57,15.41,391.0,1010.35,13.26,2007-09
JD무릉2,2007-10-01,S11,8.6,37.27,39.73,15.4,389.0,1018.27,13.25,2007-10
JD무릉2,2007-11-01,S11,9.58,36.29,40.71,15.39,353.0,1022.7,13.21,2007-11
JD무릉2,2007-12-01,S11,9.86,36.01,40.99,15.35,295.0,1021.32,13.12,2007-12
JD무릉2,2008-01-01,S11,10.69,35.18,41.82,15.24,290.0,1023.62,13.1,2008-01
JD무릉2,2008-02-01,S11,9.81,36.06,40.94,15.19,243.0,1024.05,13.2,2008-02
JD무릉2,2008-03-01,S11,9.66,36.21,40.79,15.2,231.0,1017.68,13.26,2008-03
JD무릉2,2008-04-01,S11,9.65,36.22,40.78,15.21,218.0,1014.49,13.31,2008-04
JD무릉2,2008-05-01,S11,7.46,38.41,38.59,15.14,226.0,1009.38,13.33,2008-05
JD무릉2,2008-06-01,S11,10.11,35.76,41.24,15.11,274.0,1007.16,13.29,2008-06
JD무릉2,2008-07-01,S11,11.29,34.58,42.69,15.09,432.0,1006.83,13.35,2008-07
JD무릉2,2008-08-01,S11,9.47,36.4,40.9,14.89,478.0,1006.49,13.33,2008-08
JD무릉2,2008-09-01,S11,6.83,39.04,38.26,14.78,495.0,1010.97,13.29,2008-09
JD무릉2,2008-10-01,S11,5.8,40.07,37.23,14.76,502.0,1017.45,13.25,2008-10
JD무릉2,2008-11-01,S11,8.38,37.49,39.81,14.75,497.0,1020.79,13.17,2008-11
JD무릉2,2008-12-01,S11,7.94,37.93,39.37,14.74,471.0,1022.46,13.13,2008-12
JD무릉2,2009-01-01,S11,7.07,38.8,38.5,14.67,345.0,1023.85,13.15,2009-01
JD무릉2,2009-02-01,S11,7.25,38.62,38.64,14.69,355.0,1018.47,13.2,2009-02
JD무릉2,2009-03-01,S11,8.32,37.55,39.63,14.81,446.0,1018.47,13.28,2009-03
JD무릉2,2009-04-01,S11,6.61,39.26,37.92,14.76,398.0,1015.89,13.33,2009-04
JD무릉2,2009-05-01,S11,5.63,40.24,36.75,15.37,346.0,1015.47,13.35,2009-05
JD무릉2,2009-06-01,S11,6.92,38.95,38.0,15.51,361.0,1009.33,13.35,2009-06
JD무릉2,2009-07-01,S11,9.46,36.41,40.54,15.58,388.0,1009.52,13.34,2009-07
JD무릉2,2009-08-01,S11,8.2,37.67,39.28,15.58,386.0,1011.4,13.33,2009-08
JD무릉2,2009-09-01,S11,4.0,41.88,35.09,15.56,396.0,1015.94,13.31,2009-09
JD무릉2,2009-10-01,S11,4.82,41.05,35.92,15.59,439.0,1019.88,13.29,2009-10
JD무릉2,2009-11-01,S11,7.72,38.15,38.82,15.6,445.0,1025.22,13.18,2009-11
JD무릉2,2009-12-01,S11,8.03,37.84,39.13,15.57,396.0,1025.05,13.16,2009-12
