관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JD상모1,2007-01-01,S11,2.56,15.29,42.1,15.89,141.0,1028.64,12.96,2007-01
JD상모1,2007-02-01,S11,2.32,15.53,41.86,15.9,143.0,1023.32,13.03,2007-02
JD상모1,2007-03-01,S11,2.35,15.5,41.89,15.9,144.0,1021.55,13.03,2007-03
JD상모1,2007-04-01,S11,2.15,15.71,41.69,15.91,144.0,1019.89,13.09,2007-04
JD상모1,2007-05-01,S11,2.22,15.63,41.76,15.92,143.0,1012.81,13.11,2007-05
JD상모1,2007-06-01,S11,2.17,15.68,41.71,15.92,139.0,1010.97,13.11,2007-06
JD상모1,2007-07-01,S11,3.71,14.14,43.25,15.36,195.0,1007.39,13.09,2007-07
JD상모1,2007-08-01,S11,3.08,14.77,42.62,15.9,147.0,1011.29,13.12,2007-08
JD상모1,2007-09-01,S11,3.56,14.29,43.1,15.58,194.0,1012.91,13.05,2007-09
JD상모1,2007-10-01,S11,3.49,14.36,42.95,15.26,155.0,1019.85,13.06,2007-10
JD상모1,2007-11-01,S11,3.54,14.31,42.97,15.25,129.0,1023.55,13.04,2007-11
JD상모1,2007-12-01,S11,3.13,14.72,42.56,15.4,113.0,1022.19,12.97,2007-12
JD상모1,2008-01-01,S11,2.98,14.87,42.41,15.42,113.0,1024.37,12.94,2008-01
JD상모1,2008-02-01,S11,2.67,15.18,42.1,15.42,113.0,1025.01,13.04,2008-02
JD상모1,2008-03-01,S11,2.56,15.29,41.99,15.42,113.0,1018.73,13.08,2008-03
JD상모1,2008-04-01,S11,2.52,15.33,41.95,15.42,113.0,1015.49,13.11,2008-04
JD상모1,2008-05-01,S11,2.31,15.54,41.74,15.42,113.0,1010.18,13.13,2008-05
JD상모1,2008-06-01,S11,3.04,14.81,42.47,15.1,131.0,1007.77,13.08,2008-06
JD상모1,2008-07-01,S11,3.22,14.63,42.65,15.18,129.0,1007.43,13.15,2008-07
JD상모1,2008-08-01,S11,2.8,15.05,42.23,15.44,113.0,1006.8,13.12,2008-08
JD상모1,2008-09-01,S11,2.58,15.27,42.01,15.45,113.0,1011.08,13.1,2008-09
JD상모1,2008-10-01,S11,2.33,15.52,41.76,15.45,113.0,1017.48,13.07,2008-10
JD상모1,2008-11-01,S11,2.19,15.66,41.62,15.47,113.0,1020.85,13.0,2008-11
JD상모1,2008-12-01,S11,1.95,15.9,41.38,15.47,113.0,1022.53,12.97,2008-12
JD상모1,2009-01-01,S11,1.68,16.17,41.11,15.48,114.0,1023.9,12.97,2009-01
JD상모1,2009-02-01,S11,1.84,16.01,41.18,15.48,114.0,1018.46,13.01,2009-02
JD상모1,2009-03-01,S11,2.19,15.66,41.4,15.5,114.0,1018.43,13.08,2009-03
JD상모1,2009-04-01,S11,2.04,15.81,41.25,15.5,114.0,1015.68,13.12,2009-04
JD상모1,2009-05-01,S11,2.11,15.74,41.3,15.52,113.0,1011.97,13.15,2009-05
JD상모1,2009-06-01,S11,2.21,15.64,41.4,15.53,113.0,1005.29,13.14,2009-06
JD상모1,2009-07-01,S11,2.91,14.94,42.09,15.5,114.0,1005.55,13.13,2009-07
JD상모1,2009-08-01,S11,2.77,15.08,41.95,15.53,113.0,1007.5,13.13,2009-08
JD상모1,2009-09-01,S11,2.34,15.51,41.52,15.53,113.0,1011.97,13.11,2009-09
JD상모1,2009-10-01,S11,2.38,15.47,41.56,15.54,113.0,1016.13,13.1,2009-10
JD상모1,2009-11-01,S11,2.41,15.44,41.59,15.55,113.0,1021.47,13.01,2009-11
JD상모1,2009-12-01,S11,2.12,15.73,41.3,15.56,113.0,1021.34,12.97,2009-12
JD상모1,2010-01-01,S11,1.82,16.03,41.0,15.58,113.0,1023.13,12.96,2010-01
JD상모1,2010-02-01,S11,1.9,15.95,41.07,15.58,113.0,1019.37,13.01,2010-02
JD상모1,2010-03-01,S11,2.07,15.78,41.22,15.59,115.0,1018.53,13.07,2010-03
JD상모1,2010-04-01,S11,2.49,15.36,41.62,15.6,115.0,1017.04,13.11,2010-04
JD상모1,2010-05-01,S11,2.32,15.53,41.45,15.61,114.0,1010.74,13.16,2010-05
JD상모1,2010-06-01,S11,2.35,15.5,41.48,15.57,116.0,1008.49,13.13,2010-06
JD상모1,2010-07-01,S11,3.5,14.35,42.63,15.39,128.0,1007.48,13.17,2010-07
JD상모1,2010-08-01,S11,3.64,14.21,42.77,15.46,124.0,1009.5,13.17,2010-08
JD상모1,2010-09-01,S11,5.07,12.79,44.2,14.89,187.0,1011.64,13.17,2010-09
JD상모1,2010-10-01,S11,4.02,13.83,43.15,15.41,126.0,1016.81,13.12,2010-10
JD상모1,2010-11-01,S11,3.88,13.97,43.01,15.55,114.0,1020.51,13.08,2010-11
JD상모1,2010-12-01,S11,3.58,14.27,42.71,15.63,111.0,1016.79,13.01,2010-12
JD상모1,2011-01-01,S11,3.21,14.64,42.34,15.65,111.0,1025.1,13.01,2011-01
JD상모1,2011-02-01,S11,2.92,14.93,42.05,15.65,111.0,1019.57,13.06,2011-02
JD상모1,2011-03-01,S11,2.63,15.22,41.76,15.66,111.0,1021.33,13.12,2011-03
JD상모1,2011-04-01,S11,2.53,15.32,41.66,15.66,111.0,1014.53,13.14,2011-04
JD상모1,2011-05-01,S11,2.46,15.39,41.61,15.66,111.0,1010.1,13.15,2011-05
JD상모1,2011-06-01,S11,3.02,14.83,42.21,15.4,130.0,1005.9,13.14,2011-06
JD상모1,2011-07-01,S11,3.36,14.49,42.55,15.5,118.0,1004.93,13.22,2011-07
JD상모1,2011-08-01,S11,3.15,14.7,42.33,15.74,100.0,1005.76,13.2,2011-08
JD상모1,2011-09-01,S11,2.88,14.97,42.06,15.64,102.0,1009.56,13.22,2011-09
JD상모1,2011-10-01,S11,2.69,15.16,41.87,15.47,110.0,1017.71,13.2,2011-10
JD상모1,2011-11-01,S11,3.29,14.56,42.47,15.62,106.0,1019.92,13.15,2011-11
JD상모1,2011-12-01,S11,,,,,,,13.06,2011-12
JD상모1,2012-01-01,S11,2.51,15.34,41.69,15.74,100.0,1022.42,13.09,2012-01
JD상모1,2012-02-01,S11,2.32,15.53,41.5,15.73,100.0,1020.59,13.1,2012-02
JD상모1,2012-03-01,S11,2.45,15.4,41.6,15.73,100.0,1018.25,13.14,2012-03
JD상모1,2012-04-01,S11,3.05,14.81,42.2,15.41,116.0,1012.15,13.19,2012-04
JD상모1,2012-05-01,S11,3.24,14.61,42.39,15.58,107.0,1009.24,13.26,2012-05
JD상모1,2012-06-01,S11,2.85,15.0,42.0,15.73,100.0,1004.99,13.26,2012-06
