관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JD수산4,2007-01-01,S11,2.13,174.48,65.14,15.72,128,1031.67,13.06,2007-01
JD수산4,2007-02-01,S11,2.01,174.6,65.02,15.74,128,1026.8,13.19,2007-02
JD수산4,2007-03-01,S11,2.05,174.57,65.19,15.76,129,1021.36,13.22,2007-03
JD수산4,2007-04-01,S11,2.02,174.59,65.29,15.75,127,1023.13,13.3,2007-04
JD수산4,2007-05-01,S11,1.99,174.62,65.26,15.78,127,1016.22,13.3,2007-05
JD수산4,2007-06-01,S11,2.0,174.61,65.27,15.77,127,1015.38,13.15,2007-06
JD수산4,2007-07-01,S11,2.84,173.77,66.11,15.63,131,1011.76,13.17,2007-07
JD수산4,2007-08-01,S11,3.23,173.38,66.5,15.67,131,1018.13,13.25,2007-08
JD수산4,2007-09-01,S11,4.33,172.28,25.8,15.39,130,1019.63,13.15,2007-09
JD수산4,2007-10-01,S11,3.15,173.46,24.62,15.42,128,1024.9,13.35,2007-10
JD수산4,2007-11-01,S11,2.5,174.12,24.01,15.45,128,1018.61,13.25,2007-11
JD수산4,2007-12-01,S11,2.41,174.2,24.0,15.49,129,1000.8,12.98,2007-12
JD수산4,2008-01-01,S11,2.31,174.3,23.9,15.58,131,1002.91,13.01,2008-01
JD수산4,2008-02-01,S11,2.31,174.3,23.89,15.57,132,1003.56,13.13,2008-02
JD수산4,2008-03-01,S11,2.22,174.39,23.77,15.5,133,997.77,13.18,2008-03
JD수산4,2008-04-01,S11,2.27,174.34,23.89,15.5,134,994.93,13.21,2008-04
JD수산4,2008-05-01,S11,2.29,174.32,23.91,15.53,133,990.03,13.22,2008-05
JD수산4,2008-06-01,S11,2.38,174.23,24.0,15.61,136,988.5,13.14,2008-06
JD수산4,2008-07-01,S11,2.66,173.95,24.28,15.5,133,988.01,13.3,2008-07
JD수산4,2008-08-01,S11,2.4,174.21,24.02,15.5,131,987.78,13.24,2008-08
JD수산4,2008-09-01,S11,2.93,173.68,66.69,15.56,126,992.11,13.15,2008-09
JD수산4,2008-10-01,S11,2.54,174.07,66.11,15.2,126,997.8,13.17,2008-10
