관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JD신도2,2011-12-01,S11,,,,,,,,2011-12
JD신도2,2012-01-01,S11,,,,,,,,2012-01
JD신도2,2012-02-01,S11,,,,,,,,2012-02
JD신도2,2012-03-01,S11,,,,,,,,2012-03
JD신도2,2012-04-01,S11,,,,,,,,2012-04
JD신도2,2012-05-01,S11,,,,,,,,2012-05
JD신도2,2012-06-01,S11,,,,,,,,2012-06
JD신도2,2012-07-01,S11,,,,,,,,2012-07
JD신도2,2012-08-01,S11,,,,,,,,2012-08
JD신도2,2012-09-01,S11,,,,,,,,2012-09
JD신도2,2012-10-01,S11,,,,,,,,2012-10
JD신도2,2012-11-01,S11,,,,,,,,2012-11
JD신도2,2012-12-01,S11,1.47,31.77,68.89,17.21,466.0,1029.24,12.76,2012-12
JD신도2,2013-01-01,S11,1.39,31.85,68.81,17.47,472.0,1031.51,12.94,2013-01
JD신도2,2013-02-01,S11,1.29,31.95,68.73,17.6,464.0,1029.98,12.93,2013-02
JD신도2,2013-03-01,S11,1.11,32.13,68.68,17.88,456.0,1024.34,13.04,2013-03
JD신도2,2013-04-01,S11,0.87,32.37,68.44,18.46,480.0,1020.69,13.03,2013-04
JD신도2,2013-05-01,S11,1.03,32.21,68.6,19.8,418.0,1018.34,13.02,2013-05
JD신도2,2013-06-01,S11,1.41,31.83,69.07,19.96,410.0,1013.98,13.0,2013-06
JD신도2,2013-07-01,S11,1.18,32.06,69.04,18.82,499.0,1014.16,12.97,2013-07
JD신도2,2013-08-01,S11,0.71,32.53,68.57,18.09,562.0,1014.14,12.94,2013-08
JD신도2,2013-09-01,S11,-0.12,33.36,67.74,17.18,593.0,1020.19,12.93,2013-09
JD신도2,2013-10-01,S11,0.28,32.96,68.14,17.4,682.0,1024.56,12.99,2013-10
JD신도2,2013-11-01,S11,0.63,32.61,68.49,18.07,677.0,1027.52,13.01,2013-11
JD신도2,2013-12-01,S11,0.66,32.58,68.52,18.91,585.0,1028.76,12.94,2013-12
JD신도2,2014-01-01,S11,0.44,32.8,68.5,19.79,466.0,1031.12,12.97,2014-01
JD신도2,2014-02-01,S11,0.3,32.94,68.55,20.51,401.0,1029.15,12.94,2014-02
JD신도2,2014-03-01,S11,0.4,32.84,68.53,20.54,374.0,1024.86,12.84,2014-03
JD신도2,2014-04-01,S11,0.62,32.62,68.87,20.56,349.0,1024.21,12.97,2014-04
JD신도2,2014-05-01,S11,1.13,32.11,69.38,19.45,412.0,1019.86,12.94,2014-05
JD신도2,2014-06-01,S11,1.31,31.93,69.56,18.96,501.0,1013.99,13.01,2014-06
JD신도2,2014-07-01,S11,2.18,31.06,70.43,17.73,506.0,1015.1,12.95,2014-07
JD신도2,2014-08-01,S11,2.28,30.97,70.52,17.52,505.0,1015.25,12.91,2014-08
JD신도2,2014-09-01,S11,1.65,31.59,69.89,17.2,505.0,1019.94,12.91,2014-09
JD신도2,2014-10-01,S11,1.31,31.93,69.55,17.26,537.0,1025.87,12.89,2014-10
JD신도2,2014-11-01,S11,0.93,32.31,69.28,18.17,516.0,1028.85,12.91,2014-11
JD신도2,2014-12-01,S11,0.92,32.32,69.29,19.19,503.0,1030.77,12.88,2014-12
JD신도2,2015-01-01,S11,0.74,32.5,69.11,19.68,439.0,1030.91,12.86,2015-01
JD신도2,2015-02-01,S11,0.73,32.51,69.1,20.01,395.0,1029.97,12.88,2015-02
JD신도2,2015-03-01,S11,0.84,32.4,69.21,19.64,393.0,1029.08,12.94,2015-03
JD신도2,2015-04-01,S11,1.23,32.01,69.6,19.81,375.0,1023.23,12.93,2015-04
JD신도2,2015-05-01,S11,2.05,31.19,70.43,18.11,410.0,1018.01,12.92,2015-05
JD신도2,2015-06-01,S11,1.87,31.37,70.27,18.82,414.0,1014.56,12.93,2015-06
JD신도2,2015-07-01,S11,2.9,30.34,71.3,17.31,449.0,1014.25,12.91,2015-07
JD신도2,2015-08-01,S11,1.78,31.46,70.18,17.45,443.0,1015.68,12.9,2015-08
JD신도2,2015-09-01,S11,1.33,31.91,69.73,17.23,476.0,1020.27,12.84,2015-09
JD신도2,2015-10-01,S11,1.25,31.99,69.65,17.23,521.0,1026.25,12.86,2015-10
JD신도2,2015-11-01,S11,1.37,31.87,69.77,18.43,525.0,1029.21,12.74,2015-11
JD신도2,2015-12-01,S11,1.42,31.82,69.82,18.13,462.0,1031.83,12.72,2015-12
JD신도2,2016-01-01,S11,1.03,32.21,69.43,18.74,465.0,1031.33,12.62,2016-01
JD신도2,2016-02-01,S11,1.18,32.06,68.02,18.04,440.0,1031.7,12.83,2016-02
JD신도2,2016-03-01,S11,1.23,32.01,61.18,18.39,426.0,1027.26,12.92,2016-03
JD신도2,2016-04-01,S11,1.31,31.93,61.26,18.83,421.0,1019.45,12.89,2016-04
JD신도2,2016-05-01,S11,1.52,31.72,61.47,18.41,424.0,1018.2,12.92,2016-05
JD신도2,2016-06-01,S11,1.65,31.59,61.6,18.75,404.0,1013.89,12.91,2016-06
JD신도2,2016-07-01,S11,2.37,30.87,62.32,17.54,437.0,1014.04,12.85,2016-07
JD신도2,2016-08-01,S11,1.38,31.86,61.33,17.88,453.0,1011.45,12.82,2016-08
JD신도2,2016-09-01,S11,0.8,32.45,60.74,17.22,496.0,1017.12,12.82,2016-09
JD신도2,2016-10-01,S11,1.63,31.61,61.55,17.32,525.0,1022.66,12.8,2016-10
JD신도2,2016-11-01,S11,1.2,32.04,61.12,17.94,502.0,1027.39,12.76,2016-11
JD신도2,2016-12-01,S11,0.94,32.3,60.86,18.54,491.0,1029.64,12.71,2016-12
JD신도2,2017-01-01,S11,0.86,32.38,60.78,18.9,452.0,1030.16,12.76,2017-01
JD신도2,2017-02-01,S11,0.59,32.65,60.51,18.65,448.0,1028.91,12.83,2017-02
JD신도2,2017-03-01,S11,0.31,32.93,60.28,18.53,439.0,1025.01,12.88,2017-03
JD신도2,2017-04-01,S11,0.46,32.78,60.55,19.61,361.0,1019.25,12.84,2017-04
JD신도2,2017-05-01,S11,0.09,33.15,60.18,18.96,389.0,1018.55,12.88,2017-05
JD신도2,2017-06-01,S11,0.13,33.11,60.22,19.89,347.0,1013.99,12.9,2017-06
JD신도2,2017-07-01,S11,0.23,33.01,60.32,19.7,347.0,1013.6,12.89,2017-07
JD신도2,2017-08-01,S11,0.24,33.0,60.33,18.69,383.0,1011.95,12.82,2017-08
JD신도2,2017-09-01,S11,-0.12,33.36,59.97,17.63,492.0,1016.75,12.79,2017-09
JD신도2,2017-10-01,S11,0.5,32.74,60.59,17.69,570.0,1023.47,12.75,2017-10
JD신도2,2017-11-01,S11,-0.29,33.53,59.8,17.11,530.0,1027.57,12.79,2017-11
JD신도2,2017-12-01,S11,-0.37,33.61,59.72,18.48,514.0,1030.65,12.72,2017-12
JD신도2,2018-01-01,S11,-0.29,33.53,59.8,19.4,486.0,1028.37,12.67,2018-01
JD신도2,2018-02-01,S11,-0.62,33.86,59.47,19.41,448.0,1028.13,12.79,2018-02
JD신도2,2018-03-01,S11,0.05,33.19,60.14,17.92,495.0,1024.04,12.76,2018-03
JD신도2,2018-04-01,S11,0.18,33.06,60.27,17.46,501.0,1021.0,12.79,2018-04
JD신도2,2018-05-01,S11,1.14,32.1,61.24,17.81,416.0,1020.41,12.83,2018-05
JD신도2,2018-06-01,S11,0.66,32.58,60.75,18.61,436.0,1041.12,12.84,2018-06
JD신도2,2018-07-01,S11,0.95,32.29,60.24,17.91,435.0,1016.43,12.76,2018-07
JD신도2,2018-08-01,S11,0.67,32.57,59.85,17.71,481.0,1014.5,12.77,2018-08
JD신도2,2018-09-01,S11,0.74,32.5,59.92,17.68,497.0,1020.66,12.8,2018-09
JD신도2,2018-10-01,S11,0.5,32.74,59.68,17.39,575.0,1027.0,12.78,2018-10
JD신도2,2018-11-01,S11,0.41,32.83,59.59,18.19,582.0,1031.25,12.73,2018-11
JD신도2,2018-12-01,S11,0.36,32.88,59.54,19.21,555.0,1033.86,12.57,2018-12
JD신도2,2019-01-01,S11,-0.09,33.33,59.09,19.17,491.0,1034.43,12.68,2019-01
JD신도2,2019-02-01,S11,-0.17,33.41,59.0,19.42,460.0,1031.91,12.68,2019-02
JD신도2,2019-03-01,S11,-0.34,33.58,58.83,19.16,441.0,1026.89,12.79,2019-03
JD신도2,2019-04-01,S11,-0.91,34.15,58.29,18.7,458.0,1023.78,12.81,2019-04
JD신도2,2019-05-01,S11,-0.83,34.07,58.38,18.61,510.0,1021.47,12.83,2019-05
JD신도2,2019-06-01,S11,0.02,33.22,59.23,19.19,478.0,1016.13,12.86,2019-06
JD신도2,2019-07-01,S11,0.82,32.42,60.03,18.54,482.0,1015.09,12.8,2019-07
JD신도2,2019-08-01,S11,0.79,32.45,60.0,17.93,499.0,1016.29,12.73,2019-08
JD신도2,2019-09-01,S11,2.6,30.64,61.81,17.61,561.0,1021.25,12.72,2019-09
JD신도2,2019-10-01,S11,1.84,31.4,61.07,17.51,580.0,1026.5,12.74,2019-10
JD신도2,2019-11-01,S11,0.76,32.48,60.02,17.42,519.0,1030.75,12.68,2019-11
JD신도2,2019-12-01,S11,0.72,32.52,59.98,17.75,483.0,1033.55,12.52,2019-12
JD신도2,2020-01-01,S11,0.68,32.56,59.94,18.02,474.0,1031.19,12.5,2020-01
JD신도2,2020-02-01,S11,0.43,32.81,59.69,17.62,479.0,1033.26,12.66,2020-02
JD신도2,2020-03-01,S11,0.35,32.89,59.61,17.71,471.0,1027.09,12.68,2020-03
JD신도2,2020-04-01,S11,0.06,33.18,49.31,17.81,473.0,1026.72,12.94,2020-04
JD신도2,2020-05-01,S11,0.21,33.03,30.42,17.8,483.0,1017.23,13.08,2020-05
JD신도2,2020-06-01,S11,0.84,32.4,31.03,17.86,494.0,1012.97,13.05,2020-06
JD신도2,2020-07-01,S11,2.16,31.08,32.33,17.53,502.0,1013.21,13.03,2020-07
JD신도2,2020-08-01,S11,1.34,31.9,31.51,17.49,492.0,1015.31,13.02,2020-08
JD신도2,2020-09-01,S11,2.16,31.08,32.33,17.48,573.0,1017.26,13.0,2020-09
JD신도2,2020-10-01,S11,0.63,32.61,30.8,17.36,601.0,1025.67,12.99,2020-10
JD신도2,2020-11-01,S11,0.7,32.54,30.87,17.42,569.0,1030.36,12.94,2020-11
JD신도2,2020-12-01,S11,0.37,32.87,30.54,17.44,508.0,1031.92,12.5,2020-12
JD신도2,2021-01-01,S11,0.42,32.82,30.59,17.83,494.0,1029.98,12.12,2021-01
JD신도2,2021-02-01,S11,0.37,32.87,30.54,18.18,515.0,1027.27,11.92,2021-02
JD신도2,2021-03-01,S11,0.36,32.88,30.58,18.31,513.0,1025.34,12.39,2021-03
JD신도2,2021-04-01,S11,0.66,32.58,30.87,18.07,502.0,1024.24,11.94,2021-04
JD신도2,2021-05-01,S11,0.7,32.54,30.91,17.73,493.0,1016.47,13.06,2021-05
JD신도2,2021-06-01,S11,1.03,32.21,31.24,17.93,476.0,1013.94,13.08,2021-06
JD신도2,2021-07-01,S11,1.14,32.1,31.35,18.04,486.0,1014.21,13.05,2021-07
JD신도2,2021-08-01,S11,1.1,32.14,31.31,17.65,481.0,1014.48,13.02,2021-08
JD신도2,2021-09-01,S11,1.59,31.65,31.8,17.62,492.0,1018.1,12.98,2021-09
JD신도2,2021-10-01,S11,0.45,32.79,30.67,17.43,592.0,1026.45,12.97,2021-10
JD신도2,2021-11-01,S11,0.46,32.78,30.69,17.5,553.0,1026.79,12.9,2021-11
JD신도2,2021-12-01,S11,0.35,32.89,30.58,17.71,516.0,1031.28,12.96,2021-12
JD신도2,2022-01-01,S11,0.18,33.06,30.35,18.23,542.0,1029.51,13.11,2022-01
JD신도2,2022-02-01,S11,-0.21,33.45,29.88,17.88,538.0,1030.21,13.14,2022-02
JD신도2,2022-03-01,S11,-0.46,33.7,29.65,17.96,541.0,1022.14,13.18,2022-03
JD신도2,2022-04-01,S11,-0.31,33.55,29.88,17.81,587.0,1021.67,13.23,2022-04
JD신도2,2022-05-01,S11,-0.31,33.55,29.88,17.58,604.0,1017.95,13.29,2022-05
JD신도2,2022-06-01,S11,-0.2,33.44,30.0,17.75,622.0,1012.42,13.28,2022-06
JD신도2,2022-07-01,S11,0.27,32.97,30.46,17.62,601.0,1010.77,13.28,2022-07
JD신도2,2022-08-01,S11,0.72,32.52,30.91,17.54,585.0,1012.95,13.26,2022-08
JD신도2,2022-09-01,S11,1.31,31.93,31.5,17.52,681.0,1015.63,13.23,2022-09
JD신도2,2022-10-01,S11,-0.48,33.72,29.71,17.34,704.0,1025.9,13.2,2022-10
JD신도2,2022-11-01,S11,-0.54,33.78,29.68,17.51,691.0,1025.35,13.17,2022-11
JD신도2,2022-12-01,S11,-0.22,33.46,30.01,17.94,654.0,1029.47,13.13,2022-12
JD신도2,2023-01-01,S11,-0.38,33.62,29.85,18.17,635.0,1029.58,13.13,2023-01
JD신도2,2023-02-01,S11,-0.34,33.58,29.89,18.45,621.0,1029.98,13.16,2023-02
JD신도2,2023-03-01,S11,-0.6,33.84,29.63,18.15,589.0,1025.99,13.21,2023-03
JD신도2,2023-04-01,S11,-0.15,33.39,30.08,18.15,608.0,1020.79,13.23,2023-04
JD신도2,2023-05-01,S11,1.13,32.11,31.36,17.8,566.0,1018.82,13.26,2023-05
JD신도2,2023-06-01,S11,1.57,31.67,31.79,17.79,535.0,1013.96,13.28,2023-06
JD신도2,2023-07-01,S11,2.09,31.15,32.27,17.68,554.0,1014.44,13.27,2023-07
JD신도2,2023-08-01,S11,1.47,31.77,31.65,17.59,580.0,1011.02,13.25,2023-08
JD신도2,2023-09-01,S11,1.36,31.88,31.54,17.53,618.0,1018.17,13.23,2023-09
JD신도2,2023-10-01,S11,0.03,33.21,30.21,17.35,682.0,1024.9,13.2,2023-10
