관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JD일과,2007-11-01,S11,4.69,10.71,71.73,15.52,234.0,1018.33,13.02,2007-11
JD일과,2007-12-01,S11,4.57,10.83,71.66,15.41,176.0,1018.82,12.96,2007-12
JD일과,2008-01-01,S11,4.54,10.86,71.62,15.37,199.0,1020.04,12.89,2008-01
JD일과,2008-02-01,S11,4.22,11.18,71.3,15.21,140.0,1020.4,13.07,2008-02
JD일과,2008-03-01,S11,4.13,11.27,71.21,15.18,139.0,1018.33,13.08,2008-03
JD일과,2008-04-01,S11,4.11,11.29,71.19,15.19,134.0,1016.94,13.08,2008-04
JD일과,2008-05-01,S11,3.78,11.63,70.88,15.19,151.0,1016.39,13.05,2008-05
JD일과,2008-06-01,S11,4.56,10.84,71.73,15.61,290.0,1015.9,13.05,2008-06
JD일과,2008-07-01,S11,4.78,10.62,71.95,15.66,317.0,1014.24,12.98,2008-07
JD일과,2008-08-01,S11,4.25,11.15,71.42,15.33,232.0,1014.96,12.96,2008-08
JD일과,2008-09-01,S11,3.85,11.55,71.02,15.04,185.0,1016.64,12.97,2008-09
JD일과,2008-10-01,S11,3.57,11.83,70.74,14.96,170.0,1019.1,12.97,2008-10
JD일과,2008-11-01,S11,3.68,11.72,70.85,15.17,170.0,1021.86,12.95,2008-11
JD일과,2008-12-01,S11,3.46,11.94,70.63,15.19,163.0,1023.56,12.88,2008-12
JD일과,2009-01-01,S11,3.23,12.17,70.4,15.19,158.0,1024.72,12.89,2009-01
JD일과,2009-02-01,S11,3.31,12.09,70.48,15.32,196.0,1023.17,12.99,2009-02
JD일과,2009-03-01,S11,3.58,11.82,70.75,15.51,333.0,1022.73,13.05,2009-03
JD일과,2009-04-01,S11,3.36,12.04,70.53,15.39,252.0,1020.86,13.06,2009-04
JD일과,2009-05-01,S11,3.28,12.12,70.5,15.28,311.0,1018.94,13.03,2009-05
JD일과,2009-06-01,S11,3.33,12.07,70.8,15.32,211.0,1297.04,13.01,2009-06
JD일과,2009-07-01,S11,4.24,11.16,71.71,15.93,261.0,1472.67,12.99,2009-07
JD일과,2009-08-01,S11,3.88,11.52,71.35,15.62,263.0,1475.45,12.91,2009-08
JD일과,2009-09-01,S11,3.21,12.19,70.68,15.1,162.0,1482.06,12.92,2009-09
JD일과,2009-10-01,S11,3.37,12.03,70.84,15.33,288.0,1488.06,12.96,2009-10
JD일과,2009-11-01,S11,3.62,11.78,71.09,15.67,329.0,1496.14,12.92,2009-11
JD일과,2009-12-01,S11,3.4,12.0,70.87,15.4,178.0,1495.99,12.88,2009-12
