관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JD판포1,2007-11-01,S11,2.24,12.7,74.66,16.88,325.0,1015.08,12.98,2007-11
JD판포1,2007-12-01,S11,2.16,12.78,74.61,16.88,324.0,1015.66,12.89,2007-12
JD판포1,2008-01-01,S11,2.61,12.33,75.06,16.97,322.0,1017.02,12.81,2008-01
JD판포1,2008-02-01,S11,2.74,12.2,75.19,17.12,282.0,1017.47,13.01,2008-02
JD판포1,2008-03-01,S11,3.49,11.45,75.94,17.43,243.0,1014.88,13.01,2008-03
JD판포1,2008-04-01,S11,3.69,11.25,76.14,17.68,227.0,1012.72,12.98,2008-04
JD판포1,2008-05-01,S11,3.31,11.63,75.76,17.56,215.0,1011.27,12.98,2008-05
JD판포1,2008-06-01,S11,3.81,11.13,76.31,17.66,209.0,1010.01,12.95,2008-06
JD판포1,2008-07-01,S11,4.45,10.49,76.97,17.8,207.0,1006.99,12.89,2008-07
JD판포1,2008-08-01,S11,3.86,11.08,76.38,17.77,200.0,1007.71,12.9,2008-08
JD판포1,2008-09-01,S11,3.32,11.62,75.84,17.59,207.0,1009.28,12.88,2008-09
JD판포1,2008-10-01,S11,2.88,12.06,75.4,17.33,274.0,1011.74,12.91,2008-10
JD판포1,2008-11-01,S11,3.31,11.63,75.83,17.49,224.0,1014.71,12.9,2008-11
JD판포1,2008-12-01,S11,3.27,11.67,75.79,17.57,214.0,1016.71,12.86,2008-12
JD판포1,2009-01-01,S11,2.95,11.99,75.47,17.54,211.0,1017.93,12.84,2009-01
JD판포1,2009-02-01,S11,2.93,12.01,75.45,17.56,209.0,1016.4,12.91,2009-02
JD판포1,2009-03-01,S11,3.07,11.87,75.59,17.58,212.0,1015.91,12.99,2009-03
JD판포1,2009-04-01,S11,2.88,12.06,75.4,17.5,224.0,1014.0,13.01,2009-04
JD판포1,2009-05-01,S11,2.82,12.12,75.4,17.45,257.0,1011.67,12.96,2009-05
JD판포1,2009-06-01,S11,2.91,12.03,75.52,17.46,235.0,1009.62,12.93,2009-06
JD판포1,2009-07-01,S11,3.28,11.66,75.89,17.62,221.0,1008.06,12.92,2009-07
JD판포1,2009-08-01,S11,3.37,11.57,75.98,17.59,224.0,1007.8,12.88,2009-08
JD판포1,2009-09-01,S11,2.87,12.07,75.48,17.38,303.0,1009.47,12.91,2009-09
JD판포1,2009-10-01,S11,2.85,12.09,75.47,17.33,316.0,1011.42,12.93,2009-10
JD판포1,2009-11-01,S11,2.83,12.11,75.45,17.24,352.0,1014.64,12.89,2009-11
JD판포1,2009-12-01,S11,3.12,11.82,75.74,17.51,258.0,1016.81,12.84,2009-12
JD판포1,2010-01-01,S11,2.92,12.02,75.54,17.55,242.0,1017.63,12.87,2010-01
JD판포1,2010-02-01,S11,3.03,11.91,75.65,17.57,237.0,1016.74,12.9,2010-02
JD판포1,2010-03-01,S11,3.03,11.91,75.65,17.6,227.0,1015.9,12.93,2010-03
JD판포1,2010-04-01,S11,3.18,11.76,75.79,17.7,220.0,1014.53,12.99,2010-04
JD판포1,2010-05-01,S11,3.42,11.52,75.92,17.63,212.0,1123.18,12.98,2010-05
JD판포1,2010-06-01,S11,3.3,11.64,75.46,17.62,189.0,1475.28,12.93,2010-06
JD판포1,2010-07-01,S11,4.26,10.68,76.42,17.74,192.0,1473.69,12.9,2010-07
JD판포1,2010-08-01,S11,4.4,10.54,76.56,17.76,189.0,1476.62,12.87,2010-08
JD판포1,2010-09-01,S11,4.83,10.11,76.99,17.76,177.0,1480.12,12.9,2010-09
JD판포1,2010-10-01,S11,4.03,10.91,76.25,17.58,182.0,1488.0,12.94,2010-10
JD판포1,2010-11-01,S11,3.31,11.63,75.52,17.31,234.0,1493.36,13.0,2010-11
