관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JD하모1,2007-11-01,S11,0.51,6.98,26.5,18.34,29275.0,1018.5,12.97,2007-11
JD하모1,2007-12-01,S11,0.51,6.98,26.46,18.23,31872.0,1018.85,12.93,2007-12
JD하모1,2008-01-01,S11,0.44,7.05,26.38,18.23,33337.0,1020.13,12.89,2008-01
JD하모1,2008-02-01,S11,0.4,7.09,26.34,18.16,33621.0,1020.27,13.03,2008-02
JD하모1,2008-03-01,S11,0.48,7.01,26.42,18.1,34801.0,1018.15,13.0,2008-03
JD하모1,2008-04-01,S11,0.54,6.95,26.48,18.09,34964.0,1016.96,12.97,2008-04
JD하모1,2008-05-01,S11,0.62,6.87,26.56,18.07,35339.0,1016.72,12.91,2008-05
JD하모1,2008-06-01,S11,0.75,6.74,26.71,18.07,29880.0,1016.53,12.88,2008-06
JD하모1,2008-07-01,S11,0.66,6.83,26.62,18.15,30257.0,1015.19,12.8,2008-07
JD하모1,2008-08-01,S11,0.71,6.78,26.67,18.11,32931.0,1016.18,12.79,2008-08
JD하모1,2008-09-01,S11,0.66,6.83,26.62,18.11,33741.0,1017.49,12.82,2008-09
JD하모1,2008-10-01,S11,0.62,6.87,26.58,18.12,34404.0,1019.42,12.82,2008-10
JD하모1,2008-11-01,S11,0.57,6.92,26.53,18.11,35191.0,1021.98,12.8,2008-11
JD하모1,2008-12-01,S11,0.47,7.02,26.43,18.13,35523.0,1023.41,12.74,2008-12
JD하모1,2009-01-01,S11,0.39,7.1,26.35,18.11,35535.0,1024.43,12.68,2009-01
JD하모1,2009-02-01,S11,0.4,7.09,26.44,18.12,34987.0,1022.9,12.8,2009-02
JD하모1,2009-03-01,S11,0.29,7.2,26.43,18.08,32940.0,1022.35,12.84,2009-03
JD하모1,2009-04-01,S11,0.31,7.18,26.45,18.09,33320.0,1020.73,12.87,2009-04
JD하모1,2009-05-01,S11,0.45,7.04,26.51,18.08,33785.0,1018.91,12.9,2009-05
JD하모1,2009-06-01,S11,0.62,6.87,26.62,18.08,34314.0,1018.16,12.83,2009-06
JD하모1,2009-07-01,S11,0.69,6.8,26.56,18.12,25136.0,1017.04,12.8,2009-07
JD하모1,2009-08-01,S11,0.61,6.88,26.38,18.12,30501.0,1016.7,12.79,2009-08
JD하모1,2009-09-01,S11,0.6,6.9,26.37,18.11,34149.0,1018.04,12.83,2009-09
JD하모1,2009-10-01,S11,0.5,6.99,26.3,18.11,33342.0,1019.84,12.84,2009-10
JD하모1,2009-11-01,S11,0.39,7.1,26.25,18.13,33717.0,1022.44,12.78,2009-11
JD하모1,2009-12-01,S11,0.3,7.19,26.16,18.15,34019.0,1024.26,12.75,2009-12
JD하모1,2010-01-01,S11,0.16,7.33,26.02,18.15,34533.0,1024.6,12.73,2010-01
JD하모1,2010-02-01,S11,0.3,7.19,26.14,18.14,35352.0,1023.79,12.81,2010-02
JD하모1,2010-03-01,S11,0.34,7.15,26.12,18.14,34093.0,1023.01,12.75,2010-03
JD하모1,2010-04-01,S11,0.49,7.0,26.23,18.12,30409.0,1021.85,12.86,2010-04
JD하모1,2010-05-01,S11,0.52,6.97,26.36,18.13,31271.0,1115.16,12.88,2010-05
JD하모1,2010-06-01,S11,0.57,6.92,26.87,18.09,21933.0,1466.56,12.83,2010-06
JD하모1,2010-07-01,S11,0.86,6.63,26.97,18.22,24872.0,1465.1,12.86,2010-07
JD하모1,2010-08-01,S11,0.7,6.79,26.99,18.15,24518.0,1467.86,12.77,2010-08
JD하모1,2010-09-01,S11,0.69,6.81,26.99,18.36,19439.0,1471.24,12.78,2010-09
JD하모1,2010-10-01,S11,0.56,6.93,26.88,18.24,26770.0,1478.49,12.88,2010-10
JD하모1,2010-11-01,S11,0.53,6.96,26.83,18.16,28964.0,1485.49,12.9,2010-11
JD하모1,2010-12-01,S11,0.42,7.07,26.78,18.42,28176.0,1483.18,12.69,2010-12
JD하모1,2011-01-01,S11,0.37,7.12,26.66,18.42,28488.0,1495.45,12.74,2011-01
JD하모1,2011-02-01,S11,0.41,7.08,26.7,18.38,29125.0,1487.51,12.86,2011-02
JD하모1,2011-03-01,S11,0.36,7.13,26.65,18.38,29466.0,1490.43,12.93,2011-03
JD하모1,2011-04-01,S11,0.33,7.16,26.72,18.36,30044.0,1031.21,13.39,2011-04
JD하모1,2011-05-01,S11,0.32,7.17,26.81,18.33,30381.0,1015.41,12.75,2011-05
JD하모1,2011-06-01,S11,0.47,7.02,26.96,18.29,23745.0,1011.48,12.75,2011-06
JD하모1,2011-07-01,S11,0.57,6.92,26.93,18.34,25249.0,1011.0,12.73,2011-07
JD하모1,2011-08-01,S11,0.64,6.85,26.98,18.29,27464.0,1012.54,12.73,2011-08
JD하모1,2011-09-01,S11,0.74,6.75,26.99,18.22,30227.0,1015.94,12.73,2011-09
JD하모1,2011-10-01,S11,0.64,6.85,26.89,18.16,31007.0,1024.26,12.8,2011-10
JD하모1,2011-11-01,S11,0.61,6.88,26.88,18.21,27856.0,1026.75,12.74,2011-11
JD하모1,2011-12-01,S11,0.56,6.93,26.83,18.25,30043.0,1031.81,12.48,2011-12
JD하모1,2012-01-01,S11,0.66,6.83,26.92,18.23,31210.0,1030.01,12.55,2012-01
JD하모1,2012-02-01,S11,0.63,6.86,26.89,18.23,31365.0,1028.46,12.49,2012-02
JD하모1,2012-03-01,S11,0.72,6.77,26.98,18.23,31305.0,1025.39,12.53,2012-03
JD하모1,2012-04-01,S11,0.71,6.78,27.03,18.24,25615.0,1019.78,12.62,2012-04
JD하모1,2012-05-01,S11,0.69,6.8,27.08,18.3,26540.0,1017.03,12.63,2012-05
JD하모1,2012-06-01,S11,0.75,6.74,27.28,18.25,29972.0,1011.13,12.65,2012-06
JD하모1,2012-07-01,S11,0.82,6.67,27.56,18.26,26852.0,1012.9,12.62,2012-07
JD하모1,2012-08-01,S11,0.82,6.67,27.61,18.28,24227.0,1013.05,12.58,2012-08
JD하모1,2012-09-01,S11,0.74,6.75,27.53,18.5,17758.0,1019.34,12.62,2012-09
JD하모1,2012-10-01,S11,0.62,6.87,27.37,18.42,26500.0,1024.65,12.63,2012-10
JD하모1,2012-11-01,S11,0.38,7.11,27.22,18.57,30312.0,1026.24,12.65,2012-11
JD하모1,2012-12-01,S11,0.25,7.24,27.09,18.67,31373.0,1030.04,12.5,2012-12
JD하모1,2013-01-01,S11,0.2,7.29,27.04,18.56,32198.0,1032.74,12.65,2013-01
JD하모1,2013-02-01,S11,0.17,7.32,26.96,18.59,32523.0,1031.19,12.6,2013-02
JD하모1,2013-03-01,S11,0.37,7.12,26.97,18.59,32161.0,1025.46,12.7,2013-03
