관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JD하천2,2007-01-01,S11,0.83,58.1,59.85,15.91,2909.0,1031.18,12.89,2007-01
JD하천2,2007-02-01,S11,0.76,58.17,59.78,15.89,2970.0,1026.07,12.98,2007-02
JD하천2,2007-03-01,S11,0.85,58.08,59.87,15.88,3058.0,1024.34,13.08,2007-03
JD하천2,2007-04-01,S11,0.86,58.07,59.88,15.88,3079.0,1022.49,13.18,2007-04
JD하천2,2007-05-01,S11,0.92,58.01,59.94,15.89,3116.0,1015.45,13.26,2007-05
JD하천2,2007-06-01,S11,1.0,57.93,60.02,15.89,3135.0,1014.34,13.2,2007-06
JD하천2,2007-07-01,S11,1.61,57.32,60.63,15.91,3256.0,1010.5,,2007-07
JD하천2,2007-08-01,S11,1.45,57.48,60.58,15.9,2967.0,1014.78,,2007-08
JD하천2,2007-09-01,S11,3.01,55.92,62.78,15.92,2003.0,1016.4,,2007-09
JD하천2,2007-10-01,S11,1.8,57.13,61.57,15.94,1162.0,1024.01,,2007-10
JD하천2,2007-11-01,S11,1.45,57.48,61.22,15.94,1312.0,1028.26,,2007-11
JD하천2,2007-12-01,S11,1.25,57.68,61.02,15.89,1552.0,1027.01,,2007-12
JD하천2,2008-01-01,S11,1.04,57.89,61.16,15.89,1646.0,1029.25,,2008-01
JD하천2,2008-02-01,S11,0.93,58.0,61.24,15.9,1843.0,1029.87,13.08,2008-02
JD하천2,2008-03-01,S11,0.9,58.03,61.21,15.9,2680.0,1023.91,13.1,2008-03
JD하천2,2008-04-01,S11,1.04,57.89,61.35,15.9,4193.0,1020.92,13.18,2008-04
JD하천2,2008-05-01,S11,1.08,57.85,61.39,15.9,6855.0,1015.72,13.23,2008-05
JD하천2,2008-06-01,S11,1.42,57.51,61.73,15.91,11207.0,1013.94,13.11,2008-06
JD하천2,2008-07-01,S11,1.56,57.37,61.87,15.92,16213.0,1013.23,13.24,2008-07
JD하천2,2008-08-01,S11,1.21,57.72,61.52,15.9,16422.0,1013.52,13.18,2008-08
JD하천2,2008-09-01,S11,,,,,,,,2008-09
JD하천2,2008-10-01,S11,1.12,57.81,60.22,15.86,3045.0,1023.78,12.82,2008-10
JD하천2,2008-11-01,S11,1.01,57.92,60.11,15.86,3098.0,1027.24,12.72,2008-11
JD하천2,2008-12-01,S11,0.91,58.03,60.01,15.86,3127.0,1028.77,10.39,2008-12
JD하천2,2009-01-01,S11,0.76,58.17,59.85,15.87,3164.0,1029.65,10.17,2009-01
JD하천2,2009-02-01,S11,0.85,58.08,59.92,15.87,3232.0,1024.93,12.73,2009-02
JD하천2,2009-03-01,S11,0.99,57.94,60.06,15.88,3255.0,1024.86,12.84,2009-03
JD하천2,2009-04-01,S11,0.99,57.94,60.06,15.88,3220.0,1022.09,12.92,2009-04
JD하천2,2009-05-01,S11,1.06,57.87,60.12,15.88,3238.0,1019.09,12.9,2009-05
JD하천2,2009-06-01,S11,1.17,57.76,60.21,15.89,3261.0,1012.55,12.7,2009-06
JD하천2,2009-07-01,S11,1.33,57.6,60.39,15.9,3292.0,1012.81,12.68,2009-07
JD하천2,2009-08-01,S11,1.47,57.46,60.53,15.93,3233.0,1016.67,12.61,2009-08
JD하천2,2009-09-01,S11,1.25,57.68,60.31,15.93,3146.0,1037.38,12.68,2009-09
JD하천2,2009-10-01,S11,1.22,57.71,60.28,15.94,3124.0,1026.69,12.53,2009-10
JD하천2,2009-11-01,S11,1.03,57.9,60.67,15.96,3085.0,1033.89,12.24,2009-11
JD하천2,2009-12-01,S11,0.92,58.01,60.56,15.96,3122.0,1032.58,11.7,2009-12
JD하천2,2010-01-01,S11,0.8,58.13,60.41,15.96,3141.0,1028.89,11.88,2010-01
JD하천2,2010-02-01,S11,0.79,58.14,60.38,15.95,3219.0,1031.66,12.05,2010-02
JD하천2,2010-03-01,S11,0.98,57.95,60.56,15.95,3262.0,1032.63,12.43,2010-03
JD하천2,2010-04-01,S11,1.37,57.56,60.91,15.97,3249.0,1031.4,12.66,2010-04
JD하천2,2010-05-01,S11,1.41,57.52,60.92,15.98,3121.0,1021.08,12.75,2010-05
JD하천2,2010-06-01,S11,0.95,57.98,60.44,15.65,3179.0,1011.58,12.66,2010-06
JD하천2,2010-07-01,S11,1.42,57.51,60.91,15.68,3284.0,1014.16,12.74,2010-07
JD하천2,2010-08-01,S11,1.11,57.82,60.57,15.7,2422.0,1019.27,12.72,2010-08
JD하천2,2010-09-01,S11,2.23,56.7,61.41,15.57,2865.0,1018.72,12.65,2010-09
JD하천2,2010-10-01,S11,1.58,57.35,60.77,15.58,2787.0,1024.06,12.63,2010-10
JD하천2,2010-11-01,S11,1.35,57.59,60.59,15.55,2937.0,1027.45,12.28,2010-11
