관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JD한동3,2007-01-01,S11,2.21,110.68,69.77,14.7,172.0,1029.26,13.1,2007-01
JD한동3,2007-02-01,S11,2.13,110.76,69.69,14.69,171.0,1024.13,13.21,2007-02
JD한동3,2007-03-01,S11,2.24,110.65,69.8,14.68,171.0,1022.21,13.22,2007-03
JD한동3,2007-04-01,S11,2.23,110.66,69.79,14.68,167.0,1020.41,13.3,2007-04
JD한동3,2007-05-01,S11,2.24,110.65,69.8,14.68,170.0,1013.23,13.34,2007-05
JD한동3,2007-06-01,S11,2.23,110.66,69.79,14.68,170.0,1012.22,13.26,2007-06
JD한동3,2007-07-01,S11,2.75,110.14,70.31,14.68,174.0,1008.47,13.2,2007-07
JD한동3,2007-08-01,S11,2.97,109.92,70.53,14.69,211.0,1012.83,13.33,2007-08
JD한동3,2007-09-01,S11,,,,,,,,2007-09
JD한동3,2007-10-01,S11,3.57,109.32,71.14,15.34,37281.0,1029.53,12.98,2007-10
JD한동3,2007-11-01,S11,3.07,109.82,69.46,15.04,9426.0,1021.88,12.98,2007-11
JD한동3,2007-12-01,S11,2.78,110.11,68.66,14.99,369.0,1029.89,12.72,2007-12
JD한동3,2008-01-01,S11,2.7,110.19,68.68,14.95,272.0,1032.42,12.79,2008-01
JD한동3,2008-02-01,S11,2.72,110.17,68.72,14.93,205.0,1033.09,13.06,2008-02
JD한동3,2008-03-01,S11,2.54,110.35,68.54,14.96,219.0,1026.63,13.11,2008-03
JD한동3,2008-04-01,S11,2.82,110.07,68.84,14.99,220.0,1018.98,13.17,2008-04
JD한동3,2008-05-01,S11,2.99,109.9,69.01,15.01,247.0,1013.95,13.19,2008-05
JD한동3,2008-06-01,S11,3.33,109.57,69.35,14.98,196.0,1012.09,13.09,2008-06
JD한동3,2008-07-01,S11,3.6,109.29,70.98,14.83,2482.0,1033.62,12.63,2008-07
JD한동3,2008-08-01,S11,3.08,109.81,69.73,14.9,1405.0,1015.47,13.13,2008-08
JD한동3,2008-09-01,S11,3.21,109.68,69.4,14.9,159.0,1020.06,13.09,2008-09
JD한동3,2008-10-01,S11,3.0,109.89,69.68,14.89,160.0,1026.48,13.02,2008-10
JD한동3,2008-11-01,S11,2.79,110.1,69.65,14.89,165.0,1029.7,12.89,2008-11
JD한동3,2008-12-01,S11,2.64,110.25,69.5,14.9,166.0,1031.09,12.89,2008-12
JD한동3,2009-01-01,S11,2.51,110.38,69.37,14.91,166.0,1032.32,12.72,2009-01
JD한동3,2009-02-01,S11,2.57,110.32,69.43,14.92,164.0,1027.44,12.87,2009-02
JD한동3,2009-03-01,S11,2.65,110.24,69.51,14.92,161.0,1027.25,12.99,2009-03
JD한동3,2009-04-01,S11,2.44,110.45,69.73,14.92,162.0,1023.94,12.94,2009-04
JD한동3,2009-05-01,S11,2.53,110.36,69.9,14.93,158.0,1021.63,13.01,2009-05
JD한동3,2009-06-01,S11,2.5,110.39,69.91,14.93,158.0,1015.04,12.94,2009-06
JD한동3,2009-07-01,S11,2.87,110.02,70.35,14.93,163.0,1015.41,12.92,2009-07
