관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JD협재,2009-02-01,S11,4.94,7.63,43.68,16.16,297,1019.68,12.93,2009-02
JD협재,2009-03-01,S11,4.93,7.64,43.55,16.07,292,1018.31,13.01,2009-03
JD협재,2009-04-01,S11,4.9,7.67,43.52,16.03,288,1015.57,13.11,2009-04
JD협재,2009-05-01,S11,4.83,7.74,43.45,16.0,286,1012.1,13.14,2009-05
JD협재,2009-06-01,S11,4.84,7.73,43.46,16.01,285,1005.12,13.13,2009-06
JD협재,2009-07-01,S11,5.06,7.51,43.77,15.98,285,1005.15,13.14,2009-07
JD협재,2009-08-01,S11,5.2,7.37,43.95,15.97,293,1007.2,13.11,2009-08
JD협재,2009-09-01,S11,4.75,7.82,43.56,15.96,291,1011.82,13.08,2009-09
JD협재,2009-10-01,S11,4.78,7.79,43.69,15.95,288,1015.88,13.07,2009-10
JD협재,2009-11-01,S11,4.68,7.89,43.79,15.95,290,1021.57,12.95,2009-11
JD협재,2009-12-01,S11,4.66,7.91,43.77,15.95,287,1021.76,12.9,2009-12
JD협재,2010-01-01,S11,4.54,8.03,43.65,15.95,285,1023.68,12.92,2010-01
JD협재,2010-02-01,S11,4.35,8.22,43.46,15.93,283,1019.9,12.97,2010-02
JD협재,2010-03-01,S11,4.29,8.28,43.13,15.91,271,1019.17,13.01,2010-03
JD협재,2010-04-01,S11,4.71,7.86,43.3,15.89,263,1017.42,13.09,2010-04
JD협재,2010-05-01,S11,4.87,7.7,43.35,15.88,274,1010.59,13.14,2010-05
JD협재,2010-06-01,S11,4.9,7.67,43.68,15.85,275,1008.46,13.01,2010-06
JD협재,2010-07-01,S11,5.62,6.95,44.73,15.77,274,1007.41,13.01,2010-07
JD협재,2010-08-01,S11,6.25,6.32,45.36,15.74,283,1009.4,13.0,2010-08
JD협재,2010-09-01,S11,7.16,5.41,46.24,15.7,263,1011.97,12.96,2010-09
JD협재,2010-10-01,S11,7.71,4.86,46.15,15.9,266,1017.34,12.94,2010-10
JD협재,2010-11-01,S11,7.06,5.51,45.51,15.73,267,1021.03,12.94,2010-11
JD협재,2010-12-01,S11,6.8,5.77,45.25,15.84,265,1017.56,12.69,2010-12
JD협재,2011-01-01,S11,6.52,6.05,44.95,15.97,256,1026.37,12.58,2011-01
JD협재,2011-02-01,S11,6.08,6.49,44.51,15.68,265,1020.56,12.83,2011-02
JD협재,2011-03-01,S11,5.85,6.72,44.28,15.7,260,1022.29,12.92,2011-03
JD협재,2011-04-01,S11,5.58,6.99,44.01,15.52,270,1015.08,13.0,2011-04
JD협재,2011-05-01,S11,5.37,7.2,43.81,,270,1010.63,12.98,2011-05
JD협재,2011-06-01,S11,5.27,7.31,43.73,,267,1006.35,12.93,2011-06
JD협재,2011-07-01,S11,5.76,6.81,44.21,,271,1005.64,12.99,2011-07
JD협재,2011-08-01,S11,6.17,6.4,44.59,,278,1007.03,12.95,2011-08
JD협재,2011-09-01,S11,5.79,6.78,44.21,,278,1010.69,12.96,2011-09
JD협재,2011-10-01,S11,5.46,7.11,43.88,,273,1018.68,12.89,2011-10
JD협재,2011-11-01,S11,6.23,6.34,44.65,,274,1020.8,12.71,2011-11
JD협재,2011-12-01,S11,6.65,5.92,45.07,,281,1025.99,12.5,2011-12
JD협재,2012-01-01,S11,6.31,6.26,44.73,,287,1024.29,12.54,2012-01
JD협재,2012-02-01,S11,6.01,6.57,44.42,,287,1022.28,12.63,2012-02
JD협재,2012-03-01,S11,5.88,6.7,44.29,,287,1019.18,12.77,2012-03
JD협재,2012-04-01,S11,5.99,6.58,44.41,,284,1013.44,12.88,2012-04
JD협재,2012-05-01,S11,6.73,5.84,45.15,,293,1010.67,12.92,2012-05
JD협재,2012-06-01,S11,6.59,5.98,45.01,,294,1005.95,12.93,2012-06
JD협재,2012-07-01,S11,6.75,5.82,45.14,,295,1005.75,12.89,2012-07
JD협재,2012-08-01,S11,6.85,5.72,45.19,,298,1006.4,12.89,2012-08
JD협재,2012-09-01,S11,8.22,4.35,46.55,,306,1012.46,12.84,2012-09
JD협재,2012-10-01,S11,8.02,4.55,46.39,,313,1017.35,12.83,2012-10
JD협재,2012-11-01,S11,8.11,4.46,46.52,,300,1018.77,12.68,2012-11
JD협재,2012-12-01,S11,7.86,4.71,46.27,,280,1022.77,12.39,2012-12
