관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JH중문3,2008-01-01,S11,,,,,,,,2008-01
JH중문3,2008-02-01,S11,,,,,,,,2008-02
JH중문3,2008-03-01,S11,,,,,,,,2008-03
JH중문3,2008-04-01,S11,,,,,,,,2008-04
JH중문3,2008-05-01,S11,,,,,,,,2008-05
JH중문3,2008-06-01,S11,,,,,,,12.47,2008-06
JH중문3,2008-07-01,S11,,,,,,,12.97,2008-07
JH중문3,2008-08-01,S11,,,,,,,13.02,2008-08
JH중문3,2008-09-01,S11,,,,,,,13.04,2008-09
JH중문3,2008-10-01,S11,350.65,195.35,102.77,13.52,49.0,964.98,13.02,2008-10
JH중문3,2008-11-01,S11,349.22,196.78,101.34,13.53,49.0,970.88,13.05,2008-11
JH중문3,2008-12-01,S11,347.21,198.79,99.33,13.52,49.0,989.68,13.04,2008-12
JH중문3,2009-01-01,S11,347.78,198.22,99.9,13.52,50.0,991.93,13.04,2009-01
JH중문3,2009-02-01,S11,347.43,198.57,99.55,13.52,50.0,988.22,13.03,2009-02
JH중문3,2009-03-01,S11,347.78,198.22,99.9,13.52,50.0,988.59,13.09,2009-03
JH중문3,2009-04-01,S11,352.41,193.59,103.77,13.52,51.0,954.8,13.09,2009-04
JH중문3,2009-05-01,S11,353.91,192.09,105.05,13.52,52.0,985.88,12.98,2009-05
JH중문3,2009-06-01,S11,353.8,192.2,104.94,13.51,53.0,979.64,13.05,2009-06
JH중문3,2009-07-01,S11,356.95,189.05,108.09,13.55,53.0,978.91,12.92,2009-07
JH중문3,2009-08-01,S11,361.34,184.66,112.48,13.56,53.0,978.42,13.03,2009-08
JH중문3,2009-09-01,S11,359.71,186.29,110.85,13.54,53.0,984.62,13.07,2009-09
JH중문3,2009-10-01,S11,356.74,189.26,107.88,13.54,54.0,988.09,13.04,2009-10
JH중문3,2009-11-01,S11,353.46,192.54,104.6,13.55,54.0,991.5,13.04,2009-11
JH중문3,2009-12-01,S11,351.01,194.99,102.15,13.55,54.0,989.83,13.04,2009-12
JH중문3,2010-01-01,S11,347.95,198.05,99.09,13.55,54.0,991.21,13.0,2010-01
JH중문3,2010-02-01,S11,345.22,200.78,96.36,13.56,54.0,988.71,12.91,2010-02
JH중문3,2010-03-01,S11,346.01,199.99,97.51,13.57,54.0,988.89,12.95,2010-03
JH중문3,2010-04-01,S11,353.82,192.18,105.8,13.58,55.0,988.73,13.05,2010-04
JH중문3,2010-05-01,S11,357.29,188.71,109.27,13.59,54.0,984.41,13.06,2010-05
JH중문3,2010-06-01,S11,359.23,186.77,111.13,13.59,54.0,982.64,13.02,2010-06
JH중문3,2010-07-01,S11,362.96,183.04,114.85,13.59,55.0,979.05,13.05,2010-07
JH중문3,2010-08-01,S11,364.81,181.19,116.82,13.58,55.0,977.81,13.01,2010-08
JH중문3,2010-09-01,S11,368.1,177.9,120.32,13.61,54.0,981.72,12.99,2010-09
JH중문3,2010-10-01,S11,365.81,180.19,118.03,13.59,54.0,989.07,13.06,2010-10
JH중문3,2010-11-01,S11,365.14,180.87,117.21,13.58,54.0,990.93,13.06,2010-11
JH중문3,2010-12-01,S11,363.79,182.21,115.86,13.59,55.0,985.71,13.0,2010-12
JH중문3,2011-01-01,S11,360.64,185.36,112.71,13.58,55.0,992.17,13.06,2011-01
JH중문3,2011-02-01,S11,357.38,188.62,109.45,13.57,55.0,989.22,13.01,2011-02
JH중문3,2011-03-01,S11,354.88,191.12,106.95,13.57,55.0,990.43,13.07,2011-03
JH중문3,2011-04-01,S11,353.44,192.56,105.51,13.57,56.0,986.7,13.05,2011-04
JH중문3,2011-05-01,S11,355.4,190.6,107.5,13.58,56.0,983.08,13.0,2011-05
JH중문3,2011-06-01,S11,357.27,188.73,109.47,13.57,56.0,979.27,13.07,2011-06
JH중문3,2011-07-01,S11,363.77,182.23,115.97,13.6,56.0,976.28,12.99,2011-07
JH중문3,2011-08-01,S11,365.3,180.7,117.5,13.57,56.0,976.2,12.97,2011-08
JH중문3,2011-09-01,S11,365.06,180.94,117.88,13.53,56.0,963.03,12.99,2011-09
JH중문3,2011-10-01,S11,364.23,181.77,117.26,13.54,56.0,989.72,13.01,2011-10
JH중문3,2011-11-01,S11,362.98,183.02,116.01,13.54,56.0,992.19,12.97,2011-11
JH중문3,2011-12-01,S11,361.97,184.03,100.3,13.55,57.0,990.82,12.89,2011-12
JH중문3,2012-01-01,S11,359.97,186.03,66.45,13.54,56.0,985.55,13.0,2012-01
JH중문3,2012-02-01,S11,357.4,188.6,63.88,13.54,56.0,983.51,13.0,2012-02
JH중문3,2012-03-01,S11,354.92,191.08,61.4,13.54,57.0,981.76,12.98,2012-03
JH중문3,2012-04-01,S11,355.32,190.68,61.85,13.55,58.0,978.32,13.03,2012-04
JH중문3,2012-05-01,S11,364.28,181.72,71.03,13.58,57.0,976.54,13.03,2012-05
JH중문3,2012-06-01,S11,364.33,181.67,71.08,13.54,56.0,973.01,13.05,2012-06
JH중문3,2012-07-01,S11,363.22,182.78,70.0,13.53,57.0,973.32,12.98,2012-07
JH중문3,2012-08-01,S11,364.68,181.32,72.13,13.56,56.0,974.85,12.98,2012-08
JH중문3,2012-09-01,S11,366.53,179.47,73.98,13.58,56.0,979.05,13.0,2012-09
JH중문3,2012-10-01,S11,366.52,179.48,73.97,13.54,56.0,982.81,12.98,2012-10
JH중문3,2012-11-01,S11,365.57,180.43,73.02,13.55,56.0,982.56,12.97,2012-11
JH중문3,2012-12-01,S11,365.17,180.83,72.62,13.55,56.0,984.81,12.89,2012-12
JH중문3,2013-01-01,S11,364.24,181.76,71.69,13.57,56.0,986.99,12.95,2013-01
JH중문3,2013-02-01,S11,363.53,182.47,70.98,13.59,56.0,985.9,12.89,2013-02
JH중문3,2013-03-01,S11,363.45,182.55,70.9,13.6,56.0,981.66,13.0,2013-03
JH중문3,2013-04-01,S11,363.24,182.76,70.69,13.6,56.0,979.03,13.03,2013-04
JH중문3,2013-05-01,S11,362.61,183.39,70.06,13.61,56.0,978.64,12.98,2013-05
JH중문3,2013-06-01,S11,364.64,181.36,72.09,13.64,56.0,975.2,13.01,2013-06
JH중문3,2013-07-01,S11,364.53,181.47,71.98,13.62,56.0,977.11,12.96,2013-07
JH중문3,2013-08-01,S11,363.4,182.6,71.06,13.6,55.0,977.31,13.02,2013-08
JH중문3,2013-09-01,S11,361.94,184.06,69.6,13.62,55.0,981.75,12.95,2013-09
JH중문3,2013-10-01,S11,360.45,185.55,68.11,13.63,55.0,984.5,12.91,2013-10
JH중문3,2013-11-01,S11,358.1,187.9,65.76,13.65,56.0,985.7,12.84,2013-11
JH중문3,2013-12-01,S11,354.84,191.16,71.5,13.76,56.0,985.85,12.76,2013-12
JH중문3,2014-01-01,S11,351.62,194.38,91.51,13.77,56.0,988.19,12.78,2014-01
JH중문3,2014-02-01,S11,351.74,194.26,91.63,13.78,56.0,986.48,12.81,2014-02
JH중문3,2014-03-01,S11,355.88,190.13,95.77,13.78,56.0,984.99,12.86,2014-03
JH중문3,2014-04-01,S11,,,104.46,13.79,57.0,982.95,12.8,2014-04
JH중문3,2014-05-01,S11,,,112.74,13.79,57.0,979.78,12.91,2014-05
JH중문3,2014-06-01,S11,,,119.24,13.82,57.0,974.83,12.94,2014-06
