관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JI원종장3,2007-01-01,S11,,,,,,,,2007-01
JI원종장3,2007-02-01,S11,,,,,,,,2007-02
JI원종장3,2007-03-01,S11,,,,,,,,2007-03
JI원종장3,2007-04-01,S11,,,,,,,,2007-04
JI원종장3,2007-05-01,S11,,,,,,,,2007-05
JI원종장3,2007-06-01,S11,,,,,,,,2007-06
JI원종장3,2007-07-01,S11,,,,,,,,2007-07
JI원종장3,2007-08-01,S11,,,,,,,,2007-08
JI원종장3,2007-09-01,S11,,,,,,,,2007-09
JI원종장3,2007-10-01,S11,,,,,,,,2007-10
JI원종장3,2007-11-01,S11,,,,,,,,2007-11
JI원종장3,2007-12-01,S11,,,,,,,,2007-12
JI원종장3,2008-01-01,S11,,,,,,,,2008-01
JI원종장3,2008-02-01,S11,69.05,220.98,70.36,14.15,193.0,1024.51,13.28,2008-02
JI원종장3,2008-03-01,S11,69.38,220.65,70.69,14.14,191.0,1018.27,13.22,2008-03
JI원종장3,2008-04-01,S11,69.41,220.62,70.72,14.13,189.0,1015.87,13.2,2008-04
JI원종장3,2008-05-01,S11,69.35,220.68,70.66,14.13,188.0,1011.45,13.17,2008-05
JI원종장3,2008-06-01,S11,69.32,220.71,70.63,14.14,180.0,1009.85,13.15,2008-06
JI원종장3,2008-07-01,S11,70.06,219.97,71.37,14.22,170.0,1010.67,13.09,2008-07
JI원종장3,2008-08-01,S11,70.17,219.86,71.48,14.21,180.0,1010.46,13.09,2008-08
JI원종장3,2008-09-01,S11,70.17,219.86,71.48,14.14,193.0,1014.88,13.11,2008-09
JI원종장3,2008-10-01,S11,70.11,219.92,71.42,14.13,197.0,1021.01,13.12,2008-10
JI원종장3,2008-11-01,S11,70.05,219.98,71.36,14.12,200.0,1023.9,13.1,2008-11
JI원종장3,2008-12-01,S11,70.0,220.03,71.31,14.12,201.0,1025.2,13.1,2008-12
JI원종장3,2009-01-01,S11,69.9,220.13,71.21,14.12,200.0,1026.43,13.07,2009-01
JI원종장3,2009-02-01,S11,69.8,220.23,71.11,14.11,198.0,1021.53,13.12,2009-02
JI원종장3,2009-03-01,S11,69.66,220.37,70.97,14.12,195.0,1021.65,13.17,2009-03
JI원종장3,2009-04-01,S11,69.49,220.54,70.8,14.12,194.0,1019.4,13.18,2009-04
JI원종장3,2009-05-01,S11,69.35,220.68,70.66,14.13,190.0,1016.72,13.12,2009-05
JI원종장3,2009-06-01,S11,69.46,220.57,70.76,14.12,191.0,1010.37,13.07,2009-06
JI원종장3,2009-07-01,S11,69.4,220.63,70.7,14.13,189.0,1010.92,13.1,2009-07
JI원종장3,2009-08-01,S11,69.38,220.65,70.68,14.17,192.0,1013.08,13.04,2009-08
JI원종장3,2009-09-01,S11,69.39,220.64,70.69,14.17,202.0,1017.47,13.08,2009-09
JI원종장3,2009-10-01,S11,69.38,220.65,70.68,14.17,206.0,1021.05,13.12,2009-10
JI원종장3,2009-11-01,S11,69.41,220.62,70.71,14.17,211.0,1025.87,13.1,2009-11
JI원종장3,2009-12-01,S11,69.46,220.57,70.76,14.17,211.0,1025.29,13.05,2009-12
JI원종장3,2010-01-01,S11,69.47,220.56,70.77,14.16,209.0,1026.86,13.04,2010-01
JI원종장3,2010-02-01,S11,69.44,220.59,70.74,14.16,209.0,1023.44,13.07,2010-02
JI원종장3,2010-03-01,S11,69.24,220.79,71.39,14.16,195.0,1023.12,13.11,2010-03
JI원종장3,2010-04-01,S11,69.23,220.8,71.43,14.19,184.0,1021.96,13.16,2010-04
JI원종장3,2010-05-01,S11,69.27,220.76,71.47,14.21,185.0,1015.94,13.14,2010-05
JI원종장3,2010-06-01,S11,69.34,220.69,71.54,14.22,190.0,1014.29,13.11,2010-06
JI원종장3,2010-07-01,S11,69.45,220.58,71.65,14.29,175.0,1013.73,13.08,2010-07
JI원종장3,2010-08-01,S11,69.59,220.44,72.33,14.32,166.0,1012.56,12.82,2010-08
JI원종장3,2010-09-01,S11,69.84,220.19,73.38,14.35,161.0,1012.34,12.8,2010-09
JI원종장3,2010-10-01,S11,70.18,219.85,73.72,14.31,168.0,1016.84,12.84,2010-10
JI원종장3,2010-11-01,S11,70.56,219.47,74.1,14.23,174.0,1019.84,12.88,2010-11
JI원종장3,2010-12-01,S11,70.67,219.36,74.21,14.16,189.0,1033.4,12.74,2010-12
JI원종장3,2011-01-01,S11,70.69,219.34,74.22,14.15,192.0,984.31,12.76,2011-01
JI원종장3,2011-02-01,S11,70.78,219.26,74.31,14.15,191.0,,12.78,2011-02
JI원종장3,2011-03-01,S11,70.82,219.22,74.35,14.14,190.0,982.44,12.82,2011-03
JI원종장3,2011-04-01,S11,70.55,219.48,74.08,14.13,186.0,977.16,12.86,2011-04
JI원종장3,2011-05-01,S11,70.83,219.2,61.28,14.15,186.0,1006.15,12.8,2011-05
JI원종장3,2011-06-01,S11,70.69,219.34,61.14,14.16,184.0,1005.32,12.83,2011-06
JI원종장3,2011-07-01,S11,70.7,219.33,61.15,14.33,168.0,1004.97,12.82,2011-07
JI원종장3,2011-08-01,S11,70.74,219.29,61.19,14.47,168.0,1005.97,12.79,2011-08
JI원종장3,2011-09-01,S11,70.76,219.27,61.31,14.42,175.0,1009.04,12.8,2011-09
JI원종장3,2011-10-01,S11,70.79,219.24,61.67,14.27,185.0,1016.42,12.83,2011-10
JI원종장3,2011-11-01,S11,70.83,219.2,61.75,14.22,190.0,1015.74,12.76,2011-11
JI원종장3,2011-12-01,S11,71.11,218.92,62.06,14.24,182.0,1022.64,12.56,2011-12
JI원종장3,2012-01-01,S11,71.12,218.91,62.07,14.22,186.0,1019.48,12.63,2012-01
JI원종장3,2012-02-01,S11,70.96,219.07,61.97,14.22,186.0,1006.21,12.79,2012-02
JI원종장3,2012-03-01,S11,70.6,219.43,61.87,14.2,185.0,1014.67,12.8,2012-03
JI원종장3,2012-04-01,S11,70.5,219.53,61.77,14.23,176.0,1009.98,12.84,2012-04
JI원종장3,2012-05-01,S11,70.49,219.54,61.75,14.42,160.0,1003.97,12.84,2012-05
JI원종장3,2012-06-01,S11,70.47,219.56,61.86,14.43,163.0,1000.46,12.82,2012-06
JI원종장3,2012-07-01,S11,70.46,219.57,61.85,14.31,170.0,1001.14,12.88,2012-07
JI원종장3,2012-08-01,S11,70.37,219.66,61.76,14.31,170.0,1003.51,12.93,2012-08
JI원종장3,2012-09-01,S11,70.5,219.53,61.89,14.57,154.0,1008.84,12.98,2012-09
JI원종장3,2012-10-01,S11,70.69,219.34,62.08,14.64,160.0,1013.17,13.13,2012-10
JI원종장3,2012-11-01,S11,70.89,219.14,62.28,14.54,162.0,1013.69,13.1,2012-11
JI원종장3,2012-12-01,S11,71.09,218.94,62.48,14.35,173.0,1016.74,12.85,2012-12
JI원종장3,2013-01-01,S11,71.19,218.84,62.58,14.28,174.0,1018.93,12.91,2013-01
JI원종장3,2013-02-01,S11,71.25,218.78,62.64,14.27,174.0,1017.65,12.92,2013-02
JI원종장3,2013-03-01,S11,71.24,218.79,62.62,14.28,171.0,1013.28,13.32,2013-03
JI원종장3,2013-04-01,S11,71.38,218.65,62.73,14.25,183.0,1012.62,13.54,2013-04
JI원종장3,2013-05-01,S11,71.29,218.74,62.64,14.23,188.0,1010.62,13.89,2013-05
JI원종장3,2013-06-01,S11,71.08,218.95,62.55,14.26,178.0,1007.7,13.57,2013-06
JI원종장3,2013-07-01,S11,70.93,219.1,62.49,14.29,179.0,1007.35,12.89,2013-07
JI원종장3,2013-08-01,S11,70.76,219.27,62.32,14.23,175.0,1006.99,13.11,2013-08
JI원종장3,2013-09-01,S11,70.67,219.36,62.23,14.22,180.0,1013.28,13.16,2013-09
JI원종장3,2013-10-01,S11,70.58,219.45,62.14,14.2,183.0,1017.13,13.22,2013-10
JI원종장3,2013-11-01,S11,70.48,219.55,62.04,14.19,184.0,1019.35,13.16,2013-11
JI원종장3,2013-12-01,S11,70.38,219.65,61.94,14.17,182.0,1020.23,12.96,2013-12
JI원종장3,2014-01-01,S11,70.25,219.78,61.81,14.16,181.0,1022.47,12.91,2014-01
JI원종장3,2014-02-01,S11,70.09,219.94,61.65,14.15,180.0,1020.52,12.96,2014-02
JI원종장3,2014-03-01,S11,69.9,220.13,61.46,14.16,178.0,1018.54,13.06,2014-03
JI원종장3,2014-04-01,S11,69.72,220.31,61.28,14.19,176.0,1015.36,13.1,2014-04
JI원종장3,2014-05-01,S11,69.58,220.45,61.14,14.21,176.0,1011.54,13.09,2014-05
JI원종장3,2014-06-01,S11,69.48,220.55,61.04,14.24,170.0,1005.99,,2014-06
JI원종장3,2014-07-01,S11,69.45,220.58,61.04,14.61,137.0,1013.0,13.7,2014-07
JI원종장3,2014-08-01,S11,69.5,220.53,61.09,14.65,133.0,1011.93,12.9,2014-08
JI원종장3,2014-09-01,S11,69.67,220.36,61.38,14.65,137.0,1011.22,12.93,2014-09
JI원종장3,2014-10-01,S11,69.9,220.13,61.72,14.54,145.0,1015.05,12.84,2014-10
JI원종장3,2014-11-01,S11,70.11,219.92,61.93,14.34,154.0,1018.38,12.67,2014-11
JI원종장3,2014-12-01,S11,70.22,219.81,62.1,14.27,154.0,1021.19,12.47,2014-12
JI원종장3,2015-01-01,S11,70.37,219.66,62.24,14.25,153.0,1021.17,12.47,2015-01
JI원종장3,2015-02-01,S11,70.44,219.59,62.31,14.24,153.0,1020.59,12.49,2015-02
JI원종장3,2015-03-01,S11,70.44,219.59,62.31,14.24,151.0,1020.13,12.66,2015-03
JI원종장3,2015-04-01,S11,70.43,219.6,62.3,14.28,143.0,1014.87,12.64,2015-04
JI원종장3,2015-05-01,S11,70.47,219.56,62.34,14.37,133.0,1010.25,12.76,2015-05
JI원종장3,2015-06-01,S11,70.61,219.42,62.42,14.52,139.0,1007.48,12.67,2015-06
JI원종장3,2015-07-01,S11,70.74,219.29,62.5,14.56,139.0,1007.78,12.73,2015-07
JI원종장3,2015-08-01,S11,70.88,219.15,62.64,14.63,142.0,1009.08,12.76,2015-08
JI원종장3,2015-09-01,S11,71.0,219.03,62.75,14.49,146.0,1013.16,12.75,2015-09
JI원종장3,2015-10-01,S11,71.12,218.91,62.87,14.34,149.0,1018.72,12.75,2015-10
JI원종장3,2015-11-01,S11,71.22,218.81,62.97,14.27,152.0,1021.43,12.27,2015-11
JI원종장3,2015-12-01,S11,71.23,218.8,62.98,14.25,152.0,1023.71,12.32,2015-12
JI원종장3,2016-01-01,S11,71.2,218.83,62.95,14.25,151.0,1022.88,12.39,2016-01
JI원종장3,2016-02-01,S11,71.11,218.92,62.86,14.25,146.0,1023.47,12.75,2016-02
JI원종장3,2016-03-01,S11,71.01,219.02,47.4,14.69,141.0,1018.45,12.95,2016-03
JI원종장3,2016-04-01,S11,70.89,219.14,27.31,15.19,142.0,1009.22,12.89,2016-04
JI원종장3,2016-05-01,S11,70.71,219.32,27.09,15.16,134.0,1027.04,12.96,2016-05
JI원종장3,2016-06-01,S11,70.71,219.32,27.09,15.13,139.0,1030.74,12.9,2016-06
JI원종장3,2016-07-01,S11,70.73,219.3,27.56,15.12,138.0,1002.3,12.89,2016-07
JI원종장3,2016-08-01,S11,70.77,219.26,27.68,15.05,144.0,996.08,12.97,2016-08
JI원종장3,2016-09-01,S11,70.88,219.15,27.79,15.15,151.0,995.75,12.83,2016-09
JI원종장3,2016-10-01,S11,70.86,219.17,27.27,15.2,148.0,1052.99,12.73,2016-10
JI원종장3,2016-11-01,S11,70.89,219.14,27.03,15.18,151.0,1085.5,12.58,2016-11
JI원종장3,2016-12-01,S11,70.94,219.09,27.17,15.31,153.0,1075.23,12.49,2016-12
JI원종장3,2017-01-01,S11,70.87,219.16,27.12,15.33,151.0,1066.88,12.5,2017-01
JI원종장3,2017-02-01,S11,70.86,219.17,27.11,15.32,151.0,1059.81,12.59,2017-02
JI원종장3,2017-03-01,S11,70.77,219.26,27.02,15.33,151.0,1053.36,12.63,2017-03
JI원종장3,2017-04-01,S11,70.66,219.37,26.91,15.33,147.0,1047.45,12.69,2017-04
JI원종장3,2017-05-01,S11,70.56,219.47,26.81,15.33,146.0,1041.75,12.78,2017-05
JI원종장3,2017-06-01,S11,70.41,219.62,26.67,15.33,150.0,1037.18,12.77,2017-06
JI원종장3,2017-07-01,S11,70.23,219.8,26.62,15.34,156.0,1041.48,12.74,2017-07
JI원종장3,2017-08-01,S11,70.09,219.94,26.48,15.34,157.0,1038.22,12.73,2017-08
JI원종장3,2017-09-01,S11,69.99,220.04,26.36,15.34,158.0,1032.67,12.68,2017-09
JI원종장3,2017-10-01,S11,69.63,220.4,25.52,15.35,155.0,,12.59,2017-10
JI원종장3,2017-11-01,S11,69.39,220.65,25.28,15.29,157.0,1017.7,12.59,2017-11
JI원종장3,2017-12-01,S11,69.34,220.69,25.23,15.18,158.0,1018.76,12.32,2017-12
JI원종장3,2018-01-01,S11,69.18,220.85,25.07,15.16,151.0,1016.56,12.19,2018-01
JI원종장3,2018-02-01,S11,69.05,220.98,24.94,15.16,154.0,1017.07,12.28,2018-02
JI원종장3,2018-03-01,S11,68.88,221.15,24.77,15.15,150.0,1013.05,12.45,2018-03
JI원종장3,2018-04-01,S11,68.76,221.27,24.65,15.16,147.0,1010.21,12.57,2018-04
JI원종장3,2018-05-01,S11,68.68,221.35,24.6,15.17,140.0,1006.71,13.06,2018-05
JI원종장3,2018-06-01,S11,68.68,221.35,24.61,15.09,148.0,1003.06,13.09,2018-06
JI원종장3,2018-07-01,S11,68.75,221.28,24.68,15.13,147.0,1003.51,13.11,2018-07
JI원종장3,2018-08-01,S11,68.87,221.16,24.79,15.15,152.0,1001.88,13.07,2018-08
JI원종장3,2018-09-01,S11,69.04,220.99,24.96,15.14,150.0,1007.35,12.98,2018-09
JI원종장3,2018-10-01,S11,69.26,220.77,25.18,15.1,152.0,1012.78,12.92,2018-10
JI원종장3,2018-11-01,S11,69.47,220.56,25.39,15.09,158.0,1016.69,12.83,2018-11
JI원종장3,2018-12-01,S11,69.64,220.39,25.56,15.12,160.0,1019.17,12.52,2018-12
JI원종장3,2019-01-01,S11,69.67,220.36,25.59,15.1,158.0,1026.77,12.64,2019-01
JI원종장3,2019-02-01,S11,69.81,220.22,25.73,15.09,157.0,1017.27,12.59,2019-02
JI원종장3,2019-03-01,S11,69.84,220.19,25.76,15.07,156.0,1011.83,12.75,2019-03
JI원종장3,2019-04-01,S11,69.78,220.25,25.88,15.07,156.0,1009.26,12.75,2019-04
JI원종장3,2019-05-01,S11,69.69,220.35,26.01,15.07,158.0,1003.21,12.84,2019-05
JI원종장3,2019-06-01,S11,69.58,220.45,25.9,15.07,157.0,998.98,12.79,2019-06
JI원종장3,2019-07-01,S11,69.45,220.58,25.77,15.08,148.0,1000.1,12.78,2019-07
JI원종장3,2019-08-01,S11,69.41,220.62,25.78,15.03,150.0,1003.53,12.76,2019-08
