관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JM고산2,2007-01-01,S11,3.86,16.14,31.41,17.24,395,1023.3,12.65,2007-01
JM고산2,2007-02-01,S11,3.28,16.73,30.83,17.3,394,1018.07,12.87,2007-02
JM고산2,2007-03-01,S11,3.29,16.71,30.84,17.32,375,1016.24,12.89,2007-03
JM고산2,2007-04-01,S11,3.09,16.91,30.64,17.38,355,1014.81,12.94,2007-04
JM고산2,2007-05-01,S11,2.98,17.02,30.53,17.48,352,1007.78,12.86,2007-05
JM고산2,2007-06-01,S11,2.79,17.21,30.34,17.53,393,1006.12,12.7,2007-06
JM고산2,2007-07-01,S11,4.69,15.31,32.24,17.54,494,1002.71,12.45,2007-07
JM고산2,2007-08-01,S11,5.44,14.56,32.99,17.55,414,1006.65,12.52,2007-08
JM고산2,2007-09-01,S11,6.57,13.43,33.96,17.55,394,1009.23,12.72,2007-09
JM고산2,2007-10-01,S11,6.08,13.92,33.44,17.57,342,1017.19,12.93,2007-10
JM고산2,2007-11-01,S11,5.97,14.04,33.33,17.65,336,1021.85,13.02,2007-11
JM고산2,2007-12-01,S11,5.37,14.63,32.73,17.74,332,1020.9,12.86,2007-12
JM고산2,2008-01-01,S11,5.19,14.81,32.55,17.82,344,1023.89,12.74,2008-01
JM고산2,2008-02-01,S11,4.22,15.78,31.58,17.86,351,1024.99,13.0,2008-02
JM고산2,2008-03-01,S11,3.75,16.25,31.11,17.87,364,1018.73,13.1,2008-03
JM고산2,2008-04-01,S11,3.81,16.19,31.17,17.89,360,1015.5,13.08,2008-04
JM고산2,2008-05-01,S11,2.78,17.22,30.08,17.85,365,1009.96,13.05,2008-05
JM고산2,2008-06-01,S11,4.1,15.9,31.29,17.81,464,1007.0,12.82,2008-06
JM고산2,2008-07-01,S11,5.37,14.64,32.56,17.88,399,1006.63,12.62,2008-07
JM고산2,2008-08-01,S11,4.49,15.51,31.68,17.91,366,1006.49,12.61,2008-08
JM고산2,2008-09-01,S11,3.56,16.44,30.75,17.94,365,1011.03,12.64,2008-09
JM고산2,2008-10-01,S11,2.79,17.21,29.98,17.91,376,1017.33,12.8,2008-10
