관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JM도남2,2007-01-01,S11,13.95,72.38,29.81,,,,12.46,2007-01
JM도남2,2007-02-01,S11,12.48,73.85,28.34,,,,12.75,2007-02
JM도남2,2007-03-01,S11,11.85,74.48,27.71,,,,12.81,2007-03
JM도남2,2007-04-01,S11,11.94,74.39,27.8,,,,12.87,2007-04
JM도남2,2007-05-01,S11,11.25,75.08,27.11,,,,12.89,2007-05
JM도남2,2007-06-01,S11,10.36,75.97,26.22,,,,12.84,2007-06
JM도남2,2007-07-01,S11,11.89,74.44,27.75,,,,12.8,2007-07
JM도남2,2007-08-01,S11,14.5,71.83,30.36,,,,12.85,2007-08
JM도남2,2007-09-01,S11,22.52,63.81,38.38,,,,12.72,2007-09
JM도남2,2007-10-01,S11,32.32,54.01,48.18,,,,12.78,2007-10
JM도남2,2007-11-01,S11,29.65,56.68,45.51,,,,12.75,2007-11
JM도남2,2007-12-01,S11,24.25,62.08,40.11,,,,12.47,2007-12
JM도남2,2008-01-01,S11,19.3,67.03,35.16,,,,11.83,2008-01
JM도남2,2008-02-01,S11,17.54,68.79,33.4,,,,12.5,2008-02
JM도남2,2008-03-01,S11,15.33,71.0,31.19,,,,12.99,2008-03
JM도남2,2008-04-01,S11,13.74,72.59,29.6,,,,13.04,2008-04
JM도남2,2008-05-01,S11,12.76,74.64,34.09,14.91,113.0,1012.96,13.25,2008-05
JM도남2,2008-06-01,S11,12.6,76.28,40.46,14.79,113.0,1013.07,13.61,2008-06
JM도남2,2008-07-01,S11,15.24,73.64,43.1,13.99,81.0,1012.57,13.63,2008-07
JM도남2,2008-08-01,S11,14.99,73.89,42.85,14.4,113.0,1012.45,13.63,2008-08
JM도남2,2008-09-01,S11,13.49,75.39,41.35,14.93,128.0,1017.22,13.56,2008-09
JM도남2,2008-10-01,S11,12.05,76.83,39.91,15.01,123.0,1023.52,13.67,2008-10
JM도남2,2008-11-01,S11,11.06,77.82,38.92,15.04,120.0,1026.91,13.44,2008-11
JM도남2,2008-12-01,S11,10.3,78.58,38.16,15.06,119.0,1028.44,13.41,2008-12
JM도남2,2009-01-01,S11,9.62,79.26,37.48,15.08,118.0,1029.84,13.13,2009-01
JM도남2,2009-02-01,S11,9.41,79.47,37.27,15.0,114.0,1024.76,13.62,2009-02
JM도남2,2009-03-01,S11,10.12,78.76,37.98,14.98,112.0,1024.62,13.82,2009-03
JM도남2,2009-04-01,S11,10.57,78.31,38.43,14.98,112.0,1021.87,13.87,2009-04
JM도남2,2009-05-01,S11,10.94,77.94,38.93,14.97,113.0,1018.89,13.42,2009-05
JM도남2,2009-06-01,S11,10.75,78.13,38.91,15.0,110.0,1012.09,12.78,2009-06
JM도남2,2009-07-01,S11,10.74,78.14,38.92,15.03,109.0,1012.33,12.75,2009-07
JM도남2,2009-08-01,S11,11.63,77.25,39.81,14.98,108.0,1014.95,12.68,2009-08
JM도남2,2009-09-01,S11,13.75,75.13,36.96,14.27,84.0,1019.01,12.76,2009-09
JM도남2,2009-10-01,S11,14.9,73.98,32.71,14.11,79.0,1022.28,12.79,2009-10
JM도남2,2009-11-01,S11,14.17,74.71,31.98,14.2,79.0,1027.84,12.56,2009-11
JM도남2,2009-12-01,S11,13.32,75.56,31.13,14.29,81.0,1027.56,12.52,2009-12
JM도남2,2010-01-01,S11,11.78,77.1,29.59,14.43,81.0,1029.41,12.54,2010-01
JM도남2,2010-02-01,S11,10.75,78.13,28.56,14.52,81.0,1026.05,12.61,2010-02
JM도남2,2010-03-01,S11,11.75,77.13,29.49,14.35,77.0,1025.52,12.62,2010-03
JM도남2,2010-04-01,S11,14.29,74.59,32.0,14.17,78.0,1024.19,12.77,2010-04
JM도남2,2010-05-01,S11,15.42,73.46,33.13,14.18,77.0,1017.64,12.83,2010-05
JM도남2,2010-06-01,S11,14.39,74.49,32.1,14.29,77.0,1015.86,12.81,2010-06
JM도남2,2010-07-01,S11,15.94,72.94,33.65,14.2,77.0,1014.9,12.77,2010-07
JM도남2,2010-08-01,S11,19.75,69.13,37.46,14.2,85.0,1017.0,12.74,2010-08
JM도남2,2010-09-01,S11,27.02,61.86,44.73,14.29,88.0,1019.97,12.74,2010-09
JM도남2,2010-10-01,S11,28.9,59.98,46.61,14.26,77.0,1025.25,12.76,2010-10
JM도남2,2010-11-01,S11,25.15,63.73,42.85,14.28,74.0,1028.67,12.75,2010-11
JM도남2,2010-12-01,S11,20.37,68.51,38.07,14.36,78.0,1024.64,12.55,2010-12
JM도남2,2011-01-01,S11,16.43,72.45,34.13,14.45,81.0,1033.64,12.3,2011-01
JM도남2,2011-02-01,S11,13.77,75.11,31.47,14.5,82.0,1028.19,12.69,2011-02
JM도남2,2011-03-01,S11,12.05,76.83,29.74,14.54,84.0,1029.94,12.86,2011-03
JM도남2,2011-04-01,S11,10.91,77.97,28.6,14.59,86.0,1023.27,13.16,2011-04
JM도남2,2011-05-01,S11,10.2,78.68,27.9,14.64,87.0,1019.21,13.07,2011-05
JM도남2,2011-06-01,S11,10.42,78.46,28.09,14.57,85.0,1015.23,12.99,2011-06
JM도남2,2011-07-01,S11,17.48,71.4,35.06,14.25,87.0,1014.61,13.01,2011-07
JM도남2,2011-08-01,S11,21.63,67.25,39.18,14.25,84.0,1016.18,12.9,2011-08
JM도남2,2011-09-01,S11,24.61,64.27,42.16,14.26,78.0,1020.05,13.0,2011-09
JM도남2,2011-10-01,S11,22.37,66.51,39.89,14.26,75.0,1028.06,12.99,2011-10
JM도남2,2011-11-01,S11,19.29,69.59,36.77,14.27,76.0,1030.14,12.72,2011-11
JM도남2,2011-12-01,S11,18.77,70.11,36.25,14.26,76.0,1034.91,12.54,2011-12
JM도남2,2012-01-01,S11,16.92,71.96,34.4,14.3,77.0,1032.85,12.37,2012-01
JM도남2,2012-02-01,S11,15.04,73.84,32.52,14.34,78.0,1030.93,12.48,2012-02
JM도남2,2012-03-01,S11,14.8,74.08,32.36,14.32,78.0,1029.97,12.62,2012-03
JM도남2,2012-04-01,S11,15.16,73.72,32.78,14.3,79.0,1023.2,12.72,2012-04
JM도남2,2012-05-01,S11,18.34,70.54,35.96,14.26,82.0,1021.04,12.75,2012-05
JM도남2,2012-06-01,S11,18.03,70.85,35.71,14.28,70.0,1016.89,12.71,2012-06
