관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JM명월,2007-01-01,S11,10.79,86.93,17.93,15.38,276,1026.85,12.9,2007-01
JM명월,2007-02-01,S11,10.28,87.44,17.42,15.44,305,1021.81,13.31,2007-02
JM명월,2007-03-01,S11,10.03,87.69,17.17,15.45,303,1020.06,13.03,2007-03
JM명월,2007-04-01,S11,9.93,87.79,17.07,15.46,297,1018.56,13.77,2007-04
JM명월,2007-05-01,S11,9.56,88.16,16.7,15.48,292,1011.58,13.86,2007-05
JM명월,2007-06-01,S11,9.22,88.5,16.36,15.49,289,1010.01,13.78,2007-06
JM명월,2007-07-01,S11,11.06,86.66,17.98,15.5,304,1006.53,13.77,2007-07
JM명월,2007-08-01,S11,12.37,85.35,19.28,15.51,313,1010.46,13.87,2007-08
JM명월,2007-09-01,S11,15.15,82.57,22.06,15.51,308,1012.28,13.8,2007-09
JM명월,2007-10-01,S11,16.5,81.22,23.41,15.51,329,1020.05,13.8,2007-10
JM명월,2007-11-01,S11,14.81,82.91,21.72,15.52,330,1024.46,13.55,2007-11
JM명월,2007-12-01,S11,13.54,84.18,20.45,15.5,325,1023.8,12.51,2007-12
JM명월,2008-01-01,S11,12.41,85.31,19.32,15.5,322,1025.53,12.48,2008-01
JM명월,2008-02-01,S11,11.76,85.96,18.67,15.49,321,1025.87,13.19,2008-02
JM명월,2008-03-01,S11,11.19,86.53,18.1,15.49,321,1019.73,13.9,2008-03
JM명월,2008-04-01,S11,10.88,86.84,17.79,15.5,322,1016.59,13.97,2008-04
JM명월,2008-05-01,S11,10.47,87.25,17.38,15.51,320,1011.48,14.01,2008-05
JM명월,2008-06-01,S11,11.05,86.67,17.96,15.52,317,1009.23,13.87,2008-06
JM명월,2008-07-01,S11,13.27,84.45,20.18,15.53,321,1008.75,13.99,2008-07
JM명월,2008-08-01,S11,12.6,85.12,19.63,15.43,274,1008.63,14.04,2008-08
JM명월,2008-09-01,S11,11.62,86.1,18.63,15.46,280,1014.32,13.95,2008-09
JM명월,2008-10-01,S11,10.92,86.8,17.93,15.47,287,1020.75,13.92,2008-10
JM명월,2008-11-01,S11,10.26,87.46,17.27,15.47,291,1024.11,13.38,2008-11
JM명월,2008-12-01,S11,9.95,87.77,16.96,15.48,295,1024.7,12.53,2008-12
JM명월,2009-01-01,S11,8.87,88.85,16.1,15.49,294,1026.81,12.3,2009-01
JM명월,2009-02-01,S11,8.54,89.18,15.77,15.49,288,1028.68,12.51,2009-02
JM명월,2009-03-01,S11,8.69,89.03,15.91,15.49,284,1022.07,12.83,2009-03
JM명월,2009-04-01,S11,8.65,89.07,15.87,15.49,280,1019.49,12.82,2009-04
JM명월,2009-05-01,S11,8.83,88.89,16.05,15.48,280,1016.56,12.83,2009-05
JM명월,2009-06-01,S11,9.07,88.66,16.57,15.52,283,1010.65,12.8,2009-06
JM명월,2009-07-01,S11,9.8,87.92,17.33,15.54,293,1010.5,12.84,2009-07
JM명월,2009-08-01,S11,10.57,87.15,18.1,15.54,305,1012.04,12.76,2009-08
JM명월,2009-09-01,S11,10.14,87.58,17.67,15.54,310,1016.2,12.77,2009-09
JM명월,2009-10-01,S11,9.89,87.83,17.42,15.54,310,1019.82,12.83,2009-10
JM명월,2009-11-01,S11,9.37,88.35,16.9,15.54,311,1024.76,12.43,2009-11
JM명월,2009-12-01,S11,9.0,88.72,16.53,15.54,312,1095.71,11.84,2009-12
JM명월,2010-01-01,S11,8.44,89.28,15.97,15.54,311,1700.32,11.94,2010-01
JM명월,2010-02-01,S11,8.22,89.5,15.69,15.53,307,1022.24,12.15,2010-02
JM명월,2010-03-01,S11,8.39,89.33,15.9,15.53,302,1021.02,12.6,2010-03
JM명월,2010-04-01,S11,9.59,88.13,17.1,15.53,303,1019.24,12.83,2010-04
JM명월,2010-05-01,S11,10.21,87.51,17.72,15.54,311,1012.67,12.87,2010-05
JM명월,2010-06-01,S11,9.89,87.83,17.4,15.53,316,1010.38,12.85,2010-06
JM명월,2010-07-01,S11,12.29,85.43,19.8,15.54,316,1009.13,12.88,2010-07
JM명월,2010-08-01,S11,13.29,84.43,20.8,15.55,296,1010.91,12.82,2010-08
JM명월,2010-09-01,S11,15.56,82.16,23.07,15.55,279,1013.06,12.81,2010-09
JM명월,2010-10-01,S11,14.63,83.09,22.13,15.54,281,1018.07,12.83,2010-10
JM명월,2010-11-01,S11,13.23,84.49,20.71,15.52,281,1021.3,12.55,2010-11
JM명월,2010-12-01,S11,12.2,85.52,19.67,15.51,284,1017.03,12.09,2010-12
JM명월,2011-01-01,S11,11.34,86.38,18.81,15.51,287,1025.29,11.86,2011-01
JM명월,2011-02-01,S11,10.66,87.06,18.13,15.51,290,1019.79,12.09,2011-02
JM명월,2011-03-01,S11,10.08,87.64,17.55,15.52,289,1021.31,12.85,2011-03
JM명월,2011-04-01,S11,9.65,88.07,17.12,15.54,284,1013.7,12.84,2011-04
JM명월,2011-05-01,S11,9.42,88.3,16.88,15.55,276,1009.24,12.82,2011-05
JM명월,2011-06-01,S11,9.37,88.35,16.82,15.57,271,1004.89,12.82,2011-06
JM명월,2011-07-01,S11,11.23,86.49,18.71,15.58,275,1004.04,12.85,2011-07
JM명월,2011-08-01,S11,11.83,85.89,19.35,15.5,292,1008.72,12.8,2011-08
JM명월,2011-09-01,S11,11.7,86.02,19.22,15.5,287,1011.6,12.8,2011-09
JM명월,2011-10-01,S11,10.92,86.8,18.44,15.51,287,1019.76,12.79,2011-10
JM명월,2011-11-01,S11,10.67,87.05,18.19,15.51,290,1021.28,12.41,2011-11
JM명월,2011-12-01,S11,11.66,86.06,19.17,15.51,294,930.82,12.12,2011-12
JM명월,2012-01-01,S11,10.84,86.88,18.35,15.5,293,937.39,12.34,2012-01
JM명월,2012-02-01,S11,10.15,87.57,17.66,15.5,296,1005.23,12.77,2012-02
JM명월,2012-03-01,S11,9.89,87.83,17.4,15.5,298,1020.65,12.95,2012-03
JM명월,2012-04-01,S11,10.51,87.21,18.02,15.49,297,1015.42,13.0,2012-04
JM명월,2012-05-01,S11,12.77,84.95,20.28,15.49,297,1012.84,13.03,2012-05
JM명월,2012-06-01,S11,12.12,85.6,19.63,15.49,287,1008.26,13.04,2012-06
JM명월,2012-07-01,S11,11.78,85.94,19.29,15.5,302,1008.18,13.01,2012-07
JM명월,2012-08-01,S11,12.26,85.46,19.77,15.49,304,1008.89,12.97,2012-08
