관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JM이도2,2007-01-01,S11,11.98,45.9,18.4,16.51,260,1024.68,12.85,2007-01
JM이도2,2007-02-01,S11,10.71,47.17,17.13,16.51,257,1019.45,13.04,2007-02
JM이도2,2007-03-01,S11,10.26,47.62,16.68,16.51,257,1017.34,13.05,2007-03
JM이도2,2007-04-01,S11,10.25,47.63,16.67,16.52,254,1015.5,13.12,2007-04
JM이도2,2007-05-01,S11,9.8,48.08,16.22,16.53,252,1008.07,13.18,2007-05
JM이도2,2007-06-01,S11,9.15,48.73,15.57,16.53,251,1006.67,13.16,2007-06
JM이도2,2007-07-01,S11,10.79,47.09,17.21,16.54,258,1002.81,13.15,2007-07
JM이도2,2007-08-01,S11,12.87,45.01,19.29,16.56,260,1006.44,13.25,2007-08
JM이도2,2007-09-01,S11,19.93,37.95,26.35,16.57,283,1008.58,13.05,2007-09
JM이도2,2007-10-01,S11,27.44,30.44,33.86,16.38,278,1016.32,13.13,2007-10
JM이도2,2007-11-01,S11,24.99,32.89,31.41,16.16,236,1020.73,13.09,2007-11
JM이도2,2007-12-01,S11,20.43,37.45,26.85,16.42,251,1018.91,12.91,2007-12
JM이도2,2008-01-01,S11,16.5,41.38,22.92,16.51,252,1021.29,12.85,2008-01
JM이도2,2008-02-01,S11,14.92,42.96,21.34,16.51,252,1022.05,13.04,2008-02
JM이도2,2008-03-01,S11,13.21,44.67,19.63,16.51,273,1015.83,13.15,2008-03
JM이도2,2008-04-01,S11,12.02,45.86,18.44,16.52,282,1012.56,13.24,2008-04
JM이도2,2008-05-01,S11,11.32,46.56,17.74,16.54,336,1007.7,13.3,2008-05
JM이도2,2008-06-01,S11,11.49,46.39,17.91,16.59,328,1006.16,13.21,2008-06
JM이도2,2008-07-01,S11,13.71,44.17,20.13,16.61,310,1005.95,13.33,2008-07
JM이도2,2008-08-01,S11,13.62,44.26,20.04,16.62,299,1006.52,13.31,2008-08
JM이도2,2008-09-01,S11,12.32,45.56,18.74,16.62,288,1011.45,13.23,2008-09
JM이도2,2008-10-01,S11,11.1,46.78,17.52,16.61,281,1017.77,13.25,2008-10
JM이도2,2008-11-01,S11,10.32,47.57,16.74,16.61,300,1021.14,12.83,2008-11
JM이도2,2008-12-01,S11,9.63,48.25,16.05,16.59,351,1022.72,12.56,2008-12
JM이도2,2009-01-01,S11,9.02,48.86,15.52,16.59,340,1023.78,12.02,2009-01
JM이도2,2009-02-01,S11,8.83,49.05,15.53,16.6,350,1019.04,12.86,2009-02
JM이도2,2009-03-01,S11,9.33,48.55,16.03,16.6,352,1018.91,12.97,2009-03
JM이도2,2009-04-01,S11,9.73,48.15,16.43,16.61,274,1016.1,13.1,2009-04
JM이도2,2009-05-01,S11,10.09,47.79,16.88,16.6,294,1012.79,12.86,2009-05
JM이도2,2009-06-01,S11,9.57,48.47,16.27,16.7,289,1005.81,12.57,2009-06
JM이도2,2009-07-01,S11,9.63,48.65,16.09,16.89,323,1005.21,12.6,2009-07
JM이도2,2009-08-01,S11,10.46,47.82,16.88,16.84,321,1008.32,12.52,2009-08
JM이도2,2009-09-01,S11,12.23,46.05,18.59,16.73,305,1008.48,12.59,2009-09
JM이도2,2009-10-01,S11,13.1,45.18,19.46,16.7,302,1012.03,12.61,2009-10
JM이도2,2009-11-01,S11,12.46,45.82,18.82,16.72,301,1017.47,12.28,2009-11
JM이도2,2009-12-01,S11,11.68,46.6,18.04,16.77,290,1017.01,12.25,2009-12
JM이도2,2010-01-01,S11,10.38,47.9,16.74,16.8,280,1018.72,12.18,2010-01
JM이도2,2010-02-01,S11,9.64,48.64,15.93,16.83,281,1015.22,12.38,2010-02
JM이도2,2010-03-01,S11,10.52,47.76,16.8,16.8,281,1014.43,12.39,2010-03
JM이도2,2010-04-01,S11,12.67,45.61,18.95,16.83,283,1012.9,12.58,2010-04
JM이도2,2010-05-01,S11,13.51,44.77,19.79,16.86,288,1006.16,12.63,2010-05
JM이도2,2010-06-01,S11,12.68,45.6,18.96,16.88,285,1004.16,12.62,2010-06
JM이도2,2010-07-01,S11,14.13,44.15,20.38,16.94,290,1002.83,12.61,2010-07
JM이도2,2010-08-01,S11,17.28,41.0,23.51,16.99,297,1004.71,12.55,2010-08
JM이도2,2010-09-01,S11,23.48,34.8,29.69,17.03,292,1007.48,12.53,2010-09
JM이도2,2010-10-01,S11,25.04,33.24,31.24,17.05,315,1012.68,12.58,2010-10
JM이도2,2010-11-01,S11,21.67,36.61,27.8,17.06,309,1015.59,12.58,2010-11
JM이도2,2010-12-01,S11,17.8,40.48,23.93,17.08,309,1012.22,12.34,2010-12
JM이도2,2011-01-01,S11,14.4,43.88,20.53,17.08,304,1020.82,11.71,2011-01
JM이도2,2011-02-01,S11,12.15,46.13,18.28,17.09,303,1015.32,12.44,2011-02
JM이도2,2011-03-01,S11,10.69,47.59,16.82,17.11,300,1016.89,12.61,2011-03
JM이도2,2011-04-01,S11,9.73,48.55,15.88,17.15,301,1009.61,12.62,2011-04
JM이도2,2011-05-01,S11,9.14,49.14,15.3,17.19,305,1005.48,12.58,2011-05
JM이도2,2011-06-01,S11,9.55,48.73,15.71,17.22,301,1001.09,12.58,2011-06
JM이도2,2011-07-01,S11,15.42,42.86,21.58,17.24,297,1000.28,12.59,2011-07
JM이도2,2011-08-01,S11,18.99,39.29,25.15,17.27,297,1001.94,12.5,2011-08
JM이도2,2011-09-01,S11,21.44,36.84,27.6,17.28,303,1005.59,12.51,2011-09
JM이도2,2011-10-01,S11,19.54,38.74,25.71,17.29,310,1013.4,12.54,2011-10
JM이도2,2011-11-01,S11,16.93,41.36,23.2,17.28,306,1015.58,12.34,2011-11
JM이도2,2011-12-01,S11,16.45,41.83,22.72,17.29,309,1020.56,12.01,2011-12
