관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JQ가시11,2023-02-01,S11,29.59,59.41,0.56,16.81,454,1025.37,13.28,2023-02
JQ가시11,2023-03-01,S11,29.57,59.43,0.57,16.8,375,1017.01,13.28,2023-03
JQ가시11,2023-04-01,S11,29.67,59.33,0.67,16.78,356,1012.34,13.32,2023-04
JQ가시11,2023-05-01,S11,29.81,59.19,0.81,16.77,360,1010.62,13.33,2023-05
JQ가시11,2023-06-01,S11,29.84,59.16,0.84,16.75,342,1005.63,13.33,2023-06
JQ가시11,2023-07-01,S11,29.75,59.25,0.75,16.74,342,1006.55,13.33,2023-07
JQ가시11,2023-08-01,S11,29.72,59.28,0.72,16.73,335,1003.25,13.34,2023-08
JQ가시11,2023-09-01,S11,29.66,59.35,0.66,16.73,333,1010.4,13.31,2023-09
JQ가시11,2023-10-01,S11,29.62,59.38,0.62,16.72,331,1016.81,13.27,2023-10
JQ가시11,2023-11-01,S11,29.58,59.42,0.57,16.71,336,1019.8,13.24,2023-11
JQ가시11,2023-12-01,S11,29.56,59.44,0.55,16.69,353,1022.16,13.18,2023-12
JQ가시11,2024-01-01,S11,29.6,59.4,0.59,16.69,376,1022.28,13.2,2024-01
JQ가시11,2024-02-01,S11,29.63,59.37,0.62,16.68,394,1020.87,13.21,2024-02
JQ가시11,2024-03-01,S11,29.8,59.2,0.79,16.69,382,1016.82,13.27,2024-03
JQ가시11,2024-04-01,S11,29.89,59.11,0.88,16.7,348,1012.16,13.32,2024-04
JQ가시11,2024-05-01,S11,29.85,59.15,0.85,16.7,329,1012.67,13.37,2024-05
JQ가시11,2024-06-01,S11,29.85,59.15,0.85,16.7,317,1007.68,13.34,2024-06
JQ가시11,2024-07-01,S11,29.97,59.03,0.97,16.71,307,1007.52,13.34,2024-07
JQ가시11,2024-08-01,S11,29.85,59.15,0.85,16.72,297,1006.15,13.33,2024-08
JQ가시11,2024-09-01,S11,29.82,59.18,0.76,16.73,295,1011.15,13.29,2024-09
JQ가시11,2024-10-01,S11,29.77,59.23,0.68,16.73,286,1017.08,13.27,2024-10
JQ가시11,2024-11-01,S11,29.9,59.11,0.81,16.74,282,1019.85,13.21,2024-11
JQ가시11,2024-12-01,S11,29.83,59.17,0.74,16.75,289,1021.85,13.2,2024-12
JQ가시11,2025-01-01,S11,29.75,59.26,0.66,16.74,311,1022.37,13.19,2025-01
JQ가시11,2025-02-01,S11,29.7,59.3,0.61,16.73,352,1022.62,13.22,2025-02
JQ가시11,2025-03-01,S11,29.75,59.25,0.66,16.73,323,1017.24,13.27,2025-03
JQ가시11,2025-04-01,S11,29.79,59.21,0.72,16.72,315,1011.87,13.33,2025-04
JQ가시11,2025-05-01,S11,29.77,59.23,0.78,16.73,291,1010.85,13.35,2025-05
JQ가시11,2025-06-01,S11,29.85,59.15,0.86,16.75,281,1007.65,13.36,2025-06
JQ가시11,2025-07-01,S11,29.74,59.26,0.75,16.75,273,1006.54,13.34,2025-07
JQ가시11,2025-08-01,S11,29.62,59.38,0.63,16.74,263,1009.09,13.31,2025-08
JQ가시11,2025-09-01,S11,29.7,59.3,0.71,16.74,258,1011.91,13.29,2025-09
JQ가시11,2025-10-01,S11,29.89,59.11,0.87,16.76,252,1017.36,13.26,2025-10
JQ가시11,2025-11-01,S11,29.8,59.2,0.78,16.78,247,1020.57,13.22,2025-11
JQ가시11,2025-12-01,S11,29.69,59.31,0.67,16.74,244,1021.48,13.18,2025-12
JQ가시11,2026-01-01,S11,29.63,59.37,0.61,16.73,245,1021.96,13.19,2026-01
JQ가시11,2026-02-01,S11,29.54,59.46,0.52,16.75,238,1019.76,13.21,2026-02
JQ가시11,2026-03-01,S11,29.49,59.51,0.47,16.74,254,1018.73,13.28,2026-03
JQ가시11,2026-04-01,S11,29.23,59.77,0.21,16.74,238,1011.86,13.29,2026-04
JQ가시11,2026-05-01,S11,29.15,59.85,0.19,16.74,242,1011.7,13.34,2026-05
JQ가시11,2026-06-01,S11,29.25,59.75,0.32,16.74,248,1007.39,13.31,2026-06
