관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JQ금능1,2019-09-01,S11,19.03,40.68,19.1,15.35,3376.0,1011.31,13.15,2019-09
JQ금능1,2019-10-01,S11,20.32,40.7,20.43,15.46,3191.0,1017.61,13.06,2019-10
JQ금능1,2019-11-01,S11,19.43,40.57,18.82,15.46,2780.0,1021.58,12.99,2019-11
JQ금능1,2019-12-01,S11,17.44,42.56,15.93,15.46,2385.0,1025.37,12.93,2019-12
JQ금능1,2020-01-01,S11,,,,,,,12.95,2020-01
JQ금능1,2020-02-01,S11,,,,,,,12.98,2020-02
JQ금능1,2020-03-01,S11,,,,,,,13.03,2020-03
JQ금능1,2020-04-01,S11,,,,,,,13.08,2020-04
JQ금능1,2020-05-01,S11,,,,,,,13.13,2020-05
JQ금능1,2020-06-01,S11,,,,,,,13.15,2020-06
JQ금능1,2020-07-01,S11,,,,,,,13.15,2020-07
JQ금능1,2020-08-01,S11,,,,,,,13.16,2020-08
JQ금능1,2020-09-01,S11,,,,,,,13.08,2020-09
JQ금능1,2020-10-01,S11,25.09,34.91,16.48,13.57,1823.0,895.52,13.04,2020-10
JQ금능1,2020-11-01,S11,,,,,,,12.97,2020-11
JQ금능1,2020-12-01,S11,,,,,,,12.98,2020-12
JQ금능1,2021-01-01,S11,,,,,,,12.97,2021-01
JQ금능1,2021-02-01,S11,,,,,,,13.02,2021-02
JQ금능1,2021-03-01,S11,60.0,0.0,0.0,0.0,,0.0,13.06,2021-03
JQ금능1,2021-04-01,S11,,,,,,,13.11,2021-04
JQ금능1,2021-05-01,S11,15.71,44.29,15.58,15.43,1642.0,1009.22,13.12,2021-05
JQ금능1,2021-06-01,S11,16.1,43.9,16.14,15.43,1824.0,1007.64,13.14,2021-06
JQ금능1,2021-07-01,S11,16.83,43.17,16.85,15.42,1814.0,1008.25,13.12,2021-07
JQ금능1,2021-08-01,S11,16.78,43.22,16.79,15.43,1778.0,1008.66,13.1,2021-08
JQ금능1,2021-09-01,S11,17.19,42.81,17.19,15.43,1799.0,1012.35,13.06,2021-09
JQ금능1,2021-10-01,S11,17.34,42.66,17.34,15.43,1756.0,994.76,13.04,2021-10
JQ금능1,2021-11-01,S11,16.37,43.63,16.37,15.43,1656.0,1021.2,13.0,2021-11
JQ금능1,2021-12-01,S11,15.26,44.74,15.26,15.43,1610.0,1025.79,12.97,2021-12
JQ금능1,2022-01-01,S11,14.3,45.7,14.3,15.43,1578.0,1024.94,12.98,2022-01
JQ금능1,2022-02-01,S11,13.46,46.54,13.46,15.43,1557.0,1026.71,13.02,2022-02
JQ금능1,2022-03-01,S11,12.72,47.28,12.72,15.43,1583.0,1018.8,13.04,2022-03
JQ금능1,2022-04-01,S11,12.49,47.51,12.49,15.43,1633.0,1018.33,13.09,2022-04
JQ금능1,2022-05-01,S11,12.1,47.9,12.1,15.43,1624.0,1014.66,13.12,2022-05
JQ금능1,2022-06-01,S11,11.65,48.35,11.65,15.43,1579.0,1009.09,13.13,2022-06
JQ금능1,2022-07-01,S11,11.86,48.14,11.86,15.43,1620.0,1007.48,13.12,2022-07
JQ금능1,2022-08-01,S11,12.73,47.27,12.73,15.43,1695.0,1009.68,13.11,2022-08
JQ금능1,2022-09-01,S11,14.28,45.73,14.28,15.43,1619.0,1012.38,13.07,2022-09
JQ금능1,2022-10-01,S11,13.94,46.06,13.94,15.43,1461.0,1022.56,13.03,2022-10
JQ금능1,2022-11-01,S11,12.54,47.46,12.57,15.43,1369.0,1021.96,12.99,2022-11
JQ금능1,2022-12-01,S11,11.88,48.13,11.94,15.43,1453.0,1026.02,12.95,2022-12
JQ금능1,2023-01-01,S11,11.24,48.76,11.3,15.43,1500.0,1026.06,12.94,2023-01
JQ금능1,2023-02-01,S11,10.91,49.09,10.97,15.43,1534.0,1026.38,13.0,2023-02
