관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JQ납읍1,2024-02-01,S11,6.7,93.3,7.08,16.17,2130,1021.69,13.21,2024-02
JQ납읍1,2024-03-01,S11,5.31,94.69,5.75,16.3,1319,1015.61,13.21,2024-03
JQ납읍1,2024-04-01,S11,4.51,95.49,5.25,16.38,450,1010.64,13.21,2024-04
JQ납읍1,2024-05-01,S11,7.35,92.65,8.3,16.35,409,1011.47,13.31,2024-05
JQ납읍1,2024-06-01,S11,7.1,92.9,8.05,16.36,385,1006.51,13.26,2024-06
JQ납읍1,2024-07-01,S11,22.02,77.98,10.36,16.41,370,1005.85,13.26,2024-07
JQ납읍1,2024-08-01,S11,39.05,60.95,8.55,16.43,364,1004.59,13.21,2024-08
JQ납읍1,2024-09-01,S11,40.35,59.65,9.85,16.42,380,1009.26,13.0,2024-09
JQ납읍1,2024-10-01,S11,39.36,60.64,8.86,16.43,370,1015.59,12.41,2024-10
JQ납읍1,2024-11-01,S11,40.91,59.09,10.41,16.43,362,1019.0,12.25,2024-11
JQ납읍1,2024-12-01,S11,38.62,61.38,8.12,16.36,340,1022.46,12.88,2024-12
JQ납읍1,2025-01-01,S11,37.46,62.54,6.96,16.36,374,1022.95,13.03,2025-01
JQ납읍1,2025-02-01,S11,37.3,62.7,6.8,16.34,367,1023.64,13.08,2025-02
JQ납읍1,2025-03-01,S11,37.46,62.54,6.96,16.32,372,1017.73,13.18,2025-03
JQ납읍1,2025-04-01,S11,37.27,62.73,6.76,16.31,366,1012.47,13.28,2025-04
JQ납읍1,2025-05-01,S11,37.85,62.15,7.34,16.31,364,1011.29,13.3,2025-05
JQ납읍1,2025-06-01,S11,38.98,61.02,8.47,16.31,382,1007.91,13.33,2025-06
JQ납읍1,2025-07-01,S11,39.1,60.9,8.59,16.33,410,1006.58,13.36,2025-07
JQ납읍1,2025-08-01,S11,39.12,60.88,8.61,16.33,386,1009.46,13.31,2025-08
JQ납읍1,2025-09-01,S11,40.74,59.26,10.23,16.34,395,1012.36,13.27,2025-09
JQ납읍1,2025-10-01,S11,40.57,59.43,10.06,16.37,395,1018.13,13.21,2025-10
JQ납읍1,2025-11-01,S11,38.88,61.12,8.37,16.37,383,1021.56,13.18,2025-11
JQ납읍1,2025-12-01,S11,37.54,62.46,7.01,16.37,384,1022.63,13.14,2025-12
JQ납읍1,2026-01-01,S11,37.18,62.82,6.65,16.35,388,1023.43,13.13,2026-01
JQ납읍1,2026-02-01,S11,37.27,62.73,6.74,16.32,404,1020.98,13.15,2026-02
JQ납읍1,2026-03-01,S11,37.74,62.26,7.21,16.31,444,1019.8,13.22,2026-03
JQ납읍1,2026-04-01,S11,39.16,60.84,8.63,16.31,422,1012.56,13.25,2026-04
JQ납읍1,2026-05-01,S11,38.13,61.87,7.62,16.32,417,1012.28,13.33,2026-05
JQ납읍1,2026-06-01,S11,39.42,60.58,8.92,16.32,410,1007.39,13.28,2026-06
