관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JQ대흘1,2025-03-01,S11,4.82,138.19,21.61,14.98,107,1020.24,13.32,2025-03
JQ대흘1,2025-04-01,S11,4.65,138.35,21.45,14.97,106,1016.11,13.36,2025-04
JQ대흘1,2025-05-01,S11,4.43,138.57,21.24,14.97,106,1015.29,13.38,2025-05
JQ대흘1,2025-06-01,S11,4.45,138.55,21.26,14.97,105,1012.21,13.39,2025-06
JQ대흘1,2025-07-01,S11,4.62,138.38,21.43,14.96,106,1011.53,13.38,2025-07
JQ대흘1,2025-08-01,S11,4.55,138.45,21.36,14.97,108,1014.28,13.36,2025-08
JQ대흘1,2025-09-01,S11,4.77,138.23,21.58,14.99,110,1017.45,13.32,2025-09
JQ대흘1,2025-10-01,S11,5.99,137.01,22.84,14.96,110,1023.16,13.29,2025-10
JQ대흘1,2025-11-01,S11,5.09,137.91,21.97,14.98,111,1026.37,13.28,2025-11
JQ대흘1,2025-12-01,S11,4.44,138.56,21.32,14.96,112,1027.48,13.24,2025-12
JQ대흘1,2026-01-01,S11,4.04,138.96,20.92,14.94,113,1028.08,13.25,2026-01
JQ대흘1,2026-02-01,S11,3.79,139.21,20.67,14.94,113,1025.94,13.26,2026-02
JQ대흘1,2026-03-01,S11,3.98,139.02,20.86,14.97,110,1024.95,13.31,2026-03
JQ대흘1,2026-04-01,S11,4.37,138.63,21.25,14.97,110,1017.89,13.34,2026-04
JQ대흘1,2026-05-01,S11,4.61,138.39,21.49,14.98,111,1017.54,13.38,2026-05
