관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JQ명월2,2018-11-01,S11,,,,,,,,2018-11
JQ명월2,2018-12-01,S11,10.09,121.92,3.95,15.56,316.0,1025.96,12.62,2018-12
JQ명월2,2019-01-01,S11,9.55,122.45,3.4,15.59,314.0,1025.04,12.8,2019-01
JQ명월2,2019-02-01,S11,9.12,122.88,2.95,15.61,313.0,1022.51,12.84,2019-02
JQ명월2,2019-03-01,S11,8.88,123.12,2.71,15.62,309.0,1018.57,12.95,2019-03
JQ명월2,2019-04-01,S11,8.22,123.78,1.95,15.56,297.0,1014.09,12.99,2019-04
JQ명월2,2019-05-01,S11,7.82,124.18,1.57,15.57,293.0,1012.29,13.02,2019-05
JQ명월2,2019-06-01,S11,8.06,123.94,5.53,15.59,294.0,1007.64,13.01,2019-06
JQ명월2,2019-07-01,S11,9.55,122.45,9.18,15.56,286.0,1006.88,13.0,2019-07
JQ명월2,2019-08-01,S11,11.48,120.52,11.15,15.55,289.0,1007.52,13.02,2019-08
JQ명월2,2019-09-01,S11,14.67,117.33,14.36,15.57,302.0,1013.13,12.96,2019-09
JQ명월2,2019-10-01,S11,17.56,114.44,17.31,15.57,314.0,1018.25,12.94,2019-10
JQ명월2,2019-11-01,S11,16.11,115.89,15.86,15.55,310.0,1022.23,12.88,2019-11
JQ명월2,2019-12-01,S11,14.51,117.49,14.26,15.55,304.0,1025.06,12.74,2019-12
JQ명월2,2020-01-01,S11,13.43,118.57,13.18,15.55,301.0,1022.59,12.63,2020-01
JQ명월2,2020-02-01,S11,12.8,119.2,12.55,15.54,299.0,1024.7,12.74,2020-02
JQ명월2,2020-03-01,S11,12.28,119.72,12.03,15.55,297.0,1018.66,12.83,2020-03
JQ명월2,2020-04-01,S11,11.72,120.28,11.47,15.56,295.0,1019.05,12.95,2020-04
JQ명월2,2020-05-01,S11,11.47,120.53,11.22,15.56,296.0,1011.55,12.98,2020-05
JQ명월2,2020-06-01,S11,11.14,120.86,11.3,15.57,295.0,1007.72,12.97,2020-06
JQ명월2,2020-07-01,S11,13.02,118.98,13.57,15.57,296.0,1007.96,12.95,2020-07
JQ명월2,2020-08-01,S11,13.16,118.84,13.71,15.57,303.0,1010.18,13.0,2020-08
JQ명월2,2020-09-01,S11,15.97,116.03,16.52,15.59,305.0,1012.06,12.94,2020-09
JQ명월2,2020-10-01,S11,16.29,115.71,16.85,15.58,307.0,1020.45,12.92,2020-10
JQ명월2,2020-11-01,S11,14.62,117.38,15.17,15.57,304.0,1024.89,12.8,2020-11
JQ명월2,2020-12-01,S11,13.36,118.64,13.85,15.56,298.0,1026.14,12.73,2020-12
JQ명월2,2021-01-01,S11,12.42,119.58,12.91,15.56,295.0,1024.3,12.61,2021-01
JQ명월2,2021-02-01,S11,11.86,120.14,12.35,15.55,292.0,1021.77,12.75,2021-02
JQ명월2,2021-03-01,S11,11.46,120.54,11.95,15.56,290.0,1019.82,12.87,2021-03
JQ명월2,2021-04-01,S11,11.31,120.69,11.79,15.56,276.0,1018.78,12.93,2021-04
JQ명월2,2021-05-01,S11,11.39,120.61,7.75,15.69,283.0,1010.5,12.98,2021-05
JQ명월2,2021-06-01,S11,11.71,120.29,10.28,15.62,286.0,1008.37,13.02,2021-06
JQ명월2,2021-07-01,S11,12.11,119.89,12.64,15.58,290.0,1008.91,12.99,2021-07
JQ명월2,2021-08-01,S11,11.85,120.15,12.38,15.58,282.0,1009.25,12.96,2021-08
JQ명월2,2021-09-01,S11,12.55,119.45,13.08,15.58,278.0,1012.89,12.93,2021-09
JQ명월2,2021-10-01,S11,12.82,119.18,13.35,15.58,280.0,1021.09,12.9,2021-10
JQ명월2,2021-11-01,S11,11.79,120.21,12.33,15.57,283.0,1021.17,12.81,2021-11
JQ명월2,2021-12-01,S11,10.92,121.08,11.46,15.57,280.0,1025.59,12.67,2021-12
JQ명월2,2022-01-01,S11,10.11,121.89,10.65,15.57,277.0,1024.62,12.63,2022-01
JQ명월2,2022-02-01,S11,9.57,122.43,10.11,15.57,274.0,1026.24,12.75,2022-02
JQ명월2,2022-03-01,S11,9.24,122.76,9.78,15.57,272.0,1018.41,12.79,2022-03
JQ명월2,2022-04-01,S11,9.21,122.8,9.72,15.59,288.0,1017.98,12.95,2022-04
JQ명월2,2022-05-01,S11,8.98,123.02,9.5,15.59,292.0,1014.33,12.99,2022-05
JQ명월2,2022-06-01,S11,8.67,123.33,9.26,15.6,280.0,1008.87,13.01,2022-06
JQ명월2,2022-07-01,S11,8.82,123.18,9.4,15.6,284.0,1007.48,13.02,2022-07
JQ명월2,2022-08-01,S11,9.39,122.61,9.97,15.61,286.0,1009.6,13.02,2022-08
JQ명월2,2022-09-01,S11,10.41,121.59,10.99,15.61,290.0,1015.27,12.94,2022-09
JQ명월2,2022-10-01,S11,9.88,122.12,10.67,15.57,287.0,1022.65,12.86,2022-10
JQ명월2,2022-11-01,S11,9.14,122.86,9.97,15.56,290.0,1021.3,12.76,2022-11
JQ명월2,2022-12-01,S11,8.8,123.2,9.63,15.56,291.0,1025.11,12.41,2022-12
JQ명월2,2023-01-01,S11,8.48,123.52,9.31,15.57,291.0,1025.15,12.03,2023-01
JQ명월2,2023-02-01,S11,8.32,123.68,9.15,15.57,289.0,1025.53,11.96,2023-02
