관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JQ상대1,2019-09-01,S11,13.27,69.73,13.12,15.98,257,1017.78,13.01,2019-09
JQ상대1,2019-10-01,S11,15.89,67.11,15.76,15.97,264,1015.14,13.07,2019-10
JQ상대1,2019-11-01,S11,17.6,65.41,17.5,15.89,251,1011.34,13.03,2019-11
JQ상대1,2019-12-01,S11,17.42,65.58,17.29,15.84,252,1024.55,12.95,2019-12
JQ상대1,2020-01-01,S11,16.47,66.53,16.34,15.82,256,1021.55,12.95,2020-01
JQ상대1,2020-02-01,S11,15.45,67.55,15.32,15.82,260,1019.1,12.99,2020-02
JQ상대1,2020-03-01,S11,14.27,68.73,14.14,15.81,265,1018.22,13.04,2020-03
JQ상대1,2020-04-01,S11,13.21,69.79,13.09,15.8,263,1013.35,13.09,2020-04
JQ상대1,2020-05-01,S11,12.19,70.81,12.09,15.79,260,1010.13,13.13,2020-05
JQ상대1,2020-06-01,S11,11.53,71.47,11.43,15.79,264,1008.43,13.12,2020-06
JQ상대1,2020-07-01,S11,12.17,70.83,12.07,15.84,244,1006.22,13.11,2020-07
JQ상대1,2020-08-01,S11,12.55,70.45,12.45,15.82,221,1008.66,13.13,2020-08
JQ상대1,2020-09-01,S11,14.99,68.02,14.89,15.92,251,1002.1,13.08,2020-09
JQ상대1,2020-10-01,S11,17.45,65.55,17.35,15.91,248,1000.15,13.08,2020-10
JQ상대1,2020-11-01,S11,17.72,65.28,17.64,15.81,238,1009.83,13.04,2020-11
JQ상대1,2020-12-01,S11,16.87,66.13,16.81,15.79,251,1025.73,13.0,2020-12
JQ상대1,2021-01-01,S11,15.67,67.33,15.61,15.78,242,1024.29,12.99,2021-01
JQ상대1,2021-02-01,S11,14.51,68.49,14.45,15.77,243,1022.15,13.04,2021-02
JQ상대1,2021-03-01,S11,13.43,69.57,13.37,15.77,247,1022.4,13.08,2021-03
JQ상대1,2021-04-01,S11,12.56,70.44,12.48,15.76,242,1019.85,13.12,2021-04
JQ상대1,2021-05-01,S11,11.94,71.06,11.83,15.76,238,1010.83,13.12,2021-05
JQ상대1,2021-06-01,S11,11.62,71.39,11.61,15.76,240,1008.49,13.15,2021-06
JQ상대1,2021-07-01,S11,11.55,71.45,11.57,15.76,236,1008.7,13.14,2021-07
JQ상대1,2021-08-01,S11,11.51,71.49,11.46,15.75,238,1007.22,13.1,2021-08
JQ상대1,2021-09-01,S11,12.03,70.97,11.94,15.77,240,1011.63,13.06,2021-09
JQ상대1,2021-10-01,S11,12.76,70.24,12.66,15.78,211,1020.41,13.05,2021-10
JQ상대1,2021-11-01,S11,12.85,70.15,12.74,15.75,179,1023.24,13.03,2021-11
JQ상대1,2021-12-01,S11,12.51,70.49,12.4,15.75,185,1026.97,13.0,2021-12
JQ상대1,2022-01-01,S11,11.67,71.33,13.4,15.75,186,857.68,13.01,2022-01
JQ상대1,2022-02-01,S11,10.84,72.16,12.8,15.75,181,837.0,13.05,2022-02
JQ상대1,2022-03-01,S11,9.95,73.05,11.91,15.75,181,837.3,13.08,2022-03
JQ상대1,2022-04-01,S11,9.42,73.58,11.38,15.76,182,838.0,13.14,2022-04
JQ상대1,2022-05-01,S11,8.93,74.07,10.89,15.76,183,838.54,13.15,2022-05
JQ상대1,2022-06-01,S11,8.41,74.59,10.37,15.76,184,839.0,13.16,2022-06
JQ상대1,2022-07-01,S11,8.11,74.89,10.07,15.77,190,839.43,13.13,2022-07
JQ상대1,2022-08-01,S11,8.04,74.96,10.0,15.78,197,840.31,13.12,2022-08
JQ상대1,2022-09-01,S11,8.41,74.59,10.37,15.79,196,841.0,13.08,2022-09
JQ상대1,2022-10-01,S11,8.69,74.31,10.65,15.77,196,841.0,13.06,2022-10
JQ상대1,2022-11-01,S11,8.71,74.29,10.54,15.77,197,841.0,13.02,2022-11
JQ상대1,2022-12-01,S11,8.65,74.35,10.37,15.78,203,841.0,12.97,2022-12
JQ상대1,2023-01-01,S11,8.27,74.73,9.99,15.78,198,842.09,12.96,2023-01
JQ상대1,2023-02-01,S11,7.96,75.04,9.68,15.79,198,843.16,13.02,2023-02
JQ상대1,2023-03-01,S11,7.66,75.34,9.33,15.78,197,844.53,13.09,2023-03
JQ상대1,2023-04-01,S11,7.7,75.3,9.28,15.8,198,846.37,13.11,2023-04
JQ상대1,2023-05-01,S11,8.57,74.43,10.15,15.86,193,848.17,13.11,2023-05
JQ상대1,2023-06-01,S11,9.8,73.2,11.38,15.86,181,850.47,13.06,2023-06
JQ상대1,2023-07-01,S11,11.3,71.7,12.88,15.9,186,853.24,13.07,2023-07
JQ상대1,2023-08-01,S11,12.65,70.35,14.23,15.91,196,855.27,12.9,2023-08
JQ상대1,2023-09-01,S11,14.03,68.97,15.61,15.88,192,856.8,12.57,2023-09
JQ상대1,2023-10-01,S11,14.58,68.42,14.95,15.86,262,951.04,12.56,2023-10
JQ상대1,2023-11-01,S11,14.39,68.61,13.84,15.85,315,1022.71,12.89,2023-11
JQ상대1,2023-12-01,S11,13.71,69.29,13.16,15.84,312,1024.95,12.83,2023-12
JQ상대1,2024-01-01,S11,12.81,70.19,12.26,15.83,313,1025.22,12.9,2024-01
JQ상대1,2024-02-01,S11,12.01,70.99,11.46,15.83,314,1023.25,12.89,2024-02
JQ상대1,2024-03-01,S11,11.49,71.51,10.94,15.83,315,1019.52,13.05,2024-03
JQ상대1,2024-04-01,S11,11.18,71.82,10.65,15.82,317,1014.47,13.11,2024-04
JQ상대1,2024-05-01,S11,11.33,71.67,10.8,15.83,319,1015.42,13.13,2024-05
JQ상대1,2024-06-01,S11,11.47,71.53,10.92,15.83,320,1010.36,13.09,2024-06
JQ상대1,2024-07-01,S11,12.57,70.43,12.02,15.91,331,1009.91,13.11,2024-07
JQ상대1,2024-08-01,S11,12.73,70.27,12.18,15.87,321,1009.01,13.06,2024-08
JQ상대1,2024-09-01,S11,12.91,70.09,12.36,15.85,322,1013.77,12.9,2024-09
JQ상대1,2024-10-01,S11,13.0,70.0,12.45,15.83,347,1020.22,13.03,2024-10
JQ상대1,2024-11-01,S11,13.51,69.49,12.96,15.84,371,1023.38,12.98,2024-11
JQ상대1,2024-12-01,S11,13.53,69.47,12.98,15.82,368,1025.98,12.98,2024-12
JQ상대1,2025-01-01,S11,13.05,69.95,12.5,15.8,369,1026.28,12.99,2025-01
JQ상대1,2025-02-01,S11,12.35,70.65,11.8,15.8,369,1026.85,13.02,2025-02
JQ상대1,2025-03-01,S11,11.56,71.44,11.01,15.8,360,1020.8,13.08,2025-03
JQ상대1,2025-04-01,S11,10.8,72.2,10.23,15.8,347,1015.45,13.13,2025-04
JQ상대1,2025-05-01,S11,10.27,72.73,9.7,15.8,327,1014.23,13.12,2025-05
JQ상대1,2025-06-01,S11,10.01,72.99,9.44,15.79,338,1010.81,13.11,2025-06
JQ상대1,2025-07-01,S11,9.8,73.2,9.23,15.81,352,1009.39,13.09,2025-07
JQ상대1,2025-08-01,S11,9.47,73.53,8.9,15.8,353,1012.3,12.96,2025-08
JQ상대1,2025-09-01,S11,9.29,73.71,8.72,15.81,352,1015.17,12.67,2025-09
