관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JQ선흘2,2024-02-01,S11,4.81,55.2,4.71,15.51,179,1024.0,13.07,2024-02
JQ선흘2,2024-03-01,S11,4.86,55.14,21.85,15.33,192,1021.74,13.26,2024-03
JQ선흘2,2024-04-01,S11,3.94,56.06,23.8,15.26,168,1017.1,13.29,2024-04
JQ선흘2,2024-05-01,S11,3.7,56.3,23.59,15.27,167,1017.68,13.35,2024-05
JQ선흘2,2024-06-01,S11,3.42,56.58,23.39,15.24,167,1012.62,13.35,2024-06
JQ선흘2,2024-07-01,S11,4.09,55.91,24.06,15.3,171,1012.02,13.37,2024-07
JQ선흘2,2024-08-01,S11,3.64,56.36,23.61,15.26,173,1011.56,13.36,2024-08
JQ선흘2,2024-09-01,S11,3.22,56.79,23.19,15.25,168,1016.76,13.3,2024-09
JQ선흘2,2024-10-01,S11,3.68,56.32,23.66,15.27,165,1023.41,13.22,2024-10
JQ선흘2,2024-11-01,S11,6.27,53.73,26.25,15.35,196,1026.41,13.17,2024-11
JQ선흘2,2024-12-01,S11,4.39,55.61,24.37,15.3,214,1028.75,13.15,2024-12
JQ선흘2,2025-01-01,S11,3.32,56.68,23.3,15.25,215,1029.22,13.18,2025-01
JQ선흘2,2025-02-01,S11,2.87,57.13,22.85,15.23,200,1029.78,13.19,2025-02
JQ선흘2,2025-03-01,S11,2.73,57.27,22.71,15.23,187,1024.06,13.25,2025-03
JQ선흘2,2025-04-01,S11,2.64,57.36,22.62,15.2,181,1018.31,13.3,2025-04
JQ선흘2,2025-05-01,S11,2.54,57.46,22.51,15.18,177,1017.31,13.32,2025-05
JQ선흘2,2025-06-01,S11,2.6,57.4,22.55,15.2,168,1013.86,13.36,2025-06
JQ선흘2,2025-07-01,S11,2.77,57.23,22.72,15.24,163,1012.79,13.35,2025-07
JQ선흘2,2025-08-01,S11,2.67,57.33,22.62,15.24,163,1015.33,13.31,2025-08
JQ선흘2,2025-09-01,S11,2.88,57.12,22.83,15.29,165,1018.48,13.23,2025-09
JQ선흘2,2025-10-01,S11,3.83,56.17,23.78,15.34,179,1024.35,13.24,2025-10
JQ선흘2,2025-11-01,S11,3.1,56.91,23.05,15.25,188,1027.74,13.21,2025-11
JQ선흘2,2025-12-01,S11,2.58,57.43,22.53,15.21,211,1028.93,13.18,2025-12
JQ선흘2,2026-01-01,S11,2.25,57.75,22.2,15.17,221,1029.6,13.2,2026-01
JQ선흘2,2026-02-01,S11,2.08,57.92,22.03,15.14,222,1027.33,13.2,2026-02
JQ선흘2,2026-03-01,S11,2.26,57.74,22.21,15.21,210,1026.17,13.25,2026-03
JQ선흘2,2026-04-01,S11,2.59,57.41,22.54,15.3,191,1018.97,13.27,2026-04
JQ선흘2,2026-05-01,S11,2.72,57.28,22.67,15.28,189,1018.46,13.34,2026-05
JQ선흘2,2026-06-01,S11,2.71,57.29,22.66,15.27,189,1014.0,13.29,2026-06
