관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JQ성산11,2024-02-01,S11,64.83,43.17,14.87,16.99,142,1019.36,13.17,2024-02
JQ성산11,2024-03-01,S11,62.72,45.28,12.79,16.95,136,1013.18,13.23,2024-03
JQ성산11,2024-04-01,S11,62.96,45.04,13.05,16.94,130,1008.64,13.26,2024-04
JQ성산11,2024-05-01,S11,62.77,45.23,12.86,16.93,129,1009.27,13.3,2024-05
JQ성산11,2024-06-01,S11,61.4,46.6,11.49,16.93,133,1004.44,13.28,2024-06
JQ성산11,2024-07-01,S11,63.65,44.35,13.74,16.98,127,1004.44,13.3,2024-07
JQ성산11,2024-08-01,S11,62.07,45.93,12.16,16.97,129,1003.49,13.31,2024-08
JQ성산11,2024-09-01,S11,58.53,49.47,8.58,16.95,137,1008.67,13.27,2024-09
JQ성산11,2024-10-01,S11,58.58,49.42,8.61,16.95,144,1014.81,13.23,2024-10
JQ성산11,2024-11-01,S11,63.14,44.86,13.17,16.98,157,1017.63,13.19,2024-11
JQ성산11,2024-12-01,S11,59.52,48.48,9.55,16.98,154,1019.74,13.18,2024-12
JQ성산11,2025-01-01,S11,54.61,53.39,4.64,16.95,150,1020.34,13.18,2025-01
JQ성산11,2025-02-01,S11,57.41,50.59,7.44,16.94,152,1020.66,13.19,2025-02
JQ성산11,2025-03-01,S11,61.61,46.39,11.64,16.95,158,1015.3,13.22,2025-03
JQ성산11,2025-04-01,S11,59.2,48.8,9.23,16.94,149,1009.94,13.26,2025-04
JQ성산11,2025-05-01,S11,63.14,44.86,13.19,16.96,154,1009.01,13.29,2025-05
JQ성산11,2025-06-01,S11,62.47,45.53,12.52,16.96,150,1005.83,13.31,2025-06
JQ성산11,2025-07-01,S11,61.91,46.09,11.96,16.95,151,1004.81,13.31,2025-07
JQ성산11,2025-08-01,S11,59.0,49.0,9.05,16.95,144,1007.32,13.29,2025-08
JQ성산11,2025-09-01,S11,62.7,45.3,12.76,17.03,136,1008.77,13.25,2025-09
JQ성산11,2025-10-01,S11,63.42,44.58,13.49,17.15,133,1013.0,13.23,2025-10
JQ성산11,2025-11-01,S11,59.29,48.71,9.36,17.1,134,1016.23,13.2,2025-11
JQ성산11,2025-12-01,S11,54.71,53.29,4.78,17.06,135,1017.25,13.18,2025-12
JQ성산11,2026-01-01,S11,53.75,54.25,3.82,17.03,135,1017.8,13.18,2026-01
JQ성산11,2026-02-01,S11,54.12,53.88,4.19,17.0,137,1015.76,13.18,2026-02
JQ성산11,2026-03-01,S11,57.34,50.66,7.41,17.02,142,1014.89,13.22,2026-03
JQ성산11,2026-04-01,S11,63.09,44.91,12.76,17.06,145,1008.44,13.25,2026-04
JQ성산11,2026-05-01,S11,62.17,45.83,11.66,17.08,140,1008.24,13.28,2026-05
