관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JQ세화31,2023-02-01,S11,1.58,64.42,0.23,15.92,629,1029.5,13.28,2023-02
JQ세화31,2023-03-01,S11,1.59,64.41,0.23,15.9,591,1021.03,13.22,2023-03
JQ세화31,2023-04-01,S11,1.9,64.1,0.53,16.1,221,1016.31,13.24,2023-04
JQ세화31,2023-05-01,S11,2.89,63.11,1.52,16.42,145,1014.64,13.26,2023-05
JQ세화31,2023-06-01,S11,2.52,63.48,1.15,16.13,149,1009.69,13.28,2023-06
JQ세화31,2023-07-01,S11,2.62,63.38,1.25,16.16,144,1010.64,13.27,2023-07
JQ세화31,2023-08-01,S11,2.55,63.45,1.18,15.84,165,1007.22,13.27,2023-08
JQ세화31,2023-09-01,S11,2.37,63.64,1.0,15.9,170,1014.32,13.26,2023-09
JQ세화31,2023-10-01,S11,2.12,63.88,0.74,15.79,176,1020.68,13.21,2023-10
JQ세화31,2023-11-01,S11,1.95,64.05,0.57,15.78,194,1023.76,13.19,2023-11
JQ세화31,2023-12-01,S11,1.8,64.2,0.42,15.79,134,1026.13,13.14,2023-12
JQ세화31,2024-01-01,S11,1.77,64.23,0.39,15.81,122,1026.16,13.15,2024-01
JQ세화31,2024-02-01,S11,1.93,64.07,0.55,15.93,126,1024.62,13.16,2024-02
JQ세화31,2024-03-01,S11,2.08,63.92,0.71,15.86,191,1020.57,13.21,2024-03
JQ세화31,2024-04-01,S11,2.22,63.78,0.94,16.04,165,1015.75,13.24,2024-04
JQ세화31,2024-05-01,S11,2.29,63.71,1.05,16.03,180,1016.24,13.29,2024-05
JQ세화31,2024-06-01,S11,2.39,63.61,1.15,16.03,174,1011.16,13.27,2024-06
JQ세화31,2024-07-01,S11,2.91,63.09,1.67,16.18,131,1011.0,13.28,2024-07
JQ세화31,2024-08-01,S11,2.48,63.52,1.24,15.81,141,1009.5,13.28,2024-08
JQ세화31,2024-09-01,S11,2.42,63.58,1.03,15.96,137,1014.51,13.25,2024-09
JQ세화31,2024-10-01,S11,2.42,63.58,0.96,15.84,143,1020.5,13.2,2024-10
JQ세화31,2024-11-01,S11,2.74,63.26,1.28,16.11,134,1023.17,13.16,2024-11
JQ세화31,2024-12-01,S11,2.31,63.69,0.85,15.81,146,1024.59,13.15,2024-12
JQ세화31,2025-01-01,S11,2.22,63.78,0.76,15.82,145,1026.55,13.15,2025-01
JQ세화31,2025-02-01,S11,2.04,63.96,0.58,15.83,138,1026.38,13.17,2025-02
JQ세화31,2025-03-01,S11,2.11,63.89,0.65,15.87,134,1021.87,13.21,2025-03
JQ세화31,2025-04-01,S11,2.08,63.93,0.68,15.94,139,1015.4,13.25,2025-04
JQ세화31,2025-05-01,S11,2.24,63.76,1.02,16.29,130,1014.31,13.28,2025-05
JQ세화31,2025-06-01,S11,2.24,63.76,1.02,15.98,139,1011.06,13.29,2025-06
JQ세화31,2025-07-01,S11,2.17,63.83,0.95,15.84,138,1010.86,13.29,2025-07
JQ세화31,2025-08-01,S11,1.99,64.01,0.77,15.85,142,1010.12,13.28,2025-08
JQ세화31,2025-09-01,S11,2.16,63.84,0.94,16.33,143,1013.1,13.25,2025-09
JQ세화31,2025-10-01,S11,2.52,63.48,1.22,16.23,140,1017.85,13.2,2025-10
JQ세화31,2025-11-01,S11,2.24,63.76,0.94,15.9,136,1022.4,13.16,2025-11
JQ세화31,2025-12-01,S11,2.04,63.96,0.74,15.87,135,1023.98,13.14,2025-12
JQ세화31,2026-01-01,S11,1.76,64.24,0.46,15.91,136,1025.2,13.13,2026-01
JQ세화31,2026-02-01,S11,1.59,64.41,0.27,15.98,138,1023.1,13.13,2026-02
JQ세화31,2026-03-01,S11,1.59,64.45,0.14,17.96,145,1021.2,13.19,2026-03
JQ세화31,2026-04-01,S11,1.61,64.4,0.22,17.62,135,1014.48,13.23,2026-04
JQ세화31,2026-05-01,S11,1.89,64.11,0.51,17.02,150,1013.8,13.27,2026-05
