관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JQ수산6,2024-02-01,S11,-0.04,35.04,4.05,16.1,583,1025.82,13.21,2024-02
JQ수산6,2024-03-01,S11,-0.16,35.16,3.93,16.21,628,1019.5,13.31,2024-03
JQ수산6,2024-04-01,S11,-0.19,35.19,3.92,16.22,613,1014.71,13.34,2024-04
JQ수산6,2024-05-01,S11,-0.18,35.18,3.94,16.21,600,1015.3,13.39,2024-05
JQ수산6,2024-06-01,S11,-0.1,35.1,4.02,16.21,576,1010.35,13.38,2024-06
JQ수산6,2024-07-01,S11,0.17,34.83,4.29,16.2,540,1010.11,13.41,2024-07
JQ수산6,2024-08-01,S11,0.0,35.0,4.12,16.22,508,1009.14,13.4,2024-08
JQ수산6,2024-09-01,S11,-0.05,35.05,4.03,16.23,481,1014.37,13.35,2024-09
JQ수산6,2024-10-01,S11,-0.09,35.09,3.98,16.23,499,1020.74,13.3,2024-10
JQ수산6,2024-11-01,S11,0.23,34.77,4.3,16.3,475,1023.8,13.27,2024-11
JQ수산6,2024-12-01,S11,-0.2,35.2,3.87,16.26,479,1026.17,13.25,2024-12
JQ수산6,2025-01-01,S11,-0.27,35.27,3.8,16.25,485,1026.78,13.25,2025-01
JQ수산6,2025-02-01,S11,-0.42,35.42,3.65,16.24,490,1027.21,13.27,2025-02
JQ수산6,2025-03-01,S11,-0.33,35.33,3.76,16.23,505,1021.55,13.31,2025-03
JQ수산6,2025-04-01,S11,-0.35,35.35,3.76,16.25,531,1016.07,13.35,2025-04
JQ수산6,2025-05-01,S11,-0.3,35.3,3.85,16.24,555,1015.01,13.38,2025-05
JQ수산6,2025-06-01,S11,-0.2,35.2,3.95,16.24,569,1011.58,13.39,2025-06
JQ수산6,2025-07-01,S11,-0.18,35.18,3.97,16.25,555,1010.46,13.39,2025-07
JQ수산6,2025-08-01,S11,-0.3,35.3,3.85,16.27,539,1012.93,13.37,2025-08
JQ수산6,2025-09-01,S11,-0.09,35.09,4.06,16.29,516,1015.92,13.34,2025-09
JQ수산6,2025-10-01,S11,-0.03,35.03,4.13,16.29,550,1021.63,13.31,2025-10
JQ수산6,2025-11-01,S11,-0.25,35.25,3.96,16.31,537,1025.09,13.29,2025-11
JQ수산6,2025-12-01,S11,-0.38,35.38,3.83,16.32,530,1026.2,13.26,2025-12
JQ수산6,2026-01-01,S11,-0.48,35.48,3.73,16.3,539,1026.81,13.26,2026-01
JQ수산6,2026-02-01,S11,-0.49,35.49,3.72,16.3,545,1024.58,13.27,2026-02
JQ수산6,2026-03-01,S11,-0.47,35.47,3.78,16.3,562,1023.47,13.31,2026-03
JQ수산6,2026-04-01,S11,-0.43,35.43,3.94,16.29,586,1016.4,13.33,2026-04
JQ수산6,2026-05-01,S11,-0.3,35.3,3.98,16.29,614,1016.02,13.37,2026-05
