관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JQ위미41,2023-02-01,S11,95.15,73.85,1.38,15.91,111,1017.08,13.22,2023-02
JQ위미41,2023-03-01,S11,95.15,73.85,1.39,16.11,98,1009.19,13.23,2023-03
JQ위미41,2023-04-01,S11,94.99,74.01,1.23,16.18,94,1004.53,13.25,2023-04
JQ위미41,2023-05-01,S11,94.82,74.18,1.06,16.21,92,1002.95,13.26,2023-05
JQ위미41,2023-06-01,S11,94.54,74.46,0.78,16.22,90,998.29,13.27,2023-06
JQ위미41,2023-07-01,S11,94.51,74.49,0.75,16.22,91,999.4,13.27,2023-07
JQ위미41,2023-08-01,S11,94.28,74.72,0.52,16.22,90,996.0,13.27,2023-08
JQ위미41,2023-09-01,S11,94.39,74.61,0.65,16.22,89,1003.03,13.26,2023-09
JQ위미41,2023-10-01,S11,94.53,74.47,0.79,16.22,89,1009.07,13.23,2023-10
JQ위미41,2023-11-01,S11,94.32,74.68,0.53,16.23,91,1011.91,13.21,2023-11
JQ위미41,2023-12-01,S11,94.22,74.78,0.43,16.23,93,1014.24,13.16,2023-12
JQ위미41,2024-01-01,S11,94.15,74.85,0.36,16.23,94,1014.24,13.17,2024-01
JQ위미41,2024-02-01,S11,94.18,74.82,0.39,16.23,94,1012.85,13.18,2024-02
JQ위미41,2024-03-01,S11,94.28,74.72,0.5,16.24,95,1009.15,13.22,2024-03
JQ위미41,2024-04-01,S11,94.34,74.66,0.49,16.24,84,1004.88,13.25,2024-04
JQ위미41,2024-05-01,S11,94.43,74.57,0.5,16.24,88,1005.42,13.28,2024-05
JQ위미41,2024-06-01,S11,94.35,74.65,0.42,16.24,89,1000.66,13.27,2024-06
JQ위미41,2024-07-01,S11,94.48,74.52,0.55,16.25,89,1000.84,13.27,2024-07
JQ위미41,2024-08-01,S11,94.26,74.74,0.33,16.25,89,999.38,13.28,2024-08
JQ위미41,2024-09-01,S11,94.27,74.73,0.3,16.25,91,1004.25,13.26,2024-09
JQ위미41,2024-10-01,S11,94.3,74.7,0.31,16.26,93,1009.79,13.23,2024-10
JQ위미41,2024-11-01,S11,94.29,74.72,0.3,16.26,93,1012.32,13.2,2024-11
JQ위미41,2024-12-01,S11,94.28,74.72,0.29,16.26,92,1014.01,13.18,2024-12
JQ위미41,2025-01-01,S11,94.29,74.71,0.3,16.26,94,1014.6,13.18,2025-01
JQ위미41,2025-02-01,S11,94.32,74.68,0.33,16.26,95,1014.72,13.18,2025-02
JQ위미41,2025-03-01,S11,94.27,74.73,0.28,16.26,97,1009.82,13.22,2025-03
JQ위미41,2025-04-01,S11,94.24,74.76,0.24,16.26,98,1004.7,13.27,2025-04
JQ위미41,2025-05-01,S11,94.32,74.68,0.32,16.27,97,1003.78,13.28,2025-05
JQ위미41,2025-06-01,S11,94.32,74.68,0.32,16.27,93,1000.78,13.29,2025-06
JQ위미41,2025-07-01,S11,94.3,74.7,0.3,16.27,93,999.78,13.29,2025-07
JQ위미41,2025-08-01,S11,94.26,74.74,0.26,16.28,96,1002.39,13.27,2025-08
JQ위미41,2025-09-01,S11,94.27,74.73,0.27,16.28,97,1005.07,13.25,2025-09
JQ위미41,2025-10-01,S11,94.39,74.61,0.39,16.29,95,1010.21,13.22,2025-10
JQ위미41,2025-11-01,S11,94.59,74.41,0.6,16.29,94,1013.04,13.19,2025-11
JQ위미41,2025-12-01,S11,94.56,74.44,0.57,16.29,97,1013.66,13.17,2025-12
JQ위미41,2026-01-01,S11,94.5,74.5,0.51,16.29,97,1013.84,13.17,2026-01
JQ위미41,2026-02-01,S11,94.49,74.51,0.5,16.3,98,1011.97,13.18,2026-02
JQ위미41,2026-03-01,S11,94.52,74.48,0.53,16.3,99,1011.21,13.23,2026-03
JQ위미41,2026-04-01,S11,94.52,74.48,0.53,16.3,99,1004.55,13.25,2026-04
JQ위미41,2026-05-01,S11,94.64,74.36,0.65,16.3,97,1004.34,13.28,2026-05
