관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JR구좌1,2007-01-01,S11,0.66,45.42,39.1,15.34,29218.0,1028.03,10.59,2007-01
JR구좌1,2007-02-01,S11,0.64,45.44,39.08,15.35,32637.0,1022.89,11.1,2007-02
JR구좌1,2007-03-01,S11,0.77,45.31,39.21,15.35,34826.0,1020.96,11.3,2007-03
JR구좌1,2007-04-01,S11,0.74,45.34,39.18,15.35,35454.0,1019.22,11.55,2007-04
JR구좌1,2007-05-01,S11,0.81,45.27,39.25,15.35,37225.0,1011.96,11.65,2007-05
JR구좌1,2007-06-01,S11,0.85,45.23,39.29,15.35,38649.0,1010.85,11.53,2007-06
JR구좌1,2007-07-01,S11,1.04,45.04,39.48,15.35,36052.0,1007.07,11.55,2007-07
JR구좌1,2007-08-01,S11,1.1,44.98,39.54,15.35,29030.0,1011.03,11.64,2007-08
JR구좌1,2007-09-01,S11,1.94,44.14,40.38,15.43,32251.0,1013.06,11.37,2007-09
JR구좌1,2007-10-01,S11,1.17,44.91,39.61,15.39,26518.0,1020.88,10.42,2007-10
JR구좌1,2007-11-01,S11,0.98,45.1,39.42,15.37,17715.0,1025.27,12.36,2007-11
JR구좌1,2007-12-01,S11,0.85,45.23,39.29,15.35,12299.0,1023.8,12.67,2007-12
JR구좌1,2008-01-01,S11,0.8,45.28,39.24,15.36,11326.0,1026.19,12.53,2008-01
JR구좌1,2008-02-01,S11,0.74,45.34,39.18,15.35,9403.0,1026.79,12.64,2008-02
JR구좌1,2008-03-01,S11,0.75,45.33,39.19,15.36,10521.0,1020.71,12.83,2008-03
JR구좌1,2008-04-01,S11,0.84,45.24,39.28,15.38,15682.0,1017.73,12.9,2008-04
JR구좌1,2008-05-01,S11,0.89,45.19,39.33,15.39,18598.0,1012.59,12.92,2008-05
JR구좌1,2008-06-01,S11,1.03,45.05,39.47,15.4,19944.0,1010.6,12.89,2008-06
JR구좌1,2008-07-01,S11,1.07,45.01,39.51,15.39,10145.0,1009.8,12.95,2008-07
