관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JR금악2,2007-01-01,S11,71.07,240.75,50.43,14.02,90,,12.85,2007-01
JR금악2,2007-02-01,S11,69.74,242.08,49.1,14.02,89,,12.93,2007-02
JR금악2,2007-03-01,S11,68.74,243.08,48.1,14.03,90,,12.95,2007-03
JR금악2,2007-04-01,S11,68.18,243.64,47.54,14.05,91,,13.03,2007-04
JR금악2,2007-05-01,S11,67.89,243.93,47.25,14.06,91,,13.08,2007-05
JR금악2,2007-06-01,S11,67.23,244.59,46.59,14.09,93,,13.09,2007-06
JR금악2,2007-07-01,S11,67.25,244.57,46.61,14.07,98,,13.07,2007-07
JR금악2,2007-08-01,S11,69.3,242.53,48.66,14.07,94,,13.1,2007-08
JR금악2,2007-09-01,S11,71.75,240.07,51.11,14.0,99,,13.04,2007-09
JR금악2,2007-10-01,S11,73.57,238.25,52.93,14.11,99,,13.02,2007-10
JR금악2,2007-11-01,S11,74.37,237.45,53.73,14.09,98,,12.98,2007-11
JR금악2,2007-12-01,S11,73.85,237.98,53.21,14.05,96,,12.85,2007-12
JR금악2,2008-01-01,S11,72.67,239.15,52.03,14.03,94,,12.78,2008-01
JR금악2,2008-02-01,S11,71.47,240.35,50.83,14.02,92,,12.91,2008-02
JR금악2,2008-03-01,S11,70.28,241.54,49.64,14.02,91,,12.97,2008-03
JR금악2,2008-04-01,S11,69.18,242.64,48.54,14.03,91,,13.04,2008-04
JR금악2,2008-05-01,S11,68.17,243.65,47.53,14.03,92,,13.08,2008-05
JR금악2,2008-06-01,S11,67.86,243.96,47.22,14.03,94,,13.02,2008-06
JR금악2,2008-07-01,S11,68.34,243.48,47.7,14.08,95,,13.09,2008-07
JR금악2,2008-08-01,S11,70.2,241.62,49.56,14.05,95,,13.09,2008-08
JR금악2,2008-09-01,S11,70.1,241.72,49.46,14.03,93,,13.04,2008-09
JR금악2,2008-10-01,S11,69.08,242.75,48.44,14.02,93,,13.0,2008-10
JR금악2,2008-11-01,S11,67.92,243.9,47.28,14.03,92,,12.9,2008-11
JR금악2,2008-12-01,S11,66.98,244.84,46.34,14.04,93,,12.84,2008-12
JR금악2,2009-01-01,S11,65.59,246.23,44.95,14.1,95,,12.81,2009-01
JR금악2,2009-02-01,S11,59.22,252.6,38.58,14.16,97,,12.87,2009-02
JR금악2,2009-03-01,S11,52.8,259.02,32.16,14.21,100,,12.93,2009-03
JR금악2,2009-04-01,S11,51.66,260.16,31.02,14.27,104,,13.03,2009-04
JR금악2,2009-05-01,S11,54.32,257.5,33.68,14.31,105,,13.08,2009-05
JR금악2,2009-06-01,S11,61.1,250.72,40.68,14.26,102,,13.07,2009-06
JR금악2,2009-07-01,S11,64.05,247.77,43.67,14.27,102,,13.01,2009-07
JR금악2,2009-08-01,S11,64.85,246.97,44.47,14.24,99,,13.04,2009-08
JR금악2,2009-09-01,S11,66.22,245.6,45.84,14.22,98,,13.03,2009-09
JR금악2,2009-10-01,S11,67.22,244.6,46.84,14.23,97,,13.0,2009-10
JR금악2,2009-11-01,S11,67.59,244.23,47.14,14.25,98,,12.87,2009-11
JR금악2,2009-12-01,S11,66.86,244.96,46.39,14.26,98,,12.82,2009-12
JR금악2,2010-01-01,S11,66.1,245.72,45.63,14.27,98,,12.77,2010-01
JR금악2,2010-02-01,S11,65.38,246.44,44.91,14.39,101,,12.8,2010-02
JR금악2,2010-03-01,S11,61.37,250.46,41.41,14.53,103,,12.86,2010-03
JR금악2,2010-04-01,S11,63.72,248.1,43.81,14.55,108,,12.95,2010-04
JR금악2,2010-05-01,S11,68.78,243.04,48.87,14.42,108,,13.03,2010-05
JR금악2,2010-06-01,S11,69.9,241.92,50.01,14.4,105,,13.05,2010-06
JR금악2,2010-07-01,S11,71.8,240.02,51.91,14.44,110,,13.03,2010-07
JR금악2,2010-08-01,S11,74.5,237.32,54.61,14.44,101,,13.0,2010-08
JR금악2,2010-09-01,S11,75.81,236.01,55.92,14.37,96,,13.0,2010-09
JR금악2,2010-10-01,S11,77.01,234.81,57.12,14.33,92,,12.99,2010-10
JR금악2,2010-11-01,S11,76.44,235.38,57.26,14.3,92,,12.93,2010-11
JR금악2,2010-12-01,S11,75.95,235.87,56.78,14.33,93,,12.8,2010-12
JR금악2,2011-01-01,S11,74.99,236.83,55.82,14.35,95,,12.81,2011-01
JR금악2,2011-02-01,S11,74.16,237.66,54.99,14.4,95,,12.87,2011-02
JR금악2,2011-03-01,S11,73.07,238.75,53.9,14.41,95,982.71,12.93,2011-03
JR금악2,2011-04-01,S11,72.01,239.81,52.86,14.42,95,976.49,12.66,2011-04
JR금악2,2011-05-01,S11,71.04,240.78,51.89,14.46,97,973.36,12.59,2011-05
JR금악2,2011-06-01,S11,70.14,241.68,50.99,14.42,96,970.04,12.57,2011-06
JR금악2,2011-07-01,S11,70.92,240.9,51.77,14.45,100,970.03,12.66,2011-07
JR금악2,2011-08-01,S11,73.43,238.39,54.28,14.46,102,971.11,12.59,2011-08
JR금악2,2011-09-01,S11,74.53,237.29,55.38,14.44,105,973.8,12.66,2011-09
JR금악2,2011-10-01,S11,74.78,237.04,55.63,14.39,109,980.23,12.69,2011-10
JR금악2,2011-11-01,S11,74.38,237.44,55.23,14.34,109,981.55,12.61,2011-11
JR금악2,2011-12-01,S11,73.48,238.34,54.33,14.31,108,984.07,12.52,2011-12
JR금악2,2012-01-01,S11,72.76,239.06,53.61,14.31,108,981.67,12.56,2012-01
JR금악2,2012-02-01,S11,71.86,239.97,52.71,14.3,107,979.39,12.6,2012-02
JR금악2,2012-03-01,S11,70.79,241.03,51.64,14.32,108,977.04,12.61,2012-03
JR금악2,2012-04-01,S11,70.37,241.45,51.22,14.32,109,973.21,12.65,2012-04
JR금악2,2012-05-01,S11,71.15,240.67,52.0,14.28,109,971.51,12.68,2012-05
JR금악2,2012-06-01,S11,73.5,238.33,54.35,14.21,108,967.56,12.68,2012-06
JR금악2,2012-07-01,S11,73.51,238.31,54.36,13.98,108,968.35,12.63,2012-07
JR금악2,2012-08-01,S11,73.17,238.65,54.02,13.83,107,969.15,12.61,2012-08
JR금악2,2012-09-01,S11,74.63,237.19,55.48,13.79,109,973.85,12.64,2012-09
JR금악2,2012-10-01,S11,77.48,234.34,58.33,13.71,108,977.44,12.64,2012-10
JR금악2,2012-11-01,S11,78.23,233.59,59.08,13.63,109,977.02,12.58,2012-11
JR금악2,2012-12-01,S11,77.93,233.89,58.78,13.57,109,979.29,12.29,2012-12
