관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JR노형2,2019-03-01,S11,187.49,270.51,43.65,14.3,102,,12.13,2019-03
JR노형2,2019-04-01,S11,187.81,270.19,43.97,14.19,90,,12.69,2019-04
JR노형2,2019-05-01,S11,187.72,270.28,43.88,15.46,260,,13.23,2019-05
JR노형2,2019-06-01,S11,188.04,269.96,44.2,16.63,365,,13.23,2019-06
JR노형2,2019-07-01,S11,188.26,269.74,44.42,16.88,373,,13.19,2019-07
JR노형2,2019-08-01,S11,188.3,269.7,44.46,16.93,337,,13.15,2019-08
JR노형2,2019-09-01,S11,188.06,269.94,44.22,16.51,270,,13.0,2019-09
JR노형2,2019-10-01,S11,187.94,270.06,44.1,16.75,332,,12.86,2019-10
JR노형2,2019-11-01,S11,187.87,270.13,44.03,17.16,370,,12.62,2019-11
JR노형2,2019-12-01,S11,188.17,269.83,44.33,17.25,363,,12.18,2019-12
JR노형2,2020-01-01,S11,188.63,269.37,44.79,17.31,383,,11.87,2020-01
JR노형2,2020-02-01,S11,189.59,268.41,45.75,17.39,303,,12.08,2020-02
JR노형2,2020-03-01,S11,190.13,267.87,46.29,17.38,210,,12.87,2020-03
JR노형2,2020-04-01,S11,190.06,267.95,46.33,17.32,187,,13.14,2020-04
JR노형2,2020-05-01,S11,189.82,268.18,46.14,16.88,135,,13.26,2020-05
JR노형2,2020-06-01,S11,189.93,268.07,46.25,16.73,118,,13.21,2020-06
JR노형2,2020-07-01,S11,189.88,268.12,46.2,16.42,110,,13.21,2020-07
JR노형2,2020-08-01,S11,190.0,268.0,46.32,16.29,109,,13.19,2020-08
JR노형2,2020-09-01,S11,189.84,268.16,46.16,15.93,106,,13.05,2020-09
JR노형2,2020-10-01,S11,190.18,267.82,46.5,15.96,106,,12.99,2020-10
JR노형2,2020-11-01,S11,190.29,267.71,46.61,15.83,101,,12.69,2020-11
JR노형2,2020-12-01,S11,190.15,267.85,46.46,15.69,97,,12.37,2020-12
JR노형2,2021-01-01,S11,189.96,268.04,46.27,15.42,86,,12.26,2021-01
JR노형2,2021-02-01,S11,191.62,266.38,47.93,15.92,158,,12.45,2021-02
JR노형2,2021-03-01,S11,193.05,264.95,49.36,15.89,133,,13.22,2021-03
JR노형2,2021-04-01,S11,192.79,265.21,49.1,15.08,177,,13.42,2021-04
JR노형2,2021-05-01,S11,192.11,265.89,48.48,14.69,230,,13.49,2021-05
JR노형2,2021-06-01,S11,191.34,266.66,47.76,14.91,248,,13.51,2021-06
JR노형2,2021-07-01,S11,190.49,267.51,46.91,15.14,308,,13.48,2021-07
JR노형2,2021-08-01,S11,189.89,268.11,46.31,15.15,283,,13.43,2021-08
JR노형2,2021-09-01,S11,190.3,267.7,46.72,14.98,249,,13.35,2021-09
JR노형2,2021-10-01,S11,190.89,267.11,47.31,14.72,208,,13.32,2021-10
JR노형2,2021-11-01,S11,191.42,266.58,47.84,14.72,205,,13.22,2021-11
JR노형2,2021-12-01,S11,192.31,265.69,48.73,14.49,141,,13.07,2021-12
JR노형2,2022-01-01,S11,192.29,265.71,48.71,14.55,192,,13.12,2022-01
JR노형2,2022-02-01,S11,192.09,265.91,48.51,14.7,223,,13.2,2022-02
JR노형2,2022-03-01,S11,192.08,265.92,48.5,15.15,215,,13.35,2022-03
JR노형2,2022-04-01,S11,191.85,266.15,48.27,14.56,186,,13.44,2022-04
JR노형2,2022-05-01,S11,192.02,265.98,48.49,15.24,250,,13.48,2022-05
JR노형2,2022-06-01,S11,191.99,266.01,48.47,15.25,182,,13.5,2022-06
JR노형2,2022-07-01,S11,191.62,266.38,48.1,15.35,218,,13.46,2022-07
JR노형2,2022-08-01,S11,191.75,266.25,48.23,15.89,177,,13.44,2022-08
JR노형2,2022-09-01,S11,191.91,266.1,48.39,14.94,207,,13.35,2022-09
JR노형2,2022-10-01,S11,192.37,265.63,48.85,14.99,200,,13.32,2022-10
JR노형2,2022-11-01,S11,192.48,265.52,48.96,14.84,185,,13.17,2022-11
JR노형2,2022-12-01,S11,192.42,265.58,48.9,14.74,187,,13.01,2022-12
JR노형2,2023-01-01,S11,192.03,265.97,48.51,14.93,244,,12.94,2023-01
JR노형2,2023-02-01,S11,191.96,266.04,48.44,15.94,383,,13.15,2023-02
JR노형2,2023-03-01,S11,191.94,266.06,48.42,16.14,307,,13.33,2023-03
JR노형2,2023-04-01,S11,191.69,266.31,48.17,16.22,257,,13.41,2023-04
JR노형2,2023-05-01,S11,191.12,266.88,47.6,16.28,389,,13.44,2023-05
JR노형2,2023-06-01,S11,191.63,266.37,48.11,16.31,317,,13.47,2023-06
JR노형2,2023-07-01,S11,191.59,266.41,48.07,16.29,379,,13.46,2023-07
JR노형2,2023-08-01,S11,192.44,265.56,48.92,16.42,287,,13.4,2023-08
JR노형2,2023-09-01,S11,192.88,265.12,49.36,16.03,285,,13.38,2023-09
JR노형2,2023-10-01,S11,192.7,265.3,49.18,15.81,400,,13.27,2023-10
JR노형2,2023-11-01,S11,192.78,265.22,49.26,16.36,299,,13.12,2023-11
JR노형2,2023-12-01,S11,192.54,265.46,49.06,16.31,358,,12.93,2023-12
JR노형2,2024-01-01,S11,192.23,265.78,48.99,16.21,418,,12.82,2024-01
JR노형2,2024-02-01,S11,192.53,265.47,49.29,16.42,354,,12.95,2024-02
JR노형2,2024-03-01,S11,192.95,265.05,49.71,16.55,284,,13.28,2024-03
JR노형2,2024-04-01,S11,193.12,264.88,49.88,16.51,260,,13.4,2024-04
JR노형2,2024-05-01,S11,192.99,265.01,49.75,16.42,340,,13.46,2024-05
JR노형2,2024-06-01,S11,193.01,264.99,49.56,16.48,324,,13.43,2024-06
JR노형2,2024-07-01,S11,192.86,265.14,49.41,16.5,229,,13.44,2024-07
JR노형2,2024-08-01,S11,192.41,265.59,48.96,16.44,346,,13.4,2024-08
JR노형2,2024-09-01,S11,192.16,265.84,48.73,16.51,430,,13.05,2024-09
JR노형2,2024-10-01,S11,192.41,265.6,48.99,16.57,349,,12.81,2024-10
JR노형2,2024-11-01,S11,192.51,265.49,49.09,16.57,338,,12.67,2024-11
JR노형2,2024-12-01,S11,192.57,265.43,49.29,16.51,386,,12.66,2024-12
JR노형2,2025-01-01,S11,192.8,265.2,49.89,16.52,387,,12.68,2025-01
JR노형2,2025-02-01,S11,192.87,265.13,50.02,16.61,259,,12.6,2025-02
JR노형2,2025-03-01,S11,192.93,265.07,47.94,16.52,181,998.28,13.0,2025-03
JR노형2,2025-04-01,S11,192.92,265.08,36.04,16.33,140,995.04,13.21,2025-04
JR노형2,2025-05-01,S11,192.55,265.45,35.67,16.14,131,994.61,13.25,2025-05
JR노형2,2025-06-01,S11,192.13,265.88,33.81,15.96,123,991.93,13.25,2025-06
JR노형2,2025-07-01,S11,191.96,266.04,30.58,15.91,158,991.2,13.23,2025-07
JR노형2,2025-08-01,S11,191.36,266.64,32.02,16.05,289,994.38,13.19,2025-08
JR노형2,2025-09-01,S11,190.99,267.01,35.16,16.12,342,997.59,13.15,2025-09
JR노형2,2025-10-01,S11,190.98,267.02,35.15,16.17,345,1002.59,13.08,2025-10
JR노형2,2025-11-01,S11,191.34,266.66,35.51,16.09,235,1004.9,13.0,2025-11
JR노형2,2025-12-01,S11,191.21,266.79,35.54,16.03,178,1005.33,12.92,2025-12
JR노형2,2026-01-01,S11,190.74,267.26,35.1,16.05,262,1005.57,12.92,2026-01
JR노형2,2026-02-01,S11,190.36,267.64,34.72,16.02,288,1003.72,13.0,2026-02
JR노형2,2026-03-01,S11,190.05,267.95,34.41,15.98,264,1003.25,13.14,2026-03
JR노형2,2026-04-01,S11,189.84,268.16,34.2,15.95,241,996.98,13.17,2026-04
JR노형2,2026-05-01,S11,189.66,268.34,34.02,16.14,345,997.53,13.23,2026-05
JR노형2,2026-06-01,S11,189.65,268.35,34.01,16.36,385,993.47,13.2,2026-06
