관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JR대흘,2007-01-01,S11,5.29,142.0,13.03,15.06,90,,12.99,2007-01
JR대흘,2007-02-01,S11,4.96,142.33,12.7,15.06,91,,13.12,2007-02
JR대흘,2007-03-01,S11,4.98,142.31,12.72,15.05,91,,13.13,2007-03
JR대흘,2007-04-01,S11,5.0,142.29,12.71,15.13,97,,13.21,2007-04
JR대흘,2007-05-01,S11,4.81,142.48,12.41,15.37,112,,13.23,2007-05
JR대흘,2007-06-01,S11,4.58,142.71,12.18,15.38,111,,13.19,2007-06
JR대흘,2007-07-01,S11,5.39,141.9,12.99,15.39,111,,13.21,2007-07
JR대흘,2007-08-01,S11,6.26,141.03,13.87,15.27,123,,13.23,2007-08
JR대흘,2007-09-01,S11,10.32,136.97,18.18,14.93,120,,12.9,2007-09
JR대흘,2007-10-01,S11,15.42,131.88,23.28,14.95,119,,13.15,2007-10
JR대흘,2007-11-01,S11,10.96,136.33,18.78,14.96,119,1007.05,13.16,2007-11
JR대흘,2007-12-01,S11,8.37,138.92,16.15,14.98,113,1004.85,13.06,2007-12
JR대흘,2008-01-01,S11,7.17,140.12,14.96,15.07,108,1007.36,13.02,2008-01
JR대흘,2008-02-01,S11,7.29,140.0,15.08,15.11,108,1007.99,13.17,2008-02
JR대흘,2008-03-01,S11,6.43,140.86,14.22,15.13,108,1001.61,13.22,2008-03
JR대흘,2008-04-01,S11,5.98,141.31,13.77,15.14,107,998.44,13.28,2008-04
JR대흘,2008-05-01,S11,5.74,141.55,13.53,15.15,106,993.57,13.3,2008-05
JR대흘,2008-06-01,S11,5.8,141.49,13.59,15.15,106,991.66,13.29,2008-06
JR대흘,2008-07-01,S11,7.19,140.1,14.98,14.94,116,991.13,13.36,2008-07
JR대흘,2008-08-01,S11,7.17,140.12,17.08,15.07,106,991.05,13.32,2008-08
JR대흘,2008-09-01,S11,7.37,139.92,15.19,15.2,90,995.52,13.26,2008-09
JR대흘,2008-10-01,S11,6.69,140.6,14.51,15.31,87,1001.56,13.23,2008-10
JR대흘,2008-11-01,S11,5.84,141.45,13.66,15.33,86,1004.82,13.02,2008-11
JR대흘,2008-12-01,S11,5.21,142.08,13.03,15.34,85,1006.2,12.56,2008-12
JR대흘,2009-01-01,S11,4.73,142.56,12.55,15.35,84,1007.6,12.72,2009-01
JR대흘,2009-02-01,S11,4.53,142.76,12.35,15.35,84,1002.49,13.02,2009-02
JR대흘,2009-03-01,S11,4.67,142.62,12.49,15.35,84,1002.16,13.08,2009-03
JR대흘,2009-04-01,S11,4.72,142.57,12.54,15.35,84,999.19,13.11,2009-04
JR대흘,2009-05-01,S11,4.99,142.3,12.81,15.35,83,996.06,13.14,2009-05
JR대흘,2009-06-01,S11,4.88,142.41,12.69,15.34,81,989.33,13.16,2009-06
JR대흘,2009-07-01,S11,4.76,142.53,12.57,15.35,80,989.6,13.15,2009-07
JR대흘,2009-08-01,S11,5.6,141.69,13.41,15.35,81,992.13,13.0,2009-08
JR대흘,2009-09-01,S11,5.87,141.42,13.68,15.35,81,996.51,13.04,2009-09
JR대흘,2009-10-01,S11,6.32,140.97,14.13,15.35,81,1000.11,13.07,2009-10
JR대흘,2009-11-01,S11,5.82,141.47,13.63,15.35,81,1005.55,12.91,2009-11
JR대흘,2009-12-01,S11,5.28,142.01,13.09,15.35,81,1005.74,12.88,2009-12
JR대흘,2010-01-01,S11,4.68,142.61,12.49,15.35,80,1008.16,12.88,2010-01
JR대흘,2010-02-01,S11,4.44,142.85,12.25,15.36,79,1003.58,13.03,2010-02
JR대흘,2010-03-01,S11,4.75,142.55,12.61,15.36,81,1002.86,12.99,2010-03
JR대흘,2010-04-01,S11,5.35,141.95,13.22,15.35,84,1001.3,13.03,2010-04
JR대흘,2010-05-01,S11,5.74,141.55,13.62,15.35,84,994.65,13.13,2010-05
JR대흘,2010-06-01,S11,5.33,141.96,13.2,15.34,84,992.75,13.11,2010-06
JR대흘,2010-07-01,S11,6.04,141.26,13.91,15.34,84,991.66,13.17,2010-07
JR대흘,2010-08-01,S11,7.01,140.28,14.76,15.33,88,993.72,13.14,2010-08
JR대흘,2010-09-01,S11,8.79,138.5,16.48,15.15,97,996.38,13.06,2010-09
JR대흘,2010-10-01,S11,8.18,139.11,15.89,15.2,97,1001.55,13.02,2010-10
JR대흘,2010-11-01,S11,6.86,140.43,14.76,15.27,90,1004.85,13.0,2010-11
JR대흘,2010-12-01,S11,6.06,141.23,13.97,15.31,89,1001.12,12.9,2010-12
JR대흘,2011-01-01,S11,5.42,141.87,13.33,15.33,89,1009.83,12.88,2011-01
JR대흘,2011-02-01,S11,4.97,142.32,12.88,15.34,88,1004.32,13.01,2011-02
JR대흘,2011-03-01,S11,4.6,142.69,12.51,15.34,87,1005.56,13.05,2011-03
JR대흘,2011-04-01,S11,4.33,142.96,12.24,15.28,112,264.9,12.67,2011-04
JR대흘,2011-05-01,S11,4.19,143.1,12.1,15.27,114,168.0,12.52,2011-05
JR대흘,2011-06-01,S11,4.45,142.84,12.36,15.28,114,168.0,12.52,2011-06
JR대흘,2011-07-01,S11,6.01,141.28,13.29,15.21,124,168.0,12.5,2011-07
JR대흘,2011-08-01,S11,7.25,140.04,15.33,15.27,108,840.7,12.49,2011-08
JR대흘,2011-09-01,S11,7.85,139.44,16.49,15.17,127,979.81,12.39,2011-09
JR대흘,2011-10-01,S11,7.27,140.02,15.85,15.2,122,962.65,12.51,2011-10
JR대흘,2011-11-01,S11,6.87,140.42,13.93,15.03,99,168.0,12.34,2011-11
JR대흘,2011-12-01,S11,6.89,140.4,13.95,15.04,99,168.0,12.01,2011-12
JR대흘,2012-01-01,S11,6.09,141.31,13.18,15.04,99,168.0,11.95,2012-01
JR대흘,2012-02-01,S11,5.47,142.28,12.56,15.04,99,168.0,12.13,2012-02
JR대흘,2012-03-01,S11,5.48,142.26,12.75,15.04,99,168.0,12.29,2012-03
JR대흘,2012-04-01,S11,5.64,142.1,12.99,15.01,101,168.0,12.42,2012-04
JR대흘,2012-05-01,S11,7.59,140.15,14.92,14.89,105,168.0,12.47,2012-05
JR대흘,2012-06-01,S11,6.89,140.85,14.16,14.96,100,,12.39,2012-06
JR대흘,2012-07-01,S11,6.36,141.38,13.6,14.99,100,,12.45,2012-07
JR대흘,2012-08-01,S11,6.46,141.28,13.7,14.99,101,,12.43,2012-08
JR대흘,2012-09-01,S11,12.08,135.66,19.32,14.91,107,,12.47,2012-09
JR대흘,2012-10-01,S11,13.62,134.12,20.86,14.87,109,,12.5,2012-10
JR대흘,2012-11-01,S11,10.11,137.63,17.35,14.82,115,,12.36,2012-11
JR대흘,2012-12-01,S11,8.1,139.64,15.34,14.83,108,,11.94,2012-12
JR대흘,2013-01-01,S11,7.19,140.55,14.43,14.88,105,168.0,12.12,2013-01
JR대흘,2013-02-01,S11,6.66,141.08,13.9,14.88,105,168.0,12.22,2013-02
JR대흘,2013-03-01,S11,6.03,141.71,13.47,14.86,104,168.0,12.46,2013-03
JR대흘,2013-04-01,S11,5.54,142.2,13.17,14.84,102,168.0,12.48,2013-04
JR대흘,2013-05-01,S11,5.31,142.43,12.94,14.82,101,168.0,12.43,2013-05
JR대흘,2013-06-01,S11,5.24,142.5,12.86,14.78,100,168.0,12.41,2013-06
JR대흘,2013-07-01,S11,5.35,142.39,12.94,14.76,95,168.0,12.31,2013-07
JR대흘,2013-08-01,S11,4.98,142.76,12.56,15.2,94,798.83,12.41,2013-08
JR대흘,2013-09-01,S11,4.76,142.98,12.34,15.28,92,982.28,12.47,2013-09
JR대흘,2013-10-01,S11,4.78,142.96,12.36,15.29,92,1020.46,12.26,2013-10
JR대흘,2013-11-01,S11,4.66,143.08,12.31,15.29,92,1022.4,12.38,2013-11
JR대흘,2013-12-01,S11,4.3,143.44,11.99,15.29,90,1023.54,12.08,2013-12
JR대흘,2014-01-01,S11,4.03,143.71,11.72,15.3,89,1026.21,12.35,2014-01
JR대흘,2014-02-01,S11,3.92,143.82,11.61,15.31,89,1024.36,12.09,2014-02
JR대흘,2014-03-01,S11,4.26,143.48,11.95,15.31,90,1021.69,12.33,2014-03
JR대흘,2014-04-01,S11,4.25,143.49,11.94,15.31,90,1018.68,12.41,2014-04
JR대흘,2014-05-01,S11,4.09,143.65,11.78,15.31,89,1014.24,12.44,2014-05
JR대흘,2014-06-01,S11,4.05,143.69,11.75,15.31,87,1008.87,12.45,2014-06
JR대흘,2014-07-01,S11,4.75,142.99,12.51,15.31,82,1009.91,12.42,2014-07
JR대흘,2014-08-01,S11,6.72,141.02,14.48,15.14,94,1010.72,12.61,2014-08
JR대흘,2014-09-01,S11,8.29,139.46,16.05,15.17,94,1014.94,12.7,2014-09
JR대흘,2014-10-01,S11,7.15,140.59,14.91,15.23,86,1020.73,12.71,2014-10
JR대흘,2014-11-01,S11,6.42,141.32,14.22,15.28,85,1023.13,12.62,2014-11
JR대흘,2014-12-01,S11,5.82,141.92,13.62,15.3,86,1025.75,12.3,2014-12
JR대흘,2015-01-01,S11,5.44,142.3,13.24,15.31,87,1025.27,12.48,2015-01
JR대흘,2015-02-01,S11,5.11,142.63,12.91,,87,1021.75,12.56,2015-02
JR대흘,2015-03-01,S11,4.82,142.92,12.62,,87,1023.45,12.67,2015-03
JR대흘,2015-04-01,S11,4.79,142.95,12.54,15.37,87,1018.47,12.57,2015-04
JR대흘,2015-05-01,S11,5.47,142.27,13.17,15.37,88,1013.87,12.65,2015-05
JR대흘,2015-06-01,S11,5.82,141.92,13.52,15.38,88,1010.79,12.63,2015-06
JR대흘,2015-07-01,S11,7.68,140.06,15.38,15.32,93,1010.67,12.64,2015-07
JR대흘,2015-08-01,S11,8.31,139.43,16.01,15.29,95,1011.96,12.58,2015-08
