관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JR상가2,2007-01-01,S11,10.2,135.81,12.79,14.59,113.0,1024.21,12.25,2007-01
JR상가2,2007-02-01,S11,9.18,136.83,11.77,14.6,110.0,1019.05,12.48,2007-02
JR상가2,2007-03-01,S11,8.49,137.52,11.08,14.63,110.0,1017.15,12.51,2007-03
JR상가2,2007-04-01,S11,8.17,137.84,10.76,14.65,111.0,1015.64,12.66,2007-04
JR상가2,2007-05-01,S11,7.82,138.19,10.41,14.69,111.0,1008.68,12.94,2007-05
JR상가2,2007-06-01,S11,7.34,138.67,9.93,14.72,112.0,1007.25,12.89,2007-06
JR상가2,2007-07-01,S11,7.68,138.33,10.27,14.74,112.0,1003.86,12.81,2007-07
JR상가2,2007-08-01,S11,8.8,137.21,11.39,14.71,111.0,1007.75,12.8,2007-08
JR상가2,2007-09-01,S11,11.13,134.88,13.72,14.66,143.0,1009.61,12.68,2007-09
JR상가2,2007-10-01,S11,15.5,130.51,18.09,14.52,132.0,1017.42,12.69,2007-10
JR상가2,2007-11-01,S11,15.55,130.46,18.14,14.49,134.0,1021.63,12.57,2007-11
JR상가2,2007-12-01,S11,14.63,131.38,17.22,14.47,135.0,1020.04,12.32,2007-12
JR상가2,2008-01-01,S11,13.42,132.59,16.01,14.46,131.0,1022.36,12.26,2008-01
JR상가2,2008-02-01,S11,12.21,133.8,14.8,14.43,125.0,1022.9,12.44,2008-02
JR상가2,2008-03-01,S11,10.97,135.04,13.56,14.42,120.0,1016.74,12.81,2008-03
JR상가2,2008-04-01,S11,9.93,136.08,12.52,14.42,114.0,1013.68,12.89,2008-04
JR상가2,2008-05-01,S11,9.05,136.96,11.64,14.42,112.0,1008.81,12.96,2008-05
JR상가2,2008-06-01,S11,8.72,137.29,11.31,14.43,112.0,1006.69,12.87,2008-06
JR상가2,2008-07-01,S11,9.56,136.45,12.15,14.44,113.0,1006.64,12.94,2008-07
JR상가2,2008-08-01,S11,9.84,136.17,12.43,14.45,113.0,1006.54,12.93,2008-08
JR상가2,2008-09-01,S11,9.35,136.66,11.94,14.46,111.0,1011.01,12.87,2008-09
JR상가2,2008-10-01,S11,8.57,137.44,11.16,14.48,110.0,1017.29,12.82,2008-10
JR상가2,2008-11-01,S11,7.79,138.22,10.38,14.53,112.0,1020.35,12.65,2008-11
JR상가2,2008-12-01,S11,7.09,138.92,9.68,14.58,113.0,1021.75,12.56,2008-12
JR상가2,2009-01-01,S11,6.63,139.38,9.22,14.61,114.0,1024.76,11.37,2009-01
JR상가2,2009-02-01,S11,5.84,140.17,8.45,14.79,111.0,1017.69,11.82,2009-02
JR상가2,2009-03-01,S11,5.78,140.23,8.39,14.8,113.0,1019.14,12.78,2009-03
JR상가2,2009-04-01,S11,5.66,140.35,8.27,14.82,115.0,1016.56,12.9,2009-04
JR상가2,2009-05-01,S11,5.75,140.26,8.36,14.84,116.0,1013.47,12.96,2009-05
JR상가2,2009-06-01,S11,5.93,140.09,8.54,14.87,116.0,1006.65,12.99,2009-06
JR상가2,2009-07-01,S11,6.38,139.63,8.99,14.9,114.0,1007.02,12.99,2009-07
JR상가2,2009-08-01,S11,6.94,139.07,9.55,14.92,113.0,1009.27,12.95,2009-08
JR상가2,2009-09-01,S11,7.35,138.66,9.96,14.91,118.0,1013.79,12.89,2009-09
JR상가2,2009-10-01,S11,7.7,138.31,10.31,14.88,124.0,1017.59,12.9,2009-10
JR상가2,2009-11-01,S11,7.65,138.36,10.26,14.83,124.0,1022.77,12.64,2009-11
JR상가2,2009-12-01,S11,7.38,138.77,9.96,14.83,122.0,1009.32,12.49,2009-12
JR상가2,2010-01-01,S11,6.83,139.45,9.46,14.92,123.0,965.0,12.61,2010-01
JR상가2,2010-02-01,S11,6.31,139.96,9.0,14.83,120.0,965.0,12.65,2010-02
JR상가2,2010-03-01,S11,6.26,140.01,8.96,14.81,116.0,965.0,12.7,2010-03
JR상가2,2010-04-01,S11,7.02,139.25,9.73,14.75,124.0,965.0,12.86,2010-04
JR상가2,2010-05-01,S11,7.92,138.35,10.64,14.7,130.0,965.0,12.97,2010-05
JR상가2,2010-06-01,S11,8.09,138.18,10.81,14.67,128.0,965.0,12.93,2010-06
JR상가2,2010-07-01,S11,8.92,137.35,11.64,14.65,137.0,965.0,12.96,2010-07
JR상가2,2010-08-01,S11,10.44,135.83,13.16,14.66,138.0,965.0,12.94,2010-08
JR상가2,2010-09-01,S11,13.12,133.15,15.84,14.64,144.0,965.0,12.87,2010-09
JR상가2,2010-10-01,S11,14.86,131.41,17.58,14.62,133.0,965.0,12.88,2010-10
JR상가2,2010-11-01,S11,14.45,131.82,17.19,14.61,136.0,965.0,12.85,2010-11
JR상가2,2010-12-01,S11,13.36,132.91,16.11,14.59,133.0,973.5,12.68,2010-12
JR상가2,2011-01-01,S11,11.96,134.31,14.71,14.53,129.0,1024.44,12.56,2011-01
JR상가2,2011-02-01,S11,10.54,135.73,13.29,14.51,123.0,1019.0,12.8,2011-02
JR상가2,2011-03-01,S11,9.26,137.01,12.01,14.51,117.0,987.15,12.86,2011-03
JR상가2,2011-04-01,S11,8.22,138.05,10.97,14.51,115.0,965.0,12.93,2011-04
JR상가2,2011-05-01,S11,7.49,138.79,10.24,14.53,115.0,965.0,12.96,2011-05
JR상가2,2011-06-01,S11,7.17,139.1,9.92,14.55,116.0,965.0,12.97,2011-06
JR상가2,2011-07-01,S11,8.2,138.07,10.95,14.53,118.0,965.0,13.02,2011-07
JR상가2,2011-08-01,S11,9.66,136.61,12.41,14.52,130.0,965.0,12.96,2011-08
JR상가2,2011-09-01,S11,11.03,135.24,13.78,14.51,135.0,965.0,12.95,2011-09
JR상가2,2011-10-01,S11,11.05,135.22,13.86,14.47,124.0,965.0,12.88,2011-10
JR상가2,2011-11-01,S11,10.59,135.68,13.6,14.44,123.0,965.0,12.76,2011-11
JR상가2,2011-12-01,S11,10.65,135.62,13.66,14.45,124.0,965.0,12.59,2011-12
JR상가2,2012-01-01,S11,,,,,,,,2012-01
JR상가2,2012-02-01,S11,8.98,137.29,11.59,14.54,117.0,1013.24,13.12,2012-02
JR상가2,2012-03-01,S11,8.73,137.54,11.63,14.54,117.0,1013.0,13.28,2012-03
JR상가2,2012-04-01,S11,8.51,137.76,11.18,14.53,119.0,1013.0,13.14,2012-04
JR상가2,2012-05-01,S11,9.8,136.47,12.41,14.59,130.0,1013.0,13.8,2012-05
JR상가2,2012-06-01,S11,10.16,136.11,12.8,14.59,126.0,1013.0,13.89,2012-06
JR상가2,2012-07-01,S11,10.24,136.03,12.95,14.56,120.0,1013.0,12.99,2012-07
JR상가2,2012-08-01,S11,10.39,135.88,13.1,14.56,121.0,1013.0,13.73,2012-08
JR상가2,2012-09-01,S11,13.94,132.33,16.65,14.72,145.0,1013.0,13.68,2012-09
JR상가2,2012-10-01,S11,18.22,128.05,20.93,14.68,127.0,1013.0,13.8,2012-10
JR상가2,2012-11-01,S11,18.01,128.27,20.72,14.67,129.0,1013.0,12.93,2012-11
JR상가2,2012-12-01,S11,15.82,130.45,18.97,14.66,131.0,1013.0,12.29,2012-12
JR상가2,2013-01-01,S11,14.76,131.51,17.91,14.66,130.0,1013.0,12.51,2013-01
JR상가2,2013-02-01,S11,13.37,132.9,16.52,14.65,129.0,1013.0,12.64,2013-02
JR상가2,2013-03-01,S11,12.16,134.11,15.31,14.61,127.0,1013.0,12.8,2013-03
JR상가2,2013-04-01,S11,11.27,135.0,14.42,14.6,125.0,1013.0,12.83,2013-04
JR상가2,2013-05-01,S11,10.43,135.84,13.58,14.6,120.0,1013.0,12.79,2013-05
JR상가2,2013-06-01,S11,9.73,136.54,12.88,14.61,115.0,1013.0,12.8,2013-06
JR상가2,2013-07-01,S11,9.45,136.82,12.57,14.61,110.0,1012.96,12.76,2013-07
JR상가2,2013-08-01,S11,8.87,137.4,11.94,14.61,105.0,1013.0,12.77,2013-08
JR상가2,2013-09-01,S11,8.19,138.08,11.26,14.62,105.0,1013.0,12.74,2013-09
JR상가2,2013-10-01,S11,7.58,138.69,10.65,14.65,106.0,1013.0,12.67,2013-10
JR상가2,2013-11-01,S11,6.81,139.46,9.99,14.67,107.0,1013.0,12.7,2013-11
JR상가2,2013-12-01,S11,6.31,139.96,9.52,14.69,107.0,1013.0,12.58,2013-12
