관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JR상예1,2007-01-01,S11,,,,,,,,2007-01
JR상예1,2007-02-01,S11,,,,,,,,2007-02
JR상예1,2007-03-01,S11,,,,,,,,2007-03
JR상예1,2007-04-01,S11,,,,,,,,2007-04
JR상예1,2007-05-01,S11,,,,,,,,2007-05
JR상예1,2007-06-01,S11,,,,,,,,2007-06
JR상예1,2007-07-01,S11,,,,,,,,2007-07
JR상예1,2007-08-01,S11,,,,,,,,2007-08
JR상예1,2007-09-01,S11,,,,,,,,2007-09
JR상예1,2007-10-01,S11,,,,,,,,2007-10
JR상예1,2007-11-01,S11,,,,,,,,2007-11
JR상예1,2007-12-01,S11,58.38,108.03,59.45,16.7,157.0,1014.91,12.88,2007-12
JR상예1,2008-01-01,S11,58.4,108.0,59.47,16.67,157.0,1014.88,12.83,2008-01
JR상예1,2008-02-01,S11,58.32,108.08,59.39,16.63,157.0,1011.38,12.99,2008-02
JR상예1,2008-03-01,S11,58.02,108.38,59.09,16.57,155.0,1001.12,12.98,2008-03
JR상예1,2008-04-01,S11,57.71,108.69,58.78,16.56,154.0,993.55,13.01,2008-04
JR상예1,2008-05-01,S11,57.5,108.9,58.57,16.59,158.0,983.96,12.97,2008-05
JR상예1,2008-06-01,S11,57.39,109.01,58.46,16.61,160.0,977.21,12.92,2008-06
JR상예1,2008-07-01,S11,57.55,108.85,58.62,16.62,161.0,972.7,12.88,2008-07
JR상예1,2008-08-01,S11,57.58,108.82,58.65,16.59,161.0,967.29,12.93,2008-08
JR상예1,2008-09-01,S11,57.48,108.92,58.55,16.59,160.0,966.84,12.92,2008-09
JR상예1,2008-10-01,S11,57.36,109.04,58.43,16.58,160.0,968.37,12.89,2008-10
JR상예1,2008-11-01,S11,57.23,109.17,58.3,16.58,160.0,966.71,12.84,2008-11
JR상예1,2008-12-01,S11,57.07,109.33,58.14,16.58,160.0,963.57,12.78,2008-12
JR상예1,2009-01-01,S11,56.81,109.59,57.88,16.56,159.0,960.08,12.74,2009-01
JR상예1,2009-02-01,S11,56.53,109.87,57.6,16.56,159.0,950.65,12.83,2009-02
JR상예1,2009-03-01,S11,56.33,110.07,57.4,16.56,160.0,946.61,12.93,2009-03
JR상예1,2009-04-01,S11,56.24,110.16,57.31,16.57,161.0,939.98,12.99,2009-04
JR상예1,2009-05-01,S11,56.14,110.26,57.21,16.56,160.0,932.99,12.94,2009-05
JR상예1,2009-06-01,S11,56.03,110.37,57.1,16.55,160.0,922.58,12.89,2009-06
JR상예1,2009-07-01,S11,56.09,110.31,57.16,16.59,163.0,918.91,12.79,2009-07
JR상예1,2009-08-01,S11,56.23,110.17,57.3,16.56,162.0,916.62,12.88,2009-08
JR상예1,2009-09-01,S11,56.12,110.28,57.19,16.52,160.0,916.86,12.88,2009-09
JR상예1,2009-10-01,S11,55.93,110.47,57.0,16.51,160.0,916.67,12.89,2009-10
JR상예1,2009-11-01,S11,55.78,110.62,56.85,16.52,161.0,917.68,12.76,2009-11
JR상예1,2009-12-01,S11,55.69,110.71,56.76,16.52,162.0,913.16,12.75,2009-12
JR상예1,2010-01-01,S11,55.53,110.87,56.6,16.52,161.0,910.98,12.66,2010-01
JR상예1,2010-02-01,S11,55.29,111.11,56.36,16.51,160.0,904.11,12.7,2010-02
JR상예1,2010-03-01,S11,55.04,111.36,56.11,16.51,159.0,900.26,12.73,2010-03
JR상예1,2010-04-01,S11,55.0,111.41,56.07,16.55,163.0,895.09,12.93,2010-04
JR상예1,2010-05-01,S11,54.99,111.41,56.06,16.54,163.0,885.54,12.9,2010-05
JR상예1,2010-06-01,S11,54.93,111.47,56.0,16.53,163.0,880.36,12.78,2010-06
JR상예1,2010-07-01,S11,55.22,111.18,56.29,16.59,167.0,876.28,12.8,2010-07
JR상예1,2010-08-01,S11,55.63,110.77,56.7,16.57,168.0,874.84,12.79,2010-08
JR상예1,2010-09-01,S11,56.27,110.13,57.34,16.57,169.0,873.41,12.71,2010-09
JR상예1,2010-10-01,S11,56.59,109.81,57.66,16.53,169.0,874.49,12.89,2010-10
JR상예1,2010-11-01,S11,56.69,109.71,57.76,16.52,169.0,874.71,12.86,2010-11
JR상예1,2010-12-01,S11,56.72,109.68,57.79,16.51,169.0,867.47,12.7,2010-12
JR상예1,2011-01-01,S11,56.61,109.79,57.68,16.49,168.0,872.54,12.79,2011-01
JR상예1,2011-02-01,S11,56.51,109.89,57.58,16.49,168.0,864.63,12.86,2011-02
JR상예1,2011-03-01,S11,56.27,110.13,57.34,16.5,169.0,863.72,12.94,2011-03
JR상예1,2011-04-01,S11,56.03,110.37,57.1,16.52,169.0,855.0,12.92,2011-04
JR상예1,2011-05-01,S11,55.79,110.61,56.86,16.51,169.0,848.82,12.87,2011-05
JR상예1,2011-06-01,S11,55.6,110.8,56.67,16.53,170.0,842.85,12.83,2011-06
JR상예1,2011-07-01,S11,55.73,110.67,56.8,16.55,171.0,840.5,12.82,2011-07
JR상예1,2011-08-01,S11,55.83,110.57,56.9,16.52,171.0,839.96,12.78,2011-08
JR상예1,2011-09-01,S11,55.9,110.51,56.97,16.49,170.0,841.35,12.8,2011-09
JR상예1,2011-10-01,S11,55.8,110.6,56.87,16.49,170.0,847.13,12.86,2011-10
JR상예1,2011-11-01,S11,55.8,110.6,56.87,16.5,170.0,847.37,12.79,2011-11
JR상예1,2011-12-01,S11,55.82,110.58,56.89,16.49,169.0,849.21,12.75,2011-12
JR상예1,2012-01-01,S11,55.81,110.59,56.88,16.49,168.0,844.91,12.78,2012-01
JR상예1,2012-02-01,S11,55.71,110.69,56.78,16.48,167.0,840.24,12.83,2012-02
JR상예1,2012-03-01,S11,55.54,110.86,56.61,16.47,166.0,835.05,12.85,2012-03
JR상예1,2012-04-01,S11,55.47,110.93,56.54,16.5,167.0,827.54,12.92,2012-04
JR상예1,2012-05-01,S11,55.78,110.62,56.85,16.51,168.0,821.85,12.93,2012-05
JR상예1,2012-06-01,S11,55.74,110.67,56.81,16.46,166.0,814.81,12.93,2012-06
JR상예1,2012-07-01,S11,55.91,110.49,56.98,16.47,167.0,812.14,12.84,2012-07
JR상예1,2012-08-01,S11,56.21,110.19,57.28,16.47,167.0,810.31,12.87,2012-08
JR상예1,2012-09-01,S11,57.2,109.2,58.27,16.53,171.0,812.16,12.9,2012-09
JR상예1,2012-10-01,S11,57.92,108.48,58.99,16.51,171.0,813.17,12.91,2012-10
JR상예1,2012-11-01,S11,57.47,108.93,58.54,16.49,171.0,810.92,12.9,2012-11
JR상예1,2012-12-01,S11,57.13,109.27,58.2,16.46,170.0,810.98,12.81,2012-12
JR상예1,2013-01-01,S11,56.91,109.49,57.98,16.44,170.0,809.84,12.88,2013-01
JR상예1,2013-02-01,S11,56.73,109.67,57.8,16.44,169.0,805.24,12.87,2013-02
JR상예1,2013-03-01,S11,56.41,109.99,57.48,16.44,169.0,796.7,12.99,2013-03
JR상예1,2013-04-01,S11,56.08,110.32,57.15,16.43,169.0,790.43,12.98,2013-04
JR상예1,2013-05-01,S11,55.44,110.96,56.51,16.45,169.0,785.54,12.94,2013-05
JR상예1,2013-06-01,S11,55.2,111.2,56.27,16.46,170.0,778.31,12.95,2013-06
JR상예1,2013-07-01,S11,54.79,111.61,55.86,16.43,169.0,776.48,12.89,2013-07
JR상예1,2013-08-01,S11,54.21,112.19,55.28,16.42,169.0,773.29,12.9,2013-08
JR상예1,2013-09-01,S11,53.85,112.55,54.92,16.43,169.0,775.93,12.86,2013-09
JR상예1,2013-10-01,S11,53.87,112.53,54.94,16.44,169.0,,12.93,2013-10
JR상예1,2013-11-01,S11,53.77,112.63,54.84,16.44,168.0,,12.92,2013-11
JR상예1,2013-12-01,S11,53.42,112.98,54.49,16.43,168.0,,12.88,2013-12
JR상예1,2014-01-01,S11,52.96,113.44,54.03,16.43,167.0,,12.93,2014-01
JR상예1,2014-02-01,S11,52.43,113.97,53.5,16.43,166.0,,12.95,2014-02
JR상예1,2014-03-01,S11,52.04,114.36,53.11,16.44,166.0,,12.94,2014-03
JR상예1,2014-04-01,S11,52.55,113.66,52.81,16.45,166.0,,12.94,2014-04
JR상예1,2014-05-01,S11,53.11,112.96,52.58,16.47,168.0,,12.91,2014-05
JR상예1,2014-06-01,S11,53.11,112.96,52.18,16.48,169.0,,12.98,2014-06
JR상예1,2014-07-01,S11,53.3,112.77,54.72,16.47,169.0,1008.0,12.9,2014-07
JR상예1,2014-08-01,S11,53.7,112.37,55.71,16.46,160.0,1006.7,12.84,2014-08
JR상예1,2014-09-01,S11,54.05,112.02,56.06,16.44,140.0,1011.6,12.88,2014-09
JR상예1,2014-10-01,S11,54.18,111.89,56.19,16.44,140.0,1017.11,12.89,2014-10
JR상예1,2014-11-01,S11,54.29,111.78,56.3,16.44,140.0,1019.85,12.88,2014-11
JR상예1,2014-12-01,S11,54.35,111.72,56.36,16.43,140.0,1022.54,12.91,2014-12
JR상예1,2015-01-01,S11,54.34,111.73,56.35,16.42,140.0,1022.25,12.9,2015-01
JR상예1,2015-02-01,S11,54.3,111.77,56.31,16.42,140.0,1020.62,12.93,2015-02
JR상예1,2015-03-01,S11,54.2,111.87,56.21,16.41,140.0,1020.18,12.96,2015-03
JR상예1,2015-04-01,S11,54.27,111.8,56.28,16.43,141.0,1014.89,12.94,2015-04
JR상예1,2015-05-01,S11,54.67,111.4,56.68,16.46,142.0,1009.87,12.95,2015-05
JR상예1,2015-06-01,S11,54.95,111.12,57.0,16.43,142.0,1006.83,12.93,2015-06
JR상예1,2015-07-01,S11,55.32,110.75,57.37,16.46,143.0,1006.95,12.84,2015-07
JR상예1,2015-08-01,S11,55.64,110.43,57.69,16.42,143.0,1008.19,12.91,2015-08
JR상예1,2015-09-01,S11,55.69,110.38,57.74,16.4,142.0,1012.48,12.86,2015-09
JR상예1,2015-10-01,S11,55.71,110.36,57.76,16.39,143.0,1017.99,12.88,2015-10
JR상예1,2015-11-01,S11,55.74,110.33,57.79,16.39,143.0,1021.09,12.86,2015-11
JR상예1,2015-12-01,S11,55.77,110.3,57.82,16.38,143.0,1023.42,12.9,2015-12
JR상예1,2016-01-01,S11,55.75,110.32,57.8,16.37,143.0,1022.46,12.8,2016-01
JR상예1,2016-02-01,S11,55.74,110.34,55.18,16.38,143.0,1023.02,12.94,2016-02
JR상예1,2016-03-01,S11,55.85,110.22,35.52,16.38,143.0,1017.29,12.98,2016-03
JR상예1,2016-04-01,S11,55.93,110.14,35.6,16.37,143.0,1010.16,12.93,2016-04
JR상예1,2016-05-01,S11,56.17,109.96,35.84,16.37,142.0,1009.36,12.44,2016-05
JR상예1,2016-06-01,S11,56.33,110.07,36.06,16.33,131.0,998.86,12.71,2016-06
JR상예1,2016-07-01,S11,56.78,109.62,36.15,16.48,134.0,1003.72,12.61,2016-07
JR상예1,2016-08-01,S11,56.9,109.5,36.16,16.5,135.0,1004.9,12.63,2016-08
JR상예1,2016-09-01,S11,56.8,109.6,36.06,16.5,134.0,1010.6,12.61,2016-09
JR상예1,2016-10-01,S11,56.81,109.59,36.23,16.38,136.0,1015.99,13.01,2016-10
JR상예1,2016-11-01,S11,56.81,109.59,36.28,16.34,137.0,1019.9,13.06,2016-11
JR상예1,2016-12-01,S11,56.76,109.64,36.23,16.38,137.0,1022.07,13.06,2016-12
