관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JR서광2,2007-01-01,S11,,,,,,,,2007-01
JR서광2,2007-02-01,S11,,,,,,,,2007-02
JR서광2,2007-03-01,S11,,,,,,,,2007-03
JR서광2,2007-04-01,S11,,,,,,,,2007-04
JR서광2,2007-05-01,S11,,,,,,,,2007-05
JR서광2,2007-06-01,S11,,,,,,,,2007-06
JR서광2,2007-07-01,S11,,,,,,,,2007-07
JR서광2,2007-08-01,S11,,,,,,,,2007-08
JR서광2,2007-09-01,S11,,,,,,,,2007-09
JR서광2,2007-10-01,S11,,,,,,,,2007-10
JR서광2,2007-11-01,S11,,,,,,,,2007-11
JR서광2,2007-12-01,S11,,,,,,,,2007-12
JR서광2,2008-01-01,S11,,,,,,,,2008-01
JR서광2,2008-02-01,S11,,,,,,,,2008-02
JR서광2,2008-03-01,S11,,,,,,,,2008-03
JR서광2,2008-04-01,S11,,,,,,,,2008-04
JR서광2,2008-05-01,S11,,,,,,,,2008-05
JR서광2,2008-06-01,S11,,,,,,,,2008-06
JR서광2,2008-07-01,S11,,,,,,,,2008-07
JR서광2,2008-08-01,S11,,,,,,,,2008-08
JR서광2,2008-09-01,S11,,,,,,,,2008-09
JR서광2,2008-10-01,S11,,,,,,,,2008-10
JR서광2,2008-11-01,S11,,,,,,,,2008-11
JR서광2,2008-12-01,S11,22.62,57.25,40.76,13.2,99.0,1024.87,12.83,2008-12
JR서광2,2009-01-01,S11,21.46,58.41,39.6,13.21,98.0,1026.2,12.8,2009-01
JR서광2,2009-02-01,S11,20.69,59.18,38.83,13.2,97.0,1020.85,12.84,2009-02
JR서광2,2009-03-01,S11,21.52,58.35,39.66,13.18,98.0,1020.84,12.88,2009-03
JR서광2,2009-04-01,S11,21.0,58.87,39.15,13.18,97.0,987.48,12.89,2009-04
JR서광2,2009-05-01,S11,21.17,58.7,39.32,13.18,97.0,1015.16,12.86,2009-05
JR서광2,2009-06-01,S11,21.03,58.85,39.18,13.17,97.0,1008.54,12.8,2009-06
JR서광2,2009-07-01,S11,23.25,56.62,41.4,13.07,96.0,1008.8,12.78,2009-07
JR서광2,2009-08-01,S11,24.34,55.53,42.49,13.05,97.0,1010.62,12.74,2009-08
JR서광2,2009-09-01,S11,23.2,56.67,41.35,13.12,97.0,1015.01,12.79,2009-09
JR서광2,2009-10-01,S11,23.14,56.73,41.29,13.12,99.0,1019.04,12.85,2009-10
JR서광2,2009-11-01,S11,22.99,56.88,41.14,13.13,99.0,1024.3,12.81,2009-11
JR서광2,2009-12-01,S11,22.23,57.64,40.38,13.19,100.0,1024.21,12.77,2009-12
JR서광2,2010-01-01,S11,20.92,58.95,39.07,13.22,99.0,1026.06,12.71,2010-01
JR서광2,2010-02-01,S11,20.3,59.57,38.45,13.22,99.0,1022.58,12.71,2010-02
JR서광2,2010-03-01,S11,20.56,59.31,38.71,13.2,99.0,1021.9,12.78,2010-03
JR서광2,2010-04-01,S11,22.37,57.5,40.52,13.1,98.0,1020.43,12.81,2010-04
JR서광2,2010-05-01,S11,22.73,57.14,40.88,13.14,98.0,1014.2,12.77,2010-05
JR서광2,2010-06-01,S11,22.4,57.47,40.55,13.15,98.0,1012.19,12.7,2010-06
JR서광2,2010-07-01,S11,26.71,53.16,44.86,12.96,109.0,1011.51,12.76,2010-07
JR서광2,2010-08-01,S11,28.31,51.56,46.46,12.83,96.0,1013.13,12.76,2010-08
JR서광2,2010-09-01,S11,32.55,47.32,50.7,12.82,106.0,1015.41,12.8,2010-09
JR서광2,2010-10-01,S11,32.24,47.63,50.39,12.86,96.0,1020.48,12.85,2010-10
JR서광2,2010-11-01,S11,31.98,47.89,50.13,12.94,99.0,1024.11,12.9,2010-11
JR서광2,2010-12-01,S11,31.23,48.65,49.38,12.96,102.0,1020.24,12.78,2010-12
JR서광2,2011-01-01,S11,30.05,49.82,48.2,13.02,104.0,1028.59,12.81,2011-01
JR서광2,2011-02-01,S11,28.67,51.2,46.82,13.08,105.0,1023.26,12.84,2011-02
JR서광2,2011-03-01,S11,27.19,52.68,45.34,13.15,104.0,1025.06,12.92,2011-03
JR서광2,2011-04-01,S11,25.86,54.02,44.01,13.18,103.0,1018.39,12.88,2011-04
JR서광2,2011-05-01,S11,24.63,55.25,42.78,13.22,102.0,1014.12,12.84,2011-05
JR서광2,2011-06-01,S11,24.71,55.16,42.86,13.14,105.0,1010.19,12.84,2011-06
JR서광2,2011-07-01,S11,27.83,52.04,45.98,12.93,109.0,1009.62,12.8,2011-07
JR서광2,2011-08-01,S11,27.54,52.33,45.69,13.02,99.0,1010.82,12.76,2011-08
JR서광2,2011-09-01,S11,27.13,52.75,45.28,13.08,100.0,1014.09,12.78,2011-09
JR서광2,2011-10-01,S11,26.3,53.57,44.45,13.08,101.0,1021.92,12.82,2011-10
JR서광2,2011-11-01,S11,27.25,52.62,45.4,13.06,102.0,1024.13,12.8,2011-11
JR서광2,2011-12-01,S11,27.0,52.87,45.15,13.13,105.0,1028.81,12.74,2011-12
JR서광2,2012-01-01,S11,25.59,54.28,43.74,13.22,105.0,1026.95,12.81,2012-01
JR서광2,2012-02-01,S11,24.41,55.46,42.56,13.25,105.0,1024.94,12.79,2012-02
JR서광2,2012-03-01,S11,23.88,55.99,42.03,13.25,104.0,1022.11,12.81,2012-03
JR서광2,2012-04-01,S11,25.11,54.76,43.26,13.15,108.0,1016.9,12.83,2012-04
JR서광2,2012-05-01,S11,27.62,52.25,45.77,12.95,111.0,1014.35,12.83,2012-05
