관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JR신촌1,2007-01-01,S11,0.85,17.83,27.71,16.59,31432,1029.19,12.54,2007-01
JR신촌1,2007-02-01,S11,0.55,18.13,27.71,16.76,26710,1024.62,12.74,2007-02
JR신촌1,2007-03-01,S11,0.63,18.05,27.81,16.81,25803,1022.78,12.76,2007-03
JR신촌1,2007-04-01,S11,0.56,18.12,27.74,16.73,22725,1020.4,12.86,2007-04
JR신촌1,2007-05-01,S11,0.63,18.05,27.81,16.72,19757,1012.72,12.88,2007-05
JR신촌1,2007-06-01,S11,0.68,18.0,27.86,16.8,21549,1011.56,12.84,2007-06
JR신촌1,2007-07-01,S11,0.93,17.75,28.11,16.7,13402,1007.98,12.83,2007-07
JR신촌1,2007-08-01,S11,0.9,17.78,28.08,16.7,14302,1011.81,12.88,2007-08
JR신촌1,2007-09-01,S11,2.83,15.85,30.01,16.3,1797,1013.63,12.53,2007-09
JR신촌1,2007-10-01,S11,1.96,16.72,29.14,16.26,286,1022.08,12.43,2007-10
JR신촌1,2007-11-01,S11,1.11,17.57,28.29,16.26,809,1026.72,12.32,2007-11
JR신촌1,2007-12-01,S11,0.75,17.93,27.93,16.26,1890,1025.04,12.13,2007-12
JR신촌1,2008-01-01,S11,0.64,18.04,27.82,16.5,2560,1027.42,12.1,2008-01
JR신촌1,2008-02-01,S11,0.53,18.15,27.71,16.83,4263,1027.71,12.33,2008-02
JR신촌1,2008-03-01,S11,0.5,18.18,27.68,17.55,7594,1021.26,12.59,2008-03
JR신촌1,2008-04-01,S11,0.56,18.12,27.74,18.2,9621,1018.09,12.64,2008-04
JR신촌1,2008-05-01,S11,0.61,18.07,27.79,18.67,11884,1012.94,12.67,2008-05
JR신촌1,2008-06-01,S11,0.75,17.93,27.93,18.71,8845,1010.67,12.67,2008-06
JR신촌1,2008-07-01,S11,0.76,17.92,27.94,18.7,5595,1009.77,12.91,2008-07
JR신촌1,2008-08-01,S11,0.87,17.81,28.05,18.79,4502,1009.67,12.84,2008-08
JR신촌1,2008-09-01,S11,0.7,17.99,27.88,18.97,5401,1014.34,12.66,2008-09
JR신촌1,2008-10-01,S11,0.59,18.09,27.77,19.13,9212,1020.57,12.65,2008-10
JR신촌1,2008-11-01,S11,0.49,18.19,27.67,19.48,12956,1023.88,12.38,2008-11
JR신촌1,2008-12-01,S11,0.37,18.31,27.55,19.53,15271,1025.34,12.37,2008-12
JR신촌1,2009-01-01,S11,0.26,18.42,27.44,19.6,17246,1026.58,12.29,2009-01
JR신촌1,2009-02-01,S11,0.29,18.39,27.47,19.71,18072,1021.04,12.58,2009-02
JR신촌1,2009-03-01,S11,0.52,18.16,27.66,17.42,20825,1022.1,12.82,2009-03
JR신촌1,2009-04-01,S11,0.63,18.05,27.72,16.76,24273,1016.48,12.96,2009-04
JR신촌1,2009-05-01,S11,0.71,17.97,27.77,16.77,24493,1013.7,12.88,2009-05
JR신촌1,2009-06-01,S11,0.81,17.87,27.86,16.81,26389,1006.66,12.76,2009-06
JR신촌1,2009-07-01,S11,0.84,17.84,27.9,16.78,25308,1006.61,12.73,2009-07
JR신촌1,2009-08-01,S11,0.93,17.75,28.02,16.67,19537,1010.81,12.67,2009-08
JR신촌1,2009-09-01,S11,0.94,17.75,28.03,16.65,19980,1013.31,12.72,2009-09
JR신촌1,2009-10-01,S11,0.94,17.74,28.03,16.61,16950,1017.08,12.76,2009-10
JR신촌1,2009-11-01,S11,0.8,17.88,27.89,16.66,20627,1022.59,12.6,2009-11
JR신촌1,2009-12-01,S11,0.69,17.99,27.78,16.7,22939,1022.22,12.58,2009-12
JR신촌1,2010-01-01,S11,0.53,18.15,27.62,16.72,24524,1027.07,12.56,2010-01
JR신촌1,2010-02-01,S11,0.63,18.05,27.72,16.74,26002,1019.28,12.65,2010-02
JR신촌1,2010-03-01,S11,0.67,18.01,27.76,16.69,22071,1019.46,12.61,2010-03
JR신촌1,2010-04-01,S11,0.74,17.94,27.83,16.63,18190,1018.14,12.74,2010-04
JR신촌1,2010-05-01,S11,0.77,17.91,27.82,16.64,19504,1011.35,12.8,2010-05
JR신촌1,2010-06-01,S11,0.83,17.85,27.79,16.69,23114,1009.04,12.77,2010-06
JR신촌1,2010-07-01,S11,0.98,17.7,27.96,16.57,15173,1007.76,12.73,2010-07
JR신촌1,2010-08-01,S11,1.05,17.63,27.99,16.47,10457,1009.61,12.69,2010-08
JR신촌1,2010-09-01,S11,1.35,17.33,28.25,16.21,1731,1012.4,12.72,2010-09
JR신촌1,2010-10-01,S11,1.12,17.57,28.01,16.22,2619,1017.84,12.74,2010-10
JR신촌1,2010-11-01,S11,0.91,17.77,27.8,16.32,5967,1029.26,12.75,2010-11
JR신촌1,2010-12-01,S11,0.72,17.96,27.61,16.45,11134,1017.19,12.58,2010-12
JR신촌1,2011-01-01,S11,0.57,18.12,27.46,16.58,16953,1025.91,12.46,2011-01
JR신촌1,2011-02-01,S11,0.57,18.11,27.46,16.65,21015,1020.38,12.72,2011-02
JR신촌1,2011-03-01,S11,0.5,18.18,27.39,16.68,23182,1022.22,12.81,2011-03
