관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JR신흥1,2007-01-01,S11,0.29,15.4,43.87,17.83,37276,1027.01,13.15,2007-01
JR신흥1,2007-02-01,S11,0.25,15.44,43.83,17.83,37333,1021.83,13.19,2007-02
JR신흥1,2007-03-01,S11,0.39,15.3,43.97,17.84,37607,1020.04,13.27,2007-03
JR신흥1,2007-04-01,S11,0.4,15.29,43.98,17.84,37898,1018.14,13.34,2007-04
JR신흥1,2007-05-01,S11,0.49,15.2,44.07,17.84,37887,1010.91,13.4,2007-05
JR신흥1,2007-06-01,S11,0.55,15.14,44.13,17.84,37735,1009.64,13.36,2007-06
JR신흥1,2007-07-01,S11,0.76,14.93,44.34,17.84,38034,1005.29,13.34,2007-07
JR신흥1,2007-09-01,S11,0.84,14.86,44.35,17.48,40541,1016.94,13.24,2007-09
JR신흥1,2007-10-01,S11,0.58,15.11,44.27,17.47,32827,1023.72,13.3,2007-10
JR신흥1,2007-11-01,S11,0.58,15.11,44.27,17.5,35633,1026.45,13.25,2007-11
JR신흥1,2007-12-01,S11,0.49,15.2,44.18,17.49,37096,1025.42,13.15,2007-12
JR신흥1,2008-01-01,S11,0.39,15.3,44.08,17.48,37236,1027.72,13.12,2008-01
JR신흥1,2008-02-01,S11,0.33,15.37,44.02,17.47,37400,1028.55,13.26,2008-02
JR신흥1,2008-03-01,S11,0.38,15.31,44.07,17.45,37429,1022.74,13.33,2008-03
JR신흥1,2008-04-01,S11,0.47,15.22,44.16,17.45,37483,1019.99,13.37,2008-04
JR신흥1,2008-05-01,S11,0.56,15.13,46.8,17.45,37664,1015.28,13.4,2008-05
JR신흥1,2008-06-01,S11,0.79,14.9,69.73,17.59,38086,1016.37,13.29,2008-06
JR신흥1,2008-07-01,S11,0.75,14.94,69.69,17.58,38171,1015.74,13.49,2008-07
JR신흥1,2008-08-01,S11,0.72,14.97,69.66,17.58,38189,1015.29,13.47,2008-08
JR신흥1,2008-09-01,S11,0.66,15.03,69.6,17.57,38292,1019.8,13.38,2008-09
JR신흥1,2008-10-01,S11,0.66,15.03,69.6,17.57,38395,1025.94,13.37,2008-10
JR신흥1,2008-11-01,S11,0.62,15.07,69.56,17.57,38514,1029.43,13.21,2008-11
JR신흥1,2008-12-01,S11,0.55,15.15,69.49,17.56,38624,1031.1,13.2,2008-12
JR신흥1,2009-01-01,S11,0.48,15.21,69.42,17.56,38757,1032.45,13.15,2009-01
JR신흥1,2009-02-01,S11,0.55,15.15,69.49,17.57,38873,1027.12,13.23,2009-02
JR신흥1,2009-03-01,S11,0.56,15.13,69.5,17.58,38945,1027.02,13.34,2009-03
JR신흥1,2009-04-01,S11,0.62,15.07,69.56,17.57,38942,1024.3,13.42,2009-04
JR신흥1,2009-05-01,S11,0.65,15.04,69.66,17.57,38818,1021.29,13.22,2009-05
JR신흥1,2009-06-01,S11,0.62,15.07,69.82,17.57,38486,1014.99,12.68,2009-06
JR신흥1,2009-07-01,S11,0.7,14.99,69.89,17.57,38577,1015.02,12.66,2009-07
JR신흥1,2009-08-01,S11,0.73,14.96,69.91,17.57,38641,1017.08,12.59,2009-08
JR신흥1,2009-09-01,S11,0.77,14.92,69.95,17.56,38728,1021.44,12.65,2009-09
JR신흥1,2009-10-01,S11,0.68,15.01,69.89,17.55,38773,1025.31,12.64,2009-10
JR신흥1,2009-11-01,S11,0.55,15.15,69.8,17.54,38759,1030.87,12.62,2009-11
JR신흥1,2009-12-01,S11,0.46,15.23,69.71,17.54,38754,1030.4,12.7,2009-12
JR신흥1,2010-01-01,S11,0.33,15.36,69.58,17.54,38841,1031.99,12.66,2010-01
JR신흥1,2010-02-01,S11,0.47,15.22,69.8,17.54,39077,1029.12,12.62,2010-02
JR신흥1,2010-03-01,S11,0.33,15.36,69.81,17.54,38523,1028.57,12.61,2010-03
JR신흥1,2010-04-01,S11,0.44,15.25,69.94,17.54,38019,1027.17,12.68,2010-04
JR신흥1,2010-05-01,S11,0.5,15.19,70.0,17.53,38021,1020.7,12.71,2010-05
JR신흥1,2010-06-01,S11,0.56,15.13,70.04,17.52,37998,1018.66,12.64,2010-06
JR신흥1,2010-07-01,S11,0.71,14.98,70.18,17.52,37926,1017.7,12.63,2010-07
JR신흥1,2010-08-01,S11,0.63,15.06,70.1,17.5,38177,1019.8,12.58,2010-08
JR신흥1,2010-09-01,S11,0.8,14.89,70.27,17.5,38650,1022.08,12.54,2010-09
JR신흥1,2010-10-01,S11,0.75,14.94,70.22,17.48,38661,1027.01,12.65,2010-10
JR신흥1,2010-11-01,S11,0.56,15.13,70.13,17.48,38874,1030.54,12.68,2010-11
JR신흥1,2010-12-01,S11,0.4,15.29,69.98,17.47,38787,1026.82,12.65,2010-12
JR신흥1,2011-01-01,S11,0.28,15.41,69.85,17.48,38683,1035.26,12.65,2011-01
JR신흥1,2011-02-01,S11,0.32,15.37,69.86,17.5,38699,1030.41,12.64,2011-02
JR신흥1,2011-03-01,S11,0.3,15.39,69.84,17.45,38602,1031.81,12.56,2011-03
JR신흥1,2011-04-01,S11,0.34,15.35,69.89,17.45,37315,1025.0,12.71,2011-04
JR신흥1,2011-05-01,S11,0.31,15.38,69.93,17.45,37333,1021.01,12.63,2011-05
JR신흥1,2011-06-01,S11,0.43,15.27,70.05,17.48,36996,1017.12,12.6,2011-06
JR신흥1,2011-07-01,S11,0.5,15.19,70.11,17.5,36721,1016.45,12.61,2011-07
JR신흥1,2011-08-01,S11,0.69,15.0,70.21,17.5,36469,1017.93,12.54,2011-08
JR신흥1,2011-09-01,S11,0.72,14.97,70.31,17.51,36427,1021.0,12.57,2011-09
JR신흥1,2011-10-01,S11,0.59,15.1,70.2,17.51,36433,1028.87,12.66,2011-10
JR신흥1,2011-11-01,S11,0.64,15.05,70.25,17.51,36725,1031.36,12.62,2011-11
JR신흥1,2011-12-01,S11,0.54,15.15,70.15,17.51,37509,1036.03,12.64,2011-12
JR신흥1,2012-01-01,S11,0.5,15.19,70.11,17.51,37660,1033.99,12.66,2012-01
JR신흥1,2012-02-01,S11,0.43,15.26,70.04,17.51,36992,1031.57,12.6,2012-02
JR신흥1,2012-03-01,S11,0.5,15.19,70.14,17.52,36949,1028.47,12.66,2012-03
JR신흥1,2012-04-01,S11,0.46,15.23,70.15,17.51,37055,1023.94,12.64,2012-04
JR신흥1,2012-05-01,S11,0.68,15.01,70.37,17.49,37005,1021.18,12.7,2012-05
JR신흥1,2012-06-01,S11,0.64,15.05,70.33,17.47,36702,1017.13,12.69,2012-06
JR신흥1,2012-07-01,S11,0.61,15.09,70.07,17.44,30865,1015.21,12.61,2012-07
JR신흥1,2012-08-01,S11,0.81,14.88,70.24,17.46,29840,1016.07,12.63,2012-08
