관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JR어음1,2007-01-01,S11,,,,,,,,2007-01
JR어음1,2007-02-01,S11,,,,,,,,2007-02
JR어음1,2007-03-01,S11,,,,,,,,2007-03
JR어음1,2007-04-01,S11,,,,,,,,2007-04
JR어음1,2007-05-01,S11,,,,,,,,2007-05
JR어음1,2007-06-01,S11,,,,,,,,2007-06
JR어음1,2007-07-01,S11,,,,,,,,2007-07
JR어음1,2007-08-01,S11,,,,,,,,2007-08
JR어음1,2007-09-01,S11,,,,,,,,2007-09
JR어음1,2007-10-01,S11,,,,,,,,2007-10
JR어음1,2007-11-01,S11,,,,,,,,2007-11
JR어음1,2007-12-01,S11,5.98,54.17,43.1,15.32,174.0,1026.98,12.85,2007-12
JR어음1,2008-01-01,S11,5.61,54.54,42.73,15.31,176.0,1031.33,12.78,2008-01
JR어음1,2008-02-01,S11,5.15,55.0,42.27,15.3,177.0,1032.58,12.96,2008-02
JR어음1,2008-03-01,S11,4.69,55.46,41.81,15.31,176.0,1026.37,12.98,2008-03
JR어음1,2008-04-01,S11,4.34,55.81,41.46,15.31,170.0,1023.02,12.97,2008-04
JR어음1,2008-05-01,S11,4.01,56.14,41.13,15.32,165.0,1017.87,12.96,2008-05
JR어음1,2008-06-01,S11,4.14,56.01,41.26,15.32,161.0,1015.44,12.93,2008-06
JR어음1,2008-07-01,S11,4.47,55.68,41.59,15.33,160.0,1015.06,12.86,2008-07
JR어음1,2008-08-01,S11,4.38,55.77,41.5,15.33,166.0,1014.61,12.86,2008-08
JR어음1,2008-09-01,S11,4.2,55.95,41.32,15.34,174.0,1018.8,12.89,2008-09
JR어음1,2008-10-01,S11,3.6,56.55,40.85,15.21,143.0,1024.11,12.9,2008-10
JR어음1,2008-11-01,S11,3.37,56.78,40.62,15.22,138.0,1026.49,12.86,2008-11
JR어음1,2008-12-01,S11,3.09,57.06,40.34,15.22,135.0,1028.1,12.82,2008-12
JR어음1,2009-01-01,S11,2.78,57.37,40.03,15.22,133.0,1029.55,12.72,2009-01
JR어음1,2009-02-01,S11,2.63,57.52,39.88,15.23,132.0,1024.24,12.87,2009-02
JR어음1,2009-03-01,S11,2.59,57.56,39.83,15.23,132.0,1024.16,12.96,2009-03
JR어음1,2009-04-01,S11,2.54,57.61,39.78,15.23,132.0,1021.37,12.98,2009-04
JR어음1,2009-05-01,S11,2.61,57.54,39.85,15.23,132.0,1018.18,12.93,2009-05
JR어음1,2009-06-01,S11,2.77,57.38,40.01,15.24,134.0,1011.22,12.87,2009-06
JR어음1,2009-07-01,S11,3.05,57.1,40.3,15.24,136.0,1011.36,12.89,2009-07
JR어음1,2009-08-01,S11,3.19,56.96,40.45,15.25,138.0,1013.5,12.83,2009-08
JR어음1,2009-09-01,S11,3.28,56.87,40.54,15.25,142.0,1018.13,12.86,2009-09
JR어음1,2009-10-01,S11,3.45,56.7,40.72,15.26,147.0,1022.08,12.9,2009-10
JR어음1,2009-11-01,S11,3.29,56.86,40.57,15.26,152.0,1027.78,12.78,2009-11
JR어음1,2009-12-01,S11,3.08,57.07,40.36,15.26,153.0,1027.43,12.72,2009-12
JR어음1,2010-01-01,S11,2.77,57.38,40.05,15.27,151.0,1029.33,12.72,2010-01
JR어음1,2010-02-01,S11,2.67,57.48,39.95,15.27,146.0,1025.74,12.79,2010-02
JR어음1,2010-03-01,S11,2.7,57.45,39.98,15.27,142.0,1025.03,12.78,2010-03
JR어음1,2010-04-01,S11,3.13,57.02,40.41,15.27,141.0,1023.36,12.93,2010-04
JR어음1,2010-05-01,S11,3.35,56.8,40.63,15.28,143.0,1016.75,12.9,2010-05
JR어음1,2010-06-01,S11,3.44,56.71,40.72,15.28,150.0,1014.64,12.89,2010-06
JR어음1,2010-07-01,S11,4.17,55.98,41.45,15.29,156.0,1013.73,12.76,2010-07
JR어음1,2010-08-01,S11,4.48,55.67,41.76,15.29,159.0,1015.88,12.79,2010-08
JR어음1,2010-09-01,S11,5.78,54.37,43.06,15.3,167.0,1018.44,12.76,2010-09
JR어음1,2010-10-01,S11,6.06,54.09,43.34,15.3,172.0,1023.74,12.92,2010-10
JR어음1,2010-11-01,S11,5.82,54.34,43.1,15.31,168.0,1027.17,12.94,2010-11
JR어음1,2010-12-01,S11,5.37,54.78,42.65,15.31,165.0,1023.37,12.82,2010-12
JR어음1,2011-01-01,S11,4.76,55.39,42.04,15.32,162.0,1031.92,12.69,2011-01
JR어음1,2011-02-01,S11,4.23,55.92,41.51,15.32,156.0,1026.54,12.89,2011-02
JR어음1,2011-03-01,S11,3.72,56.43,41.0,15.32,147.0,1028.27,13.0,2011-03
JR어음1,2011-04-01,S11,3.36,56.79,40.64,15.33,142.0,1021.18,12.98,2011-04
JR어음1,2011-05-01,S11,3.14,57.01,40.42,15.33,138.0,1016.96,12.94,2011-05
JR어음1,2011-06-01,S11,3.23,56.92,40.51,15.34,137.0,1012.63,12.93,2011-06
JR어음1,2011-07-01,S11,3.59,56.56,40.87,15.34,137.0,1011.99,12.87,2011-07
JR어음1,2011-08-01,S11,4.1,56.05,41.38,15.35,140.0,1013.18,12.83,2011-08
JR어음1,2011-09-01,S11,4.4,55.75,41.68,15.36,148.0,1017.03,12.86,2011-09
