관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JR장전1,2007-01-01,S11,11.24,120.37,24.19,14.66,97.0,1028.54,12.89,2007-01
JR장전1,2007-02-01,S11,10.43,121.18,23.38,14.66,96.0,1025.66,13.06,2007-02
JR장전1,2007-03-01,S11,9.22,122.4,22.17,14.54,99.0,1012.07,12.94,2007-03
JR장전1,2007-04-01,S11,9.04,122.57,21.99,14.54,101.0,1018.11,13.03,2007-04
JR장전1,2007-05-01,S11,8.62,122.99,21.57,14.56,102.0,1011.05,13.16,2007-05
JR장전1,2007-06-01,S11,8.03,123.58,20.98,14.58,100.0,1009.8,13.06,2007-06
JR장전1,2007-07-01,S11,8.46,123.15,21.41,14.59,101.0,1006.35,13.03,2007-07
JR장전1,2007-08-01,S11,9.89,121.72,22.84,14.61,109.0,1010.33,13.0,2007-08
JR장전1,2007-09-01,S11,12.43,119.18,25.38,14.62,110.0,1012.37,12.8,2007-09
JR장전1,2007-10-01,S11,17.49,114.12,30.44,14.62,114.0,1020.18,12.9,2007-10
JR장전1,2007-11-01,S11,17.85,113.76,30.8,14.63,107.0,1024.52,12.93,2007-11
JR장전1,2007-12-01,S11,16.61,115.0,29.56,14.63,101.0,1023.0,12.73,2007-12
JR장전1,2008-01-01,S11,15.01,116.6,27.96,14.63,98.0,1025.42,12.67,2008-01
JR장전1,2008-02-01,S11,13.57,118.04,26.52,14.64,97.0,1026.08,12.82,2008-02
JR장전1,2008-03-01,S11,12.07,119.54,25.02,14.64,97.0,1019.9,12.99,2008-03
JR장전1,2008-04-01,S11,10.86,120.75,23.81,14.65,97.0,1016.81,13.06,2008-04
JR장전1,2008-05-01,S11,9.9,121.71,22.85,14.66,99.0,1011.84,13.1,2008-05
JR장전1,2008-06-01,S11,9.51,122.1,22.46,14.68,101.0,1009.66,13.05,2008-06
JR장전1,2008-07-01,S11,10.53,121.08,23.48,14.69,106.0,1009.41,13.13,2008-07
JR장전1,2008-08-01,S11,10.84,120.77,23.79,14.71,109.0,1009.19,13.12,2008-08
JR장전1,2008-09-01,S11,10.22,121.39,23.17,14.73,105.0,1013.64,13.03,2008-09
JR장전1,2008-10-01,S11,9.3,122.31,22.25,14.74,102.0,1019.89,13.02,2008-10
JR장전1,2008-11-01,S11,8.39,123.22,21.34,14.75,101.0,1023.04,12.81,2008-11
JR장전1,2008-12-01,S11,7.62,123.99,20.57,14.75,100.0,1024.36,12.72,2008-12
JR장전1,2009-01-01,S11,6.86,124.75,19.81,14.76,99.0,1025.61,12.53,2009-01
JR장전1,2009-02-01,S11,6.32,125.29,19.27,14.76,98.0,1020.37,12.9,2009-02
JR장전1,2009-03-01,S11,6.28,125.33,19.23,14.77,101.0,1020.25,13.0,2009-03
JR장전1,2009-04-01,S11,6.17,125.44,19.12,14.79,103.0,1017.5,13.07,2009-04
JR장전1,2009-05-01,S11,6.31,125.3,19.27,14.81,105.0,1014.59,12.92,2009-05
JR장전1,2009-06-01,S11,6.54,125.07,19.51,14.83,105.0,1007.83,12.69,2009-06
JR장전1,2009-07-01,S11,7.09,124.52,20.06,14.83,106.0,1008.03,12.7,2009-07
