관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JR조천1,2007-01-01,S11,0.92,25.52,34.0,15.5,779.0,1028.08,12.76,2007-01
JR조천1,2007-02-01,S11,0.95,25.49,34.03,15.49,906.0,1022.93,12.89,2007-02
JR조천1,2007-03-01,S11,1.15,25.29,34.23,15.49,1032.0,1021.04,12.91,2007-03
JR조천1,2007-04-01,S11,1.14,25.3,34.22,15.49,1157.0,1019.4,12.99,2007-04
JR조천1,2007-05-01,S11,1.29,25.15,34.37,15.48,1588.0,1012.21,13.01,2007-05
JR조천1,2007-06-01,S11,1.51,24.93,34.59,15.45,3327.0,1011.18,12.96,2007-06
JR조천1,2007-07-01,S11,2.0,24.44,35.08,15.46,2939.0,1007.61,12.9,2007-07
JR조천1,2007-08-01,S11,2.4,24.04,35.48,15.49,957.0,1011.94,12.98,2007-08
JR조천1,2007-09-01,S11,2.37,24.07,35.29,15.68,282.0,1013.95,12.83,2007-09
JR조천1,2007-10-01,S11,1.46,24.98,34.38,15.71,300.0,1020.1,12.87,2007-10
JR조천1,2007-11-01,S11,1.15,25.29,34.07,15.71,300.0,1024.69,12.86,2007-11
JR조천1,2007-12-01,S11,0.97,25.47,33.89,15.71,299.0,1023.23,12.66,2007-12
JR조천1,2008-01-01,S11,0.89,25.55,33.81,15.72,298.0,1025.75,12.57,2008-01
JR조천1,2008-02-01,S11,0.86,25.58,33.78,15.72,290.0,1026.37,12.71,2008-02
JR조천1,2008-03-01,S11,0.85,25.59,33.77,15.71,330.0,1020.19,12.92,2008-03
JR조천1,2008-04-01,S11,0.93,25.51,33.85,15.7,367.0,1017.13,12.92,2008-04
JR조천1,2008-05-01,S11,0.99,25.45,33.91,15.69,489.0,1011.98,12.93,2008-05
JR조천1,2008-06-01,S11,1.14,25.3,34.06,15.68,506.0,1010.02,12.81,2008-06
JR조천1,2008-07-01,S11,1.2,25.24,34.12,15.69,383.0,1009.18,12.97,2008-07
JR조천1,2008-08-01,S11,1.23,25.21,34.15,15.68,382.0,1009.16,12.92,2008-08
JR조천1,2008-09-01,S11,1.14,25.3,34.06,15.69,370.0,1013.84,12.82,2008-09
JR조천1,2008-10-01,S11,1.04,25.4,33.96,15.71,401.0,1020.06,12.82,2008-10
JR조천1,2008-11-01,S11,0.92,25.52,33.84,15.7,458.0,1023.32,12.66,2008-11
