관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JR토평2,2007-01-01,S11,170.79,42.41,47.38,14.19,78.0,,13.21,2007-01
JR토평2,2007-02-01,S11,170.37,42.84,46.96,14.19,80.0,,13.29,2007-02
JR토평2,2007-03-01,S11,170.14,43.06,46.73,14.19,79.0,,13.39,2007-03
JR토평2,2007-04-01,S11,170.36,42.84,46.95,14.19,78.0,,13.51,2007-04
JR토평2,2007-05-01,S11,170.45,42.75,47.04,14.19,78.0,,13.48,2007-05
JR토평2,2007-06-01,S11,170.87,42.33,47.46,14.19,77.0,,13.43,2007-06
JR토평2,2007-07-01,S11,172.79,40.41,49.38,14.21,79.0,,13.43,2007-07
JR토평2,2007-08-01,S11,173.63,39.57,50.22,14.2,86.0,,13.42,2007-08
JR토평2,2007-09-01,S11,175.4,37.8,51.99,14.31,101.0,,13.3,2007-09
JR토평2,2007-10-01,S11,174.98,38.22,51.57,14.34,79.0,,13.37,2007-10
JR토평2,2007-11-01,S11,173.67,39.53,50.26,14.21,78.0,,13.33,2007-11
JR토평2,2007-12-01,S11,172.74,40.46,49.33,14.18,74.0,,13.18,2007-12
JR토평2,2008-01-01,S11,171.92,41.28,48.51,14.18,76.0,,13.13,2008-01
JR토평2,2008-02-01,S11,171.27,41.93,47.86,14.18,77.0,,13.32,2008-02
JR토평2,2008-03-01,S11,170.74,42.46,47.33,14.18,75.0,,13.38,2008-03
JR토평2,2008-04-01,S11,170.62,42.58,47.21,14.17,75.0,,13.42,2008-04
JR토평2,2008-05-01,S11,170.65,42.55,47.24,14.18,77.0,,13.5,2008-05
JR토평2,2008-06-01,S11,171.54,41.66,48.13,14.18,78.0,,13.32,2008-06
JR토평2,2008-07-01,S11,173.02,40.18,49.61,14.19,78.0,,13.5,2008-07
JR토평2,2008-08-01,S11,172.59,40.61,49.18,14.18,75.0,,13.47,2008-08
JR토평2,2008-09-01,S11,172.02,41.18,48.61,14.17,73.0,,13.39,2008-09
JR토평2,2008-10-01,S11,172.04,41.16,48.63,14.17,73.0,,13.35,2008-10
JR토평2,2008-11-01,S11,171.58,41.62,48.17,14.16,74.0,,13.24,2008-11
JR토평2,2008-12-01,S11,171.03,42.17,47.62,14.16,75.0,,13.19,2008-12
JR토평2,2009-01-01,S11,170.51,42.69,47.1,14.16,79.0,,13.15,2009-01
JR토평2,2009-02-01,S11,170.14,43.06,46.73,14.16,86.0,,13.2,2009-02
JR토평2,2009-03-01,S11,170.45,42.75,47.04,14.16,80.0,,13.38,2009-03
