관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JR하귀3,2007-01-01,S11,17.73,101.98,25.1,14.62,77.0,1025.0,13.0,2007-01
JR하귀3,2007-02-01,S11,15.99,103.72,23.36,14.63,78.0,1019.81,13.13,2007-02
JR하귀3,2007-03-01,S11,15.25,104.46,22.62,14.62,79.0,1017.84,13.17,2007-03
JR하귀3,2007-04-01,S11,15.06,104.65,22.43,14.61,82.0,1016.26,13.25,2007-04
JR하귀3,2007-05-01,S11,14.33,105.38,21.7,14.61,82.0,1009.15,13.26,2007-05
JR하귀3,2007-06-01,S11,13.35,106.36,20.72,14.61,81.0,1007.8,13.25,2007-06
JR하귀3,2007-07-01,S11,15.0,104.71,22.37,14.66,111.0,1004.28,13.21,2007-07
JR하귀3,2007-08-01,S11,17.2,102.51,24.57,14.61,89.0,1008.11,13.2,2007-08
JR하귀3,2007-09-01,S11,22.03,97.68,29.4,14.64,97.0,1010.12,13.12,2007-09
JR하귀3,2007-10-01,S11,29.33,90.38,36.7,14.63,85.0,1017.95,13.15,2007-10
JR하귀3,2007-11-01,S11,29.7,90.01,37.07,14.57,82.0,1022.2,13.13,2007-11
JR하귀3,2007-12-01,S11,26.81,92.9,34.18,14.56,86.0,1020.54,13.03,2007-12
JR하귀3,2008-01-01,S11,23.35,96.36,30.72,14.56,85.0,1022.94,12.99,2008-01
JR하귀3,2008-02-01,S11,21.0,98.71,28.37,14.56,83.0,1023.52,13.14,2008-02
JR하귀3,2008-03-01,S11,18.65,101.06,26.02,14.56,82.0,1017.36,13.18,2008-03
JR하귀3,2008-04-01,S11,17.03,102.68,24.4,14.55,82.0,1014.23,13.24,2008-04
JR하귀3,2008-05-01,S11,15.7,104.01,23.07,14.55,82.0,1009.37,13.28,2008-05
JR하귀3,2008-06-01,S11,15.61,104.1,22.98,14.54,83.0,1007.2,13.22,2008-06
JR하귀3,2008-07-01,S11,17.79,101.92,25.16,14.31,82.0,1006.8,13.26,2008-07
JR하귀3,2008-08-01,S11,17.57,102.14,24.94,14.22,81.0,1006.61,13.22,2008-08
JR하귀3,2008-09-01,S11,16.45,103.26,23.82,14.21,80.0,1011.07,13.17,2008-09
JR하귀3,2008-10-01,S11,14.99,104.73,22.36,14.21,79.0,1017.29,13.19,2008-10
JR하귀3,2008-11-01,S11,13.65,106.06,21.02,14.21,78.0,1020.41,13.1,2008-11
JR하귀3,2008-12-01,S11,12.62,107.09,19.99,14.2,78.0,1021.81,13.11,2008-12
JR하귀3,2009-01-01,S11,11.48,108.23,18.85,14.2,79.0,1023.03,13.06,2009-01
JR하귀3,2009-02-01,S11,10.87,108.84,18.24,14.19,80.0,1017.83,13.13,2009-02
JR하귀3,2009-03-01,S11,11.31,108.4,18.68,14.18,83.0,1017.71,13.22,2009-03
JR하귀3,2009-04-01,S11,11.24,108.47,18.61,14.17,85.0,1014.94,13.28,2009-04
JR하귀3,2009-05-01,S11,11.62,108.09,18.99,14.16,84.0,1011.72,13.31,2009-05
JR하귀3,2009-06-01,S11,11.81,107.9,19.18,14.15,83.0,1004.74,13.3,2009-06
JR하귀3,2009-07-01,S11,12.92,106.79,20.29,14.13,83.0,1004.89,13.29,2009-07
JR하귀3,2009-08-01,S11,14.21,105.5,21.58,14.12,84.0,1007.34,13.25,2009-08
JR하귀3,2009-09-01,S11,15.87,103.84,23.24,14.1,79.0,1011.92,13.22,2009-09
JR하귀3,2009-10-01,S11,17.01,102.7,24.38,14.12,82.0,1015.73,13.21,2009-10
JR하귀3,2009-11-01,S11,16.35,103.36,23.72,14.12,76.0,1020.95,13.1,2009-11
JR하귀3,2009-12-01,S11,15.27,104.44,22.64,14.28,77.0,1020.47,13.07,2009-12
JR하귀3,2010-01-01,S11,13.72,105.99,21.09,14.26,78.0,1022.21,13.1,2010-01
JR하귀3,2010-02-01,S11,12.53,107.19,20.05,14.23,77.0,1018.58,13.14,2010-02
JR하귀3,2010-03-01,S11,13.25,106.46,20.73,14.09,82.0,1017.71,13.21,2010-03
JR하귀3,2010-04-01,S11,15.51,104.2,22.98,14.06,87.0,1016.51,13.35,2010-04
JR하귀3,2010-05-01,S11,16.85,102.86,24.32,14.02,81.0,1010.07,13.45,2010-05
JR하귀3,2010-06-01,S11,16.32,103.39,23.79,14.01,80.0,1008.08,13.46,2010-06
JR하귀3,2010-07-01,S11,17.88,101.83,25.35,14.03,87.0,1007.03,13.46,2010-07
JR하귀3,2010-08-01,S11,20.1,99.62,27.57,14.01,80.0,1008.83,13.42,2010-08
JR하귀3,2010-09-01,S11,24.8,94.91,32.27,14.0,74.0,1011.37,13.39,2010-09
JR하귀3,2010-10-01,S11,28.66,91.05,36.12,13.98,70.0,1016.67,13.38,2010-10
