관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JW공항,2007-01-01,S11,6.55,40.88,34.95,15.92,235,1025.07,12.51,2007-01
JW공항,2007-02-01,S11,5.94,41.49,34.34,15.93,233,1019.81,12.79,2007-02
JW공항,2007-03-01,S11,5.83,41.6,34.23,15.92,233,1017.67,12.88,2007-03
JW공항,2007-04-01,S11,5.67,41.76,34.07,15.92,235,1015.9,12.97,2007-04
JW공항,2007-05-01,S11,5.48,41.95,33.88,15.93,246,1008.46,12.96,2007-05
JW공항,2007-06-01,S11,5.3,42.13,33.7,15.93,248,1006.91,12.93,2007-06
JW공항,2007-07-01,S11,6.4,41.03,34.8,15.92,284,1003.12,13.0,2007-07
JW공항,2007-08-01,S11,6.98,40.45,35.38,15.92,261,1006.69,13.06,2007-08
JW공항,2007-09-01,S11,11.27,36.16,39.67,16.03,277,1008.94,12.94,2007-09
JW공항,2007-10-01,S11,14.13,33.3,42.53,16.12,238,1016.98,12.94,2007-10
JW공항,2007-11-01,S11,13.2,34.23,41.6,16.11,210,1021.65,12.87,2007-11
JW공항,2007-12-01,S11,10.84,36.59,39.24,16.01,209,1020.19,12.66,2007-12
JW공항,2008-01-01,S11,9.02,38.41,37.42,15.98,236,1022.59,12.42,2008-01
JW공항,2008-02-01,S11,7.71,39.72,40.63,16.09,221,1024.18,13.15,2008-02
JW공항,2008-03-01,S11,7.38,40.05,40.3,16.09,219,1027.27,12.9,2008-03
JW공항,2008-04-01,S11,6.68,40.75,38.66,16.14,200,1020.21,13.22,2008-04
JW공항,2008-05-01,S11,6.43,41.0,38.46,16.14,201,1015.88,13.32,2008-05
JW공항,2008-06-01,S11,6.88,40.55,40.02,16.13,240,1013.97,13.25,2008-06
JW공항,2008-07-01,S11,7.46,39.97,40.6,16.12,255,1013.44,13.34,2008-07
JW공항,2008-08-01,S11,7.16,40.27,38.76,16.03,250,1012.82,13.31,2008-08
JW공항,2008-09-01,S11,6.59,40.84,36.8,15.97,223,1016.03,13.24,2008-09
JW공항,2008-10-01,S11,6.1,41.33,32.71,15.97,229,1022.03,13.21,2008-10
JW공항,2008-11-01,S11,5.79,41.64,32.4,15.97,244,1025.22,13.05,2008-11
JW공항,2008-12-01,S11,5.5,41.93,32.11,15.97,244,1026.74,12.89,2008-12
JW공항,2009-01-01,S11,5.25,42.18,31.86,15.98,256,1028.2,12.66,2009-01
JW공항,2009-02-01,S11,5.4,42.04,32.01,15.98,275,1022.97,12.92,2009-02
JW공항,2009-03-01,S11,5.48,41.95,32.09,15.99,253,1022.72,13.02,2009-03
JW공항,2009-04-01,S11,5.56,41.87,32.17,15.99,272,1019.83,13.1,2009-04
JW공항,2009-05-01,S11,5.66,41.77,32.27,15.99,263,1016.54,13.17,2009-05
JW공항,2009-06-01,S11,5.73,41.7,32.34,16.0,265,1009.35,13.16,2009-06
JW공항,2009-07-01,S11,6.03,41.4,32.64,16.0,260,1009.44,13.17,2009-07
JW공항,2009-08-01,S11,6.3,41.13,32.91,16.0,256,1011.93,13.12,2009-08
JW공항,2009-09-01,S11,6.87,40.56,33.48,15.99,276,1016.58,13.08,2009-09
JW공항,2009-10-01,S11,7.18,40.25,33.79,16.0,271,1020.35,13.05,2009-10
JW공항,2009-11-01,S11,6.8,40.64,33.41,16.0,277,1025.96,12.79,2009-11
JW공항,2009-12-01,S11,6.36,41.07,32.97,16.01,266,1025.64,12.61,2009-12
JW공항,2010-01-01,S11,5.83,41.6,32.44,16.01,259,1027.42,12.51,2010-01
JW공항,2010-02-01,S11,5.72,41.71,32.33,16.02,266,1023.9,12.73,2010-02
JW공항,2010-03-01,S11,6.17,41.26,37.52,16.04,272,1023.74,12.79,2010-03
JW공항,2010-04-01,S11,7.02,40.42,40.54,16.04,260,1022.5,12.91,2010-04
JW공항,2010-05-01,S11,7.11,40.32,40.64,16.04,254,1015.65,13.04,2010-05
JW공항,2010-06-01,S11,6.84,40.59,40.38,16.05,261,1013.57,13.06,2010-06
JW공항,2010-07-01,S11,8.02,39.41,41.56,16.04,268,1012.25,13.11,2010-07
JW공항,2010-08-01,S11,8.77,38.66,42.31,16.03,246,1014.17,13.09,2010-08
JW공항,2010-09-01,S11,11.96,35.47,45.56,16.17,232,1017.03,13.03,2010-09
JW공항,2010-10-01,S11,12.77,34.66,46.37,16.19,200,1022.5,12.95,2010-10
JW공항,2010-11-01,S11,11.49,35.94,45.09,16.13,201,1025.83,12.9,2010-11
JW공항,2010-12-01,S11,9.51,37.92,43.11,16.06,219,1022.05,12.65,2010-12
JW공항,2011-01-01,S11,7.69,39.74,41.29,16.08,226,1030.79,12.31,2011-01
JW공항,2011-02-01,S11,6.63,40.8,40.23,16.1,213,1025.13,12.83,2011-02
JW공항,2011-03-01,S11,5.98,41.45,39.58,16.09,229,1026.82,12.93,2011-03
JW공항,2011-04-01,S11,5.66,41.77,39.28,16.09,273,1019.8,12.97,2011-04
JW공항,2011-05-01,S11,5.52,41.91,39.13,16.09,291,1015.3,12.97,2011-05
JW공항,2011-06-01,S11,6.22,41.21,39.83,16.07,292,1011.0,12.97,2011-06
JW공항,2011-07-01,S11,8.0,39.43,41.61,16.04,258,1010.29,12.9,2011-07
JW공항,2011-08-01,S11,10.13,37.3,43.74,16.12,235,1011.9,12.85,2011-08
JW공항,2011-09-01,S11,10.99,36.44,44.6,16.14,214,1015.65,12.9,2011-09
JW공항,2011-10-01,S11,10.24,37.19,43.85,16.08,215,1023.68,12.94,2011-10
JW공항,2011-11-01,S11,9.32,38.11,42.93,16.07,233,1025.83,12.71,2011-11
JW공항,2011-12-01,S11,8.71,38.72,42.32,16.07,232,1030.85,11.88,2011-12
JW공항,2012-01-01,S11,7.85,39.58,41.46,16.08,232,1028.1,11.59,2012-01
JW공항,2012-02-01,S11,7.25,40.18,40.86,16.1,224,1026.27,12.87,2012-02
JW공항,2012-03-01,S11,7.34,40.09,40.95,16.1,244,1022.98,12.97,2012-03
JW공항,2012-04-01,S11,7.31,40.12,41.0,16.1,244,1017.36,12.98,2012-04
JW공항,2012-05-01,S11,8.24,39.19,41.93,16.08,241,1014.63,12.96,2012-05
JW공항,2012-06-01,S11,8.22,39.21,41.91,16.08,242,1010.02,12.93,2012-06
JW공항,2012-07-01,S11,8.34,39.09,42.03,16.1,255,1009.42,12.9,2012-07
JW공항,2012-08-01,S11,9.02,38.41,42.71,16.16,241,1010.14,12.87,2012-08
JW공항,2012-09-01,S11,13.9,33.53,47.7,16.26,239,1016.58,12.9,2012-09
JW공항,2012-10-01,S11,15.6,31.83,49.42,16.28,198,1021.45,12.95,2012-10
JW공항,2012-11-01,S11,13.76,33.67,47.58,16.25,184,1022.63,12.79,2012-11
JW공항,2012-12-01,S11,11.17,36.26,44.99,16.15,188,1026.22,12.37,2012-12
JW공항,2013-01-01,S11,9.26,38.17,43.08,16.14,209,1028.55,11.92,2013-01
JW공항,2013-02-01,S11,8.08,39.35,41.9,16.15,207,1027.03,12.32,2013-02
JW공항,2013-03-01,S11,7.42,40.01,41.24,16.16,207,1020.95,12.95,2013-03
JW공항,2013-04-01,S11,7.22,40.21,41.04,16.16,228,1017.08,12.93,2013-04
JW공항,2013-05-01,S11,6.88,40.55,40.7,16.16,237,1014.79,12.96,2013-05
JW공항,2013-06-01,S11,6.65,40.78,40.47,16.16,246,1010.75,12.93,2013-06
JW공항,2013-07-01,S11,6.43,41.0,40.25,16.17,260,1009.17,12.86,2013-07
JW공항,2013-08-01,S11,6.03,41.4,39.85,16.17,255,1007.2,12.83,2013-08
JW공항,2013-09-01,S11,5.75,41.68,39.57,16.17,260,1016.18,12.87,2013-09
JW공항,2013-10-01,S11,5.92,41.51,39.74,16.17,282,1020.97,12.91,2013-10
JW공항,2013-11-01,S11,5.55,41.88,39.37,16.17,276,1023.63,12.8,2013-11
JW공항,2013-12-01,S11,5.4,42.03,39.22,16.17,239,1025.0,12.4,2013-12
JW공항,2014-01-01,S11,5.26,42.17,39.08,16.18,225,1027.72,12.21,2014-01
JW공항,2014-02-01,S11,5.47,41.97,39.29,16.17,242,1026.0,12.55,2014-02
JW공항,2014-03-01,S11,5.76,41.67,39.6,16.18,219,1022.92,12.88,2014-03
JW공항,2014-04-01,S11,5.66,41.77,39.53,16.17,204,1019.78,12.89,2014-04
JW공항,2014-05-01,S11,5.52,41.91,39.39,16.17,207,1014.2,12.9,2014-05
JW공항,2014-06-01,S11,5.46,41.97,39.33,16.17,215,1008.83,12.91,2014-06
JW공항,2014-07-01,S11,6.39,41.04,40.26,16.16,272,1009.68,12.89,2014-07
JW공항,2014-08-01,S11,8.53,38.9,42.4,16.15,258,1009.52,12.85,2014-08
JW공항,2014-09-01,S11,10.28,37.15,44.15,16.14,200,1014.99,12.89,2014-09
JW공항,2014-10-01,S11,10.1,37.34,43.97,16.12,189,1021.05,12.86,2014-10
JW공항,2014-11-01,S11,9.42,38.01,43.12,16.11,190,1021.25,12.7,2014-11
JW공항,2014-12-01,S11,8.71,38.72,42.37,16.13,191,1023.99,12.43,2014-12
JW공항,2015-01-01,S11,7.86,39.57,41.52,16.18,97,1027.74,12.34,2015-01
JW공항,2015-02-01,S11,7.22,40.21,40.88,16.2,91,1025.74,12.36,2015-02
JW공항,2015-03-01,S11,6.69,40.74,40.35,16.2,92,1025.03,12.86,2015-03
JW공항,2015-04-01,S11,6.67,40.76,40.33,16.2,96,1018.76,12.88,2015-04
JW공항,2015-05-01,S11,6.89,40.54,40.57,16.2,104,1013.68,12.91,2015-05
JW공항,2015-06-01,S11,7.1,40.33,40.81,16.21,106,1010.93,12.92,2015-06
JW공항,2015-07-01,S11,9.37,38.06,43.08,16.2,135,1010.31,12.86,2015-07
JW공항,2015-08-01,S11,10.46,36.97,44.17,16.18,117,1011.46,12.84,2015-08
JW공항,2015-09-01,S11,10.29,37.14,44.0,16.18,124,1016.34,12.85,2015-09
JW공항,2015-10-01,S11,9.9,37.53,43.61,16.19,127,1022.98,12.79,2015-10
JW공항,2015-11-01,S11,9.16,38.27,42.87,16.2,136,1026.12,12.15,2015-11
JW공항,2015-12-01,S11,8.62,38.81,42.33,16.23,136,1028.62,12.24,2015-12
JW공항,2016-01-01,S11,7.81,39.62,41.52,16.27,123,1028.33,12.41,2016-01
JW공항,2016-02-01,S11,7.55,39.88,41.26,16.28,121,1028.97,12.52,2016-02
JW공항,2016-03-01,S11,7.51,39.92,41.22,16.3,117,1025.49,12.71,2016-03
JW공항,2016-04-01,S11,7.61,39.82,41.32,16.31,111,1017.62,12.63,2016-04
JW공항,2016-05-01,S11,7.48,39.95,41.19,16.33,116,1016.35,12.73,2016-05
JW공항,2016-06-01,S11,7.41,40.02,41.12,16.33,125,1011.54,12.86,2016-06
JW공항,2016-07-01,S11,7.78,39.65,41.49,16.34,146,1011.01,12.78,2016-07
JW공항,2016-08-01,S11,7.44,39.99,41.18,16.36,121,1020.63,12.79,2016-08
JW공항,2016-09-01,S11,6.87,40.56,40.65,16.38,118,1066.06,12.81,2016-09
JW공항,2016-10-01,S11,8.23,39.2,41.8,16.36,179,1083.16,12.75,2016-10
JW공항,2016-11-01,S11,8.38,39.05,41.45,16.14,174,1049.21,12.48,2016-11
JW공항,2016-12-01,S11,7.64,39.79,40.83,16.17,164,1028.75,12.01,2016-12
JW공항,2017-01-01,S11,7.0,40.43,40.24,16.19,149,1029.12,12.29,2017-01
JW공항,2017-02-01,S11,6.46,40.97,39.82,16.2,141,1028.08,12.53,2017-02
JW공항,2017-03-01,S11,6.1,41.33,39.47,16.2,140,1024.2,12.86,2017-03
JW공항,2017-04-01,S11,5.83,41.6,39.32,16.2,149,1018.48,12.84,2017-04
JW공항,2017-05-01,S11,5.55,41.88,39.04,16.19,152,1018.4,12.87,2017-05
JW공항,2017-06-01,S11,5.45,41.98,38.94,16.19,157,1013.87,12.89,2017-06
JW공항,2017-07-01,S11,5.37,42.06,38.86,16.19,165,1014.04,12.83,2017-07
JW공항,2017-08-01,S11,5.34,42.09,38.83,16.19,171,1012.52,12.83,2017-08
JW공항,2017-09-01,S11,5.26,42.17,38.75,16.19,169,1017.26,12.83,2017-09
JW공항,2017-10-01,S11,5.41,42.02,38.9,16.19,178,1023.96,12.63,2017-10
JW공항,2017-11-01,S11,4.97,42.46,38.46,16.19,167,1028.23,12.41,2017-11
JW공항,2017-12-01,S11,4.71,42.72,38.22,16.19,168,1030.81,12.07,2017-12
JW공항,2018-01-01,S11,4.65,42.78,38.19,16.19,175,1028.69,12.09,2018-01
JW공항,2018-02-01,S11,4.61,42.82,38.14,16.19,178,1028.73,12.52,2018-02
JW공항,2018-03-01,S11,5.15,42.28,38.68,16.19,179,1025.56,12.93,2018-03
JW공항,2018-04-01,S11,5.48,41.95,39.01,16.19,170,1022.77,13.0,2018-04
JW공항,2018-05-01,S11,5.77,41.66,39.3,16.19,160,1019.16,12.97,2018-05
JW공항,2018-06-01,S11,5.71,41.72,39.24,16.19,159,1014.74,12.91,2018-06
JW공항,2018-07-01,S11,6.24,41.19,39.77,16.19,158,1015.71,12.88,2018-07
JW공항,2018-08-01,S11,6.79,40.64,40.32,16.19,181,1013.63,12.92,2018-08
JW공항,2018-09-01,S11,8.66,38.77,42.19,16.16,217,1018.12,12.93,2018-09
JW공항,2018-10-01,S11,11.89,35.54,45.42,16.22,202,1024.93,12.81,2018-10
JW공항,2018-11-01,S11,11.54,35.89,45.07,16.19,178,1028.89,12.4,2018-11
JW공항,2018-12-01,S11,9.95,37.48,43.52,16.15,183,1031.06,11.99,2018-12
JW공항,2019-01-01,S11,7.89,39.54,41.46,16.18,171,1030.48,12.24,2019-01
JW공항,2019-02-01,S11,6.78,40.66,40.35,16.19,162,1029.19,11.85,2019-02
JW공항,2019-03-01,S11,6.17,41.26,39.74,16.19,163,1024.36,12.7,2019-03
JW공항,2019-04-01,S11,5.69,41.74,39.26,16.19,169,1021.78,12.96,2019-04
