관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JW애월,2007-01-01,S11,0.91,8.73,8.18,15.32,159.0,1023.98,12.9,2007-01
JW애월,2007-02-01,S11,0.87,8.77,8.14,15.35,155.0,1018.64,13.09,2007-02
JW애월,2007-03-01,S11,0.94,8.7,8.21,15.38,160.0,1016.71,13.11,2007-03
JW애월,2007-04-01,S11,0.87,8.77,8.14,15.41,155.0,1014.9,13.2,2007-04
JW애월,2007-05-01,S11,0.89,8.75,8.16,15.42,155.0,1007.59,13.24,2007-05
JW애월,2007-06-01,S11,0.87,8.77,8.15,15.42,152.0,1007.42,13.28,2007-06
JW애월,2007-07-01,S11,0.98,8.66,8.35,15.46,188.0,1002.4,13.21,2007-07
JW애월,2007-08-01,S11,0.93,8.71,8.3,15.45,175.0,1006.15,13.29,2007-08
JW애월,2007-09-01,S11,1.5,8.14,8.87,15.51,193.0,1008.31,13.17,2007-09
JW애월,2007-10-01,S11,1.17,8.47,8.54,15.57,199.0,1016.38,13.18,2007-10
JW애월,2007-11-01,S11,1.13,8.51,8.5,15.52,186.0,1021.01,13.09,2007-11
JW애월,2007-12-01,S11,1.04,8.6,8.41,15.47,172.0,1019.63,12.89,2007-12
JW애월,2008-01-01,S11,0.95,8.69,8.32,15.41,163.0,1022.16,12.68,2008-01
JW애월,2008-02-01,S11,0.86,8.78,8.23,15.36,156.0,1022.85,12.95,2008-02
JW애월,2008-03-01,S11,0.83,8.81,8.2,15.32,153.0,1016.32,13.16,2008-03
JW애월,2008-04-01,S11,0.82,8.82,8.19,15.26,153.0,1013.05,13.2,2008-04
JW애월,2008-05-01,S11,0.81,8.83,8.18,15.27,156.0,1008.36,13.25,2008-05
JW애월,2008-06-01,S11,0.94,8.7,8.31,15.31,169.0,1006.16,13.18,2008-06
JW애월,2008-07-01,S11,0.91,8.73,8.28,15.33,172.0,1005.75,13.31,2008-07
JW애월,2008-08-01,S11,0.88,8.77,8.25,15.32,167.0,1005.53,13.26,2008-08
JW애월,2008-09-01,S11,0.84,8.8,8.21,15.32,165.0,1009.99,13.2,2008-09
JW애월,2008-10-01,S11,0.8,8.84,8.17,15.3,162.0,1016.23,13.18,2008-10
JW애월,2008-11-01,S11,0.73,8.92,8.1,15.28,159.0,1019.21,13.01,2008-11
JW애월,2008-12-01,S11,0.61,9.03,7.98,15.33,156.0,1020.86,12.96,2008-12
JW애월,2009-01-01,S11,0.49,9.15,7.86,15.36,152.0,1022.21,12.84,2009-01
JW애월,2009-02-01,S11,0.52,9.12,7.89,15.4,158.0,1016.85,13.05,2009-02
JW애월,2009-03-01,S11,0.46,9.18,7.83,15.5,163.0,1017.03,13.14,2009-03
JW애월,2009-04-01,S11,0.4,9.24,7.77,15.55,160.0,1014.44,13.24,2009-04
JW애월,2009-05-01,S11,0.35,9.29,7.72,15.62,170.0,1011.46,13.29,2009-05
JW애월,2009-06-01,S11,0.41,9.24,7.78,15.64,168.0,1004.48,13.28,2009-06
JW애월,2009-07-01,S11,0.8,8.84,7.84,15.73,185.0,1004.77,13.29,2009-07
JW애월,2009-08-01,S11,0.94,8.71,8.03,15.61,185.0,1009.92,13.27,2009-08
JW애월,2009-09-01,S11,1.1,8.54,8.84,14.93,189.0,1024.0,13.3,2009-09
JW애월,2009-10-01,S11,1.12,8.52,8.89,14.98,196.0,1024.0,13.29,2009-10
JW애월,2009-11-01,S11,0.8,8.84,8.79,14.95,182.0,1024.0,13.09,2009-11
JW애월,2009-12-01,S11,0.73,8.91,8.72,14.94,177.0,1024.0,13.0,2009-12
JW애월,2010-01-01,S11,0.58,9.06,8.57,14.95,173.0,1024.0,13.05,2010-01
JW애월,2010-02-01,S11,0.64,9.0,8.63,14.94,174.0,1024.0,13.1,2010-02
JW애월,2010-03-01,S11,0.67,8.97,8.66,14.94,174.0,1024.0,13.13,2010-03
JW애월,2010-04-01,S11,0.77,8.88,8.78,14.97,194.0,1024.0,13.25,2010-04
JW애월,2010-05-01,S11,0.78,8.86,8.79,14.95,179.0,1024.0,13.33,2010-05
JW애월,2010-06-01,S11,0.86,8.78,8.86,14.95,179.0,1024.0,13.32,2010-06
JW애월,2010-07-01,S11,1.1,8.54,9.1,15.01,199.0,1024.0,13.37,2010-07
JW애월,2010-08-01,S11,1.04,8.6,9.04,15.0,182.0,1024.0,13.36,2010-08
JW애월,2010-09-01,S11,1.24,8.4,9.24,15.04,182.0,1024.0,13.31,2010-09
JW애월,2010-10-01,S11,1.2,8.44,9.2,14.99,170.0,1024.0,13.29,2010-10
JW애월,2010-11-01,S11,1.14,8.5,9.14,14.98,160.0,1024.0,13.2,2010-11
JW애월,2010-12-01,S11,1.04,8.6,9.04,14.97,153.0,1024.0,13.06,2010-12
JW애월,2011-01-01,S11,0.88,8.76,8.88,14.96,146.0,1024.0,12.99,2011-01
JW애월,2011-02-01,S11,0.83,8.81,8.83,14.96,144.0,1024.0,13.14,2011-02
JW애월,2011-03-01,S11,0.74,8.9,8.74,14.95,142.0,1024.0,13.23,2011-03
JW애월,2011-04-01,S11,0.75,8.89,8.75,14.94,145.0,1024.0,13.29,2011-04
JW애월,2011-05-01,S11,0.76,8.88,8.81,14.94,144.0,1024.0,12.78,2011-05
JW애월,2011-06-01,S11,0.92,8.72,8.97,14.94,167.0,1024.0,11.96,2011-06
JW애월,2011-07-01,S11,0.91,8.73,8.96,14.96,169.0,1024.0,13.41,2011-07
JW애월,2011-08-01,S11,1.01,8.63,9.06,14.98,174.0,1024.0,13.3,2011-08
JW애월,2011-09-01,S11,1.02,8.62,9.07,14.98,163.0,1024.0,13.31,2011-09
JW애월,2011-10-01,S11,0.96,8.68,9.01,14.97,158.0,1024.0,13.09,2011-10
JW애월,2011-11-01,S11,1.01,8.63,9.06,14.99,163.0,1024.0,12.94,2011-11
JW애월,2011-12-01,S11,0.87,8.77,8.92,14.98,155.0,1024.0,12.8,2011-12
JW애월,2012-01-01,S11,0.81,8.83,8.86,14.96,151.0,1024.0,12.8,2012-01
JW애월,2012-02-01,S11,0.76,8.88,8.81,14.95,150.0,1024.0,12.87,2012-02
JW애월,2012-03-01,S11,0.82,8.82,8.87,14.94,161.0,1024.0,12.96,2012-03
JW애월,2012-04-01,S11,0.81,8.83,8.64,14.93,170.0,1024.0,13.08,2012-04
JW애월,2012-05-01,S11,0.94,8.7,8.44,14.93,173.0,1024.0,13.17,2012-05
JW애월,2012-06-01,S11,0.98,8.66,8.48,14.92,164.0,1024.0,13.17,2012-06
JW애월,2012-07-01,S11,1.08,8.56,8.58,14.93,173.0,1024.0,13.16,2012-07
JW애월,2012-08-01,S11,1.28,8.36,8.83,14.95,176.0,1024.0,13.08,2012-08
JW애월,2012-09-01,S11,1.73,7.91,9.29,15.03,189.0,1024.0,13.07,2012-09
