관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JW연동,2007-01-01,S11,19.56,85.58,12.36,14.89,114,1014.97,9.46,2007-01
JW연동,2007-02-01,S11,16.31,88.83,9.11,14.9,116,1009.17,12.6,2007-02
JW연동,2007-03-01,S11,14.88,90.26,7.68,15.14,141,1006.53,12.87,2007-03
JW연동,2007-04-01,S11,14.81,90.33,7.61,14.98,119,1004.54,12.98,2007-04
JW연동,2007-05-01,S11,14.25,90.89,7.05,14.86,107,997.0,13.16,2007-05
JW연동,2007-06-01,S11,13.32,91.82,6.12,14.87,113,995.39,13.16,2007-06
JW연동,2007-07-01,S11,16.25,88.89,9.05,15.52,199,991.12,13.24,2007-07
JW연동,2007-08-01,S11,23.4,81.74,16.2,15.16,151,994.99,13.33,2007-08
JW연동,2007-09-01,S11,39.31,65.83,32.11,15.89,165,1075.19,13.01,2007-09
JW연동,2007-10-01,S11,47.76,57.39,58.48,15.43,178,1022.83,13.09,2007-10
JW연동,2007-11-01,S11,46.81,58.33,57.53,14.88,131,1025.44,12.65,2007-11
JW연동,2007-12-01,S11,44.72,60.42,55.44,14.71,108,1024.03,11.81,2007-12
JW연동,2008-01-01,S11,43.0,62.14,53.72,14.88,121,1025.66,11.97,2008-01
JW연동,2008-03-01,S11,39.18,65.96,50.05,14.77,137,1016.52,13.11,2008-03
JW연동,2008-04-01,S11,38.48,66.66,49.35,14.82,142,1015.29,13.25,2008-04
JW연동,2008-05-01,S11,36.71,68.43,47.64,14.71,125,1008.78,13.26,2008-05
JW연동,2008-06-01,S11,34.8,70.34,45.78,14.84,149,1004.85,13.18,2008-06
JW연동,2008-07-01,S11,38.71,66.43,49.69,14.85,148,1002.41,13.24,2008-07
JW연동,2008-08-01,S11,39.49,65.65,50.47,14.66,127,1000.12,13.2,2008-08
JW연동,2008-09-01,S11,38.02,67.12,49.0,14.63,116,1002.44,13.13,2008-09
JW연동,2008-10-01,S11,33.65,71.49,44.63,14.62,110,1006.38,13.13,2008-10
JW연동,2008-11-01,S11,32.54,72.61,43.52,14.6,108,1007.24,13.04,2008-11
JW연동,2008-12-01,S11,32.28,72.86,43.26,14.61,111,1006.26,13.02,2008-12
