관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JW이호,2007-01-01,S11,13.01,20.31,15.1,16.18,272,,12.87,2007-01
JW이호,2007-02-01,S11,12.27,21.05,14.41,16.18,275,,13.03,2007-02
JW이호,2007-03-01,S11,12.92,20.4,15.06,16.22,304,,13.05,2007-03
JW이호,2007-04-01,S11,12.37,20.95,14.51,16.2,299,,13.11,2007-04
JW이호,2007-05-01,S11,10.29,23.03,12.43,16.21,288,,13.16,2007-05
JW이호,2007-06-01,S11,6.95,26.37,9.09,16.23,293,,13.1,2007-06
JW이호,2007-07-01,S11,15.03,18.29,5.4,16.06,446,1006.88,13.1,2007-07
JW이호,2007-08-01,S11,15.08,18.24,1.51,15.93,399,1005.44,13.12,2007-08
JW이호,2007-09-01,S11,17.17,16.15,3.6,16.13,320,1007.67,13.03,2007-09
JW이호,2007-10-01,S11,17.31,16.01,3.74,16.02,248,1015.66,13.05,2007-10
JW이호,2007-11-01,S11,16.61,16.71,3.04,15.97,235,1020.27,13.0,2007-11
JW이호,2007-12-01,S11,15.83,17.49,2.26,15.92,198,1018.75,12.87,2007-12
JW이호,2008-01-01,S11,15.28,18.04,1.71,15.9,207,1021.22,12.83,2008-01
JW이호,2008-02-01,S11,13.92,19.83,33.17,14.39,207,1020.14,13.09,2008-02
JW이호,2008-03-01,S11,13.26,20.49,32.51,14.45,211,1016.93,13.17,2008-03
JW이호,2008-04-01,S11,12.96,20.79,32.21,14.46,225,1013.78,13.21,2008-04
JW이호,2008-05-01,S11,12.55,21.2,31.8,14.44,231,1008.78,13.26,2008-05
JW이호,2008-06-01,S11,14.4,19.36,33.65,14.51,285,1006.49,13.25,2008-06
JW이호,2008-07-01,S11,15.07,18.68,34.32,14.51,303,1005.88,13.33,2008-07
JW이호,2008-08-01,S11,13.26,20.49,32.51,14.44,263,1005.62,13.3,2008-08
JW이호,2008-09-01,S11,12.42,21.33,31.67,14.39,240,1010.23,13.17,2008-09
JW이호,2008-10-01,S11,11.5,22.25,30.75,14.34,230,1016.55,13.14,2008-10
JW이호,2008-11-01,S11,7.04,26.71,26.29,14.29,248,1019.9,12.97,2008-11
JW이호,2008-12-01,S11,5.89,27.86,25.14,14.25,261,1021.41,12.86,2008-12
JW이호,2009-01-01,S11,5.11,28.64,24.36,14.21,278,1022.73,12.61,2009-01
JW이호,2009-02-01,S11,7.89,25.86,27.14,14.16,295,1017.44,12.93,2009-02
JW이호,2009-03-01,S11,11.09,22.66,30.34,14.1,293,1017.21,13.04,2009-03
JW이호,2009-04-01,S11,8.34,25.41,27.59,14.06,268,1014.26,13.12,2009-04
JW이호,2009-05-01,S11,10.75,23.0,30.0,14.04,278,1010.87,13.18,2009-05
JW이호,2009-06-01,S11,8.76,24.99,27.91,14.03,271,1003.72,13.2,2009-06
JW이호,2009-07-01,S11,13.47,20.28,32.62,14.08,344,1003.68,13.18,2009-07
JW이호,2009-08-01,S11,13.53,20.22,32.68,14.08,418,1005.63,13.13,2009-08
JW이호,2009-09-01,S11,13.67,20.08,33.23,16.01,365,1024.03,13.25,2009-09
JW이호,2009-10-01,S11,16.64,17.11,35.52,16.04,360,1028.0,13.25,2009-10
JW이호,2009-11-01,S11,13.95,19.8,32.04,16.03,325,1042.18,12.46,2009-11
JW이호,2009-12-01,S11,12.16,21.59,28.14,16.01,291,1041.04,12.14,2009-12
JW이호,2010-01-01,S11,9.84,23.91,24.6,16.01,259,1042.93,12.64,2010-01
JW이호,2010-02-01,S11,8.8,24.95,23.39,16.04,282,1035.23,12.89,2010-02
JW이호,2010-03-01,S11,12.15,21.6,24.13,16.05,303,1035.23,12.84,2010-03
JW이호,2010-04-01,S11,12.77,20.98,23.41,16.06,279,1029.05,13.06,2010-04
JW이호,2010-05-01,S11,12.63,21.12,26.72,15.9,241,1013.07,13.21,2010-05
JW이호,2010-06-01,S11,12.87,20.88,31.54,15.76,222,1004.93,13.22,2010-06
JW이호,2010-07-01,S11,15.69,18.06,34.36,15.88,279,1003.75,13.23,2010-07
JW이호,2010-08-01,S11,15.21,18.54,33.88,15.86,261,1005.57,13.2,2010-08
JW이호,2010-09-01,S11,16.52,17.23,35.19,15.93,256,1008.44,13.13,2010-09
