관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
JW화순2,2007-01-01,S11,39.79,30.73,48.43,17.89,203.0,,,2007-01
JW화순2,2007-02-01,S11,39.45,31.08,48.09,17.89,203.0,,,2007-02
JW화순2,2007-03-01,S11,39.26,31.26,47.9,17.89,203.0,,,2007-03
JW화순2,2007-04-01,S11,39.13,31.39,47.77,17.89,203.0,,,2007-04
JW화순2,2007-05-01,S11,39.23,31.29,47.87,17.89,203.0,,,2007-05
JW화순2,2007-06-01,S11,39.43,31.09,48.07,17.89,203.0,,,2007-06
JW화순2,2007-07-01,S11,45.85,24.67,54.49,17.87,204.0,,,2007-07
JW화순2,2007-08-01,S11,43.3,27.22,51.94,17.88,205.0,,,2007-08
JW화순2,2007-09-01,S11,44.41,26.11,53.46,17.88,205.0,,,2007-09
JW화순2,2007-10-01,S11,43.86,26.66,53.02,17.88,206.0,,,2007-10
JW화순2,2007-11-01,S11,42.97,27.55,52.13,17.88,206.0,,,2007-11
JW화순2,2007-12-01,S11,41.22,29.3,50.38,17.88,206.0,,,2007-12
JW화순2,2008-01-01,S11,40.42,30.1,49.58,17.88,206.0,,,2008-01
JW화순2,2008-02-01,S11,39.77,30.75,48.93,17.88,206.0,,,2008-02
JW화순2,2008-03-01,S11,39.42,31.1,48.58,17.88,206.0,,,2008-03
JW화순2,2008-04-01,S11,39.33,31.19,48.49,17.88,206.0,,,2008-04
JW화순2,2008-05-01,S11,39.24,31.28,48.4,17.89,206.0,,,2008-05
JW화순2,2008-06-01,S11,41.87,28.65,51.03,17.88,206.0,,,2008-06
JW화순2,2008-07-01,S11,44.54,25.98,53.7,17.87,208.0,,,2008-07
JW화순2,2008-08-01,S11,41.71,28.81,50.87,17.88,206.0,,,2008-08
JW화순2,2008-09-01,S11,40.71,29.81,49.87,17.88,206.0,,,2008-09
JW화순2,2008-10-01,S11,39.93,30.59,49.09,17.88,206.0,,,2008-10
JW화순2,2008-11-01,S11,39.51,31.01,48.67,17.88,206.0,,,2008-11
JW화순2,2008-12-01,S11,39.12,31.4,48.28,17.88,207.0,,,2008-12
JW화순2,2009-01-01,S11,38.91,31.61,48.07,17.88,207.0,,,2009-01
JW화순2,2009-02-01,S11,,,,,,,,2009-02
JW화순2,2009-03-01,S11,,,,,,,,2009-03
JW화순2,2009-04-01,S11,,,,,,,,2009-04
JW화순2,2009-05-01,S11,,,,,,,,2009-05
JW화순2,2009-06-01,S11,,,,,,,,2009-06
JW화순2,2009-07-01,S11,,,,,,,,2009-07
JW화순2,2009-08-01,S11,,,,,,,,2009-08
JW화순2,2009-09-01,S11,,,,,,,,2009-09
JW화순2,2009-10-01,S11,,,,,,,,2009-10
JW화순2,2009-11-01,S11,,,,,,,,2009-11
JW화순2,2009-12-01,S11,,,,,,,,2009-12
JW화순2,2010-01-01,S11,38.99,28.65,51.37,17.96,194.0,1010.06,12.66,2010-01
JW화순2,2010-02-01,S11,38.88,28.75,51.19,17.96,196.0,1008.81,12.66,2010-02
JW화순2,2010-03-01,S11,38.74,28.89,50.85,17.96,200.0,1008.11,12.59,2010-03
JW화순2,2010-04-01,S11,38.95,28.68,50.9,17.97,199.0,1006.54,12.69,2010-04
JW화순2,2010-05-01,S11,39.21,28.42,51.14,17.97,199.0,1000.81,12.72,2010-05
JW화순2,2010-06-01,S11,38.98,28.65,50.93,17.97,199.0,999.44,12.59,2010-06
JW화순2,2010-07-01,S11,42.32,25.31,54.27,17.95,199.0,999.16,12.68,2010-07
JW화순2,2010-08-01,S11,42.07,25.56,54.02,17.95,195.0,1001.6,12.63,2010-08
JW화순2,2010-09-01,S11,45.29,22.34,57.15,17.9,197.0,1003.31,12.63,2010-09
JW화순2,2010-10-01,S11,40.21,27.42,52.06,17.97,193.0,1007.33,12.7,2010-10
