관측소명,날짜,센서,EL,GL,Pressure,Temp,EC,Barometa,Battery,연월
PW가시1,2021-04-01,S11,52.19,178.81,16.05,15.19,140,761.71,13.2,2021-04
PW가시1,2021-05-01,S11,52.48,178.52,16.34,15.27,139,798.89,13.17,2021-05
PW가시1,2021-07-01,S11,53.67,177.34,17.53,15.39,140,1006.28,13.25,2021-07
PW가시1,2021-08-01,S11,53.63,177.37,17.95,15.39,138,1006.28,13.23,2021-08
PW가시1,2021-09-01,S11,55.13,175.87,20.99,15.36,128,1009.85,13.24,2021-09
PW가시1,2021-10-01,S11,59.31,171.69,25.17,14.96,120,1017.43,13.23,2021-10
PW가시1,2021-11-01,S11,59.11,171.89,24.97,14.64,115,1017.1,13.19,2021-11
PW가시1,2021-12-01,S11,57.06,173.94,22.92,14.64,117,1021.1,13.14,2021-12
PW가시1,2022-01-01,S11,54.88,176.12,20.74,14.64,118,1020.09,13.13,2022-01
PW가시1,2022-02-01,S11,53.09,177.91,18.95,14.64,118,1021.8,13.16,2022-02
PW가시1,2022-03-01,S11,51.63,179.37,17.49,14.64,116,1014.73,13.21,2022-03
PW가시1,2022-04-01,S11,50.51,180.49,16.37,14.65,114,1014.8,13.26,2022-04
PW가시1,2022-05-01,S11,49.81,181.19,15.67,14.65,113,1011.27,13.32,2022-05
PW가시1,2022-06-01,S11,49.26,181.74,15.12,14.66,113,1006.57,13.31,2022-06
PW가시1,2022-07-01,S11,48.78,182.22,14.64,14.66,113,1005.1,13.31,2022-07
PW가시1,2022-08-01,S11,49.37,181.63,14.66,15.14,120,1007.1,13.3,2022-08
PW가시1,2022-09-01,S11,51.6,179.4,16.2,15.31,109,,13.2,2022-09
PW가시1,2022-10-01,S11,54.76,176.24,19.36,14.97,102,,13.22,2022-10
PW가시1,2022-11-01,S11,54.65,176.36,19.25,14.6,94,,13.18,2022-11
PW가시1,2022-12-01,S11,53.55,177.52,18.08,14.57,95,,13.14,2022-12
PW가시1,2023-01-01,S11,52.25,178.76,16.85,14.58,96,,13.15,2023-01
PW가시1,2023-02-01,S11,51.17,179.83,15.77,14.58,95,,13.17,2023-02
PW가시1,2023-03-01,S11,50.32,180.68,14.92,14.58,94,,13.24,2023-03
PW가시1,2023-04-01,S11,49.88,181.12,14.48,14.89,106,,13.28,2023-04
PW가시1,2023-05-01,S11,51.22,179.78,15.82,15.19,109,,13.28,2023-05
PW가시1,2023-06-01,S11,53.77,177.23,18.37,15.3,108,,13.33,2023-06
PW가시1,2023-07-01,S11,56.03,174.97,20.63,15.29,107,,13.3,2023-07
PW가시1,2023-08-01,S11,57.72,173.28,22.32,15.13,103,,13.3,2023-08
PW가시1,2023-09-01,S11,58.02,172.98,22.62,14.59,96,,13.27,2023-09
PW가시1,2023-10-01,S11,57.95,173.05,22.55,14.58,97,,13.23,2023-10
PW가시1,2023-11-01,S11,57.17,173.83,21.77,14.58,99,1021.57,13.19,2023-11
PW가시1,2023-12-01,S11,56.01,174.99,20.61,14.62,111,1021.26,13.13,2023-12
PW가시1,2024-01-01,S11,54.53,176.47,19.13,14.62,111,1021.22,13.14,2024-01
PW가시1,2024-02-01,S11,53.53,177.47,18.13,14.94,121,1020.0,13.15,2024-02
PW가시1,2024-03-01,S11,54.31,176.69,18.91,15.33,129,1015.9,13.23,2024-03
PW가시1,2024-04-01,S11,55.57,175.43,20.26,15.35,125,1011.53,13.27,2024-04
PW가시1,2024-05-01,S11,55.89,175.12,21.47,15.34,79,1012.15,13.31,2024-05
PW가시1,2024-06-01,S11,56.67,174.33,22.25,14.83,71,1007.41,13.29,2024-06
PW가시1,2024-07-01,S11,57.35,173.65,22.93,15.34,79,1007.48,13.3,2024-07
PW가시1,2024-08-01,S11,57.46,173.54,23.04,15.03,75,1006.32,13.3,2024-08
PW가시1,2024-09-01,S11,56.55,174.45,22.13,14.75,72,1011.2,13.25,2024-09
PW가시1,2024-10-01,S11,55.78,175.22,21.36,14.94,74,1016.85,13.2,2024-10
PW가시1,2024-11-01,S11,56.53,174.48,22.11,15.28,79,1019.26,13.16,2024-11
PW가시1,2024-12-01,S11,57.07,173.93,22.65,14.68,70,1020.87,13.14,2024-12
PW가시1,2025-01-01,S11,56.28,174.72,21.86,14.65,70,1021.33,13.14,2025-01
PW가시1,2025-02-01,S11,55.01,175.99,20.59,14.65,71,1021.48,13.16,2025-02
