관측소명,날짜,EL,센서,GL,Pressure,Temp,EC,Barometa,Battery
JD고산1,2007-11-09,0.82,,,,,,,
JD고산1,2007-11-10,0.81,,,,,,,
JD고산1,2007-11-11,0.78,,,,,,,
JD고산1,2007-11-12,0.77,,,,,,,
JD고산1,2007-11-13,0.78,,,,,,,
JD고산1,2007-11-14,0.78,,,,,,,
JD고산1,2007-11-15,0.77,,,,,,,
JD고산1,2007-11-16,0.74,,,,,,,
JD고산1,2007-11-17,0.72,,,,,,,
JD고산1,2007-11-18,0.69,,,,,,,
JD고산1,2007-11-19,0.68,,,,,,,
JD고산1,2007-11-20,0.66,,,,,,,
JD고산1,2007-11-21,0.68,,,,,,,
JD고산1,2007-11-22,0.62,,,,,,,
JD고산1,2007-11-23,0.58,,,,,,,
JD고산1,2007-11-24,0.59,,,,,,,
JD고산1,2007-11-25,0.59,,,,,,,
JD고산1,2007-11-26,0.58,,,,,,,
JD고산1,2007-11-27,0.57,,,,,,,
JD고산1,2007-11-28,0.62,,,,,,,
JD고산1,2007-11-29,0.64,,,,,,,
JD고산1,2007-11-30,0.57,,,,,,,
JD고산1,2007-12-01,0.5,,,,,,,
JD고산1,2007-12-02,0.54,,,,,,,
JD고산1,2007-12-03,0.56,,,,,,,
JD고산1,2007-12-04,0.48,,,,,,,
JD고산1,2007-12-05,0.46,,,,,,,
JD고산1,2007-12-06,0.44,,,,,,,
JD고산1,2007-12-07,0.45,,,,,,,
JD고산1,2007-12-08,0.49,,,,,,,
JD고산1,2007-12-09,0.49,,,,,,,
JD고산1,2007-12-10,0.52,,,,,,,
JD고산1,2007-12-11,0.55,,,,,,,
JD고산1,2007-12-12,0.57,,,,,,,
JD고산1,2007-12-13,0.57,,,,,,,
JD고산1,2007-12-14,0.57,,,,,,,
JD고산1,2007-12-15,0.56,,,,,,,
JD고산1,2007-12-16,0.52,,,,,,,
JD고산1,2007-12-17,0.49,,,,,,,
JD고산1,2007-12-18,0.48,,,,,,,
JD고산1,2007-12-19,0.48,,,,,,,
JD고산1,2007-12-20,0.49,,,,,,,
JD고산1,2007-12-21,0.52,,,,,,,
JD고산1,2007-12-22,0.6,,,,,,,
JD고산1,2007-12-23,0.58,,,,,,,
JD고산1,2007-12-24,0.56,,,,,,,
JD고산1,2007-12-25,0.61,,,,,,,
JD고산1,2007-12-26,0.62,,,,,,,
JD고산1,2007-12-27,0.61,,,,,,,
JD고산1,2007-12-28,0.67,,,,,,,
JD고산1,2007-12-29,0.66,,,,,,,
JD고산1,2007-12-30,0.6,,,,,,,
JD고산1,2007-12-31,0.53,,,,,,,
JD고산1,2008-01-01,0.45,,,,,,,
JD고산1,2008-01-02,0.44,,,,,,,
JD고산1,2008-01-03,0.45,,,,,,,
JD고산1,2008-01-04,0.44,,,,,,,
JD고산1,2008-01-05,0.44,,,,,,,
JD고산1,2008-01-06,0.44,,,,,,,
JD고산1,2008-01-07,0.47,,,,,,,
JD고산1,2008-01-08,0.46,,,,,,,
JD고산1,2008-01-09,0.47,,,,,,,
JD고산1,2008-01-10,0.48,,,,,,,
JD고산1,2008-01-11,0.51,,,,,,,
JD고산1,2008-01-12,0.49,,,,,,,
JD고산1,2008-01-13,0.42,,,,,,,
JD고산1,2008-01-14,0.38,,,,,,,
JD고산1,2008-01-15,0.39,,,,,,,
JD고산1,2008-01-16,0.36,,,,,,,
JD고산1,2008-01-17,0.36,,,,,,,
JD고산1,2008-01-18,0.35,,,,,,,
JD고산1,2008-01-19,0.38,,,,,,,
JD고산1,2008-01-20,0.43,,,,,,,
JD고산1,2008-01-21,0.48,,,,,,,
JD고산1,2008-01-22,0.5,,,,,,,
JD고산1,2008-01-23,0.45,,,,,,,
JD고산1,2008-01-24,0.41,,,,,,,
JD고산1,2008-01-25,0.42,,,,,,,
JD고산1,2008-01-26,0.41,,,,,,,
JD고산1,2008-01-27,0.42,,,,,,,
JD고산1,2008-01-28,0.42,,,,,,,
JD고산1,2008-01-29,0.44,,,,,,,
JD고산1,2008-01-30,0.39,,,,,,,
JD고산1,2008-01-31,0.37,,,,,,,
JD고산1,2008-02-01,0.36,,,,,,,
JD고산1,2008-02-02,0.38,,,,,,,
JD고산1,2008-02-03,0.39,,,,,,,
JD고산1,2008-02-04,0.36,,,,,,,
JD고산1,2008-02-05,0.36,,,,,,,
JD고산1,2008-02-06,0.36,,,,,,,
JD고산1,2008-02-07,0.36,,,,,,,
JD고산1,2008-02-08,0.36,,,,,,,
JD고산1,2008-02-09,0.35,,,,,,,
JD고산1,2008-02-10,0.35,,,,,,,
JD고산1,2008-02-11,0.36,,,,,,,
JD고산1,2008-02-12,0.31,,,,,,,
JD고산1,2008-02-13,0.27,,,,,,,
JD고산1,2008-02-14,0.28,,,,,,,
JD고산1,2008-02-15,0.27,,,,,,,
JD고산1,2008-02-16,0.26,,,,,,,
JD고산1,2008-02-17,0.23,,,,,,,
JD고산1,2008-02-18,0.21,,,,,,,
JD고산1,2008-02-19,0.19,,,,,,,
JD고산1,2008-02-20,0.21,,,,,,,
JD고산1,2008-02-21,0.24,,,,,,,
JD고산1,2008-02-22,0.26,,,,,,,
JD고산1,2008-02-23,0.23,,,,,,,
JD고산1,2008-02-24,0.2,,,,,,,
JD고산1,2008-02-25,0.2,,,,,,,
JD고산1,2008-02-26,0.25,,,,,,,
JD고산1,2008-02-27,0.21,,,,,,,
JD고산1,2008-02-28,0.23,,,,,,,
JD고산1,2008-02-29,0.27,,,,,,,
JD고산1,2008-03-01,0.25,,,,,,,
JD고산1,2008-03-02,0.31,,,,,,,
JD고산1,2008-03-03,0.27,,,,,,,
JD고산1,2008-03-04,0.23,,,,,,,
JD고산1,2008-03-05,0.22,,,,,,,
JD고산1,2008-03-06,0.22,,,,,,,
JD고산1,2008-03-07,0.19,,,,,,,
JD고산1,2008-03-08,0.18,,,,,,,
JD고산1,2008-03-09,0.19,,,,,,,
JD고산1,2008-03-10,0.19,,,,,,,
JD고산1,2008-03-11,0.23,,,,,,,
JD고산1,2008-03-12,0.3,,,,,,,
JD고산1,2008-03-13,0.31,,,,,,,
JD고산1,2008-03-14,0.28,,,,,,,
JD고산1,2008-03-15,0.31,,,,,,,
JD고산1,2008-03-16,0.28,,,,,,,
JD고산1,2008-03-17,0.28,,,,,,,
JD고산1,2008-03-18,0.32,,,,,,,
JD고산1,2008-03-19,0.37,,,,,,,
JD고산1,2008-03-20,0.36,,,,,,,
JD고산1,2008-03-21,0.35,,,,,,,
JD고산1,2008-03-22,0.36,,,,,,,
JD고산1,2008-03-23,0.42,,,,,,,
JD고산1,2008-03-24,0.41,,,,,,,
JD고산1,2008-03-25,0.41,,,,,,,
JD고산1,2008-03-26,0.4,,,,,,,
JD고산1,2008-03-27,0.44,,,,,,,
JD고산1,2008-03-28,0.41,,,,,,,
JD고산1,2008-03-29,0.41,,,,,,,
JD고산1,2008-03-30,0.41,,,,,,,
JD고산1,2008-03-31,0.34,,,,,,,
JD고산1,2008-04-01,0.28,,,,,,,
JD고산1,2008-04-02,0.29,,,,,,,
JD고산1,2008-04-03,0.3,,,,,,,
JD고산1,2008-04-04,0.3,,,,,,,
JD고산1,2008-04-05,0.3,,,,,,,
JD고산1,2008-04-06,0.34,,,,,,,
JD고산1,2008-04-07,0.37,,,,,,,
JD고산1,2008-04-08,0.39,,,,,,,
JD고산1,2008-04-09,0.5,,,,,,,
JD고산1,2008-04-10,0.5,,,,,,,
JD고산1,2008-04-11,0.51,,,,,,,
JD고산1,2008-04-12,0.47,,,,,,,
JD고산1,2008-04-13,0.44,,,,,,,
JD고산1,2008-04-14,0.4,,,,,,,
JD고산1,2008-04-15,0.39,,,,,,,
JD고산1,2008-04-16,0.4,,,,,,,
JD고산1,2008-04-17,0.39,,,,,,,
JD고산1,2008-04-18,0.37,,,,,,,
JD고산1,2008-04-19,0.34,,,,,,,
JD고산1,2008-04-20,0.36,,,,,,,
JD고산1,2008-04-21,0.38,,,,,,,
JD고산1,2008-04-22,0.37,,,,,,,
JD고산1,2008-04-23,0.35,,,,,,,
JD고산1,2008-04-24,0.31,,,,,,,
JD고산1,2008-04-25,0.34,,,,,,,
JD고산1,2008-04-26,0.35,,,,,,,
JD고산1,2008-04-27,0.33,,,,,,,
JD고산1,2008-04-28,0.35,,,,,,,
JD고산1,2008-04-29,0.32,,,,,,,
JD고산1,2008-04-30,0.31,,,,,,,
JD고산1,2008-05-01,0.32,,,,,,,
JD고산1,2008-05-02,0.33,,,,,,,
JD고산1,2008-05-03,0.33,,,,,,,
JD고산1,2008-05-04,0.36,,,,,,,
JD고산1,2008-05-05,0.33,,,,,,,
JD고산1,2008-05-06,0.34,,,,,,,
JD고산1,2008-05-07,0.35,,,,,,,
JD고산1,2008-05-08,0.37,,,,,,,
JD고산1,2008-05-09,0.42,,,,,,,
JD고산1,2008-05-10,0.49,,,,,,,
JD고산1,2008-05-11,0.48,,,,,,,
JD고산1,2008-05-12,0.42,,,,,,,
JD고산1,2008-05-13,0.32,,,,,,,
JD고산1,2008-05-14,0.21,,,,,,,
JD고산1,2008-05-15,0.17,,,,,,,
JD고산1,2008-05-16,0.18,,,,,,,
JD고산1,2008-05-17,0.17,,,,,,,
JD고산1,2008-05-18,0.2,,,,,,,
JD고산1,2008-05-19,0.25,,,,,,,
JD고산1,2008-05-20,0.28,,,,,,,
JD고산1,2008-05-21,0.28,,,,,,,
JD고산1,2008-05-22,0.27,,,,,,,
JD고산1,2008-05-23,0.3,,,,,,,
JD고산1,2008-05-24,0.34,,,,,,,
JD고산1,2008-05-25,0.34,,,,,,,
JD고산1,2008-05-26,0.33,,,,,,,
JD고산1,2008-05-27,0.35,,,,,,,
JD고산1,2008-05-28,0.45,,,,,,,
JD고산1,2008-05-29,0.63,,,,,,,
JD고산1,2008-05-30,0.61,,,,,,,
JD고산1,2008-05-31,0.54,,,,,,,
JD고산1,2008-06-01,0.5,,,,,,,
JD고산1,2008-06-02,0.51,,,,,,,
JD고산1,2008-06-03,0.51,,,,,,,
JD고산1,2008-06-04,0.58,,,,,,,
JD고산1,2008-06-05,0.65,,,,,,,
JD고산1,2008-06-06,0.63,,,,,,,
JD고산1,2008-06-07,0.65,,,,,,,
JD고산1,2008-06-08,0.65,,,,,,,
JD고산1,2008-06-09,0.63,,,,,,,
JD고산1,2008-06-10,0.6,,,,,,,
JD고산1,2008-06-11,0.62,,,,,,,
JD고산1,2008-06-12,0.62,,,,,,,
JD고산1,2008-06-13,0.56,,,,,,,
JD고산1,2008-06-14,0.56,,,,,,,
JD고산1,2008-06-15,0.69,,,,,,,
JD고산1,2008-06-16,0.75,,,,,,,
JD고산1,2008-06-17,0.72,,,,,,,
JD고산1,2008-06-18,0.86,,,,,,,
JD고산1,2008-06-19,0.93,,,,,,,
JD고산1,2008-06-20,0.97,,,,,,,
JD고산1,2008-06-21,1.08,,,,,,,
JD고산1,2008-06-22,1.19,,,,,,,
JD고산1,2008-06-23,1.15,,,,,,,
JD고산1,2008-06-24,1.09,,,,,,,
JD고산1,2008-06-25,1.02,,,,,,,
JD고산1,2008-06-26,0.92,,,,,,,
JD고산1,2008-06-27,0.92,,,,,,,
JD고산1,2008-06-28,0.97,,,,,,,
JD고산1,2008-06-29,0.92,,,,,,,
JD고산1,2008-06-30,0.86,,,,,,,
JD고산1,2008-07-01,0.86,,,,,,,
JD고산1,2008-07-02,0.89,,,,,,,
JD고산1,2008-07-03,0.9,,,,,,,
JD고산1,2008-07-04,0.91,,,,,,,
JD고산1,2008-07-05,0.93,,,,,,,
JD고산1,2008-07-06,0.91,,,,,,,
JD고산1,2008-07-07,0.85,,,,,,,
JD고산1,2008-07-08,0.79,,,,,,,
JD고산1,2008-07-09,0.75,,,,,,,
JD고산1,2008-07-10,0.73,,,,,,,
JD고산1,2008-07-11,0.72,,,,,,,
JD고산1,2008-07-12,0.76,,,,,,,
JD고산1,2008-07-13,0.77,,,,,,,
JD고산1,2008-07-14,0.75,,,,,,,
JD고산1,2008-07-15,0.73,,,,,,,
JD고산1,2008-07-16,0.72,,,,,,,
JD고산1,2008-07-17,0.71,,,,,,,
JD고산1,2008-07-18,0.74,,,,,,,
JD고산1,2008-07-19,0.76,,,,,,,
JD고산1,2008-07-20,0.76,,,,,,,
JD고산1,2008-07-21,0.76,,,,,,,
JD고산1,2008-07-22,0.75,,,,,,,
JD고산1,2008-07-23,0.76,,,,,,,
JD고산1,2008-07-24,0.75,,,,,,,
JD고산1,2008-07-25,0.74,,,,,,,
JD고산1,2008-07-26,0.68,,,,,,,
JD고산1,2008-07-27,0.65,,,,,,,
JD고산1,2008-07-28,0.63,,,,,,,
JD고산1,2008-07-29,0.67,,,,,,,
JD고산1,2008-07-30,0.7,,,,,,,
JD고산1,2008-07-31,0.67,,,,,,,
JD고산1,2008-08-01,0.64,,,,,,,
JD고산1,2008-08-02,0.63,,,,,,,
JD고산1,2008-08-03,0.6,,,,,,,
JD고산1,2008-08-04,0.6,,,,,,,
JD고산1,2008-08-05,0.6,,,,,,,
JD고산1,2008-08-06,0.58,,,,,,,
JD고산1,2008-08-07,0.59,,,,,,,
JD고산1,2008-08-08,0.62,,,,,,,
JD고산1,2008-08-09,0.54,,,,,,,
JD고산1,2008-08-10,0.47,,,,,,,
JD고산1,2008-08-11,0.5,,,,,,,
JD고산1,2008-08-12,0.57,,,,,,,
JD고산1,2008-08-13,0.53,,,,,,,
JD고산1,2008-08-14,0.46,,,,,,,
JD고산1,2008-08-15,0.45,,,,,,,
JD고산1,2008-08-16,0.45,,,,,,,
JD고산1,2008-08-17,0.41,,,,,,,
JD고산1,2008-08-18,0.35,,,,,,,
JD고산1,2008-08-19,0.28,,,,,,,
JD고산1,2008-08-20,0.24,,,,,,,
JD고산1,2008-08-21,0.26,,,,,,,
JD고산1,2008-08-22,0.35,,,,,,,
