관측소명,날짜,EL,센서,GL,Pressure,Temp,EC,Barometa,Battery
JD무릉2,2005-01-01,10.18,,,,,,,
JD무릉2,2005-01-02,10.31,,,,,,,
JD무릉2,2005-01-03,10.28,,,,,,,
JD무릉2,2005-01-04,10.37,,,,,,,
JD무릉2,2005-01-05,10.27,,,,,,,
JD무릉2,2005-01-06,10.37,,,,,,,
JD무릉2,2005-01-07,10.28,,,,,,,
JD무릉2,2005-01-08,10.36,,,,,,,
JD무릉2,2005-01-09,10.29,,,,,,,
JD무릉2,2005-01-10,10.33,,,,,,,
JD무릉2,2005-01-11,10.34,,,,,,,
JD무릉2,2005-01-12,10.27,,,,,,,
JD무릉2,2005-01-13,10.34,,,,,,,
JD무릉2,2005-01-14,10.22,,,,,,,
JD무릉2,2005-01-15,10.22,,,,,,,
JD무릉2,2005-01-16,10.26,,,,,,,
JD무릉2,2005-01-17,10.19,,,,,,,
JD무릉2,2005-01-18,10.21,,,,,,,
JD무릉2,2005-01-19,10.15,,,,,,,
JD무릉2,2005-01-20,10.12,,,,,,,
JD무릉2,2005-01-21,10.03,,,,,,,
JD무릉2,2005-01-22,10.13,,,,,,,
JD무릉2,2005-01-23,10.09,,,,,,,
JD무릉2,2005-01-24,10.16,,,,,,,
JD무릉2,2005-01-25,10.23,,,,,,,
JD무릉2,2005-01-26,10.3,,,,,,,
JD무릉2,2005-01-27,10.28,,,,,,,
JD무릉2,2005-01-28,10.17,,,,,,,
JD무릉2,2005-01-29,10.21,,,,,,,
JD무릉2,2005-01-30,10.13,,,,,,,
JD무릉2,2005-01-31,10.1,,,,,,,
JD무릉2,2005-02-01,10.15,,,,,,,
JD무릉2,2005-02-02,10.01,,,,,,,
JD무릉2,2005-02-03,10.09,,,,,,,
JD무릉2,2005-02-04,9.97,,,,,,,
JD무릉2,2005-02-05,10.05,,,,,,,
JD무릉2,2005-02-06,9.93,,,,,,,
JD무릉2,2005-02-07,10.03,,,,,,,
JD무릉2,2005-02-08,9.92,,,,,,,
JD무릉2,2005-02-09,10.0,,,,,,,
JD무릉2,2005-02-10,9.92,,,,,,,
JD무릉2,2005-02-11,9.94,,,,,,,
JD무릉2,2005-02-12,9.94,,,,,,,
JD무릉2,2005-02-13,9.88,,,,,,,
JD무릉2,2005-02-14,9.9,,,,,,,
JD무릉2,2005-02-15,10.07,,,,,,,
JD무릉2,2005-02-16,10.35,,,,,,,
JD무릉2,2005-02-17,10.15,,,,,,,
JD무릉2,2005-02-18,10.2,,,,,,,
JD무릉2,2005-02-19,10.03,,,,,,,
JD무릉2,2005-02-20,10.05,,,,,,,
JD무릉2,2005-02-21,9.94,,,,,,,
JD무릉2,2005-02-22,9.98,,,,,,,
JD무릉2,2005-02-23,9.9,,,,,,,
JD무릉2,2005-02-24,10.02,,,,,,,
JD무릉2,2005-02-25,9.9,,,,,,,
JD무릉2,2005-02-26,9.86,,,,,,,
JD무릉2,2005-02-27,9.76,,,,,,,
JD무릉2,2005-02-28,9.86,,,,,,,
JD무릉2,2005-03-01,9.71,,,,,,,
JD무릉2,2005-03-02,9.79,,,,,,,
JD무릉2,2005-03-03,9.67,,,,,,,
JD무릉2,2005-03-04,9.77,,,,,,,
JD무릉2,2005-03-05,9.63,,,,,,,
JD무릉2,2005-03-06,9.71,,,,,,,
JD무릉2,2005-03-07,9.58,,,,,,,
JD무릉2,2005-03-08,9.66,,,,,,,
JD무릉2,2005-03-09,9.57,,,,,,,
JD무릉2,2005-03-10,9.65,,,,,,,
JD무릉2,2005-03-11,9.68,,,,,,,
JD무릉2,2005-03-12,9.49,,,,,,,
JD무릉2,2005-03-13,9.59,,,,,,,
JD무릉2,2005-03-14,9.27,,,,,,,
JD무릉2,2005-03-15,9.48,,,,,,,
JD무릉2,2005-03-16,9.52,,,,,,,
JD무릉2,2005-03-17,9.92,,,,,,,
JD무릉2,2005-03-18,9.97,,,,,,,
JD무릉2,2005-03-19,9.71,,,,,,,
JD무릉2,2005-03-20,9.77,,,,,,,
JD무릉2,2005-03-21,9.65,,,,,,,
JD무릉2,2005-03-22,10.33,,,,,,,
JD무릉2,2005-03-23,10.24,,,,,,,
JD무릉2,2005-03-24,10.14,,,,,,,
JD무릉2,2005-03-25,10.06,,,,,,,
JD무릉2,2005-03-26,9.93,,,,,,,
JD무릉2,2005-03-27,10.05,,,,,,,
JD무릉2,2005-03-28,10.16,,,,,,,
JD무릉2,2005-03-29,9.98,,,,,,,
JD무릉2,2005-03-30,10.04,,,,,,,
JD무릉2,2005-03-31,9.88,,,,,,,
JD무릉2,2005-04-01,9.93,,,,,,,
JD무릉2,2005-04-02,9.8,,,,,,,
JD무릉2,2005-04-03,9.85,,,,,,,
JD무릉2,2005-04-04,9.7,,,,,,,
JD무릉2,2005-04-05,9.74,,,,,,,
JD무릉2,2005-04-06,9.76,,,,,,,
JD무릉2,2005-04-07,9.66,,,,,,,
JD무릉2,2005-04-08,9.74,,,,,,,
JD무릉2,2005-04-09,9.62,,,,,,,
JD무릉2,2005-04-10,9.75,,,,,,,
JD무릉2,2005-04-11,9.6,,,,,,,
JD무릉2,2005-04-12,9.67,,,,,,,
JD무릉2,2005-04-13,9.53,,,,,,,
JD무릉2,2005-04-14,9.58,,,,,,,
JD무릉2,2005-04-15,9.47,,,,,,,
JD무릉2,2005-04-16,9.48,,,,,,,
JD무릉2,2005-04-17,9.35,,,,,,,
JD무릉2,2005-04-18,9.44,,,,,,,
JD무릉2,2005-04-19,9.34,,,,,,,
JD무릉2,2005-04-20,9.62,,,,,,,
JD무릉2,2005-04-21,9.61,,,,,,,
