관측소명,날짜,EL,센서,GL,Pressure,Temp,EC,Barometa,Battery
JD서호,2011-01-25,35.76,,,,,,,
JD서호,2011-01-26,35.87,,,,,,,
JD서호,2011-01-27,35.88,,,,,,,
JD서호,2011-01-28,35.88,,,,,,,
JD서호,2011-01-29,35.84,,,,,,,
JD서호,2011-01-30,35.78,,,,,,,
JD서호,2011-01-31,35.81,,,,,,,
JD서호,2011-02-05,35.95,,,,,,,
JD서호,2011-02-06,35.95,,,,,,,
JD서호,2011-02-07,36.03,,,,,,,
JD서호,2011-02-08,35.89,,,,,,,
JD서호,2011-02-09,36.17,,,,,,,
JD서호,2011-02-10,36.21,,,,,,,
JD서호,2011-02-11,36.27,,,,,,,
JD서호,2011-02-12,36.38,,,,,,,
JD서호,2011-02-13,36.3,,,,,,,
JD서호,2011-02-14,36.21,,,,,,,
JD서호,2011-02-15,36.37,,,,,,,
JD서호,2011-02-16,36.29,,,,,,,
JD서호,2011-02-17,36.27,,,,,,,
JD서호,2011-02-18,36.54,,,,,,,
JD서호,2011-02-19,36.64,,,,,,,
JD서호,2011-02-20,36.69,,,,,,,
JD서호,2011-02-21,36.75,,,,,,,
JD서호,2011-02-22,36.72,,,,,,,
JD서호,2011-02-23,36.59,,,,,,,
JD서호,2011-02-24,36.67,,,,,,,
JD서호,2011-02-25,36.79,,,,,,,
JD서호,2011-02-26,36.81,,,,,,,
JD서호,2011-02-27,36.81,,,,,,,
JD서호,2011-02-28,36.83,,,,,,,
JD서호,2011-03-01,36.84,,,,,,,
JD서호,2011-03-02,37.06,,,,,,,
JD서호,2011-03-03,37.08,,,,,,,
JD서호,2011-03-04,37.08,,,,,,,
JD서호,2011-03-05,37.09,,,,,,,
JD서호,2011-03-06,36.99,,,,,,,
JD서호,2011-03-07,37.12,,,,,,,
JD서호,2011-03-08,37.23,,,,,,,
JD서호,2011-03-09,37.3,,,,,,,
JD서호,2011-03-10,37.27,,,,,,,
JD서호,2011-03-11,37.45,,,,,,,
JD서호,2011-03-12,37.73,,,,,,,
JD서호,2011-03-13,37.63,,,,,,,
JD서호,2011-03-14,37.58,,,,,,,
JD서호,2011-03-15,37.58,,,,,,,
JD서호,2011-03-16,37.61,,,,,,,
JD서호,2011-03-17,37.61,,,,,,,
JD서호,2011-03-18,37.62,,,,,,,
JD서호,2011-03-19,37.51,,,,,,,
JD서호,2011-03-20,38.06,,,,,,,
JD서호,2011-03-21,38.21,,,,,,,
JD서호,2011-03-22,38.08,,,,,,,
JD서호,2011-03-23,37.87,,,,,,,
JD서호,2011-03-24,37.76,,,,,,,
JD서호,2011-03-25,37.9,,,,,,,
JD서호,2011-03-26,37.95,,,,,,,
JD서호,2011-03-27,37.9,,,,,,,
JD서호,2011-03-28,37.89,,,,,,,
