관측소명,날짜,EL,센서,GL,Pressure,Temp,EC,Barometa,Battery
JD신도3,2019-11-26,2.79,,,,,,,
JD신도3,2019-11-27,2.84,,,,,,,
JD신도3,2019-11-28,2.63,,,,,,,
JD신도3,2019-11-29,2.67,,,,,,,
JD신도3,2019-11-30,2.68,,,,,,,
JD신도3,2019-12-01,2.71,,,,,,,
JD신도3,2019-12-02,2.73,,,,,,,
JD신도3,2019-12-03,2.72,,,,,,,
JD신도3,2019-12-04,2.7,,,,,,,
JD신도3,2019-12-05,2.66,,,,,,,
JD신도3,2019-12-07,2.63,,,,,,,
JD신도3,2019-12-08,2.61,,,,,,,
JD신도3,2019-12-09,2.63,,,,,,,
JD신도3,2019-12-10,2.76,,,,,,,
JD신도3,2019-12-11,2.88,,,,,,,
JD신도3,2019-12-12,2.8,,,,,,,
JD신도3,2019-12-13,2.81,,,,,,,
JD신도3,2019-12-14,2.79,,,,,,,
JD신도3,2019-12-15,2.8,,,,,,,
JD신도3,2019-12-16,2.82,,,,,,,
JD신도3,2019-12-17,2.72,,,,,,,
JD신도3,2019-12-18,2.74,,,,,,,
JD신도3,2019-12-19,2.84,,,,,,,
JD신도3,2019-12-20,2.81,,,,,,,
JD신도3,2019-12-21,2.81,,,,,,,
JD신도3,2019-12-22,2.84,,,,,,,
JD신도3,2019-12-23,2.83,,,,,,,
JD신도3,2019-12-24,2.83,,,,,,,
JD신도3,2019-12-25,2.92,,,,,,,
JD신도3,2019-12-26,2.95,,,,,,,
JD신도3,2019-12-27,2.96,,,,,,,
JD신도3,2019-12-28,2.99,,,,,,,
JD신도3,2019-12-29,3.03,,,,,,,
JD신도3,2019-12-30,3.08,,,,,,,
JD신도3,2019-12-31,3.02,,,,,,,
JD신도3,2020-01-01,3.03,,,,,,,
JD신도3,2020-01-02,3.04,,,,,,,
JD신도3,2020-01-03,3.06,,,,,,,
JD신도3,2020-01-04,3.08,,,,,,,
JD신도3,2020-01-05,3.1,,,,,,,
