관측소명,날짜,EL,센서,GL,Pressure,Temp,EC,Barometa,Battery
JD용담1,2005-01-01,2.41,,,,,,,
JD용담1,2005-01-02,2.37,,,,,,,
JD용담1,2005-01-03,2.33,,,,,,,
JD용담1,2005-01-04,2.31,,,,,,,
JD용담1,2005-01-05,2.28,,,,,,,
JD용담1,2005-01-06,2.28,,,,,,,
JD용담1,2005-01-07,2.3,,,,,,,
JD용담1,2005-01-08,2.33,,,,,,,
JD용담1,2005-01-09,2.33,,,,,,,
JD용담1,2005-01-10,2.35,,,,,,,
JD용담1,2005-01-11,2.34,,,,,,,
JD용담1,2005-01-12,2.31,,,,,,,
JD용담1,2005-01-13,2.28,,,,,,,
JD용담1,2005-01-14,2.24,,,,,,,
JD용담1,2005-01-15,2.26,,,,,,,
JD용담1,2005-01-16,2.28,,,,,,,
JD용담1,2005-01-17,2.32,,,,,,,
JD용담1,2005-01-18,2.33,,,,,,,
JD용담1,2005-01-19,2.34,,,,,,,
JD용담1,2005-01-20,2.35,,,,,,,
JD용담1,2005-01-21,2.28,,,,,,,
JD용담1,2005-01-22,2.22,,,,,,,
JD용담1,2005-01-23,2.25,,,,,,,
JD용담1,2005-01-24,2.27,,,,,,,
JD용담1,2005-01-25,2.3,,,,,,,
JD용담1,2005-01-26,2.36,,,,,,,
JD용담1,2005-01-27,2.36,,,,,,,
JD용담1,2005-01-28,2.35,,,,,,,
JD용담1,2005-01-29,2.33,,,,,,,
JD용담1,2005-01-30,2.29,,,,,,,
JD용담1,2005-01-31,2.24,,,,,,,
JD용담1,2005-02-01,2.2,,,,,,,
JD용담1,2005-02-02,2.16,,,,,,,
JD용담1,2005-02-03,2.13,,,,,,,
JD용담1,2005-02-04,2.11,,,,,,,
JD용담1,2005-02-05,2.09,,,,,,,
JD용담1,2005-02-06,2.09,,,,,,,
JD용담1,2005-02-07,2.13,,,,,,,
JD용담1,2005-02-08,2.14,,,,,,,
JD용담1,2005-02-09,2.15,,,,,,,
JD용담1,2005-02-10,2.16,,,,,,,
JD용담1,2005-02-11,2.14,,,,,,,
JD용담1,2005-02-12,2.11,,,,,,,
JD용담1,2005-02-13,2.07,,,,,,,
JD용담1,2005-02-14,2.05,,,,,,,
JD용담1,2005-02-15,2.1,,,,,,,
JD용담1,2005-02-16,2.2,,,,,,,
JD용담1,2005-02-17,2.23,,,,,,,
JD용담1,2005-02-18,2.29,,,,,,,
JD용담1,2005-02-19,2.34,,,,,,,
JD용담1,2005-02-20,2.28,,,,,,,
JD용담1,2005-02-21,2.24,,,,,,,
JD용담1,2005-02-22,2.22,,,,,,,
JD용담1,2005-02-23,2.18,,,,,,,
JD용담1,2005-02-24,2.2,,,,,,,
JD용담1,2005-02-25,2.18,,,,,,,
JD용담1,2005-02-26,2.12,,,,,,,
JD용담1,2005-02-27,2.08,,,,,,,
JD용담1,2005-02-28,2.05,,,,,,,
