관측소명,날짜,EL,센서,GL,Pressure,Temp,EC,Barometa,Battery
JH회수3,2012-01-05,383.11,,,,,,,
JH회수3,2012-01-06,383.09,,,,,,,
JH회수3,2012-01-07,383.08,,,,,,,
JH회수3,2012-01-08,383.04,,,,,,,
JH회수3,2012-01-09,383.06,,,,,,,
JH회수3,2012-01-10,383.09,,,,,,,
JH회수3,2012-01-11,383.1,,,,,,,
JH회수3,2012-01-12,383.08,,,,,,,
JH회수3,2012-01-13,383.1,,,,,,,
JH회수3,2012-01-14,383.11,,,,,,,
JH회수3,2012-01-15,383.08,,,,,,,
JH회수3,2012-01-16,383.1,,,,,,,
JH회수3,2012-01-17,383.11,,,,,,,
JH회수3,2012-01-18,383.04,,,,,,,
JH회수3,2012-01-19,383.02,,,,,,,
JH회수3,2012-01-20,382.97,,,,,,,
JH회수3,2012-01-21,383.02,,,,,,,
JH회수3,2012-01-22,383.16,,,,,,,
JH회수3,2012-01-23,383.1,,,,,,,
JH회수3,2012-01-24,383.06,,,,,,,
JH회수3,2012-01-25,382.99,,,,,,,
JH회수3,2012-01-26,382.78,,,,,,,
JH회수3,2012-01-27,382.57,,,,,,,
JH회수3,2012-01-28,382.59,,,,,,,
JH회수3,2012-01-29,382.6,,,,,,,
JH회수3,2012-01-30,382.56,,,,,,,
JH회수3,2012-01-31,382.38,,,,,,,
JH회수3,2012-02-01,382.1,,,,,,,
JH회수3,2012-02-02,381.86,,,,,,,
JH회수3,2012-02-03,381.36,,,,,,,
JH회수3,2012-02-04,380.85,,,,,,,
JH회수3,2012-02-05,380.59,,,,,,,
JH회수3,2012-02-06,381.31,,,,,,,
JH회수3,2012-02-07,382.2,,,,,,,
JH회수3,2012-02-08,381.95,,,,,,,
JH회수3,2012-02-09,381.46,,,,,,,
JH회수3,2012-02-10,381.55,,,,,,,
JH회수3,2012-02-11,381.12,,,,,,,
JH회수3,2012-02-12,380.5,,,,,,,
JH회수3,2012-02-13,380.27,,,,,,,
JH회수3,2012-02-14,380.22,,,,,,,
JH회수3,2012-02-15,380.18,,,,,,,
JH회수3,2012-02-16,380.1,,,,,,,
JH회수3,2012-02-17,380.03,,,,,,,
JH회수3,2012-02-18,379.99,,,,,,,
JH회수3,2012-02-19,379.85,,,,,,,
JH회수3,2012-02-20,379.52,,,,,,,
JH회수3,2012-02-21,379.27,,,,,,,
JH회수3,2012-02-22,379.14,,,,,,,
JH회수3,2012-02-23,378.92,,,,,,,
JH회수3,2012-02-24,378.71,,,,,,,
JH회수3,2012-02-25,378.55,,,,,,,
JH회수3,2012-02-26,378.35,,,,,,,
JH회수3,2012-02-27,378.12,,,,,,,
JH회수3,2012-02-28,377.88,,,,,,,
JH회수3,2012-02-29,377.81,,,,,,,
JH회수3,2012-03-01,377.76,,,,,,,
JH회수3,2012-03-02,377.83,,,,,,,
JH회수3,2012-03-03,377.52,,,,,,,
JH회수3,2012-03-04,377.43,,,,,,,
JH회수3,2012-03-05,377.41,,,,,,,
JH회수3,2012-03-06,379.35,,,,,,,
JH회수3,2012-03-07,379.16,,,,,,,
JH회수3,2012-03-08,378.63,,,,,,,
JH회수3,2012-03-09,378.25,,,,,,,
JH회수3,2012-03-10,377.66,,,,,,,
JH회수3,2012-03-11,377.45,,,,,,,
JH회수3,2012-03-12,377.93,,,,,,,
JH회수3,2012-03-13,378.25,,,,,,,
JH회수3,2012-03-14,377.69,,,,,,,
JH회수3,2012-03-15,377.39,,,,,,,
JH회수3,2012-03-16,377.55,,,,,,,
JH회수3,2012-03-17,377.68,,,,,,,
JH회수3,2012-03-18,377.57,,,,,,,
JH회수3,2012-03-19,377.66,,,,,,,
JH회수3,2012-03-20,377.48,,,,,,,
JH회수3,2012-03-21,377.56,,,,,,,
JH회수3,2012-03-22,377.33,,,,,,,
JH회수3,2012-03-23,377.63,,,,,,,
JH회수3,2012-03-24,378.47,,,,,,,
JH회수3,2012-03-25,378.18,,,,,,,
JH회수3,2012-03-26,377.65,,,,,,,
JH회수3,2012-03-27,377.49,,,,,,,
JH회수3,2012-03-28,376.97,,,,,,,
JH회수3,2012-03-29,376.88,,,,,,,
JH회수3,2012-03-30,377.03,,,,,,,
JH회수3,2012-03-31,377.62,,,,,,,
JH회수3,2012-04-01,377.39,,,,,,,
JH회수3,2012-04-02,377.24,,,,,,,
JH회수3,2012-04-03,377.56,,,,,,,
JH회수3,2012-04-04,377.69,,,,,,,
JH회수3,2012-04-05,378.09,,,,,,,
JH회수3,2012-04-06,378.2,,,,,,,
JH회수3,2012-04-07,378.89,,,,,,,
JH회수3,2012-04-08,378.83,,,,,,,
JH회수3,2012-04-09,379.16,,,,,,,
JH회수3,2012-04-10,379.52,,,,,,,
JH회수3,2012-04-11,380.77,,,,,,,
JH회수3,2012-04-12,381.38,,,,,,,
JH회수3,2012-04-13,381.82,,,,,,,
JH회수3,2012-04-14,382.16,,,,,,,
JH회수3,2012-04-15,383.68,,,,,,,
JH회수3,2012-04-16,384.41,,,,,,,
JH회수3,2012-04-17,384.61,,,,,,,
JH회수3,2012-04-18,385.2,,,,,,,
JH회수3,2012-04-19,385.82,,,,,,,
JH회수3,2012-04-20,385.62,,,,,,,
JH회수3,2012-04-21,385.71,,,,,,,
JH회수3,2012-04-22,385.53,,,,,,,
JH회수3,2012-04-23,385.43,,,,,,,
JH회수3,2012-04-24,385.73,,,,,,,
JH회수3,2012-04-25,386.08,,,,,,,
JH회수3,2012-04-26,386.06,,,,,,,
JH회수3,2012-04-27,386.36,,,,,,,
JH회수3,2012-04-28,386.69,,,,,,,
JH회수3,2012-04-29,386.85,,,,,,,
JH회수3,2012-04-30,386.87,,,,,,,
JH회수3,2012-05-01,386.87,,,,,,,
JH회수3,2012-05-02,386.83,,,,,,,
JH회수3,2012-05-03,386.85,,,,,,,
JH회수3,2012-05-04,386.8,,,,,,,
JH회수3,2012-05-05,386.83,,,,,,,
JH회수3,2012-05-06,386.83,,,,,,,
JH회수3,2012-05-07,386.79,,,,,,,
JH회수3,2012-05-08,386.76,,,,,,,
JH회수3,2012-05-09,386.65,,,,,,,
JH회수3,2012-05-10,386.63,,,,,,,
JH회수3,2012-05-11,386.6,,,,,,,
JH회수3,2012-05-12,386.56,,,,,,,
JH회수3,2012-05-13,386.48,,,,,,,
JH회수3,2012-05-14,386.53,,,,,,,
JH회수3,2012-05-15,386.41,,,,,,,
JH회수3,2012-05-16,386.34,,,,,,,
JH회수3,2012-05-17,386.21,,,,,,,
JH회수3,2012-05-18,386.06,,,,,,,
JH회수3,2012-05-19,386.0,,,,,,,
JH회수3,2012-05-20,385.91,,,,,,,
JH회수3,2012-05-21,385.83,,,,,,,
JH회수3,2012-05-22,385.76,,,,,,,
JH회수3,2012-05-23,385.64,,,,,,,
JH회수3,2012-05-24,385.55,,,,,,,
JH회수3,2012-05-25,385.52,,,,,,,
JH회수3,2012-05-26,385.4,,,,,,,
JH회수3,2012-05-27,385.22,,,,,,,
JH회수3,2012-05-28,385.07,,,,,,,
JH회수3,2012-05-29,384.88,,,,,,,
JH회수3,2012-05-30,384.69,,,,,,,
JH회수3,2012-05-31,384.53,,,,,,,
JH회수3,2012-06-01,384.4,,,,,,,
JH회수3,2012-06-02,384.33,,,,,,,
JH회수3,2012-06-03,384.22,,,,,,,
JH회수3,2012-06-04,384.19,,,,,,,
JH회수3,2012-06-05,384.18,,,,,,,
JH회수3,2012-06-06,384.25,,,,,,,
JH회수3,2012-06-07,384.27,,,,,,,
JH회수3,2012-06-08,384.15,,,,,,,
JH회수3,2012-06-09,383.99,,,,,,,
JH회수3,2012-06-10,383.9,,,,,,,
JH회수3,2012-06-11,383.83,,,,,,,
JH회수3,2012-06-12,383.74,,,,,,,
JH회수3,2012-06-13,383.6,,,,,,,
JH회수3,2012-06-14,383.47,,,,,,,
JH회수3,2012-06-15,383.41,,,,,,,
JH회수3,2012-06-16,383.21,,,,,,,
JH회수3,2012-06-17,383.04,,,,,,,
JH회수3,2012-06-18,383.0,,,,,,,
JH회수3,2012-06-19,382.87,,,,,,,
JH회수3,2012-06-20,382.66,,,,,,,
JH회수3,2012-06-21,382.51,,,,,,,
JH회수3,2012-06-22,382.3,,,,,,,
JH회수3,2012-06-23,382.25,,,,,,,
JH회수3,2012-06-24,382.07,,,,,,,
JH회수3,2012-06-25,381.87,,,,,,,
JH회수3,2012-06-26,381.74,,,,,,,
JH회수3,2012-06-27,381.62,,,,,,,
JH회수3,2012-06-28,381.33,,,,,,,
JH회수3,2012-06-29,381.08,,,,,,,
JH회수3,2012-06-30,380.94,,,,,,,
JH회수3,2012-07-01,380.72,,,,,,,
JH회수3,2012-07-02,380.42,,,,,,,
JH회수3,2012-07-03,380.09,,,,,,,
JH회수3,2012-07-04,379.68,,,,,,,
JH회수3,2012-07-05,379.46,,,,,,,
JH회수3,2012-07-06,379.14,,,,,,,
JH회수3,2012-07-07,378.88,,,,,,,
JH회수3,2012-07-08,378.48,,,,,,,
JH회수3,2012-07-09,378.31,,,,,,,
JH회수3,2012-07-10,378.3,,,,,,,
JH회수3,2012-07-11,378.17,,,,,,,
JH회수3,2012-07-12,378.11,,,,,,,
JH회수3,2012-07-13,378.08,,,,,,,
JH회수3,2012-07-14,377.99,,,,,,,
JH회수3,2012-07-15,377.96,,,,,,,
JH회수3,2012-07-30,386.09,,,,,,,
JH회수3,2012-07-31,385.88,,,,,,,
JH회수3,2012-08-01,385.87,,,,,,,
JH회수3,2012-08-02,385.56,,,,,,,
JH회수3,2012-08-03,385.41,,,,,,,
JH회수3,2012-08-04,385.25,,,,,,,
JH회수3,2012-08-05,385.14,,,,,,,
JH회수3,2012-08-06,385.02,,,,,,,
JH회수3,2012-08-07,384.9,,,,,,,
JH회수3,2012-08-08,384.71,,,,,,,
JH회수3,2012-08-09,384.44,,,,,,,
JH회수3,2012-08-10,384.21,,,,,,,
JH회수3,2012-08-11,383.99,,,,,,,
JH회수3,2012-08-12,383.81,,,,,,,
JH회수3,2012-08-13,383.65,,,,,,,
JH회수3,2012-08-14,383.29,,,,,,,
JH회수3,2012-08-15,383.08,,,,,,,
JH회수3,2012-08-16,382.91,,,,,,,
JH회수3,2012-08-17,382.78,,,,,,,
JH회수3,2012-08-18,382.72,,,,,,,
JH회수3,2012-08-19,382.66,,,,,,,
JH회수3,2012-08-20,382.46,,,,,,,
JH회수3,2012-08-21,382.3,,,,,,,
JH회수3,2012-08-22,382.11,,,,,,,
JH회수3,2012-08-23,381.89,,,,,,,
JH회수3,2012-08-24,381.66,,,,,,,
JH회수3,2012-08-25,382.08,,,,,,,
JH회수3,2012-08-26,382.52,,,,,,,
JH회수3,2012-08-27,385.36,,,,,,,
JH회수3,2012-08-28,386.79,,,,,,,
JH회수3,2012-08-29,386.33,,,,,,,
JH회수3,2012-08-30,386.43,,,,,,,
JH회수3,2012-08-31,386.29,,,,,,,
JH회수3,2012-09-03,386.5,,,,,,,
JH회수3,2012-09-04,386.52,,,,,,,
JH회수3,2012-09-05,386.57,,,,,,,
JH회수3,2012-09-06,386.41,,,,,,,
JH회수3,2012-09-07,386.4,,,,,,,
JH회수3,2012-09-08,386.3,,,,,,,
JH회수3,2012-09-09,386.19,,,,,,,
JH회수3,2012-09-10,386.03,,,,,,,
JH회수3,2012-09-11,385.81,,,,,,,
JH회수3,2012-09-12,385.66,,,,,,,
JH회수3,2012-09-13,385.55,,,,,,,
JH회수3,2012-09-14,385.42,,,,,,,
JH회수3,2012-09-15,385.37,,,,,,,
JH회수3,2012-09-16,385.46,,,,,,,
JH회수3,2012-09-17,385.3,,,,,,,
JH회수3,2012-09-18,385.2,,,,,,,
JH회수3,2012-09-19,385.17,,,,,,,
JH회수3,2012-09-20,385.18,,,,,,,
JH회수3,2012-09-21,385.29,,,,,,,
JH회수3,2012-09-22,385.43,,,,,,,
JH회수3,2012-09-23,385.88,,,,,,,
JH회수3,2012-09-24,385.98,,,,,,,
JH회수3,2012-09-25,385.65,,,,,,,
JH회수3,2012-09-26,385.44,,,,,,,
JH회수3,2012-09-27,385.31,,,,,,,
JH회수3,2012-09-28,385.13,,,,,,,
JH회수3,2012-09-29,385.01,,,,,,,
JH회수3,2012-09-30,384.9,,,,,,,
JH회수3,2012-10-01,384.93,,,,,,,
JH회수3,2012-10-02,384.85,,,,,,,
JH회수3,2012-10-03,384.63,,,,,,,
JH회수3,2012-10-04,384.39,,,,,,,
JH회수3,2012-10-05,384.31,,,,,,,
JH회수3,2012-10-06,384.19,,,,,,,
JH회수3,2012-10-07,384.14,,,,,,,
JH회수3,2012-10-08,383.81,,,,,,,
JH회수3,2012-10-09,383.66,,,,,,,
JH회수3,2012-10-10,383.55,,,,,,,
JH회수3,2012-10-11,383.42,,,,,,,
JH회수3,2012-10-12,383.27,,,,,,,
JH회수3,2012-10-13,383.02,,,,,,,
JH회수3,2012-10-14,382.69,,,,,,,
JH회수3,2012-10-15,382.43,,,,,,,
JH회수3,2012-10-16,382.28,,,,,,,
JH회수3,2012-10-17,381.91,,,,,,,
JH회수3,2012-10-18,381.37,,,,,,,
JH회수3,2012-10-19,380.79,,,,,,,
JH회수3,2012-10-20,380.5,,,,,,,
JH회수3,2012-10-21,380.41,,,,,,,
JH회수3,2012-10-22,380.24,,,,,,,
JH회수3,2012-10-23,379.9,,,,,,,
JH회수3,2012-10-24,379.75,,,,,,,
JH회수3,2012-10-25,379.68,,,,,,,
JH회수3,2012-10-26,379.89,,,,,,,
JH회수3,2012-10-27,379.73,,,,,,,
JH회수3,2012-10-28,379.6,,,,,,,
JH회수3,2012-10-29,379.66,,,,,,,
