관측소명,날짜,EL,센서,GL,Pressure,Temp,EC,Barometa,Battery
JI오등2,2011-05-18,117.5,,,,,,,
JI오등2,2011-05-19,117.45,,,,,,,
JI오등2,2011-05-20,117.38,,,,,,,
JI오등2,2011-05-21,117.37,,,,,,,
JI오등2,2011-05-22,117.36,,,,,,,
JI오등2,2011-05-23,117.35,,,,,,,
JI오등2,2011-05-24,117.35,,,,,,,
JI오등2,2011-05-25,117.35,,,,,,,
JI오등2,2011-05-26,117.35,,,,,,,
JI오등2,2011-05-27,117.35,,,,,,,
JI오등2,2011-05-28,117.36,,,,,,,
JI오등2,2011-05-29,117.36,,,,,,,
JI오등2,2011-05-30,117.35,,,,,,,
JI오등2,2011-05-31,117.36,,,,,,,
JI오등2,2011-06-01,117.35,,,,,,,
JI오등2,2011-06-02,117.33,,,,,,,
JI오등2,2011-06-03,117.33,,,,,,,
JI오등2,2011-06-04,117.34,,,,,,,
JI오등2,2011-06-05,117.33,,,,,,,
JI오등2,2011-06-06,117.33,,,,,,,
JI오등2,2011-06-07,117.34,,,,,,,
JI오등2,2011-06-08,117.32,,,,,,,
JI오등2,2011-06-09,117.31,,,,,,,
JI오등2,2011-06-10,117.33,,,,,,,
JI오등2,2011-06-11,117.33,,,,,,,
JI오등2,2011-06-12,117.33,,,,,,,
JI오등2,2011-06-13,117.31,,,,,,,
JI오등2,2011-06-14,117.32,,,,,,,
JI오등2,2011-06-15,117.35,,,,,,,
JI오등2,2011-06-16,117.36,,,,,,,
JI오등2,2011-06-17,117.38,,,,,,,
JI오등2,2011-06-18,117.4,,,,,,,
JI오등2,2011-06-19,117.42,,,,,,,
JI오등2,2011-06-21,117.47,,,,,,,
JI오등2,2011-06-22,117.51,,,,,,,
JI오등2,2011-06-23,117.53,,,,,,,
JI오등2,2011-06-24,117.56,,,,,,,
JI오등2,2011-06-25,117.6,,,,,,,
JI오등2,2011-06-26,118.03,,,,,,,
JI오등2,2011-06-27,118.4,,,,,,,
JI오등2,2011-06-28,118.11,,,,,,,
JI오등2,2011-06-29,118.32,,,,,,,
JI오등2,2011-06-30,118.5,,,,,,,
JI오등2,2011-07-01,118.59,,,,,,,
JI오등2,2011-07-02,118.68,,,,,,,
JI오등2,2011-07-03,118.76,,,,,,,
JI오등2,2011-07-04,118.82,,,,,,,
JI오등2,2011-07-05,118.91,,,,,,,
JI오등2,2011-07-06,119.04,,,,,,,
JI오등2,2011-07-07,119.14,,,,,,,
JI오등2,2011-07-08,119.23,,,,,,,
JI오등2,2011-07-09,119.32,,,,,,,
JI오등2,2011-07-10,119.41,,,,,,,
JI오등2,2011-07-11,119.51,,,,,,,
JI오등2,2011-07-12,119.6,,,,,,,
JI오등2,2011-07-13,119.7,,,,,,,
JI오등2,2011-07-14,119.78,,,,,,,
JI오등2,2011-07-15,119.85,,,,,,,
JI오등2,2011-07-16,119.94,,,,,,,
JI오등2,2011-07-17,120.02,,,,,,,
JI오등2,2011-07-18,120.1,,,,,,,
JI오등2,2011-07-19,120.18,,,,,,,
JI오등2,2011-07-20,120.2,,,,,,,
JI오등2,2011-07-21,120.25,,,,,,,
JI오등2,2011-07-22,120.31,,,,,,,
JI오등2,2011-07-23,120.37,,,,,,,
JI오등2,2011-07-24,120.44,,,,,,,
