관측소명,날짜,EL,센서,GL,Pressure,Temp,EC,Barometa,Battery
JI원종장2,2008-02-15,115.85,,,,,,,
JI원종장2,2008-02-16,115.85,,,,,,,
JI원종장2,2008-02-17,115.84,,,,,,,
JI원종장2,2008-02-18,115.84,,,,,,,
JI원종장2,2008-02-19,115.86,,,,,,,
JI원종장2,2008-02-20,115.86,,,,,,,
JI원종장2,2008-02-21,115.88,,,,,,,
JI원종장2,2008-02-22,115.92,,,,,,,
JI원종장2,2008-02-23,115.88,,,,,,,
JI원종장2,2008-02-24,115.86,,,,,,,
JI원종장2,2008-02-25,115.9,,,,,,,
JI원종장2,2008-02-26,115.93,,,,,,,
JI원종장2,2008-02-27,115.9,,,,,,,
JI원종장2,2008-02-28,115.95,,,,,,,
JI원종장2,2008-02-29,115.98,,,,,,,
JI원종장2,2008-03-01,115.92,,,,,,,
JI원종장2,2008-03-02,115.94,,,,,,,
JI원종장2,2008-03-03,115.92,,,,,,,
JI원종장2,2008-03-04,115.9,,,,,,,
JI원종장2,2008-03-05,115.88,,,,,,,
JI원종장2,2008-03-06,115.89,,,,,,,
JI원종장2,2008-03-07,115.87,,,,,,,
JI원종장2,2008-03-08,115.86,,,,,,,
JI원종장2,2008-03-09,115.88,,,,,,,
JI원종장2,2008-03-10,115.85,,,,,,,
JI원종장2,2008-03-11,115.86,,,,,,,
JI원종장2,2008-03-12,115.85,,,,,,,
JI원종장2,2008-03-13,115.88,,,,,,,
JI원종장2,2008-03-14,115.85,,,,,,,
JI원종장2,2008-03-15,115.85,,,,,,,
JI원종장2,2008-03-16,115.85,,,,,,,
JI원종장2,2008-03-17,115.85,,,,,,,
JI원종장2,2008-03-18,115.86,,,,,,,
JI원종장2,2008-03-19,115.83,,,,,,,
JI원종장2,2008-03-20,115.8,,,,,,,
JI원종장2,2008-03-21,115.82,,,,,,,
JI원종장2,2008-03-22,115.84,,,,,,,
JI원종장2,2008-03-23,115.86,,,,,,,
JI원종장2,2008-03-24,115.83,,,,,,,
JI원종장2,2008-03-25,115.86,,,,,,,
JI원종장2,2008-03-26,115.86,,,,,,,
JI원종장2,2008-03-27,115.87,,,,,,,
JI원종장2,2008-03-28,115.84,,,,,,,
JI원종장2,2008-03-29,115.86,,,,,,,
JI원종장2,2008-03-30,115.88,,,,,,,
JI원종장2,2008-03-31,115.85,,,,,,,
JI원종장2,2008-04-01,115.86,,,,,,,
JI원종장2,2008-04-02,115.9,,,,,,,
JI원종장2,2008-04-03,115.89,,,,,,,
JI원종장2,2008-04-04,115.89,,,,,,,
JI원종장2,2008-04-05,115.9,,,,,,,
JI원종장2,2008-04-06,115.95,,,,,,,
JI원종장2,2008-04-07,115.94,,,,,,,
JI원종장2,2008-04-08,115.95,,,,,,,
JI원종장2,2008-04-09,116.07,,,,,,,
JI원종장2,2008-04-10,116.02,,,,,,,
JI원종장2,2008-04-11,116.0,,,,,,,
JI원종장2,2008-04-12,116.06,,,,,,,
JI원종장2,2008-04-13,116.09,,,,,,,
JI원종장2,2008-04-14,116.08,,,,,,,
JI원종장2,2008-04-15,116.09,,,,,,,
JI원종장2,2008-04-16,116.11,,,,,,,
JI원종장2,2008-04-17,116.11,,,,,,,
JI원종장2,2008-04-18,116.09,,,,,,,
JI원종장2,2008-04-19,116.11,,,,,,,
JI원종장2,2008-04-20,116.14,,,,,,,
JI원종장2,2008-04-21,116.13,,,,,,,
JI원종장2,2008-04-22,116.13,,,,,,,
JI원종장2,2008-04-23,116.14,,,,,,,
JI원종장2,2008-04-24,116.12,,,,,,,
JI원종장2,2008-04-25,116.16,,,,,,,
JI원종장2,2008-04-26,116.15,,,,,,,
JI원종장2,2008-04-27,116.15,,,,,,,
JI원종장2,2008-04-28,116.14,,,,,,,
