관측소명,날짜,EL,센서,GL,Pressure,Temp,EC,Barometa,Battery
JM낙천,2016-01-01,24.0,,,,,,,
JM낙천,2016-01-02,24.63,,,,,,,
JM낙천,2016-01-03,24.65,,,,,,,
JM낙천,2016-01-04,24.74,,,,,,,
JM낙천,2016-01-05,24.67,,,,,,,
JM낙천,2016-01-06,24.48,,,,,,,
JM낙천,2016-01-07,24.47,,,,,,,
JM낙천,2016-01-08,24.4,,,,,,,
JM낙천,2016-01-09,24.34,,,,,,,
JM낙천,2016-01-10,24.58,,,,,,,
JM낙천,2016-01-11,24.46,,,,,,,
JM낙천,2016-01-12,24.48,,,,,,,
JM낙천,2016-01-13,24.43,,,,,,,
JM낙천,2016-01-14,24.57,,,,,,,
JM낙천,2016-01-15,24.51,,,,,,,
JM낙천,2016-01-16,24.21,,,,,,,
JM낙천,2016-01-17,24.24,,,,,,,
JM낙천,2016-01-18,24.59,,,,,,,
JM낙천,2016-01-19,24.41,,,,,,,
JM낙천,2016-01-20,24.26,,,,,,,
JM낙천,2016-01-21,24.3,,,,,,,
JM낙천,2016-01-22,24.14,,,,,,,
JM낙천,2016-01-23,24.24,,,,,,,
JM낙천,2016-01-24,24.27,,,,,,,
JM낙천,2016-01-25,24.43,,,,,,,
JM낙천,2016-01-26,22.65,,,,,,,
JM낙천,2016-01-27,21.14,,,,,,,
JM낙천,2016-01-28,21.94,,,,,,,
JM낙천,2016-01-29,21.45,,,,,,,
JM낙천,2016-01-30,22.83,,,,,,,
JM낙천,2016-01-31,23.29,,,,,,,
JM낙천,2016-02-01,23.67,,,,,,,
JM낙천,2016-02-02,23.81,,,,,,,
JM낙천,2016-02-03,23.67,,,,,,,
JM낙천,2016-02-04,23.76,,,,,,,
JM낙천,2016-02-05,23.81,,,,,,,
JM낙천,2016-02-06,23.3,,,,,,,
JM낙천,2016-02-07,23.59,,,,,,,
JM낙천,2016-02-08,22.96,,,,,,,
JM낙천,2016-02-09,23.34,,,,,,,
JM낙천,2016-02-10,23.49,,,,,,,
JM낙천,2016-02-11,23.49,,,,,,,
JM낙천,2016-02-12,23.55,,,,,,,
JM낙천,2016-02-13,24.16,,,,,,,
JM낙천,2016-02-14,24.54,,,,,,,
JM낙천,2016-02-15,24.16,,,,,,,
JM낙천,2016-02-16,24.24,,,,,,,
JM낙천,2016-02-17,24.38,,,,,,,
JM낙천,2016-02-26,24.22,,,,,,,
JM낙천,2016-02-27,24.4,,,,,,,
JM낙천,2016-02-28,23.69,,,,,,,
JM낙천,2016-02-29,24.55,,,,,,,
JM낙천,2016-03-01,24.31,,,,,,,
JM낙천,2016-03-02,24.12,,,,,,,
JM낙천,2016-03-03,24.44,,,,,,,
JM낙천,2016-03-04,24.49,,,,,,,
JM낙천,2016-03-05,24.35,,,,,,,
JM낙천,2016-03-06,24.82,,,,,,,
JM낙천,2016-03-07,24.65,,,,,,,
JM낙천,2016-03-08,24.8,,,,,,,
JM낙천,2016-03-09,24.68,,,,,,,
JM낙천,2016-03-10,25.1,,,,,,,
JM낙천,2016-03-11,25.01,,,,,,,
JM낙천,2016-03-12,24.81,,,,,,,
JM낙천,2016-03-13,24.93,,,,,,,
JM낙천,2016-03-14,24.8,,,,,,,
JM낙천,2016-03-15,24.33,,,,,,,
JM낙천,2016-03-16,24.16,,,,,,,
JM낙천,2016-03-17,24.79,,,,,,,
JM낙천,2016-03-18,24.93,,,,,,,
JM낙천,2016-03-19,24.92,,,,,,,
JM낙천,2016-03-20,24.65,,,,,,,
JM낙천,2016-03-29,23.82,,,,,,,
JM낙천,2016-03-30,23.83,,,,,,,
