관측소명,날짜,EL,센서,GL,Pressure,Temp,EC,Barometa,Battery
JM신례1,2016-01-01,44.51,,,,,,,
JM신례1,2016-01-02,44.48,,,,,,,
JM신례1,2016-01-03,44.45,,,,,,,
JM신례1,2016-01-04,44.42,,,,,,,
JM신례1,2016-01-05,44.38,,,,,,,
JM신례1,2016-01-06,44.35,,,,,,,
JM신례1,2016-01-07,44.32,,,,,,,
JM신례1,2016-01-08,44.28,,,,,,,
JM신례1,2016-01-09,44.25,,,,,,,
JM신례1,2016-01-10,44.22,,,,,,,
JM신례1,2016-01-11,44.18,,,,,,,
JM신례1,2016-01-12,44.15,,,,,,,
JM신례1,2016-01-13,44.11,,,,,,,
JM신례1,2016-01-14,44.07,,,,,,,
JM신례1,2016-01-15,44.04,,,,,,,
JM신례1,2016-01-16,44.0,,,,,,,
JM신례1,2016-01-17,43.97,,,,,,,
JM신례1,2016-01-18,43.94,,,,,,,
JM신례1,2016-01-19,43.9,,,,,,,
JM신례1,2016-01-20,43.86,,,,,,,
JM신례1,2016-01-21,43.83,,,,,,,
JM신례1,2016-01-22,43.8,,,,,,,
JM신례1,2016-01-30,43.57,,,,,,,
JM신례1,2016-01-31,43.55,,,,,,,
JM신례1,2016-02-01,43.52,,,,,,,
JM신례1,2016-02-02,43.49,,,,,,,
JM신례1,2016-02-03,43.44,,,,,,,
JM신례1,2016-02-04,43.4,,,,,,,
JM신례1,2016-02-05,43.36,,,,,,,
JM신례1,2016-02-06,43.32,,,,,,,
JM신례1,2016-02-07,43.28,,,,,,,
JM신례1,2016-02-08,43.25,,,,,,,
JM신례1,2016-02-09,43.21,,,,,,,
JM신례1,2016-02-10,43.17,,,,,,,
JM신례1,2016-02-11,43.14,,,,,,,
JM신례1,2016-02-12,43.11,,,,,,,
JM신례1,2016-02-13,43.14,,,,,,,
JM신례1,2016-02-14,43.19,,,,,,,
JM신례1,2016-02-15,43.22,,,,,,,
JM신례1,2016-02-16,43.24,,,,,,,
JM신례1,2016-02-17,43.26,,,,,,,
JM신례1,2016-02-18,43.28,,,,,,,
JM신례1,2016-02-19,43.31,,,,,,,
JM신례1,2016-02-20,43.36,,,,,,,
JM신례1,2016-02-21,43.41,,,,,,,
JM신례1,2016-02-22,43.47,,,,,,,
JM신례1,2016-02-23,43.53,,,,,,,
JM신례1,2016-02-24,43.57,,,,,,,
JM신례1,2016-02-25,43.62,,,,,,,
JM신례1,2016-02-26,43.66,,,,,,,
JM신례1,2016-02-27,43.7,,,,,,,
JM신례1,2016-02-28,43.74,,,,,,,
JM신례1,2016-02-29,43.78,,,,,,,
JM신례1,2016-03-01,43.81,,,,,,,
JM신례1,2016-03-02,43.84,,,,,,,
JM신례1,2016-03-03,43.87,,,,,,,
JM신례1,2016-03-04,43.9,,,,,,,
JM신례1,2016-03-05,43.94,,,,,,,
JM신례1,2016-03-06,43.99,,,,,,,
JM신례1,2016-03-07,44.03,,,,,,,
JM신례1,2016-03-08,44.07,,,,,,,
JM신례1,2016-03-09,44.12,,,,,,,
JM신례1,2016-03-10,44.15,,,,,,,
JM신례1,2016-03-11,44.18,,,,,,,
JM신례1,2016-03-12,44.2,,,,,,,
JM신례1,2016-03-13,44.22,,,,,,,
JM신례1,2016-03-14,44.25,,,,,,,
JM신례1,2016-03-15,44.26,,,,,,,
JM신례1,2016-03-16,44.28,,,,,,,
JM신례1,2016-03-17,44.3,,,,,,,
JM신례1,2016-03-18,44.33,,,,,,,
JM신례1,2016-03-19,44.35,,,,,,,
JM신례1,2016-03-20,44.36,,,,,,,
JM신례1,2016-03-21,44.36,,,,,,,
JM신례1,2016-03-22,44.37,,,,,,,
JM신례1,2016-03-23,44.37,,,,,,,
JM신례1,2016-03-24,44.37,,,,,,,
JM신례1,2016-03-25,44.37,,,,,,,
JM신례1,2016-03-26,44.36,,,,,,,
JM신례1,2016-03-27,44.36,,,,,,,
JM신례1,2016-03-28,44.35,,,,,,,
JM신례1,2016-03-29,44.34,,,,,,,
JM신례1,2016-03-30,44.33,,,,,,,
JM신례1,2016-03-31,44.32,,,,,,,
JM신례1,2016-04-01,44.31,,,,,,,
JM신례1,2016-04-02,44.28,,,,,,,
JM신례1,2016-04-03,44.28,,,,,,,
JM신례1,2016-04-04,44.28,,,,,,,
JM신례1,2016-04-05,44.27,,,,,,,
JM신례1,2016-04-06,44.25,,,,,,,
JM신례1,2016-04-07,44.28,,,,,,,
JM신례1,2016-04-08,44.3,,,,,,,
JM신례1,2016-04-09,44.3,,,,,,,
JM신례1,2016-04-10,44.28,,,,,,,
JM신례1,2016-04-11,44.26,,,,,,,
JM신례1,2016-04-12,44.25,,,,,,,
JM신례1,2016-04-13,44.25,,,,,,,
JM신례1,2016-04-14,44.26,,,,,,,
JM신례1,2016-04-15,44.26,,,,,,,
JM신례1,2016-04-16,44.29,,,,,,,
JM신례1,2016-04-17,44.31,,,,,,,
JM신례1,2016-04-18,44.33,,,,,,,
JM신례1,2016-04-19,44.35,,,,,,,
JM신례1,2016-04-20,44.38,,,,,,,
JM신례1,2016-04-21,44.43,,,,,,,
JM신례1,2016-04-22,44.49,,,,,,,
JM신례1,2016-04-23,44.54,,,,,,,
JM신례1,2016-04-24,44.59,,,,,,,
JM신례1,2016-04-25,44.62,,,,,,,
JM신례1,2016-04-26,44.66,,,,,,,
JM신례1,2016-04-27,44.71,,,,,,,
JM신례1,2016-04-28,44.77,,,,,,,
JM신례1,2016-04-29,44.81,,,,,,,
JM신례1,2016-04-30,44.85,,,,,,,
JM신례1,2016-05-01,44.88,,,,,,,
JM신례1,2016-05-02,44.92,,,,,,,
JM신례1,2016-05-03,44.99,,,,,,,
JM신례1,2016-05-04,45.08,,,,,,,
JM신례1,2016-05-05,45.18,,,,,,,
JM신례1,2016-05-06,45.3,,,,,,,
JM신례1,2016-05-07,45.41,,,,,,,
JM신례1,2016-05-08,45.51,,,,,,,
JM신례1,2016-05-09,45.61,,,,,,,
JM신례1,2016-05-10,45.72,,,,,,,
JM신례1,2016-05-11,45.83,,,,,,,
JM신례1,2016-05-12,45.91,,,,,,,
JM신례1,2016-05-13,46.0,,,,,,,
JM신례1,2016-05-14,46.07,,,,,,,
JM신례1,2016-05-15,46.16,,,,,,,
JM신례1,2016-05-16,46.23,,,,,,,
JM신례1,2016-05-17,46.29,,,,,,,
JM신례1,2016-05-18,46.34,,,,,,,
JM신례1,2016-05-19,46.4,,,,,,,
JM신례1,2016-05-20,46.45,,,,,,,
JM신례1,2016-05-21,46.49,,,,,,,
JM신례1,2016-05-22,46.54,,,,,,,
JM신례1,2016-05-23,46.58,,,,,,,
JM신례1,2016-05-24,46.64,,,,,,,
JM신례1,2016-05-25,46.68,,,,,,,
JM신례1,2016-05-26,46.71,,,,,,,
JM신례1,2016-05-27,46.74,,,,,,,
JM신례1,2016-05-28,46.77,,,,,,,
JM신례1,2016-05-29,46.8,,,,,,,
JM신례1,2016-05-30,46.82,,,,,,,
