관측소명,날짜,EL,센서,GL,Pressure,Temp,EC,Barometa,Battery
JM안성,2016-01-01,17.74,,,,,,,
JM안성,2016-01-02,17.73,,,,,,,
JM안성,2016-01-03,17.69,,,,,,,
JM안성,2016-01-04,17.64,,,,,,,
JM안성,2016-01-05,17.6,,,,,,,
JM안성,2016-01-06,17.57,,,,,,,
JM안성,2016-01-07,17.53,,,,,,,
JM안성,2016-01-08,17.5,,,,,,,
JM안성,2016-01-09,17.45,,,,,,,
JM안성,2016-01-10,17.4,,,,,,,
JM안성,2016-01-11,17.38,,,,,,,
JM안성,2016-01-12,17.33,,,,,,,
JM안성,2016-01-13,17.28,,,,,,,
JM안성,2016-01-14,17.25,,,,,,,
JM안성,2016-01-15,17.2,,,,,,,
JM안성,2016-01-16,17.16,,,,,,,
JM안성,2016-01-17,17.16,,,,,,,
JM안성,2016-01-18,17.11,,,,,,,
JM안성,2016-01-19,17.07,,,,,,,
JM안성,2016-01-20,17.04,,,,,,,
JM안성,2016-01-21,17.02,,,,,,,
JM안성,2016-01-22,16.99,,,,,,,
JM안성,2016-01-23,16.97,,,,,,,
JM안성,2016-01-24,16.96,,,,,,,
JM안성,2016-01-25,16.92,,,,,,,
JM안성,2016-01-26,16.75,,,,,,,
JM안성,2016-01-27,16.69,,,,,,,
JM안성,2016-01-28,16.71,,,,,,,
JM안성,2016-01-29,16.8,,,,,,,
JM안성,2016-01-30,16.83,,,,,,,
JM안성,2016-01-31,16.85,,,,,,,
JM안성,2016-02-01,16.87,,,,,,,
JM안성,2016-02-02,16.88,,,,,,,
JM안성,2016-02-03,16.88,,,,,,,
JM안성,2016-02-04,16.87,,,,,,,
JM안성,2016-02-05,16.86,,,,,,,
JM안성,2016-02-06,16.83,,,,,,,
JM안성,2016-02-07,16.82,,,,,,,
JM안성,2016-02-08,16.81,,,,,,,
JM안성,2016-02-09,16.77,,,,,,,
JM안성,2016-02-10,16.74,,,,,,,
JM안성,2016-02-11,16.72,,,,,,,
JM안성,2016-02-12,16.76,,,,,,,
JM안성,2016-02-13,16.9,,,,,,,
JM안성,2016-02-14,17.13,,,,,,,
JM안성,2016-02-15,17.22,,,,,,,
JM안성,2016-02-16,17.3,,,,,,,
JM안성,2016-02-17,17.32,,,,,,,
JM안성,2016-02-18,17.26,,,,,,,
JM안성,2016-02-19,17.2,,,,,,,
JM안성,2016-02-20,17.24,,,,,,,
JM안성,2016-02-21,17.23,,,,,,,
JM안성,2016-02-22,17.21,,,,,,,
JM안성,2016-02-23,17.2,,,,,,,
JM안성,2016-02-24,17.16,,,,,,,
JM안성,2016-02-25,17.12,,,,,,,
JM안성,2016-02-26,17.1,,,,,,,
JM안성,2016-02-27,17.08,,,,,,,
JM안성,2016-02-28,17.06,,,,,,,
JM안성,2016-02-29,17.01,,,,,,,
JM안성,2016-03-01,16.97,,,,,,,
JM안성,2016-03-02,16.93,,,,,,,
JM안성,2016-03-03,16.89,,,,,,,
JM안성,2016-03-04,16.86,,,,,,,
JM안성,2016-03-05,16.84,,,,,,,
JM안성,2016-03-06,17.01,,,,,,,
JM안성,2016-03-07,17.22,,,,,,,
JM안성,2016-03-08,17.37,,,,,,,
JM안성,2016-03-09,17.51,,,,,,,
JM안성,2016-03-10,17.59,,,,,,,
JM안성,2016-03-11,17.63,,,,,,,
JM안성,2016-03-12,17.65,,,,,,,
JM안성,2016-03-13,17.66,,,,,,,
JM안성,2016-03-14,17.66,,,,,,,
JM안성,2016-03-15,17.63,,,,,,,
JM안성,2016-03-16,17.6,,,,,,,
JM안성,2016-03-17,17.56,,,,,,,
JM안성,2016-03-18,17.57,,,,,,,
JM안성,2016-03-19,17.53,,,,,,,
JM안성,2016-03-20,17.46,,,,,,,
JM안성,2016-03-21,17.4,,,,,,,
JM안성,2016-03-22,17.35,,,,,,,
JM안성,2016-03-23,17.32,,,,,,,
JM안성,2016-03-24,17.27,,,,,,,
JM안성,2016-03-25,17.19,,,,,,,
JM안성,2016-03-26,17.15,,,,,,,
JM안성,2016-03-27,17.11,,,,,,,
JM안성,2016-03-28,16.64,,,,,,,
JM안성,2016-03-29,16.9,,,,,,,
JM안성,2016-03-30,16.94,,,,,,,
JM안성,2016-03-31,16.96,,,,,,,
JM안성,2016-04-01,16.93,,,,,,,
JM안성,2016-04-02,16.85,,,,,,,
JM안성,2016-04-03,16.87,,,,,,,
JM안성,2016-04-04,16.95,,,,,,,
JM안성,2016-04-05,16.97,,,,,,,
JM안성,2016-04-06,16.99,,,,,,,
JM안성,2016-04-07,17.01,,,,,,,
JM안성,2016-04-08,17.07,,,,,,,
JM안성,2016-04-09,17.13,,,,,,,
JM안성,2016-04-10,17.16,,,,,,,
JM안성,2016-04-11,17.14,,,,,,,
JM안성,2016-04-12,17.15,,,,,,,
JM안성,2016-04-13,17.23,,,,,,,
JM안성,2016-04-14,17.27,,,,,,,
JM안성,2016-04-15,17.26,,,,,,,
JM안성,2016-04-16,17.35,,,,,,,
JM안성,2016-04-17,17.45,,,,,,,
JM안성,2016-04-18,17.48,,,,,,,
JM안성,2016-04-19,17.48,,,,,,,
JM안성,2016-04-20,17.52,,,,,,,
JM안성,2016-04-21,17.63,,,,,,,
JM안성,2016-04-22,17.62,,,,,,,
JM안성,2016-04-23,17.62,,,,,,,
JM안성,2016-04-24,17.62,,,,,,,
JM안성,2016-04-25,17.6,,,,,,,
JM안성,2016-04-26,17.6,,,,,,,
JM안성,2016-04-27,17.65,,,,,,,
JM안성,2016-04-28,17.38,,,,,,,
JM안성,2016-04-29,17.52,,,,,,,
JM안성,2016-04-30,17.53,,,,,,,
JM안성,2016-05-01,17.5,,,,,,,
JM안성,2016-05-02,17.49,,,,,,,
JM안성,2016-05-03,17.62,,,,,,,
JM안성,2016-05-04,17.71,,,,,,,
JM안성,2016-05-05,17.78,,,,,,,
JM안성,2016-05-06,17.9,,,,,,,
JM안성,2016-05-07,17.91,,,,,,,
JM안성,2016-05-08,17.95,,,,,,,
JM안성,2016-05-09,18.02,,,,,,,
JM안성,2016-05-10,18.12,,,,,,,
JM안성,2016-05-11,18.16,,,,,,,
JM안성,2016-05-12,18.18,,,,,,,
JM안성,2016-05-13,18.17,,,,,,,
JM안성,2016-05-14,18.15,,,,,,,
JM안성,2016-05-15,18.16,,,,,,,
JM안성,2016-05-16,18.14,,,,,,,
JM안성,2016-05-17,18.06,,,,,,,
JM안성,2016-05-18,17.98,,,,,,,
JM안성,2016-05-19,17.31,,,,,,,
JM안성,2016-05-20,17.06,,,,,,,
JM안성,2016-05-21,17.58,,,,,,,
JM안성,2016-05-22,17.36,,,,,,,
JM안성,2016-05-23,17.67,,,,,,,
JM안성,2016-05-24,17.75,,,,,,,
JM안성,2016-05-25,17.77,,,,,,,
JM안성,2016-05-26,17.78,,,,,,,
JM안성,2016-05-27,17.78,,,,,,,
JM안성,2016-05-28,17.82,,,,,,,
JM안성,2016-05-29,17.85,,,,,,,
JM안성,2016-05-30,17.86,,,,,,,
JM안성,2016-05-31,17.83,,,,,,,
JM안성,2016-06-01,17.83,,,,,,,
JM안성,2016-06-02,17.8,,,,,,,
JM안성,2016-06-03,17.76,,,,,,,
JM안성,2016-06-04,17.77,,,,,,,
JM안성,2016-06-05,17.77,,,,,,,
JM안성,2016-06-06,17.74,,,,,,,
JM안성,2016-06-07,17.74,,,,,,,
JM안성,2016-06-08,17.32,,,,,,,
JM안성,2016-06-09,17.64,,,,,,,
JM안성,2016-06-10,17.64,,,,,,,
JM안성,2016-06-11,17.63,,,,,,,
JM안성,2016-06-12,17.63,,,,,,,
JM안성,2016-06-13,17.64,,,,,,,
JM안성,2016-06-14,17.6,,,,,,,
JM안성,2016-06-15,17.57,,,,,,,
JM안성,2016-06-16,17.56,,,,,,,
JM안성,2016-06-17,17.52,,,,,,,
JM안성,2016-06-18,17.49,,,,,,,
JM안성,2016-06-19,17.51,,,,,,,
