관측소명,날짜,EL,센서,GL,Pressure,Temp,EC,Barometa,Battery
JM이도2,2016-01-01,15.61,,,,,,,
JM이도2,2016-01-02,15.57,,,,,,,
JM이도2,2016-01-03,15.52,,,,,,,
JM이도2,2016-01-04,15.46,,,,,,,
JM이도2,2016-01-05,15.41,,,,,,,
JM이도2,2016-01-06,15.35,,,,,,,
JM이도2,2016-01-07,15.3,,,,,,,
JM이도2,2016-01-08,15.23,,,,,,,
JM이도2,2016-01-09,15.16,,,,,,,
JM이도2,2016-01-10,15.11,,,,,,,
JM이도2,2016-01-11,15.05,,,,,,,
JM이도2,2016-01-12,15.0,,,,,,,
JM이도2,2016-01-13,14.94,,,,,,,
JM이도2,2016-01-14,14.87,,,,,,,
JM이도2,2016-01-15,14.81,,,,,,,
JM이도2,2016-01-16,14.74,,,,,,,
JM이도2,2016-01-17,14.75,,,,,,,
JM이도2,2016-01-18,14.76,,,,,,,
JM이도2,2016-01-19,14.68,,,,,,,
JM이도2,2016-01-20,14.61,,,,,,,
JM이도2,2016-01-21,14.56,,,,,,,
JM이도2,2016-01-22,14.5,,,,,,,
JM이도2,2016-02-02,14.26,,,,,,,
JM이도2,2016-02-03,14.23,,,,,,,
JM이도2,2016-02-04,14.2,,,,,,,
JM이도2,2016-02-05,14.19,,,,,,,
JM이도2,2016-02-06,14.17,,,,,,,
JM이도2,2016-02-07,14.17,,,,,,,
JM이도2,2016-02-08,14.2,,,,,,,
JM이도2,2016-02-09,14.18,,,,,,,
JM이도2,2016-02-10,14.18,,,,,,,
JM이도2,2016-02-11,14.18,,,,,,,
JM이도2,2016-02-12,14.23,,,,,,,
JM이도2,2016-02-13,14.29,,,,,,,
JM이도2,2016-02-14,14.27,,,,,,,
JM이도2,2016-02-15,14.27,,,,,,,
JM이도2,2016-02-16,14.27,,,,,,,
JM이도2,2016-02-17,14.24,,,,,,,
JM이도2,2016-02-18,14.22,,,,,,,
JM이도2,2016-02-19,14.2,,,,,,,
JM이도2,2016-02-20,14.19,,,,,,,
JM이도2,2016-02-21,14.17,,,,,,,
JM이도2,2016-02-22,14.17,,,,,,,
JM이도2,2016-02-23,14.17,,,,,,,
JM이도2,2016-02-24,14.15,,,,,,,
JM이도2,2016-02-25,14.14,,,,,,,
JM이도2,2016-02-26,14.13,,,,,,,
JM이도2,2016-02-27,14.12,,,,,,,
JM이도2,2016-02-28,14.11,,,,,,,
JM이도2,2016-02-29,14.08,,,,,,,
JM이도2,2016-03-01,14.06,,,,,,,
JM이도2,2016-03-02,14.04,,,,,,,
JM이도2,2016-03-03,14.02,,,,,,,
JM이도2,2016-03-04,13.99,,,,,,,
JM이도2,2016-03-05,13.98,,,,,,,
JM이도2,2016-03-06,14.08,,,,,,,
JM이도2,2016-03-07,14.08,,,,,,,
JM이도2,2016-03-08,14.07,,,,,,,
JM이도2,2016-03-09,14.18,,,,,,,
JM이도2,2016-03-10,14.21,,,,,,,
JM이도2,2016-03-11,14.25,,,,,,,
JM이도2,2016-03-12,14.27,,,,,,,
JM이도2,2016-03-13,14.29,,,,,,,
JM이도2,2016-03-14,14.32,,,,,,,
JM이도2,2016-03-15,14.34,,,,,,,
JM이도2,2016-03-16,14.38,,,,,,,
JM이도2,2016-03-17,14.42,,,,,,,
JM이도2,2016-03-18,14.49,,,,,,,
JM이도2,2016-03-19,14.49,,,,,,,
JM이도2,2016-03-20,14.51,,,,,,,
JM이도2,2016-03-21,14.55,,,,,,,
JM이도2,2016-03-22,14.57,,,,,,,
JM이도2,2016-03-23,14.59,,,,,,,
JM이도2,2016-03-24,14.6,,,,,,,
JM이도2,2016-03-25,14.6,,,,,,,
JM이도2,2016-03-26,14.61,,,,,,,
JM이도2,2016-03-27,14.61,,,,,,,
JM이도2,2016-03-28,14.61,,,,,,,
JM이도2,2016-03-29,14.61,,,,,,,
JM이도2,2016-03-30,14.6,,,,,,,
JM이도2,2016-03-31,14.59,,,,,,,
JM이도2,2016-04-01,14.58,,,,,,,
JM이도2,2016-04-02,14.55,,,,,,,
JM이도2,2016-04-03,14.57,,,,,,,
JM이도2,2016-04-04,14.61,,,,,,,
JM이도2,2016-04-05,14.59,,,,,,,
JM이도2,2016-04-06,14.58,,,,,,,
JM이도2,2016-04-07,14.62,,,,,,,
JM이도2,2016-04-08,14.58,,,,,,,
JM이도2,2016-04-09,14.56,,,,,,,
JM이도2,2016-04-10,14.54,,,,,,,
JM이도2,2016-04-11,14.51,,,,,,,
JM이도2,2016-04-12,14.49,,,,,,,
JM이도2,2016-04-13,14.53,,,,,,,
JM이도2,2016-04-14,14.5,,,,,,,
JM이도2,2016-04-15,14.46,,,,,,,
JM이도2,2016-04-16,14.49,,,,,,,
JM이도2,2016-04-17,14.49,,,,,,,
JM이도2,2016-04-18,14.46,,,,,,,
JM이도2,2016-04-19,14.44,,,,,,,
JM이도2,2016-04-20,14.43,,,,,,,
JM이도2,2016-04-21,14.42,,,,,,,
JM이도2,2016-04-22,14.39,,,,,,,
JM이도2,2016-04-23,14.38,,,,,,,
JM이도2,2016-04-24,14.36,,,,,,,
JM이도2,2016-04-25,14.37,,,,,,,
JM이도2,2016-04-26,14.36,,,,,,,
JM이도2,2016-04-27,14.39,,,,,,,
JM이도2,2016-04-28,14.41,,,,,,,
JM이도2,2016-04-29,14.41,,,,,,,
JM이도2,2016-04-30,14.39,,,,,,,
JM이도2,2016-05-01,14.37,,,,,,,
JM이도2,2016-05-02,14.36,,,,,,,
JM이도2,2016-05-03,14.36,,,,,,,
JM이도2,2016-05-04,14.34,,,,,,,
JM이도2,2016-05-05,14.32,,,,,,,
JM이도2,2016-05-06,14.32,,,,,,,
JM이도2,2016-05-07,14.28,,,,,,,
JM이도2,2016-05-08,14.27,,,,,,,
JM이도2,2016-05-09,14.25,,,,,,,
JM이도2,2016-05-10,14.32,,,,,,,
JM이도2,2016-05-11,14.32,,,,,,,
JM이도2,2016-05-12,14.31,,,,,,,
JM이도2,2016-05-13,14.28,,,,,,,
JM이도2,2016-05-14,14.25,,,,,,,
JM이도2,2016-05-15,14.25,,,,,,,
JM이도2,2016-05-16,14.28,,,,,,,
JM이도2,2016-05-17,14.26,,,,,,,
JM이도2,2016-05-18,14.24,,,,,,,
JM이도2,2016-05-19,14.22,,,,,,,
JM이도2,2016-05-20,14.19,,,,,,,
JM이도2,2016-05-21,14.16,,,,,,,
JM이도2,2016-05-22,14.14,,,,,,,
JM이도2,2016-05-23,14.13,,,,,,,
JM이도2,2016-05-24,14.16,,,,,,,
JM이도2,2016-05-25,14.16,,,,,,,
JM이도2,2016-05-26,14.14,,,,,,,
JM이도2,2016-05-27,14.11,,,,,,,
JM이도2,2016-05-28,14.14,,,,,,,
JM이도2,2016-05-29,14.17,,,,,,,
JM이도2,2016-05-30,14.17,,,,,,,
JM이도2,2016-05-31,14.14,,,,,,,
JM이도2,2016-06-01,14.12,,,,,,,
JM이도2,2016-06-02,14.08,,,,,,,
JM이도2,2016-06-03,14.06,,,,,,,
JM이도2,2016-06-04,14.05,,,,,,,
JM이도2,2016-06-05,14.03,,,,,,,
JM이도2,2016-06-06,14.02,,,,,,,
JM이도2,2016-06-07,14.02,,,,,,,
JM이도2,2016-06-08,13.99,,,,,,,
JM이도2,2016-06-09,13.95,,,,,,,
JM이도2,2016-06-10,13.92,,,,,,,
JM이도2,2016-06-11,13.89,,,,,,,
JM이도2,2016-06-12,13.87,,,,,,,
JM이도2,2016-06-13,13.85,,,,,,,
JM이도2,2016-06-14,13.81,,,,,,,
JM이도2,2016-06-15,13.78,,,,,,,
JM이도2,2016-06-16,13.74,,,,,,,
JM이도2,2016-06-17,13.69,,,,,,,
JM이도2,2016-06-18,13.67,,,,,,,
JM이도2,2016-06-19,13.66,,,,,,,
JM이도2,2016-06-20,13.66,,,,,,,
JM이도2,2016-06-21,13.67,,,,,,,
JM이도2,2016-06-22,13.75,,,,,,,
JM이도2,2016-06-23,13.79,,,,,,,
JM이도2,2016-06-24,13.79,,,,,,,
JM이도2,2016-06-25,13.76,,,,,,,
JM이도2,2016-06-26,13.73,,,,,,,
JM이도2,2016-06-27,13.71,,,,,,,
JM이도2,2016-06-28,13.7,,,,,,,
JM이도2,2016-06-29,13.8,,,,,,,
JM이도2,2016-06-30,13.84,,,,,,,
JM이도2,2016-07-01,13.89,,,,,,,
JM이도2,2016-07-02,13.97,,,,,,,
JM이도2,2016-07-03,13.99,,,,,,,
JM이도2,2016-07-04,14.04,,,,,,,
JM이도2,2016-07-05,14.06,,,,,,,
JM이도2,2016-07-06,14.09,,,,,,,
JM이도2,2016-07-07,14.12,,,,,,,
JM이도2,2016-07-08,14.17,,,,,,,
JM이도2,2016-07-09,14.22,,,,,,,
JM이도2,2016-07-10,14.27,,,,,,,
JM이도2,2016-07-11,14.33,,,,,,,
JM이도2,2016-07-12,14.44,,,,,,,
JM이도2,2016-07-13,14.61,,,,,,,
JM이도2,2016-07-14,14.67,,,,,,,
JM이도2,2016-07-15,14.72,,,,,,,
