관측소명,날짜,EL,센서,GL,Pressure,Temp,EC,Barometa,Battery
JP오라,2016-01-01,93.22,,,,,,,
JP오라,2016-01-02,93.27,,,,,,,
JP오라,2016-01-03,93.26,,,,,,,
JP오라,2016-01-04,93.2,,,,,,,
JP오라,2016-01-05,93.16,,,,,,,
JP오라,2016-01-06,93.14,,,,,,,
JP오라,2016-01-07,93.11,,,,,,,
JP오라,2016-01-08,93.1,,,,,,,
JP오라,2016-01-09,93.04,,,,,,,
JP오라,2016-01-10,93.02,,,,,,,
JP오라,2016-01-11,93.0,,,,,,,
JP오라,2016-01-12,92.99,,,,,,,
JP오라,2016-01-13,92.97,,,,,,,
JP오라,2016-01-14,92.93,,,,,,,
JP오라,2016-01-15,92.9,,,,,,,
JP오라,2016-01-16,92.86,,,,,,,
JP오라,2016-01-17,92.89,,,,,,,
JP오라,2016-01-18,92.84,,,,,,,
JP오라,2016-01-19,92.71,,,,,,,
JP오라,2016-01-20,92.66,,,,,,,
JP오라,2016-01-21,92.67,,,,,,,
JP오라,2016-01-22,92.62,,,,,,,
JP오라,2016-01-23,92.61,,,,,,,
JP오라,2016-01-24,92.62,,,,,,,
JP오라,2016-01-25,92.54,,,,,,,
JP오라,2016-01-26,92.51,,,,,,,
JP오라,2016-01-27,92.48,,,,,,,
JP오라,2016-01-28,92.5,,,,,,,
JP오라,2016-01-29,92.51,,,,,,,
JP오라,2016-01-31,92.35,,,,,,,
JP오라,2016-02-01,92.34,,,,,,,
JP오라,2016-02-02,92.32,,,,,,,
JP오라,2016-02-03,92.29,,,,,,,
JP오라,2016-02-04,92.29,,,,,,,
JP오라,2016-02-05,92.3,,,,,,,
JP오라,2016-02-06,92.28,,,,,,,
JP오라,2016-02-07,92.25,,,,,,,
JP오라,2016-02-08,92.24,,,,,,,
JP오라,2016-02-09,92.18,,,,,,,
JP오라,2016-02-10,92.16,,,,,,,
JP오라,2016-02-11,92.17,,,,,,,
JP오라,2016-02-12,92.2,,,,,,,
JP오라,2016-02-13,92.23,,,,,,,
JP오라,2016-02-14,92.12,,,,,,,
JP오라,2016-02-15,92.09,,,,,,,
JP오라,2016-02-16,92.13,,,,,,,
JP오라,2016-02-17,92.12,,,,,,,
JP오라,2016-02-18,92.15,,,,,,,
JP오라,2016-02-19,92.14,,,,,,,
JP오라,2016-02-20,92.18,,,,,,,
JP오라,2016-02-21,92.1,,,,,,,
JP오라,2016-02-22,92.12,,,,,,,
JP오라,2016-02-23,92.12,,,,,,,
JP오라,2016-02-24,92.09,,,,,,,
JP오라,2016-02-25,92.08,,,,,,,
JP오라,2016-02-26,92.13,,,,,,,
JP오라,2016-02-27,92.17,,,,,,,
JP오라,2016-02-28,92.17,,,,,,,
JP오라,2016-02-29,92.1,,,,,,,
