관측소명,날짜,EL,센서,GL,Pressure,Temp,EC,Barometa,Battery
JQ고산1,2019-09-25,15.22,,,,,,,
JQ고산1,2019-09-26,15.23,,,,,,,
JQ고산1,2019-09-27,15.24,,,,,,,
JQ고산1,2019-09-28,15.27,,,,,,,
JQ고산1,2019-09-29,15.29,,,,,,,
JQ고산1,2019-09-30,15.3,,,,,,,
JQ고산1,2019-10-01,15.37,,,,,,,
JQ고산1,2019-10-02,15.62,,,,,,,
JQ고산1,2019-10-03,15.91,,,,,,,
JQ고산1,2019-10-04,15.94,,,,,,,
JQ고산1,2019-10-05,15.9,,,,,,,
JQ고산1,2019-10-06,15.89,,,,,,,
JQ고산1,2019-10-07,15.89,,,,,,,
JQ고산1,2019-10-08,15.89,,,,,,,
JQ고산1,2019-10-09,15.89,,,,,,,
JQ고산1,2019-10-10,15.89,,,,,,,
JQ고산1,2019-10-11,15.87,,,,,,,
JQ고산1,2019-10-12,15.81,,,,,,,
JQ고산1,2019-10-13,15.72,,,,,,,
JQ고산1,2019-10-14,15.64,,,,,,,
JQ고산1,2019-10-15,15.6,,,,,,,
JQ고산1,2019-10-16,15.56,,,,,,,
JQ고산1,2019-10-17,15.52,,,,,,,
JQ고산1,2019-10-18,15.51,,,,,,,
JQ고산1,2019-10-19,15.51,,,,,,,
JQ고산1,2019-10-20,15.48,,,,,,,
JQ고산1,2019-10-21,15.48,,,,,,,
JQ고산1,2019-10-22,15.46,,,,,,,
JQ고산1,2019-11-27,14.18,,,,,,,
JQ고산1,2019-11-28,14.14,,,,,,,
JQ고산1,2019-11-29,14.08,,,,,,,
JQ고산1,2019-11-30,14.05,,,,,,,
JQ고산1,2019-12-01,14.07,,,,,,,
JQ고산1,2019-12-02,14.03,,,,,,,
JQ고산1,2019-12-03,13.9,,,,,,,
JQ고산1,2019-12-04,13.79,,,,,,,
JQ고산1,2019-12-05,13.7,,,,,,,
JQ고산1,2019-12-06,13.64,,,,,,,
JQ고산1,2019-12-07,13.61,,,,,,,
JQ고산1,2019-12-08,13.55,,,,,,,
JQ고산1,2019-12-09,13.51,,,,,,,
JQ고산1,2019-12-10,13.47,,,,,,,
JQ고산1,2019-12-11,13.42,,,,,,,
JQ고산1,2019-12-12,13.29,,,,,,,
JQ고산1,2019-12-13,13.22,,,,,,,
JQ고산1,2019-12-14,13.15,,,,,,,
JQ고산1,2019-12-15,13.08,,,,,,,
