관측소명,날짜,EL,센서,GL,Pressure,Temp,EC,Barometa,Battery
JQ덕수1,2005-01-01,11.85,,,,,,,
JQ덕수1,2005-01-02,11.83,,,,,,,
JQ덕수1,2005-01-03,11.81,,,,,,,
JQ덕수1,2005-01-04,11.78,,,,,,,
JQ덕수1,2005-01-05,11.76,,,,,,,
JQ덕수1,2005-01-06,11.73,,,,,,,
JQ덕수1,2005-01-07,11.71,,,,,,,
JQ덕수1,2005-01-08,11.68,,,,,,,
JQ덕수1,2005-01-09,11.65,,,,,,,
JQ덕수1,2005-01-10,11.63,,,,,,,
JQ덕수1,2005-01-11,11.6,,,,,,,
JQ덕수1,2005-01-12,11.57,,,,,,,
JQ덕수1,2005-01-13,11.55,,,,,,,
JQ덕수1,2005-01-14,11.52,,,,,,,
JQ덕수1,2005-01-15,11.51,,,,,,,
JQ덕수1,2005-01-16,11.49,,,,,,,
JQ덕수1,2005-01-17,11.46,,,,,,,
JQ덕수1,2005-01-18,11.44,,,,,,,
JQ덕수1,2005-01-19,11.42,,,,,,,
JQ덕수1,2005-01-20,11.39,,,,,,,
JQ덕수1,2005-01-21,11.36,,,,,,,
JQ덕수1,2005-01-22,11.34,,,,,,,
JQ덕수1,2005-01-23,11.32,,,,,,,
JQ덕수1,2005-01-24,11.31,,,,,,,
JQ덕수1,2005-01-25,11.3,,,,,,,
JQ덕수1,2005-01-26,11.28,,,,,,,
JQ덕수1,2005-01-27,11.27,,,,,,,
JQ덕수1,2005-01-28,11.27,,,,,,,
JQ덕수1,2005-01-29,11.25,,,,,,,
JQ덕수1,2005-01-30,11.23,,,,,,,
JQ덕수1,2005-01-31,11.23,,,,,,,
JQ덕수1,2005-02-01,11.21,,,,,,,
JQ덕수1,2005-02-02,11.18,,,,,,,
JQ덕수1,2005-02-03,11.16,,,,,,,
JQ덕수1,2005-02-04,11.14,,,,,,,
JQ덕수1,2005-02-05,11.12,,,,,,,
JQ덕수1,2005-02-06,11.1,,,,,,,
JQ덕수1,2005-02-07,11.08,,,,,,,
JQ덕수1,2005-02-08,11.05,,,,,,,
JQ덕수1,2005-02-09,11.03,,,,,,,
JQ덕수1,2005-02-10,11.0,,,,,,,
JQ덕수1,2005-02-11,10.98,,,,,,,
JQ덕수1,2005-02-12,10.95,,,,,,,
JQ덕수1,2005-02-13,10.93,,,,,,,
JQ덕수1,2005-02-14,10.92,,,,,,,
JQ덕수1,2005-02-15,10.92,,,,,,,
JQ덕수1,2005-02-16,10.91,,,,,,,
JQ덕수1,2005-02-17,10.9,,,,,,,
JQ덕수1,2005-02-18,10.89,,,,,,,
JQ덕수1,2005-02-19,10.87,,,,,,,
JQ덕수1,2005-02-20,10.86,,,,,,,
JQ덕수1,2005-02-21,10.84,,,,,,,
JQ덕수1,2005-02-22,10.83,,,,,,,
JQ덕수1,2005-02-23,10.82,,,,,,,
JQ덕수1,2005-02-24,10.81,,,,,,,
JQ덕수1,2005-02-25,10.8,,,,,,,
JQ덕수1,2005-02-26,10.77,,,,,,,
JQ덕수1,2005-02-27,10.76,,,,,,,
JQ덕수1,2005-02-28,10.74,,,,,,,
JQ덕수1,2005-03-01,10.72,,,,,,,
JQ덕수1,2005-03-02,10.7,,,,,,,
JQ덕수1,2005-03-03,10.68,,,,,,,
JQ덕수1,2005-03-04,10.67,,,,,,,
JQ덕수1,2005-03-05,10.65,,,,,,,
