관측소명,날짜,EL,센서,GL,Pressure,Temp,EC,Barometa,Battery
JQ선흘2,2024-02-28,4.76,,,,,,,
JQ선흘2,2024-02-29,4.85,,,,,,,
JQ선흘2,2024-03-01,4.96,,,,,,,
JQ선흘2,2024-03-02,5.04,,,,,,,
JQ선흘2,2024-03-03,5.11,,,,,,,
JQ선흘2,2024-03-04,5.15,,,,,,,
JQ선흘2,2024-03-05,5.2,,,,,,,
JQ선흘2,2024-03-06,5.24,,,,,,,
JQ선흘2,2024-03-07,5.26,,,,,,,
JQ선흘2,2024-03-08,5.27,,,,,,,
JQ선흘2,2024-03-09,5.24,,,,,,,
JQ선흘2,2024-03-10,5.21,,,,,,,
JQ선흘2,2024-03-11,5.18,,,,,,,
JQ선흘2,2024-03-12,5.16,,,,,,,
JQ선흘2,2024-03-13,5.1,,,,,,,
JQ선흘2,2024-03-14,5.06,,,,,,,
JQ선흘2,2024-03-15,5.01,,,,,,,
JQ선흘2,2024-03-16,4.96,,,,,,,
JQ선흘2,2024-03-17,4.9,,,,,,,
JQ선흘2,2024-03-18,4.83,,,,,,,
JQ선흘2,2024-03-19,4.77,,,,,,,
JQ선흘2,2024-03-20,4.71,,,,,,,
JQ선흘2,2024-03-21,4.65,,,,,,,
JQ선흘2,2024-03-22,4.6,,,,,,,
JQ선흘2,2024-03-23,4.56,,,,,,,
JQ선흘2,2024-03-24,4.51,,,,,,,
JQ선흘2,2024-03-25,4.48,,,,,,,
JQ선흘2,2024-03-26,4.44,,,,,,,
JQ선흘2,2024-03-27,4.42,,,,,,,
JQ선흘2,2024-03-28,4.42,,,,,,,
JQ선흘2,2024-03-29,4.4,,,,,,,
JQ선흘2,2024-03-30,4.37,,,,,,,
JQ선흘2,2024-03-31,4.34,,,,,,,
JQ선흘2,2024-04-01,4.3,,,,,,,
JQ선흘2,2024-04-02,4.28,,,,,,,
JQ선흘2,2024-04-03,4.27,,,,,,,
JQ선흘2,2024-04-04,4.25,,,,,,,
JQ선흘2,2024-04-05,4.22,,,,,,,
JQ선흘2,2024-04-06,4.18,,,,,,,
JQ선흘2,2024-04-07,4.16,,,,,,,
JQ선흘2,2024-04-08,4.13,,,,,,,
JQ선흘2,2024-04-09,4.09,,,,,,,
JQ선흘2,2024-04-10,4.06,,,,,,,
JQ선흘2,2024-04-11,4.03,,,,,,,
JQ선흘2,2024-04-12,4.0,,,,,,,
JQ선흘2,2024-04-13,3.98,,,,,,,
JQ선흘2,2024-04-14,3.94,,,,,,,
JQ선흘2,2024-04-15,3.93,,,,,,,
JQ선흘2,2024-04-16,3.9,,,,,,,
JQ선흘2,2024-04-17,3.88,,,,,,,
JQ선흘2,2024-04-18,3.85,,,,,,,
JQ선흘2,2024-04-19,3.82,,,,,,,
JQ선흘2,2024-04-20,3.81,,,,,,,
JQ선흘2,2024-04-21,3.79,,,,,,,
JQ선흘2,2024-04-22,3.76,,,,,,,
JQ선흘2,2024-04-23,3.75,,,,,,,
JQ선흘2,2024-04-24,3.73,,,,,,,
JQ선흘2,2024-04-25,3.7,,,,,,,
JQ선흘2,2024-04-26,3.68,,,,,,,
JQ선흘2,2024-04-27,3.66,,,,,,,
JQ선흘2,2024-04-28,3.63,,,,,,,
JQ선흘2,2024-04-29,3.64,,,,,,,
JQ선흘2,2024-04-30,3.66,,,,,,,
JQ선흘2,2024-05-01,3.67,,,,,,,
JQ선흘2,2024-05-02,3.66,,,,,,,
JQ선흘2,2024-05-03,3.64,,,,,,,
JQ선흘2,2024-05-04,3.62,,,,,,,
JQ선흘2,2024-05-05,3.62,,,,,,,
JQ선흘2,2024-05-06,3.68,,,,,,,
JQ선흘2,2024-05-07,3.75,,,,,,,
JQ선흘2,2024-05-08,3.78,,,,,,,
JQ선흘2,2024-05-09,3.79,,,,,,,
JQ선흘2,2024-05-10,3.79,,,,,,,
JQ선흘2,2024-05-11,3.8,,,,,,,
JQ선흘2,2024-05-12,3.81,,,,,,,
JQ선흘2,2024-05-13,3.81,,,,,,,
JQ선흘2,2024-05-14,3.81,,,,,,,
JQ선흘2,2024-05-15,3.81,,,,,,,
JQ선흘2,2024-05-16,3.8,,,,,,,
JQ선흘2,2024-05-17,3.79,,,,,,,
JQ선흘2,2024-05-18,3.79,,,,,,,
JQ선흘2,2024-05-19,3.77,,,,,,,
JQ선흘2,2024-05-20,3.76,,,,,,,
JQ선흘2,2024-05-21,3.74,,,,,,,
JQ선흘2,2024-05-22,3.73,,,,,,,
JQ선흘2,2024-05-23,3.72,,,,,,,
JQ선흘2,2024-05-24,3.67,,,,,,,
JQ선흘2,2024-05-25,3.59,,,,,,,
JQ선흘2,2024-05-26,3.59,,,,,,,
JQ선흘2,2024-05-27,3.59,,,,,,,
JQ선흘2,2024-05-28,3.59,,,,,,,
JQ선흘2,2024-05-29,3.57,,,,,,,
JQ선흘2,2024-05-30,3.56,,,,,,,
JQ선흘2,2024-05-31,3.54,,,,,,,
JQ선흘2,2024-06-01,3.52,,,,,,,
JQ선흘2,2024-06-02,3.51,,,,,,,
JQ선흘2,2024-06-03,3.48,,,,,,,
JQ선흘2,2024-06-04,3.47,,,,,,,
JQ선흘2,2024-06-05,3.44,,,,,,,
JQ선흘2,2024-06-06,3.43,,,,,,,
JQ선흘2,2024-06-07,3.42,,,,,,,
JQ선흘2,2024-06-08,3.41,,,,,,,
JQ선흘2,2024-06-09,3.41,,,,,,,
JQ선흘2,2024-06-10,3.4,,,,,,,
JQ선흘2,2024-06-11,3.39,,,,,,,
JQ선흘2,2024-06-12,3.39,,,,,,,
JQ선흘2,2024-06-13,3.37,,,,,,,
JQ선흘2,2024-06-14,3.36,,,,,,,
JQ선흘2,2024-06-15,3.35,,,,,,,
JQ선흘2,2024-06-16,3.33,,,,,,,
JQ선흘2,2024-06-17,3.31,,,,,,,
JQ선흘2,2024-06-18,3.29,,,,,,,
JQ선흘2,2024-06-19,3.27,,,,,,,
JQ선흘2,2024-06-20,3.27,,,,,,,
JQ선흘2,2024-06-21,3.32,,,,,,,
JQ선흘2,2024-06-22,3.36,,,,,,,
JQ선흘2,2024-06-23,3.39,,,,,,,
JQ선흘2,2024-06-24,3.45,,,,,,,
JQ선흘2,2024-06-25,3.47,,,,,,,
JQ선흘2,2024-06-26,3.48,,,,,,,
JQ선흘2,2024-06-27,3.48,,,,,,,
JQ선흘2,2024-06-28,3.53,,,,,,,
JQ선흘2,2024-06-29,3.61,,,,,,,
JQ선흘2,2024-06-30,3.81,,,,,,,
JQ선흘2,2024-07-01,3.98,,,,,,,
JQ선흘2,2024-07-02,4.1,,,,,,,
JQ선흘2,2024-07-03,4.16,,,,,,,
JQ선흘2,2024-07-04,4.19,,,,,,,
JQ선흘2,2024-07-05,4.22,,,,,,,
JQ선흘2,2024-07-06,4.24,,,,,,,
JQ선흘2,2024-07-07,4.24,,,,,,,
JQ선흘2,2024-07-08,4.24,,,,,,,
JQ선흘2,2024-07-09,4.24,,,,,,,
JQ선흘2,2024-07-10,4.23,,,,,,,
JQ선흘2,2024-07-11,4.24,,,,,,,
JQ선흘2,2024-07-12,4.25,,,,,,,
JQ선흘2,2024-07-13,4.25,,,,,,,
JQ선흘2,2024-07-14,4.22,,,,,,,
JQ선흘2,2024-07-15,4.2,,,,,,,
JQ선흘2,2024-07-16,4.16,,,,,,,
JQ선흘2,2024-07-17,4.13,,,,,,,
JQ선흘2,2024-07-18,4.1,,,,,,,
JQ선흘2,2024-07-19,4.07,,,,,,,
JQ선흘2,2024-07-20,4.05,,,,,,,
JQ선흘2,2024-07-21,4.02,,,,,,,
JQ선흘2,2024-07-22,3.99,,,,,,,
JQ선흘2,2024-07-23,3.97,,,,,,,
JQ선흘2,2024-07-24,3.94,,,,,,,
JQ선흘2,2024-07-25,3.92,,,,,,,
JQ선흘2,2024-07-26,3.9,,,,,,,
JQ선흘2,2024-07-27,3.92,,,,,,,
JQ선흘2,2024-07-28,3.94,,,,,,,
JQ선흘2,2024-07-29,3.95,,,,,,,
JQ선흘2,2024-07-30,3.94,,,,,,,
JQ선흘2,2024-07-31,3.93,,,,,,,
JQ선흘2,2024-08-01,3.92,,,,,,,
JQ선흘2,2024-08-02,3.91,,,,,,,
JQ선흘2,2024-08-03,3.89,,,,,,,
JQ선흘2,2024-08-04,3.87,,,,,,,
JQ선흘2,2024-08-05,3.85,,,,,,,
JQ선흘2,2024-08-06,3.83,,,,,,,
JQ선흘2,2024-08-07,3.8,,,,,,,
JQ선흘2,2024-08-08,3.78,,,,,,,
JQ선흘2,2024-08-09,3.76,,,,,,,
JQ선흘2,2024-08-10,3.74,,,,,,,
JQ선흘2,2024-08-11,3.73,,,,,,,
JQ선흘2,2024-08-12,3.7,,,,,,,
JQ선흘2,2024-08-13,3.68,,,,,,,
